Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Ant,α,,90610,51172,10h 27m 09.16s,−31° 04′ 04.1″,4.28,-0.97,366,K4III,"suspected variable, *V*max = 4.22m, *V*min = 4.29m"
ε Ant,ε,,82150,46515,09h 29m 14.74s,−35° 57′ 04.9″,4.51,-2.15,700,K3III,"variable star, Δ*V* = 0.003m, *P* = 0.09026 d"
ι Ant,ι,,94890,53502,10h 56m 43.00s,−37° 08′ 14.9″,4.6,0.67,199,K0III,
θ Ant,θ,,84367,47758,09h 44m 12.13s,−27° 46′ 10.4″,4.78,-0.58,384,A7V+...,binary star
η Ant,η,,86629,48926,09h 58m 52.34s,−35° 53′ 27.4″,5.23,2.66,106,A8IV,double star
HD 90132,,,90132,50888,10h 23m 29.41s,−38° 00′ 35.0″,5.34,2.3,132,A8V,suspected variable
HD 96146,,,96146,54173,11h 04m 54.21s,−35° 48′ 16.9″,5.43,-0.63,530,A0V,
HD 82205,,,82205,46578,09h 29m 54.52s,−26° 35′ 22.6″,5.49,-1.36,763,K2IIICNII,double star
U Ant,,U,91793,51821,10h 35m 12.88s,−39° 33′ 45.3″,5.5,-1.54,836,"C6,3(N0)","slow irregular variable, *V*max = 5.27m, *V*min = 6.04m"
HR 4049,,AG,89353,50456,10h 18m 07.60s,−28° 59′ 31.3″,5.52,-3.6,2173,B9.5Ib/II,"protoplanetary nebula, *V*max = 5.29m, *V*min = 5.83m, *P* = 429 d"
δ Ant A,δ,,90972,51376,10h 29m 35.40s,−30° 36′ 25.5″,5.56,-0.27,481,B9/B9.5V,"component of the δ Ant system; suspected variable, *V*max = 5.55m, *V*min = 
5.60m"
HD 93905,,,93905,52965,10h 49m 57.05s,−34° 03′ 29.5″,5.61,0.48,346,A1V,
HD 83380,,,83380,47199,09h 37m 09.87s,−32° 10′ 43.0″,5.62,1.05,267,K1III,
HD 92845,,,92845,52407,10h 42m 43.21s,−32° 42′ 56.4″,5.63,-0.71,605,A0V,double star
HD 83332,,,83332,47187,09h 37m 00.25s,−25° 17′ 48.7″,5.68,0.91,293,K0III,
ζ1 Ant B,ζ1,,82383,46657,09h 30m 46.08s,−31° 53′ 21.0″,5.75,0.46,372,A0,binary star
HD 86267,,,86267,48748,09h 56m 35.47s,−33° 25′ 06.8″,5.83,-0.01,479,K1III,
HD 82514,,,82514,46736,09h 31m 32.93s,−35° 42′ 51.6″,5.86,1.15,285,K3III,triple star
ζ2 Ant,ζ2,,82513,46734,09h 31m 32.19s,−31° 52′ 18.6″,5.91,0.61,374,A9IV,
HD 88809,,,88809,50103,10h 13m 45.98s,−40° 20′ 45.9″,5.91,0.21,450,K1III,double star
HD 85206,,,85206,48191,09h 49m 28.15s,−37° 11′ 12.4″,5.95,0.47,407,K2III,
HD 83441,,,83441,47224,09h 37m 28.42s,−36° 05′ 45.6″,5.96,0.89,337,K2III,
HD 88218,,,88218,49769,10h 09m 32.09s,−35° 51′ 24.5″,6.14,3.7,100,G1V,binary star
HD 82165,,,82165,46517,09h 29m 16.25s,−38° 24′ 12.8″,6.15,2.18,203,A6V,
HD 89015,,,89015,50234,10h 15m 20.89s,−36° 31′ 03.8″,6.17,0.91,367,K0III,
ζ1 Ant A,ζ1,,82384,,09h 30m 46.10s,−31° 53′ 22.0″,6.18,,,,component of the ζ1 Ant system
HD 90071,,,90071,50868,10h 23m 13.14s,−30° 09′ 44.0″,6.25,2.6,175,A9IV,
HD 87606,,,87606,49418,10h 05m 15.28s,−36° 23′ 03.7″,6.27,0.71,422,K1III,
HD 85725,,,85725,48468,09h 52m 58.21s,−27° 19′ 56.7″,6.28,2.5,186,G1V,double star
HD 88522,,,88522,49967,10h 12m 02.88s,−28° 36′ 21.4″,6.28,0.31,509,A0V,double star
HD 89442,,,89442,50492,10h 18m 37.88s,−36° 48′ 16.5″,6.31,-0.04,608,K2/K3III,
BF Ant,,BF,86301,48776,09h 56m 54.14s,−27° 28′ 30.8″,6.32,0.38,502,A4V,"δ Scuti variable, Δ*V* = 0.01m"
HD 88836,,,88836,50122,10h 13m 56.58s,−40° 18′ 38.7″,6.33,0.64,448,G8III,double star
HD 88013,,,88013,49645,10h 08m 01.67s,−37° 20′ 00.5″,6.34,0.05,590,K0III,
HD 85296,,,85296,48219,09h 49m 51.36s,−36° 16′ 06.5″,6.36,0.2,555,K0III,
HD 92589,,,92589,52273,10h 40m 51.56s,−35° 44′ 30.2″,6.36,-0.28,695,G8/K0III+..,double star
HD 88742,,,88742,50075,10h 13m 24.99s,−33° 01′ 54.8″,6.38,4.6,74,G0V,
HD 84224,,,84224,47627,09h 42m 41.37s,−35° 30′ 06.2″,6.39,-1.8,1417,Asp...,
HD 87477,,,87477,49343,10h 04m 23.39s,−39° 58′ 33.1″,6.42,-0.03,637,K1III,
S Ant,,S,82610,46810,09h 32m 18.45s,−28° 37′ 40.4″,6.43,2.05,245,A9V,"W Uma variable, *V*max = 6.27m, *V*min = 6.83m, *P* = 0.6483489 d"
