Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Aps,α,,129078,72370,14h 47m 51.73s,−79° 02′ 41.0″,3.83,-1.67,411,K5III,
γ Aps,γ,,147675,81065,16h 33m 27.46s,−78° 53′ 49.1″,3.86,0.41,159,K0IV SB,
β Aps,β,,149324,81852,16h 43m 05.42s,−77° 30′ 59.7″,4.23,0.81,158,K0III,double star
δ1 Aps,δ1,,145366,80047,16h 20m 20.84s,−78° 41′ 44.4″,4.68,-2.17,765,M4-M5III,"visual double star with δ2 Aps; semiregular variable, *V*max = 4.66m, *V*min 
= 4.87m"
ζ Aps,ζ,,156277,84969,17h 21m 59.53s,−67° 46′ 14.3″,4.76,-0.14,312,K1III,
η Aps,η,,123998,69896,14h 18m 13.97s,−81° 00′ 27.4″,4.89,1.73,140,A2m...,
ε Aps,ε,,124771,70248,14h 22m 23.20s,−80° 06′ 32.1″,5.06,-1.08,551,B4V,γ Cas variable
δ2 Aps,δ2,,145388,80057,16h 20m 26.86s,−78° 40′ 02.7″,5.27,-1.27,663,K3III,visual double star with δ1 Aps
R Aps,,R,131109,73223,14h 57m 53.16s,−76° 39′ 45.4″,5.37,-0.22,428,K4III,not variable despite designation
ι Aps,ι,,156190,84979,17h 22m 05.88s,−70° 07′ 23.4″,5.39,-2.34,1144,B8/B9Vn...,binary star
κ1 Aps,κ1,,137387,76013,15h 31m 30.82s,−73° 23′ 22.4″,5.52,-2.31,1200,B1npe,"double star; γ Cas variable, *V*max = 5.43m, *V*min = 5.61m"
HR 6135,,,148488,81141,16h 34m 19.37s,−70° 59′ 17.0″,5.5,-1.8,942,K1IIICN...,
HD 130458,,,130458,72833,14h 53m 13.54s,−73° 11′ 24.6″,5.59,0.63,320,G5III,double star
κ2 Aps,κ2,,138800,76750,15h 40m 21.36s,−73° 26′ 47.9″,5.64,-1.12,734,B8IVe,triple star
θ Aps,θ,,122250,68815,14h 05m 20.10s,−76° 47′ 48.0″,5.69,0.67,328,M6.5III,"semiregular variable, *V*max = 4.65m, *V*min = 6.20m, *P* = 111.0 d"
HR 5955,,,143346,78868,16h 05m 55.88s,−72° 24′ 03.9″,5.7,0.97,288,K1IIICNII,
NO Aps,,NO,156513,85760,17h 31m 27.47s,−80° 51′ 32.5″,5.83,-1.15,811,M3III,"semiregular variable, *V*max = 5.71m, *V*min = 5.95m"
HD 164712,,,164712,89115,18h 11m 15.76s,−75° 53′ 26.9″,5.86,1.41,253,K3III,double star
HD 165259,,,165259,89234,18h 12m 34.17s,−73° 40′ 18.4″,5.86,2.8,133,F5V,double star
HD 131425,,,131425,73415,15h 00m 11.34s,−77° 09′ 37.9″,5.92,-1.23,876,G8II,
HD 138867,,,138867,76877,15h 41m 54.70s,−76° 04′ 54.7″,5.95,0.64,377,B9V,
HD 122862,,,122862,69090,14h 08m 27.71s,−74° 51′ 02.6″,6.02,3.73,93,G1V,
HD 133981,,,133981,74421,15h 12m 34.01s,−72° 46′ 14.0″,6.02,-1.06,849,B8/B9III,
HD 126209,,,126209,70874,14h 29m 37.07s,−76° 43′ 44.5″,6.06,0.04,522,K0/K1III,
HD 161988,,,161988,87926,17h 57m 41.68s,−76° 10′ 40.6″,6.08,-0.23,595,K2III,double star
HD 121439,,,121439,68431,14h 00m 32.85s,−78° 35′ 23.9″,6.09,-0.65,728,B9III,
HD 138289,,,138289,76664,15h 39m 18.62s,−77° 55′ 03.7″,6.19,1.1,339,K2II,
HD 131551,,,131551,73394,14h 59m 55.77s,−75° 01′ 57.4″,6.2,0.15,529,B9V,double star
HD 154556,,,154556,84158,17h 12m 19.85s,−70° 43′ 15.2″,6.21,1.99,228,K1IVCN...,
HD 154972,,,154972,84510,17h 16m 35.70s,−74° 31′ 58.4″,6.24,1.25,324,A0V,
HD 128294,,,128294,71870,14h 41m 59.76s,−77° 00′ 41.1″,6.34,0.05,592,B9III,
HD 162337,,,162337,88599,18h 05m 26.74s,−81° 29′ 11.2″,6.37,-0.89,924,K3/K4III,
HD 137366,,,137366,75959,15h 30m 49.19s,−71° 39′ 14.7″,6.39,-1.15,1052,B3V,
HD 141846,,,141846,78360,15h 59m 55.14s,−78° 01′ 37.6″,6.4,1.76,276,F3IV,double star
HD 124639,,,124639,70418,14h 24m 22.18s,−82° 50′ 53.6″,6.42,-0.74,881,B8V,emission-line star
HD 129899,,,129899,72670,14h 51m 30.07s,−77° 10′ 33.4″,6.44,-0.76,898,Ap...,
HD 152010,,,152010,82944,16h 57m 01.06s,−71° 06′ 41.6″,6.46,-2.08,1663,A5IV/V,double star
HD 124099,,,124099,69778,14h 16m 55.17s,−77° 39′ 51.2″,6.48,-2.82,2362,K2IIp,"semiregular variable, *V*max = 6.46m, *V*min = 6.49m, *P* = 528 d"
HD 159558,,,159558,86510,17h 40m 44.57s,−67° 51′ 14.8″,6.48,1.15,379,G8III,
HD 134606,,,134606,74653,15h 15m 15s,−70° 31′ 11″,6.85,4.74,86,G6IV,"has three planets (b, c & d)"
HD 137509,,NN,137509,76011,15h 31m 27.12s,−71° 03′ 43.7″,6.87,0.41,638,B8,"α2 CVn variable, *V*max = 6.86m, *V*min = 6.92m, *P* = 4.4928 d"
HD 131664,,,131664,73408,15h 00m 06.07s,−73° 32′ 07.2″,8.13,4.38,183.5,G3V,"has a brown dwarf companion, initially thought to be a planet (b)"
HD 137388,,,137388,76351,15h 35m 40s,−80° 12′ 17″,8.71,5.81,124,K0/K1V,has a planet (b)
S Aps,,S,133444,74179,15h 09m 24.53s,−72° 03′ 45.2″,9.6,-1.28,4900,C+,"R CrB variable, *V*max = 9.54m, *V*min = 17.0m, *P* = 66.03 d"
HD 138403,,,138403,,15h 37m 11.18s,−71° 54′ 52.9″,10.47,,,O8(f)ep,central star of planetary nebula He 2-131
Z Aps,,Z,,,14h 06m 54.81s,−71° 22′ 16.8″,11.07,,,,"RV Tau variable, *V*max = 10.7m, *V*min = 12.7m, *P* = 37.89 d"
L 19-2,,MY,,,14h 33m 07.60s,−81° 20′ 14.5″,13.75,,,DA4.1,"ZZ Cet variable, Δ*V* = 0.05m"
"Table legend: 
[TABLE]",,,,,,,,,,,
