Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Capella,α,13,,34029,24608,05h 16m 41.30s,+45° 59′ 56.5″,0.08,-0.48,42,G8III / G0III,"Alhajoth, Alhaior, Althaiot, Alhaiset, Alhatod, Alhojet, Alanac, Alanat, 
Alioc; quadruple star, spectroscopic binary; 11th and 14th brightest stars"
β Aur,β,34,,40183,28360,05h 59m 31.77s,+44° 56′ 50.8″,1.9,-0.1,82,A2V,"Menkalinan, Menkalina; eclipsing spectroscopic binary; Algol variable, *V*
max = 1.89m, *V*min = 1.98m, *P* = 3.96004 d"
θ Aur,θ,37,,40312,28380,05h 59m 43.24s,+37° 12′ 46.0″,2.62,-0.98,173,A0p Si,"Mahasim, Maha-Sim, Manus; α² CVn variable, *V*max = 2.62m, *V*min = 2.70m, 
*P* = 3.6186 d"
ι Aur,ι,3,,31398,23015,04h 56m 59.62s,+33° 09′ 58.1″,2.69,-3.29,512,K3IIvar,"Kabdhilinan, Hassaleh"
ε Aur,ε,7,,31964,23416,05h 01m 58.13s,+43° 49′ 23.9″,3.03,-5.95,2037,F0Ia,"Almaaz, Maaz, Al Maz, Al Anz; long period eclipsing binary; Algol variable, 
*V*max = 2.92m, *V*min = 3.88m, *P* = 9884 d"
η Aur,η,10,,32630,23767,05h 06m 30.87s,+41° 14′ 04.7″,3.18,-0.96,219,B3V,"Haedus II, Hoedus II, Haedus, Maha-Sim"
ζ Aur,ζ,8,,32068,23453,05h 02m 28.68s,+41° 04′ 33.2″,3.69,-3.22,787,K4II comp,"Sadatoni, Saclateni, Haedus I, Hoedus I; eclipsing binary; Algol variable, Δ
*V* = 0.27m, *P* = 972.151 d"
δ Aur,δ,33,,40035,28358,05h 59m 31.55s,+54° 17′ 05.9″,3.72,0.55,140,K0III,"Prajapati, Praja"
ν Aur,ν,32,,39003,27673,05h 51m 29.39s,+39° 08′ 54.5″,3.97,-0.13,215,K0III,
π Aur,π,35,,40239,28404,05h 59m 56.10s,+45° 56′ 12.3″,4.3,-2.76,840,M3IIvar,
κ Aur,κ,44,,43039,29696,06h 15m 22.74s,+29° 29′ 55.4″,4.32,0.75,169,G8IIIvar,
τ Aur,τ,29,,38656,27483,05h 49m 10.46s,+39° 10′ 52.1″,4.51,0.44,213,G8III,
16 Aur,,16,,34334,24727,05h 18m 10.55s,+33° 22′ 19.2″,4.54,0.26,234,K3III...,
λ Aur,λ,15,,34411,24813,05h 19m 08.08s,+40° 06′ 02.4″,4.69,4.18,41,G0V,Al Hurr[1]
χ Aur,χ,25,,36371,25984,05h 32m 43.67s,+32° 11′ 31.3″,4.71,-5.77,4075,B5Iab,
υ Aur,υ,31,,38944,27639,05h 51m 02.41s,+37° 18′ 20.5″,4.72,-1.1,475,M1III,
2 Aur,,2,,30834,22678,04h 52m 38.00s,+36° 42′ 11.5″,4.79,-1.39,561,K3III,
ψ2 Aur,ψ2,50,,47174,31832,06h 39m 19.83s,+42° 29′ 20.4″,4.8,-0.81,432,K3III,part of Dolones (ψ Aur)[1]
μ Aur,μ,11,,33641,24340,05h 13m 25.73s,+38° 29′ 04.8″,4.82,1.33,162,A4m,
63 Aur,,63,,54716,34752,07h 11m 39.29s,+39° 19′ 14.0″,4.91,-0.86,464,K4II-III,
ψ1 Aur,ψ1,46,,44537,30520,06h 24m 53.90s,+49° 17′ 16.4″,4.92,-5.43,3835,K5Iabvar,part of Dolones (ψ Aur)[1]
