Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
"Sirius A B",α,9,,48915,32349,06h 45m 09.25s,−16° 42′ 47.3″,-1.46,1.42,8.6,A0m...,"Alhabor, Aschere, Canicula, the Dog Star; brightest star, 5th nearest star 
system; binary; suspected variable, *V*max = -1.46m, *V*min = -1.41m"
ε CMa,ε,21,,52089,33579,06h 58m 37.55s,−28° 58′ 19.5″,1.5,-4.1,431,B2II,"Adhara, Aoul al Adzari, Prima Virginum[1] part of Al ʽAdhārā or Al Adzari[2]
[3]"
δ CMa,δ,25,,54605,34444,07h 08m 23.49s,−26° 23′ 35.5″,1.83,-6.87,1791,F8Ia,"Wezen, Thalath al Adzari, Tertia Virginum,[1] part of Al ʽAdhārā or Al 
Adzari;[2][3] variable star, Δ*V* = 0.004m, *P* = 24.08478 d"
β CMa,β,2,,44743,30324,06h 22m 41.99s,−17° 57′ 21.3″,1.98,-3.95,499,B1II/III,"Mirzam (Murzim); β Cep variable, *V*max = 1.93m, *V*min = 2m, *P* = 
0.25003 d"
η CMa,η,31,,58350,35904,07h 24m 05.71s,−29° 18′ 11.2″,2.45,-7.51,3196,B5Ia,"Aludra, part of Al ʽAdhārā or Al Adzari;[2][3] α Cyg variable"
ζ CMa,ζ,1,,44402,30122,06h 20m 18.79s,−30° 03′ 48.2″,3.02,-2.05,336,B2.5V,Furud; spectroscopic binary; suspected variable
ο2 CMa,ο2,24,,53138,33977,07h 03m 01.47s,−23° 49′ 59.9″,3.02,-6.46,2567,B3Ia,"Thanih al Adzari, Menkelb Posterior, Secunda Virginum,[1] part of Al 
ʽAdhārā or Al Adzari;[2][3] α Cyg variable"
σ CMa,σ,22,,52877,33856,07h 01m 43.15s,−27° 56′ 05.4″,3.49,-4.37,1216,K4III,"irregular variable, *V*max = 3.43m, *V*min = 3.51m"
κ CMa,κ,13,,50013,32759,06h 49m 50.47s,−32° 30′ 30.6″,3.5,-3.42,789,B1.5IVne,"Hushiba; γ Cas variable, *V*max = 3.40m, *V*min = 3.97m"
ο1 CMa,ο1,16,,50877,33152,06h 54m 07.95s,−24° 11′ 03.2″,3.89,-5.02,1976,K3Iab,"Menkelb Prior; irregular variable, *V*max = 3.78m, *V*min = 3.99m"
ν2 CMa,ν2,7,,47205,31592,06h 36m 41.00s,−19° 15′ 20.6″,3.95,2.46,65,K1III+...,"Yějī (野雞),[4] has a planet (b); suspected variable, *V*max = 3.87m, *V*min 
= 3.96m"
