Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Cae,α,,29875,21770,04h 40m 33.82s,−41° 51′ 48.9″,4.44,2.92,66,F2IV,"binary star; suspected δ Sct variable, *V*max = 4.44m, *V*min = 4.47m"
γ1 Cae,γ1,,32831,23595,05h 04m 24.31s,−35° 28′ 58.3″,4.55,0.78,185,K2III,binary star
β Cae,β,,29992,21861,04h 42m 03.45s,−37° 08′ 41.2″,5.04,2.83,90,F3V,
δ Cae,δ,,28873,21060,04h 30m 50.10s,−44° 57′ 13.5″,5.07,-1.62,710,B2IV-V,Suspected variable star
HD 30080,,,30080,21958,04h 43m 09.31s,−30° 45′ 55.4″,5.66,-1.14,748,K3III,
HD 31093,,,31093,22573,04h 51m 28.20s,−34° 54′ 22.4″,5.82,1.1,286,A2/A3V,binary star
HD 32515,,,32515,23446,05h 02m 22.81s,−31° 46′ 17.5″,5.92,0.9,329,K2III,
HD 32453,,,32453,23377,05h 01m 34.53s,−39° 43′ 05.3″,6.02,0.77,366,G8III,
HD 30432,,,30432,22144,04h 45m 55.50s,−39° 21′ 23.7″,6.04,1.12,315,K1III,
ν Cae,ν,,30985,22488,04h 50m 16.18s,−41° 19′ 15.6″,6.06,2.47,171,F1III-IV,double star
HD 28454,,,28454,20781,04h 27m 05.92s,−46° 56′ 48.6″,6.1,3.54,106,F8V,
HD 31529,,,31529,22847,04h 54m 54.82s,−39° 37′ 43.2″,6.11,-1.35,1012,K3III,
HD 28700,,,28700,20934,04h 29m 20.04s,−46° 30′ 55.3″,6.13,0.73,392,K1III,
λ Cae,λ,,30202,21998,04h 43m 44.26s,−41° 03′ 53.3″,6.24,-0.27,652,K3/K4III,
HD 32820,,,32820,23555,05h 03m 53.94s,−41° 44′ 43.2″,6.3,3.82,102,F8V,
X Cae,γ2,X,32846,23596,05h 04m 26.14s,−35° 42′ 18.7″,6.32,1.27,334,F2IV/V,"δ Sct variable, *V*max = 6.28m, *V*min = 6.39m, *P* = 0.270488 d"
ζ Cae,ζ,,30608,22280,04h 47m 49.56s,−30° 01′ 14.2″,6.35,0.36,513,K0III,
HD 28246,,,28246,20630,04h 25m 19.10s,−44° 09′ 39.8″,6.38,3.54,121,F6V,suspected variable star
HD 29559,,,29559,21525,04h 37m 19.25s,−41° 52′ 23.0″,6.4,1.2,358,A3Vs...,
RV Cae,,RV,28552,20856,04h 28m 09.48s,−41° 57′ 35.4″,6.41,-1.18,1072,M1III,"Semiregular variable, *V*max = 6.44m, *V*min = 6.56m"
RR Cae,,RR,,,04h 21m 06.0s,−48° 39′ 07″,14.4,,,DAZ8+dM,Algol variable; has a planet (b)
"Table legend: 
[TABLE]",,,,,,,,,,,
