Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
δ Cap,δ,49,,207098,107556,21h 47m 02.29s,−16° 07′ 35.6″,2.85,2.49,39,A5mF2 (IV),"Deneb Algiedi, Scheddi; Algol variable, *V*max = 2.81m, *V*min = 3.05m, *P* 
= 1.0227688 d"
β1 Cap,β1,9,,193495,100345,20h 21m 00.65s,−14° 46′ 53.0″,3.05,-2.07,344,A5:n,"Dabih; multiple star system; variable star, Δ*V* = 0.003m, *P* = 1.40657 d"
α2 Cap,α2,6,,192947,100064,20h 18m 03.22s,−12° 32′ 41.5″,3.58,0.97,109,G6/G8III,"Algedi Secunda, Secunda Giedi; suspected variable"
γ Cap,γ,40,,206088,106985,21h 40m 05.34s,−16° 39′ 44.1″,3.69,0.54,139,A7III:mp...,Nashira; α 2 CVn variable
ζ Cap,ζ,34,,204075,105881,21h 26m 40.03s,−22° 24′ 41.0″,3.77,-1.66,398,G4Ibp...,"Yan (燕), Yen;[1] suspected eclipsing binary"
θ Cap,θ,23,,200761,104139,21h 05m 56.78s,−17° 13′ 57.8″,4.08,0.65,158,A1V,"Qin (秦), Tsin,[1] Dorsum"
ω Cap,ω,18,,198542,102978,20h 51m 49.30s,−26° 55′ 08.9″,4.12,-2.3,628,K4III,Baten Algiedi; suspected variable
ψ Cap,ψ,16,,197692,102485,20h 46m 05.77s,−25° 16′ 13.9″,4.13,3.3,48,F5V,"Yue;[1] rotating variable, *V*max = 4.13m, *V*min = 4.14m, *P* = 4.932 d"
ι Cap,ι,32,,203387,105515,21h 22m 14.78s,−16° 50′ 04.4″,4.27,0.18,215,G8III,"Dai (代), Tae;[1] BY Dra variable, Δ*V* = 0.06m"
α1 Cap,α1,5,,192876,100027,20h 17m 38.86s,−12° 30′ 29.6″,4.3,-2.32,686,G3Ib,"Algedi Prima, Prima Giedi; suspected variable"
24 Cap,A,24,,200914,104234,21h 07m 07.69s,−25° 00′ 20.7″,4.49,-1.53,522,K5/M0III,suspected variable
36 Cap,b,36,,204381,106039,21h 28m 43.32s,−21° 48′ 25.8″,4.5,0.8,179,K0III,"Jin (晉), Tsin[1]"
ε Cap,ε,39,,205637,106723,21h 37m 04.82s,−19° 27′ 57.6″,4.51,-2.03,663,B3V:p,"Castra, Kastra; triple star system; γ Cas variable, *V*max = 4.48m, *V*min 
= 4.72m"
κ Cap,κ,43,,206453,107188,21h 42m 39.42s,−18° 51′ 58.7″,4.72,-0.03,291,G8III,
ν Cap,ν,8,,193432,100310,20h 20m 39.81s,−12° 45′ 32.6″,4.77,0.16,272,B9IV,Alshat
ρ Cap,ρ,11,,194943,101027,20h 28m 51.62s,−17° 48′ 49.2″,4.77,2.37,99,F3V,Bos
η Cap,η,22,,200499,104019,21h 04m 24.32s,−19° 51′ 17.8″,4.82,1.39,158,A5V,"Armus, Zhou (周), Chow[1]"
μ Cap,μ,51,,207958,108036,21h 53m 17.58s,−13° 33′ 06.5″,5.07,2.87,90,F3IV,"Kuh;[1] suspected variable, Δ*V* = 0.03m"
