Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Canopus,α,,45348,30438,06h 23m 57.09s,−52° 41′ 44.6″,-0.72,-5.53,313,F0Ib,"Suhel;[1] 2nd brightest star, nearest supergiant"
β Car,β,,80007,45238,09h 13m 12.24s,−69° 43′ 02.9″,1.67,-0.99,111,A2IV,Miaplacidus
ε Car,ε,,71129,41037,08h 22m 30.86s,−59° 30′ 34.3″,1.86,-4.58,632,K3III+B2V,"Avior; suspected eclipsing binary, *V*max = 1.82m, *V*min = 1.94m"
ι Car,ι,,80404,45556,09h 17m 05.43s,−59° 16′ 30.9″,2.23,-4.43,692,A8Ib,"Aspidiske, Turais, Scutulum; suspected variable, *V*max = 2.23m, *V*min = 
2.28m"
θ Car,θ,,93030,52419,10h 42m 57.43s,−64° 23′ 40.1″,2.74,-2.91,439,B0Vp,in IC 2602
υ Car A,υ,,85123,48002,09h 47m 06.14s,−65° 04′ 19.3″,2.92,-5.56,1622,A9,binary star
ω Car,ω,,89080,50099,10h 13m 44.28s,−70° 02′ 16.5″,3.29,-1.99,370,B8III,Simiram
p Car,p,PP,91465,51576,10h 32m 01.48s,−61° 41′ 07.3″,3.3,-2.62,497,B4Vne,"γ Cas variable, *V*max = 3.22m, *V*min = 3.55m"
V337 Car,q,V337,89388,50371,10h 17m 05.01s,−61° 19′ 56.4″,3.39,-3.38,736,K3II,"irregular variable, *V*max = 3.36m, *V*min = 3.44m"
a Car,a,V357,79351,45080,09h 10m 58.11s,−58° 58′ 00.9″,3.43,-2.11,418,B2IV,"eclipsing binary, *V*max = 3.41m, *V*min = 3.44m"
χ Car,χ,,65575,38827,07h 56m 46.74s,−52° 58′ 56.6″,3.46,-1.91,387,B3IVp,"β Cep variable, Δ*V* = 0.015m, *P* = 0.10 d"
l Car,l,,84810,47854,09h 45m 14.83s,−62° 30′ 28.5″,3.69,-4.64,1509,G5Iab/Ib,"classical Cepheid, *V*max = 3.28m, *V*min = 4.18m, *P* = 35.54 d"
HD 94510,u,,94510,53253,10h 53m 29.57s,−58° 51′ 11.8″,3.78,1.42,97,K0III-IV...,"suspected variable, *V*max = 3.75m, *V*min = 3.80m"
HD 90853,s,,90853,51232,10h 27m 52.75s,−58° 44′ 21.9″,3.81,-3.71,1042,F2II,suspected variable
HD 76728,c,,76728,43783,08h 55m 02.86s,−60° 38′ 41.0″,3.84,-1.06,312,B8III,double star
V382 Car,x,V382,96918,54463,11h 08m 35.40s,−58° 58′ 30.2″,3.93,-7.37,5927,G0Ia0,"hypergiant; slow irregular variable, *V*max = 3.77m, *V*min = 4.05m"
HD 79447,i,,79447,45101,09h 11m 16.77s,−62° 19′ 01.3″,3.96,-1.97,499,B3IV,"variable star, Δ*V* = 0.008m, *P* = 22.26 d"
HD 90589,I,,90589,50954,10h 24m 23.74s,−74° 01′ 53.6″,3.99,2.94,53,F2IV,"suspected variable, *V*max = 3.96m, *V*min = 4.00m"
HD 83183,h,,83183,46974,09h 34m 26.66s,−59° 13′ 47.2″,4.08,-4.83,1976,B5II,
V343 Car,d,V343,74375,42568,08h 40m 37.04s,−59° 45′ 39.7″,4.31,-3.87,1411,B1.5III,β Cep variable
HD 80230,g,,80230,45496,09h 16m 12.10s,−57° 32′ 29.2″,4.34,-1.74,536,M1III,"suspected variable, *V*max = 4.31m, *V*min = 4.35m"
HD 47306,N,,47306,31407,06h 34m 58.59s,−52° 58′ 32.3″,4.35,-4.31,1762,B9III,
HR 2554,A,V415,50337,32761,06h 49m 51.32s,−53° 37′ 21.0″,4.39,-1.74,553,G6II,"Algol variable, Δ*V* = 0.06m"
HD 91942,r,,91942,51849,10h 35m 35.31s,−57° 33′ 27.5″,4.45,-3.68,1376,K3/K4II,suspected variable
η Car,η,,93308,,10h 45m 03.60s,−59° 41′ 03.0″,4.47,,7500,LBV,"in Trumpler 16; binary star; luminous blue variable, *V*max = −0.8m, *V*min 
= 7.9m; surrounded by the Homunculus Nebula; one of the most luminous and 
most massive stars known."
HR 3643,G,,78791,44599,09h 05m 08.83s,−72° 36′ 09.7″,4.47,-1.25,454,F6II-III,
V344 Car,f,V344,75311,43105,08h 46m 42.56s,−56° 46′ 11.3″,4.5,-1.62,546,B3Vne,"γ Cas variable, *V*max = 4.40m, *V*min = 4.51m"
HD 83944,m,,83944,47391,09h 39m 21.04s,−61° 19′ 41.2″,4.51,0.33,224,B9V,suspected variable
V520 Car,w,V520,93070,52468,10h 43m 32.31s,−60° 33′ 59.9″,4.58,-2.99,1065,K3Ib,"irregular variable, *V*max = 4.50m, *V*min = 4.59m"
V533 Car,y,V533,97534,54751,11h 12m 36.02s,−60° 19′ 03.5″,4.59,-8.34,12538,A6Ia,α Cyg variable
HD 96566,z1,,96566,54301,11h 06m 32.47s,−62° 25′ 26.9″,4.62,-0.65,370,G8III,
V399 Car,P,V399,90772,51192,10h 27m 24.48s,−57° 38′ 19.7″,4.65,,,A6Ia,"semiregular variable, *V*max = 4.63m, *V*min = 4.72m, *P* = 88.3 d"
V345 Car,E,V345,78764,44626,09h 05m 38.38s,−70° 32′ 18.7″,4.67,-2.94,1079,B2IVe,"γ Cas variable, *V*max = 4.67m, *V*min = 4.78m, *P* = 137.7 d"
HD 92397,t2,,92397,52102,10h 38m 45.01s,−59° 10′ 58.8″,4.69,-4.08,1852,K4/K5III:,suspected variable
HD 91375,K,,91375,51438,10h 30m 20.08s,−71° 59′ 33.8″,4.72,0.22,259,A2III,
HR 3220,B,,68456,39903,08h 09m 00.86s,−61° 18′ 06.1″,4.74,3.09,70,F5V,
V518 Car,,V518,92938,52370,10h 42m 14.14s,−64° 27′ 59.2″,4.76,-0.97,456,B3V,in IC 2602; γ Cas variable
HD 81101,k,,81101,45856,09h 20m 56.83s,−62° 24′ 16.7″,4.79,0.62,223,G6III,
HD 93194,,,93194,52502,10h 44m 06.94s,−63° 57′ 40.0″,4.8,-1.06,484,B5Vn,"in IC 2602; suspected irregular variable, *V*max = 4.79m, *V*min = 4.84m"
HD 66591,D,,66591,39138,08h 00m 19.97s,−63° 34′ 03.0″,4.81,-1.29,542,B3V,suspected variable
HD 73389,e2,,73389,42134,08h 35m 19.65s,−58° 00′ 33.5″,4.84,0.6,229,K0III,
HD 93607,,,93607,52736,10h 46m 51.24s,−64° 23′ 00.6″,4.87,-0.83,449,B3IV,in IC 2602; suspected variable
HD 61248,Q,,61248,36942,07h 35m 39.70s,−52° 32′ 01.7″,4.93,-0.48,394,K3III,suspected variable
V376 Car,b1,V376,77002,43937,08h 56m 58.43s,−59° 13′ 45.7″,4.93,-1.47,621,B2IV-V,"β Cep variable, *V*max = 4.91m, *V*min = 4.96m, *P* = 0.021 d"
HD 91496,,,91496,51495,10h 31m 02.07s,−73° 13′ 17.4″,4.94,-2.42,964,K4/K5III,"suspected variable, *V*max = 4.87m, *V*min = 4.97m"
HD 90264,L,,90264,50847,10h 22m 58.18s,−66° 54′ 05.5″,4.97,-0.63,430,B8V,
HD 92063,t1,,92063,51912,10h 36m 20.56s,−59° 33′ 51.5″,5.08,0.5,269,K1III,
HD 59219,,,59219,36114,07h 26m 21.86s,−51° 01′ 06.6″,5.09,-1.09,562,K0III,
HD 96919,z2,V371,96919,54461,11h 08m 34.01s,−61° 56′ 49.8″,5.12,-6.03,5525,B9Ia,"α Cyg variable, *V*max = 5.12m, *V*min = 5.19m"
HD 53047,,,53047,33779,07h 00m 51.51s,−51° 24′ 09.5″,5.14,-1.25,617,M1III,semiregular variable
V386 Car,,V386,54118,34105,07h 04m 18.32s,−56° 44′ 59.0″,5.14,0.45,282,A0p:,"α2 CVn variable, Δ*V* = 0.026m, *P* = 3.28 d"
HD 88981,M,,88981,50083,10h 13m 30.68s,−66° 22′ 22.2″,5.15,0.31,304,Am,
HD 69863,C,,69863,40429,08h 15m 15.95s,−62° 54′ 56.2″,5.16,0.81,242,A+...,binary star
HD 77370,b2,,77370,44143,08h 59m 24.38s,−59° 05′ 03.8″,5.17,3.08,85,F3V,
HR 3153,,V460,66342,39070,07h 59m 37.55s,−60° 35′ 13.5″,5.19,-2.34,1045,M0II,"in NGC 2516; semiregular variable, *V*max = 5.15m, *V*min = 5.3m"
HD 97583,,,97583,54767,11h 12m 45.27s,−64° 10′ 11.2″,5.22,0.3,314,B9V,double star
HD 93549,,,93549,52701,10h 46m 29.61s,−64° 15′ 47.7″,5.23,-0.37,429,B7IV,in IC 2602
HD 88323,,,88323,49698,10h 08m 42.84s,−65° 48′ 55.9″,5.26,0.16,341,K0III,optical double
V524 Car,,V524,94367,53154,10h 52m 30.85s,−57° 14′ 25.5″,5.26,-6.08,6037,B9Ia,α Cyg variable
HD 73390,e1,,73390,42129,08h 35m 15.58s,−58° 13′ 29.1″,5.27,-2.08,962,B3V+...,
HD 91056,,,91056,51313,10h 28m 52.60s,−64° 10′ 20.2″,5.27,-4.64,3135,K3Ib,slow irregular variable
HD 80951,,,80951,45581,09h 17m 25.21s,−74° 53′ 39.8″,5.28,-1.44,721,A1V,
HD 84121,,,84121,47479,09h 40m 42.60s,−57° 59′ 00.9″,5.3,1.16,220,A3IV,
HD 93540,,,93540,52678,10h 46m 16.58s,−64° 30′ 52.5″,5.33,-0.45,466,B7:V,in IC 2602; suspected variable
HD 92964,,V519,92964,52405,10h 42m 40.57s,−59° 12′ 56.8″,5.36,-6.23,6792,B2.5Ia,"α Cyg variable, *V*max = 5.32m, *V*min = 5.43m, *P* = 14.68 d"
HD 57917,,,57917,35589,07h 20m 38.81s,−52° 05′ 09.3″,5.38,-0.52,493,B9V,
