Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Cet,β,16,70,,4128,3419,00h 43m 35.23s,−17° 59′ 12.1″,2.04,-0.3,96,K0III,"Deneb Kaitos, Diphda, Difda al Thani, Rana Secunda; suspected variable"
α Cet,α,92,310,,18884,14135,03h 02m 16.78s,+04° 05′ 23.7″,2.54,-1.61,220,M2III,"Menkar, Menkab, Mekab, Monkar; irregular variable, *V*max = 2.45m, *V*min = 
2.54m"
Mira,ο,68,233,,14386,10826,02h 19m 20.79s,−02° 58′ 37.4″,3.04,-2.6,418,M5e-M9e,"Mira Ceti, Collum Ceti; prototype of Mira variables, *V*max = 2.0m, *V*min 
= 10.1m, *P* = 331.96 d; has a white dwarf companion"
η Cet,η,31,111,,6805,5364,01h 08m 35.26s,−10° 10′ 54.9″,3.46,0.67,118,K2III,"Deneb Algenubi, Dheneb, Deneb, Aoul al Naamat, Prima Struthionum,[1] part 
of Al Naʽāmāt;[2][3] spectroscopic binary, has a planet (b)"
γ Cet,γ,86,291,,16970,12706,02h 43m 18.12s,+03° 14′ 10.2″,3.47,1.47,82,A3V,Kaffaljidhmah; binary star
τ Cet,τ,52,177,,10700,8102,01h 44m 05.13s,−15° 56′ 22.4″,3.49,5.68,12,G8V,"Durre Menthor or Al Durr al Manthur, Thalath al Naamat, Tertia Struthionum,
[1] part of Al Naʽāmāt;,[2][3] has five planets (b, c, d, e and f)"
ι Cet,ι,8,33,,1522,1562,00h 19m 25.68s,−08° 49′ 25.8″,3.56,-1.18,290,K2III,"Schemali, Deneb Kaitos Shemali; suspected variable"
θ Cet,θ,45,136,,8512,6537,01h 24m 01.45s,−08° 10′ 57.9″,3.6,0.87,114,K0III,"Thanih al Naamat, Altawk, Secunda Struthionum,[1] part of Al Naʽāmāt;[2][3] spectroscopic 
binary"
ζ Cet,ζ,55,185,,11353,8645,01h 51m 27.61s,−10° 20′ 05.8″,3.74,-0.76,259,K2III,"Baten Kaitos, Rabah al Naamat, Quarta Struthionum,[1] part of Al Naʽāmāt;[2]
[3] spectroscopic binary; spectroscopic binary"
υ Cet,υ,59,197,,12274,9347,02h 00m 00.22s,−21° 04′ 40.0″,3.99,-0.83,301,K5/M0III,part of Al Naʽāmāt;[2][3] spectroscopic binary
δ Cet,δ,82,283,,16582,12387,02h 39m 28.95s,+00° 19′ 42.7″,4.08,-2.41,647,B2IV,"β Cep variable, *V*max = 4.05m, *V*min = 4.10m, *P* = 0.161137 d"
π Cet,π,89,296,,17081,12770,02h 44m 07.35s,−13° 51′ 31.2″,4.24,-1.41,441,B7IV,Al Sadr al Ketus
μ Cet,μ,87,295,,17094,12828,02h 44m 56.37s,+10° 06′ 51.2″,4.27,2.21,84,F1III-IV,suspected variable
ξ2 Cet,ξ2,73,251,,15318,11484,02h 28m 09.52s,+08° 27′ 36.3″,4.3,0.64,176,B9III,
ξ1 Cet,ξ1,65,223,,13611,10324,02h 13m 00.01s,+08° 50′ 48.3″,4.36,-0.87,362,G8II:,suspected variable
7 Cet,,7,25,AE,1038,1170,00h 14m 38.43s,−18° 55′ 57.7″,4.44,-1.46,492,M1III,"AE Cet; irregular variable, *V*max = 4.26m, *V*min = 4.46m"
2 Cet,,2,6,,225132,301,00h 03m 44.37s,−17° 20′ 09.5″,4.55,0.33,228,B9IVn,
χ Cet A,χ,53,182,,11171,8497,01h 49m 35.19s,−10° 41′ 10.3″,4.66,2.79,77,F3III,binary star
λ Cet,λ,91,308,,18604,13954,02h 59m 42.90s,+08° 54′ 26.6″,4.71,-0.86,424,B6III,Menkar
σ Cet,σ,76,261,,15798,11783,02h 32m 05.28s,−15° 14′ 39.6″,4.74,2.68,84,F5V,
φ1 Cet,φ1,17,72,,4188,3455,00h 44m 11.41s,−10° 36′ 33.4″,4.77,0.73,210,K0IIIvar,part of Al Nitham (φ Cet); suspected variable
20 Cet,,20,89,,5112,4147,00h 53m 00.49s,−01° 08′ 39.2″,4.78,-1.23,519,M0III,
ε Cet,ε,83,284,,16620,12390,02h 39m 33.73s,−11° 52′ 17.7″,4.83,2.67,88,F5V,
κ1 Cet,κ1,96,319,,20630,15457,03h 19m 21.54s,+03° 22′ 11.9″,4.84,5.03,30,G5Vvar,"BY Dra variable, Δ*V* = 0.04m"
ν Cet,ν,78,270,,16161,12093,02h 35m 52.49s,+05° 35′ 35.9″,4.87,-0.42,372,G8III,double star
ρ Cet,ρ,72,247,,15130,11345,02h 25m 57.01s,−12° 17′ 25.6″,4.88,-1.17,528,A0V,
6 Cet,,6,15,,693,910,00h 11m 15.91s,−15° 28′ 02.4″,4.89,3.51,62,F5V,
46 Cet,,46,141,,8705,6670,01h 25m 37.21s,−14° 35′ 55.5″,4.9,0.17,288,K2III,
56 Cet,,56,190,,11930,9061,01h 56m 40.16s,−22° 31′ 36.2″,4.92,-0.52,399,K3III,
175 G. Cet,,,175,,10550,7999,01h 42m 43.52s,−03° 41′ 24.4″,4.98,-2.86,1203,K3II-III,
3 Cet,,3,8,,225212,355,00h 04m 30.12s,−10° 30′ 34.2″,4.99,-3.47,1606,K3Ibvar,suspected variable
94 Cet,,94,316,,19994,14954,03h 12m 46.32s,−01° 11′ 45.4″,5.07,3.32,73,F8V,has a planet (b)
48 Cet,,48,157,,9132,6960,01h 29m 36.10s,−21° 37′ 45.6″,5.11,0.95,221,A0V,double star
AD Cet,,,22,,1014,1158,00h 14m 27.59s,−07° 46′ 49.9″,5.13,-1.29,626,M3IIIvar,"irregular variable, *V*max = 4.90m, *V*min = 5.16m"
37 Cet,,37,118,,7439,5799,01h 14m 23.97s,−07° 55′ 24.6″,5.14,3.2,79,F5V,suspected variable
49 G. Cet,,,49,,2696,2381,00h 30m 22.67s,−23° 47′ 15.8″,5.17,1.46,180,A3V,
φ2 Cet,φ2,19,84,,4813,3909,00h 50m 07.72s,−10° 38′ 37.6″,5.17,4.22,50,F7IV-V,part of Al Nitham (φ Cet)
13 Cet,,13,54,BU,3196,2762,00h 35m 14.64s,−03° 35′ 33.9″,5.2,3.58,69,F8V...,"BU Cet; RS CVn variable, Δ*V* = ~0.10m"
73 G. Cet,,,73,,4247,3505,00h 44m 44.44s,−22° 00′ 22.8″,5.22,3,91,F0V,
259 G. Cet,,,259,,15694,11738,02h 31m 30.08s,+02° 16′ 01.9″,5.27,-0.55,476,K3III,
18 G. Cet,,,18,,787,983,00h 12m 09.95s,−17° 56′ 17.6″,5.29,-1.08,612,K4III,
69 Cet,,69,236,,14652,11021,02h 21m 56.64s,+00° 23′ 44.5″,5.29,-2.73,1309,M2III,
φ3 Cet,φ3,22,94,,5437,4371,00h 56m 01.51s,−11° 15′ 59.4″,5.35,-0.67,522,K4III,part of Al Nitham (φ Cet)
75 Cet,,75,260,,15779,11791,02h 32m 09.44s,−01° 02′ 05.3″,5.36,0.8,266,G3III:,has a planet (b)
179 G. Cet,,,179,,10824,8230,01h 45m 59.27s,−05° 43′ 59.6″,5.37,-0.6,509,K4III,
25 Cet,,25,102,,6203,4914,01h 03m 02.60s,−04° 50′ 10.9″,5.4,-0.1,410,K0III-IV,
50 Cet,,50,169,,9856,7450,01h 35m 58.96s,−15° 24′ 00.8″,5.41,-0.72,549,K1III,
39 Cet,,39,121,AY,7672,5951,01h 16m 36.35s,−02° 30′ 00.8″,5.42,0.95,256,G5III-IVe,"AY Cet; RS CVn variable, *V*max = 5.35m, *V*min = 5.58m; spectroscopic 
binary"
60 Cet,,60,201,,12573,9589,02h 03m 11.61s,+00° 07′ 42.4″,5.42,0.69,288,A5III,
70 Cet,,70,237,,14690,11046,02h 22m 12.41s,−00° 53′ 05.1″,5.42,0.76,279,F0Vn,
57 Cet,,57,196,,12255,9326,01h 59m 46.19s,−20° 49′ 28.5″,5.43,-1.13,668,M0/M1III,
AR Cet,,,198,,12292,9372,02h 00m 26.77s,−08° 31′ 25.8″,5.43,-0.87,593,M3III,"semiregular variable, *V*max = 5.40m, *V*min = 5.61m"
238 G. Cet,,,238,,14691,11029,02h 22m 01.44s,−10° 46′ 38.4″,5.43,3.05,97,F0V,
88 G. Cet,,,88,,5098,4104,00h 52m 40.60s,−24° 00′ 21.3″,5.47,-0.46,500,K1III,
77 G. Cet,,,77,,4398,3607,00h 46m 11.63s,−22° 31′ 19.4″,5.49,0.44,333,G8/K0III,
47 Cet,,47,145,,8829,6748,01h 26m 51.56s,−13° 03′ 23.5″,5.51,2.71,118,F0V,
67 Cet,,67,231,,14129,10642,02h 16m 58.99s,−06° 25′ 18.7″,5.51,0.42,340,G8III,
80 Cet,,80,271,,16212,12107,02h 36m 00.07s,−07° 49′ 53.2″,5.53,-0.47,517,M0III,
EL Cet,g,,315,EL,19926,14915,03h 12m 26.37s,+06° 39′ 39.2″,5.55,-1.34,780,K1IIIpe+...,"g Tauri; irregular variable, Δ*V* = 0.04m; multiple star"
59 G. Cet,,,59,,3443,2941,00h 37m 19.79s,−24° 46′ 02.0″,5.57,4.61,51,K1V+...,
79 G. Cet,,,79,,4622,3741,00h 48m 01.05s,−21° 43′ 20.9″,5.57,-0.29,485,B9V,
28 Cet,,28,105,,6530,5164,01h 06m 05.13s,−09° 50′ 21.7″,5.58,-0.73,595,A1V,
