Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Cir,α,,128898,71908,14h 42m 30.69s,−64° 58′ 28.5″,3.18,2.11,53,F1Vp,"rapidly oscillating Ap star, *V*max = 3.17m, *V*min = 3.19m, *P* = 
0.004740 d"
β Cir,β,,135379,74824,15h 17m 30.96s,−58° 48′ 03.2″,4.07,1.71,97,A3Va,has a planet (b)
γ Cir,γ,,136415,75323,15h 23m 22.66s,−59° 19′ 14.5″,4.48,-1.49,509,B5III + F8,"γ Cas variable, *V*max = 4.43m, *V*min = 4.52m; double star"
ε Cir,ε,,135291,74837,15h 17m 38.89s,−63° 36′ 37.8″,4.85,-0.44,373,K2.5III,
δ Cir,δ,,135240,74778,15h 16m 56.90s,−60° 57′ 26.1″,5.04,-6.42,6392,O8.5V,"Algol variable, *V*max = 5.04m, *V*min = 5.20m, *P* = 3.902476 d"
θ Cir,θ,,131492,73129,14h 56m 44.00s,−62° 46′ 51.6″,5.08,-1.96,834,B4Vnp,"emission-line star; γ Cas variable, *V*max = 4.81m, *V*min = 5.65m"
η Cir,η,,132905,73776,15h 04m 48.05s,−64° 01′ 52.9″,5.16,0.59,267,G8III,
HD 131342,,,131342,73036,14h 55m 34.71s,−60° 06′ 50.0″,5.18,1.56,173,K1III,
HD 129422,,,129422,72131,14h 45m 17.25s,−62° 52′ 31.6″,5.36,2.05,150,A7Vn,double star
HD 135591,,,135591,74941,15h 18m 49.15s,−60° 29′ 46.8″,5.43,-13.06,163000,O7Iab:,triple star
HD 125835,,,125835,70492,14h 25m 06.34s,−68° 11′ 43.2″,5.56,-4.6,3505,A3Ib,"α Cyg variable, *V*max = 5.57m, *V*min = 5.61m"
HD 136359,,,136359,75308,15h 23m 10.60s,−60° 39′ 25.6″,5.65,2.55,136,F7V,
HD 124471,,,124471,69763,14h 16m 38.73s,−66° 35′ 16.4″,5.72,-3.52,2296,B1.5III,double star
HD 120404,,,120404,67664,13h 51m 47.42s,−69° 24′ 04.5″,5.73,-1.26,815,K5/M0III,"variable star, Δ*V* = 0.011m, *P* = 172.11704 d"
HD 120913,,,120913,67942,13h 54m 49.14s,−67° 39′ 07.4″,5.74,-2.21,1268,K2III,
