Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Cnc,β,17,,69267,40526,08h 16m 30.95s,+09° 11′ 08.4″,3.53,-1.22,290,K4III,"Al Tarf; variable star, Δ*V* = 0.005m, *P* = 6.01 d, has a planet (b)"
δ Cnc,δ,47,,74442,42911,08h 44m 41.11s,+18° 09′ 17.5″,3.94,0.84,136,K0III,Asellus Australis
ι Cnc A,ι,48,,74739,43103,08h 46m 41.83s,+28° 45′ 36.0″,4.03,-0.77,298,G8Iab:,component of the ι Cnc system
α Cnc,α,65,,76756,44066,08h 58m 29.20s,+11° 51′ 28.0″,4.26,0.63,173,A5m,"Acubens, Sertan; suspected variable, *V*max = 4.20m, *V*min = 4.27m"
γ Cnc,γ,43,,74198,42806,08h 43m 17.21s,+21° 28′ 06.9″,4.66,1.23,181,A1IV,Asellus Borealis
ζ Cnc,ζ,16,,"68255
68256
68257",40167,08h 12m 12.71s,+17° 38′ 53.3″,4.67,2.63,83,"F7V+F9V
+G0V+?","Tegmine, quaternary star"
HD 71115,,,,71115,41325,08h 25m 54.79s,+07° 33′ 52.3″,5.13,-0.08,359,G8II,double star
8 Cnc,,8,,66664,39567,08h 05m 04.51s,+13° 07′ 06.1″,5.14,1.09,210,A1V,
χ Cnc,χ,18,,69897,40843,08h 20m 03.87s,+27° 13′ 07.0″,5.14,3.84,59,F6V,suspected variable
ξ Cnc,ξ,77,,78515,44946,09h 09m 21.53s,+22° 02′ 43.6″,5.16,-0.18,380,K0III,
ο1 Cnc,ο1,62,,76543,43970,08h 57m 14.91s,+15° 19′ 21.8″,5.22,1.77,160,A5III,α2 CVn variable
ρ2 Cnc,ρ2,58,,76219,43834,08h 55m 39.69s,+27° 55′ 39.2″,5.23,-1,574,G8II-III,
σ3 Cnc,σ3,64,,76813,44154,08h 59m 32.68s,+32° 25′ 07.1″,5.23,0.27,320,G9III,suspected variable
κ Cnc,κ,76,,78316,44798,09h 07m 44.82s,+10° 40′ 05.6″,5.23,-0.63,484,B8IIImnp,"α2 CVn variable, *V*max = 5.22m, *V*min = 5.27m, *P* = 5.0035 d"
μ2 Cnc,μ2,10,,67228,39780,08h 07m 45.84s,+21° 34′ 55.1″,5.3,3.46,76,G2IV,
θ Cnc,θ,31,,72094,41822,08h 31m 35.77s,+18° 05′ 40.4″,5.33,-0.57,494,K5III,suspected variable
η Cnc,η,33,,72292,41909,08h 32m 42.52s,+20° 26′ 28.6″,5.33,0.43,312,K3III,
82 Cnc,π2,82,,79554,45410,09h 15m 13.88s,+14° 56′ 29.5″,5.36,-1.3,701,K1III,
57 Cnc,,57,,75959,43721,08h 54m 14.70s,+30° 34′ 45.0″,5.4,0.15,365,G7III,
τ Cnc,τ,72,,78235,44818,09h 08m 00.07s,+29° 39′ 15.2″,5.42,0.91,260,G8III,
60 Cnc,,60,,76351,43851,08h 55m 55.56s,+11° 37′ 33.8″,5.44,-0.82,582,K5III,
σ2 Cnc,σ2,59,,76398,43932,08h 56m 56.63s,+32° 54′ 38.1″,5.44,1.56,195,A7IV,
ν Cnc,ν,69,,77350,44405,09h 02m 44.27s,+24° 27′ 10.6″,5.45,-0.28,457,A0pSi,"α2 CVn variable, *V*max = 5.33m, *V*min = 5.49m, *P* = 4.20 d"
27 Cnc,,27,BP,71250,41400,08h 26m 43.95s,+12° 39′ 17.5″,5.56,-1.98,1052,M3III,"semiregular variable, *V*max = 5.41m, *V*min = 5.75m, *P* = 40 d"
φ1 Cnc,φ1,22,,71093,41377,08h 26m 27.73s,+27° 53′ 37.9″,5.58,0.15,398,K5III,
3 Cnc,,3,,65759,39177,08h 00m 47.31s,+17° 18′ 31.4″,5.6,-1.12,721,K3III,
15 Cnc,,15,BM,68351,40240,08h 13m 08.87s,+29° 39′ 23.7″,5.62,-1.52,872,B9p SiCr,"α2 CVn variable, *V*max = 5.53m, *V*min = 5.65m, *P* = 3.31 d"
45 Cnc,A1,45,,74228,42795,08h 43m 12.34s,+12° 40′ 51.1″,5.62,-1.87,1028,A3V+...,suspected variable
49 Cnc,b,49,BI,74521,42917,08h 44m 45.04s,+10° 04′ 54.2″,5.63,0.15,408,A1p...,"α2 CVn variable, *V*max = 5.58m, *V*min = 5.71m, *P* = 6.91 d"
