Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α CrB,α,5,,139006,76267,15h 34m 41.19s,+26° 42′ 53.7″,2.22,0.42,75,A0V,"Alphecca, Alphacca, Alphekka, Gemma, Gnosia, Gnosia Stella Coronae, 
Asteroth, Ashtaroth; Algol variable"
β CrB,β,3,,137909,75695,15h 27m 49.85s,+29° 06′ 19.8″,3.66,0.94,114,F0p,"Nusakan; α² CVn variable, *V*max = 3.65m, *V*min = 3.72m, *P* = 18.487 d"
γ CrB,γ,8,,140436,76952,15h 42m 44.64s,+26° 17′ 43.9″,3.81,0.57,145,A1Vs,"δ Sct variable, *V*max = 3.8m, *V*min = 3.86m, *P* = 0.03 d"
θ CrB,θ,4,,138749,76127,15h 32m 55.80s,+31° 21′ 33.0″,4.14,-0.76,311,B6Vnn,"Be star, *V*max = 4.06m, *V*min = 4.33m"
ε CrB,ε,13,,143107,78159,15h 57m 35.30s,+26° 52′ 40.9″,4.14,-0.1,230,K3III,has a planet (b)
δ CrB,δ,10,,141714,77512,15h 49m 35.70s,+26° 04′ 06.8″,4.59,1.06,165,G5III-IV,"RS CVn variable, *V*max = 4.57m, *V*min = 4.69m"
ζ2 CrB,ζ2,7,,139891,76669,15h 39m 22.68s,+36° 38′ 09.0″,4.64,-1.17,473,B7V+...,
τ CrB,τ,16,,145328,79119,16h 08m 58.33s,+36° 29′ 24.4″,4.73,2.03,113,K0III-IV,"suspected variable, *V*max = 4.72m, *V*min = 4.82m"
κ CrB,κ,11,,142091,77655,15h 51m 13.94s,+35° 39′ 29.6″,4.79,2.32,101,K0III-IV,has a planet (b)
ξ CrB,ξ,19,,147677,80181,16h 22m 05.89s,+30° 53′ 30.2″,4.86,1.11,184,K0III,suspected variable
ι CrB,ι,14,,143807,78493,16h 01m 26.59s,+29° 51′ 03.9″,4.98,-0.18,351,A0p...,"suspected α2 CVn variable, *V*max = 4.96m, *V*min = 5.08m"
η CrB A,η,2,,137107,75312,15h 23m 12.23s,+30° 17′ 17.7″,4.99,3.64,61,G2V,"double star; suspected variable, *V*max = 4.94m, *V*min = 5.02m"
μ CrB,μ,6,,139153,76307,15h 35m 14.90s,+39° 00′ 36.2″,5.14,-1.08,571,M2III,"variable star, Δ*V* = 0.015m, *P* = 40.73320 d"
ν1 CrB,ν1,20,,147749,80197,16h 22m 21.42s,+33° 47′ 56.9″,5.2,-0.96,555,M2III,"variable star, Δ*V* = 0.011m, *P* = 4.41014 d"
ρ CrB,ρ,15,,143761,78459,16h 01m 02.80s,+33° 18′ 19.4″,5.39,4.18,57,G2V,"has a companion, has two planets (b & c), now thought to be a low mass star."
ν2 CrB,ν2,21,,147767,80214,16h 22m 29.22s,+33° 42′ 12.1″,5.4,-0.72,545,K5III,suspected variable
λ CrB,λ,12,,142908,78012,15h 55m 47.57s,+37° 56′ 48.3″,5.43,2.34,135,F0IV,"suspected variable, *V*max = 5.37m, *V*min = 5.44m"
ο CrB,ο,1,,136512,75049,15h 20m 08.64s,+29° 36′ 58.7″,5.51,0.89,274,K0III,has a planet (b)
σ CrB A,σ2,17,TZ,146361,79607,16h 14m 41.04s,+33° 51′ 31.8″,5.56,3.78,71,F8V,"RS CVn variable, *V*max = 5.54m, *V*min = 5.69m, *P* = 1.1397912 d"
π CrB,π,9,,140716,77048,15h 43m 59.32s,+32° 30′ 57.0″,5.57,1.16,249,G9III:,
HD 143435,,,,143435,78276,15h 58m 57.70s,+36° 38′ 37.3″,5.61,-1.59,898,K5III,suspected variable
HD 145849,,,,145849,79358,16h 11m 48.06s,+36° 25′ 30.6″,5.62,-0.74,610,K3III SB,
HD 144208,,,,144208,78649,16h 03m 19.36s,+36° 37′ 54.6″,5.79,-0.84,691,A2V+...,
υ CrB,υ,18,,146738,79757,16h 16m 44.77s,+29° 09′ 01.1″,5.8,-1.22,825,A3V,"suspected variable, *V*max = 5.78m, *V*min = 5.88m"
R CrB,,,R,141527,77442,15h 48m 34.42s,+28° 09′ 24.4″,5.89,-5.45,6037,"C0,0 (F8pe)","prototype R CrB variable, *V*max = 5.71m, *V*min = 15.2m"
η CrB B,η,2,,137108,,15h 23m 12.30s,+30° 17′ 16.0″,6.08,,,,component of the η CrB system
HD 139761,,,,139761,76617,15h 38m 48.86s,+34° 40′ 30.3″,6.12,0.37,460,K0,
HD 146537,,,,146537,79686,16h 15m 47.34s,+27° 25′ 19.8″,6.14,0.48,442,K2,
HD 139284,,,,139284,76366,15h 35m 49.19s,+38° 22′ 26.2″,6.3,-0.31,683,K2,
HD 145802,,,,145802,79350,16h 11m 39.60s,+33° 20′ 33.8″,6.3,0.31,515,K2III,suspected variable
HD 136403,,,,136403,75000,15h 19m 30.07s,+32° 30′ 53.6″,6.33,1.67,278,A2m,
HD 138525,,,,138525,76006,15h 31m 22.31s,+36° 37′ 00.0″,6.39,2.19,225,F6III,
HD 145957,,,,145957,79385,16h 12m 06.55s,+39° 03′ 20.1″,6.39,-0.73,867,K0,
HD 141456,,,,141456,77397,15h 48m 01.79s,+31° 44′ 08.6″,6.41,-0.6,823,K5,"variable star, Δ*V* = 0.008m, *P* = 9.14829 d"
23 Her,,-23,,147835,80247,16h 22m 56.48s,+32° 19′ 58.9″,6.41,0.42,515,A4Vn,
HD 138341,,,,138341,75919,15h 30m 22.78s,+31° 17′ 09.5″,6.45,0.7,460,A4IV,
HD 139389,,,,139389,76456,15h 36m 53.37s,+29° 59′ 28.8″,6.46,3.68,117,F5V:,
HD 145976,,,,145976,79441,16h 12m 45.43s,+26° 40′ 14.4″,6.48,2.16,238,F3V,
HD 145457,,,,145457,79219,16h 10m 03.91s,+26° 44′ 33.9″,6.57,1.06,411,K0III,has a planet (b)
σ CrB B,σ1,17,,146362,,16h 14m 40.80s,+33° 51′ 30.0″,6.66,,,,component of the σ CrB system
S CrB,,,S,136753,75143,15h 21m 23.80s,+31° 22′ 02.0″,7.15,,1762,M6.5-8e,"Mira variable, *V*max = 5.8m, *V*min = 14.1m, *P* = 360.26 d"
RS CrB,,,RS,143347,78235,15h 58m 30.76s,+36° 01′ 19.7″,7.44,,1070,M7,semiregular variable
ADS 9731,,,,139691,76563,15h 38m 12.91s,+38° 16′ 48.6″,7.8,,349,F5+F5,6-star system
V CrB,,,V,141826,77501,15h 49m 31.31s,+39° 34′ 17.91″,7.83,,8800,"C6,2e","Algol variable, *V*max = 6.9m, *V*min = 12.6m, *P* = 357.63 d"
U CrB,,,U,136175,74881,15h 18m 11.35s,+31° 38′ 49.4″,7.83,,811,B6V+F8III-IV,"Algol variable, *V*max = 7.66m, *V*min = 8.79m, *P* = 3.45220133 d"
HD 140913,,,,140913,77152,15h 43m 07.45s,+28° 28′ 11.8″,8.07,,143.1,G0V,solar twin with brown dwarf companion
RR CrB,,,RR,140297,76844,15h 41m 26.23s,+38° 33′ 26.6″,8.2,,1110,M3,"semiregular variable, *V*max = 7.3m, *V*min = 8.2m, *P* = 60.8 d"
YY CrB,,,YY,141990,77598,15h 50m 32.43s,+37° 50′ 07.6″,8.69,,301,F8V,"*V*max = 8.61m, *V*min = 9.12m, *P* = 0.38 d"
RT CrB,,,RT,139588,76551,15h 38m 03.03s,+29° 29′ 13.9″,10.22,,,G0,"RS CVn variable, *V*max = 10.2m, *V*min = 10.82m, *P* = 5.117159 d"
RW CrB,,,RW,139815,76658,15h 39m 15.23s,+29° 37′ 19.6″,10.22,,679,A8Vv,"Algol variable, *V*max = 10.22m, *V*min = 10.78m, *P* = 0.7264114 d"
TW CrB,,,TW,,,16h 06m 50.70s,+27° 16′ 34.6″,10.49,,,F8,"Algol variable, *V*max = 10.3m, *V*min = 11.3m, *P* = 0.58887584 d"
T CrB,,,T,143454,78322,15h 59m 30.16s,+25° 55′ 12.6″,10.6,,3500,M3III+p,"recurrent nova and rotating ellipsoidal variable, *V*max = 2.0m, *V*min = 
10.8m, *P* = 227.6 d"
BD +33 2642,,,,,77716,15h 51m 59.89s,+32° 56′ 54.3″,10.73,,33000,B2IVp,protoplanetary nebula
XO-1,,,,,,16h 02m 11.84s,+28° 10′ 10.43″,11.3,,652,,has the transiting planet XO-1b
UW CrB,,,UW,,,16h 05m 45.87s,+25° 51′ 45.17″,19.7,,,,Low-mass X-ray binary
"Table legend: 
[TABLE]",,,,,,,,,,,,
