Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
δ Crt,δ,12,,98430,55282,11h 19m 20.52s,−14° 46′ 44.6″,3.56,-0.32,195,K0III,
γ Crt,γ,15,,99211,55705,11h 24m 52.98s,−17° 41′ 02.5″,4.06,2.01,84,A9V,double star
α Crt,α,7,,95272,53740,10h 59m 46.75s,−18° 17′ 56.8″,4.08,0.44,174,K1III,"Alkes, Aoul al Batjna, Prima Crateris[1]"
β Crt,β,11,,97277,54682,11h 11m 39.49s,−22° 49′ 32.2″,4.46,-0.1,266,A1V,Al Sharāsīf[2][3]
θ Crt,θ,21,,100889,56633,11h 36m 40.95s,−09° 48′ 08.1″,4.7,-0.15,305,B9.5Vn,
ζ Crt,ζ,27,,102070,57283,11h 44m 45.76s,−18° 21′ 02.2″,4.71,-0.45,350,G8III,
ε Crt,ε,14,,99167,55687,11h 24m 36.61s,−10° 51′ 33.8″,4.81,-0.43,364,K5III,
λ Crt,λ,13,,98991,55598,11h 23m 22.07s,−18° 46′ 47.6″,5.08,1.87,143,F3IV,spectroscopic binary
η Crt,η,30,,103632,58188,11h 56m 00.98s,−17° 09′ 02.9″,5.17,0.46,285,A0V,
ι Crt,ι,24,,101198,56802,11h 38m 39.96s,−13° 12′ 08.1″,5.48,3.32,88,F7V,double star
HD 95808,,,,95808,54029,11h 03m 14.93s,−11° 18′ 11.6″,5.51,0.56,318,G7III...,double star
HD 94481,,,,94481,53316,10h 54m 17.78s,−13° 45′ 29.0″,5.65,0.16,409,K0III + (G),
HD 99922,,,,99922,56078,11h 29m 38.65s,−24° 27′ 50.6″,5.77,0.31,403,A0V,double star; suspected variable
HD 95314,,,,95314,53778,11h 00m 11.70s,−14° 04′ 59.9″,5.86,0.2,442,K5III,suspected variable
HD 95234,,,,95234,53723,10h 59m 30.95s,−16° 21′ 13.3″,5.88,-1.92,1185,M1III,"variable star, Δ*V* = 0.011m, *P* = 0.09041 d"
κ Crt,κ,16,,99564,55874,11h 27m 09.58s,−12° 21′ 24.5″,5.93,1.8,219,F4III-IV,double star
HD 100343,,,,100343,56318,11h 32m 47.54s,−07° 49′ 39.1″,5.94,-0.29,575,K4III,
HD 100418,,,,100418,56364,11h 33m 14.81s,−16° 16′ 49.0″,6.05,0.6,400,F8/G0Ib/II,
HD 96220,,,,96220,54214,11h 05m 33.98s,−11° 05′ 19.4″,6.09,2.05,209,F0Vn,
ψ Crt,ψ,,,97411,54742,11h 12m 30.38s,−18° 29′ 59.3″,6.11,0.28,479,A0V,double star
HD 98088,,,SV,98088,55106,11h 16m 58.18s,−07° 08′ 04.9″,6.11,0.56,421,A2p...,spectroscopic binary; α2 CVn variable
