Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Cru,β,,111123,62434,12h 47m 43.32s,−59° 41′ 19.4″,1.25,-3.92,352,B0.5III,"Mimosa, Becrux; 20th brightest star; β Cep variable, *V*max = +1.23m, *V*min 
= +1.31m, *P* = 0.2365072 d Probable high-mass member of Lower Centaurus 
Crux subgroup of the Scorpius–Centaurus Association.[1]"
α1 Cru (α Cru A),α1,,108248,60718,12h 26m 35.94s,−63° 05′ 56.6″,1.4,-3.6,321,B0.5IV,"Acrux, 23rd brightest star, multiple star, spectroscopic binary. Possible 
member Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association 
(debated).[1]"
γ Cru,γ,,108903,61084,12h 31m 09.93s,−57° 06′ 45.2″,1.6,-0.56,88,M4III,"Gacrux, SRV, *V*max = +1.60m, *V*min = +1.67m"
α2 Cru (α Cru B),α2,,108249,,12h 26m 36.50s,−63° 05′ 58.0″,2.09,-2.88,321,B1V,"component of the α Cru system. Possible member Lower Centaurus Crux 
subgroup of the Scorpius–Centaurus Association (debated).[1]"
δ Cru,δ,,106490,59747,12h 15m 08.76s,−58° 44′ 56.0″,2.79,-2.45,364,B2IV,"β Cep variable; *V*max = +2.78m, *V*min = +2.80m, *P* = 0.151038 d
Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[2]"
ε Cru,ε,,107446,60260,12h 21m 21.81s,−60° 24′ 04.9″,3.59,-0.63,228,K3/K4III,suspected variable
μ1 Cru,μ1,,112092,63003,12h 54m 35.66s,−57° 10′ 40.4″,4.03,-1.29,377,B2IV-V,"binary star; suspected variable; Member of the Lower Centaurus Crux 
subgroup of the Scorpius–Centaurus Association.[2]"
ζ Cru,ζ,,106983,60009,12h 18m 26.29s,−64° 00′ 11.0″,4.06,-1.16,361,B2.5V,"double star, Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[2]"
η Cru,η,,105211,59072,12h 06m 52.85s,−64° 36′ 49.1″,4.14,2.67,64,F2III,double star
θ1 Cru,θ1,,104671,58758,12h 03m 01.70s,−63° 18′ 46.6″,4.32,0.08,230,Am,spectroscopic binary
HD 110956,,,110956,62327,12h 46m 22.75s,−56° 29′ 19.6″,4.62,-0.8,396,B3V,"double star; suspected slow irregular variable; Member of the Lower 
Centaurus Crux subgroup of the Scorpius–Centaurus Association.[2]"
λ Cru,λ,,112078,63007,12h 54m 39.22s,−59° 08′ 48.0″,4.62,-0.59,360,B4Vn,"β Cep variable, Δ*V* = 0.02m, *P* = 0.3951 d, Member of the Lower Centaurus 
Crux subgroup of the Scorpius–Centaurus Association.[2]"
ι Cru,ι,,110829,62268,12h 45m 37.92s,−60° 58′ 52.2″,4.69,1.78,125,K1III,optical double
θ2 Cru,θ2,,104841,58867,12h 04m 19.24s,−63° 09′ 56.6″,4.72,-2.1,753,B2IV,"spectroscopic binary; β Cep variable, *V*max = +4.70m, *V*min = +4.74m, *P* 
= 0.0889 d"
α Cru C,,,108250,,12h 26m 30.90s,−63° 07′ 21.0″,4.86,,,B4IV,probable optical double with the α Cru system; suspected variable
CH Cru,,CH,110335,61966,12h 41m 56.60s,−59° 41′ 08.9″,4.91,-2.6,1035,B6IV,γ Cas variable
μ2 Cru,μ2,,112091,63005,12h 54m 36.92s,−57° 10′ 07.1″,5.08,-0.14,361,B5Vne,"component of μ Cru system; γ Cas variable, *V*max = +4.99m, *V*min = +5.18m"
HD 110432,,BZ,110432,62027,12h 42m 50.28s,−63° 03′ 31.0″,5.27,-2.12,982,B2pe,"high-mass X-ray binary; γ Cas variable, *V*max = +5.24m, *V*min = +5.45m"
