Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Del,β,6,,196524,101769,20h 37m 32.87s,+14° 35′ 42.7″,3.64,1.26,97,F5IV,"Rotanev, Rotanen, Venator; spectroscopic binary"
α Del,α,9,,196867,101958,20h 39m 38.25s,+15° 54′ 43.4″,3.77,-0.57,241,B9V,"Sualocin, Scalovin, Svalocin, Nicolaus; binary star; suspected variable, *V*
max = 3.77m, *V*min = 3.80m"
ε Del,ε,2,,195810,101421,20h 33m 12.76s,+11° 18′ 12.0″,4.03,-1.18,359,B6III,"Deneb Dulfim, Deneb, Al Dhanab al Dulfim, Dzaneb al Delphin, Cauda Delphini;
[1] suspected variable, *V*max = 3.95m, *V*min = 4.05m"
γ2 Del,γ2,12,,197964,102532,20h 46m 39.52s,+16° 07′ 29.2″,4.27,1.81,101,K1IV,binary star with γ1 Del
δ Del,δ,11,,197461,102281,20h 43m 27.55s,+15° 04′ 28.9″,4.43,0.45,203,A7IIIp d Del,"δ Sct variable, *V*max = 4.38m, *V*min = 4.49m, *P* = 0.1567924 d"
ζ Del,ζ,4,,196180,101589,20h 35m 18.51s,+14° 40′ 27.1″,4.64,0.43,227,A3V,"suspected variable, *V*max = 4.64m, *V*min = 4.70m"
ρ Aql,ρ,67,,192425,99742,20h 14m 16.59s,+15° 11′ 50.9″,4.94,1.58,153,A2V,Tso Ke; recently moved into Delphinus due to proper motion
κ Del,κ,7,,196755,101916,20h 39m 07.59s,+10° 05′ 10.1″,5.07,2.68,98,G5IV+...,
γ1 Del,γ1,12,,197963,102531,20h 46m 38.87s,+16° 07′ 28.6″,5.15,2.65,103,A2Ia+...,binary star with γ2 Del
17 Del,,17,,199253,103294,20h 55m 36.68s,+13° 43′ 17.6″,5.19,-0.62,474,K0III,"suspected variable, *V*max = 5.16m, *V*min = 5.27m"
η Del,η,3,,195943,101483,20h 33m 57.00s,+13° 01′ 37.9″,5.39,1.77,173,A3IVs,"suspected variable, *V*max = 5.37m, *V*min = 5.40m"
ι Del,ι,5,,196544,101800,20h 37m 49.10s,+11° 22′ 39.7″,5.42,1.74,177,A2V,spectroscopic binary
18 Del,,18,,199665,103527,20h 58m 25.96s,+10° 50′ 21.7″,5.51,1.19,238,G6III:,"Musica,[2] optical double, has a planet (b)"
16 Del,,16,,199254,103298,20h 55m 38.55s,+12° 34′ 06.6″,5.54,1.61,199,A4V,double star
13 Del,,13,,198069,102633,20h 47m 48.33s,+06° 00′ 29.7″,5.57,-0.42,513,A0V,double star
θ Del,θ,8,,196725,101882,20h 38m 43.98s,+13° 18′ 54.5″,5.69,-2.32,1304,K3Ib,
HD 200044,,,,200044,103675,21h 00m 27.70s,+19° 19′ 47.0″,5.69,-0.62,596,M3III,"suspected variable, Δ*V* = 0.05m"
HD 193472,,,,193472,100256,20h 20m 00.19s,+13° 32′ 53.2″,5.96,1.18,294,A5m,suspected variable
HD 196775,,,,196775,101909,20h 39m 04.97s,+15° 50′ 17.6″,5.99,-2.01,1299,B3V,double star
10 Del,,10,,197121,102080,20h 41m 16.21s,+14° 34′ 58.4″,6.01,0.13,488,K4III:,suspected variable
15 Del,,15,,198390,102805,20h 49m 37.74s,+12° 32′ 41.6″,6.01,3.66,96,F5V,double star
1 Del,,1,,195325,101160,20h 30m 17.95s,+10° 53′ 45.3″,6.03,-0.17,566,A1sh,"double star; emission-line star; suspected variable, *V*max = 5.92m, *V*min 
= 6.07m"
HD 199223,,,,199223,103301,20h 55m 40.64s,+04° 31′ 57.7″,6.04,0.82,361,G6III-IV,double star
HD 194012,,,,194012,100511,20h 22m 52.32s,+14° 33′ 04.0″,6.16,4.07,85,F8V,
HD 193556,,,,193556,100274,20h 20m 20.53s,+14° 34′ 09.3″,6.17,0.04,550,G8III,
HD 193373,,,,193373,100208,20h 19m 29.31s,+13° 13′ 00.5″,6.2,-0.73,791,M1III,
HD 194953,,,,194953,100969,20h 28m 16.77s,+02° 56′ 13.7″,6.2,0.47,456,G8III,
HD 198404,,,,198404,102833,20h 49m 59.07s,+05° 32′ 40.4″,6.2,0.29,495,K0,double star
HD 195479,,,,195479,101213,20h 30m 58.10s,+20° 36′ 21.6″,6.21,1.08,346,A1m,triple star
EU Del,,,EU,196610,101810,20h 37m 54.71s,+18° 16′ 06.4″,6.22,1.03,356,M6III,"semiregular variable, *V*max = 5.41m, *V*min = 6.72m, *P* = 58.63 d"
HD 194688,,,,194688,100807,20h 26m 23.15s,+17° 18′ 56.1″,6.23,-0.75,813,K0,
