Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ Dra,γ,33,,164058,87833,17h 56m 36.38s,+51° 29′ 20.2″,2.24,-1.04,148,K5III,"Eltanin, Etamin, Rastaban, Rastaben"
η Dra,η,14,,148387,80331,16h 23m 59.51s,+61° 30′ 50.7″,2.73,0.58,88,G8III,Aldibain[1]
β Dra,β,23,,159181,85670,17h 30m 25.98s,+52° 18′ 04.9″,2.79,-2.43,361,G2II,"Rastaban, Rastaben, Alwaid, Asuia"
δ Dra,δ,57,,180711,94376,19h 12m 33.15s,+67° 39′ 40.7″,3.07,0.63,100,G9III,"Altais, Nodus Secundus, Nodus II, Aldib"
ζ Dra,ζ,22,,155763,83895,17h 08m 47.23s,+65° 42′ 52.7″,3.17,-1.92,340,B6III,"Aldhibah, Eldsib, Nod, Nodus I"
ι Dra,ι,12,,137759,75458,15h 24m 55.78s,+58° 57′ 57.7″,3.29,0.81,102,K2III,"Edasich, Eldsich, Ed Asich, Al Dhiba, Al Dhihi; has a planet (b)"
χ Dra,χ,44,,170153,89937,18h 21m 02.34s,+72° 44′ 01.3″,3.55,4.02,26,F7Vvar,
Thuban,α,11,,123299,68756,14h 04m 23.43s,+64° 22′ 32.9″,3.67,-1.21,309,A0III SB,"Adib, Dragon’s Tail"
ξ Dra,ξ,32,,163588,87585,17h 53m 31.63s,+56° 52′ 20.8″,3.73,1.06,111,K2III,"Grumium, Genam, Nodus Primus, Nodus I"
λ Dra,λ,1,,100029,56211,11h 31m 24.29s,+69° 19′ 52.0″,3.82,-1.23,334,M0IIIvar,"Giausar, Giauzar, Gianfar, Giansar, Gaiusar, Juza"
ε Dra,ε,63,,188119,97433,19h 48m 10.21s,+70° 16′ 04.2″,3.84,0.59,146,G8III,Tyl; binary star
κ Dra,κ,5,,109387,61281,12h 33m 29.04s,+69° 47′ 17.6″,3.85,-2.07,498,B6IIIp,Shǎowèi (少尉);[2] γ Cas variable
θ Dra,θ,13,,144284,78527,16h 01m 53.70s,+58° 33′ 52.0″,4.01,2.41,68,F8IV-V,Shǎngzǎi (上宰)[2]
φ Dra,φ,43,,170000,89908,18h 20m 45.44s,+71° 20′ 15.8″,4.22,-0.52,289,A0p (Si),Zhùshǐ (柱史);[2] α2 CVn variable
HD 81817,,,,81817,47193,09h 37m 05.35s,+81° 19′ 35.1″,4.28,-3.31,1076,K3III,
τ Dra,τ,60,,181984,94648,19h 15m 33.29s,+73° 21′ 18.8″,4.45,1.14,150,K3III,
ρ Dra,ρ,67,,190940,98702,20h 02m 49.05s,+67° 52′ 24.4″,4.51,-0.97,406,K3III,
ψ1 Dra A,ψ1,31,,162003,86614,17h 41m 56.31s,+72° 08′ 58.2″,4.57,2.85,72,F5IV-V,"Dziban, Dsiban; component of the ψ1 Dra System"
CU Dra,i,10,CU,121130,67627,13h 51m 25.94s,+64° 43′ 23.8″,4.58,-0.82,391,M3III,variable
π Dra,π,58,,182564,95081,19h 20m 40.07s,+65° 42′ 51.9″,4.6,0.41,225,A2IIIs,
ο Dra,ο,47,,175306,92512,18h 51m 12.01s,+59° 23′ 17.8″,4.63,-0.34,322,K0II-III SB,RS CVn variable
σ Dra,σ,61,,185144,96100,19h 32m 20.59s,+69° 39′ 55.4″,4.67,5.87,19,K0V,"Alsafi, Athafi; nearby"
ω Dra,ω,28,,160922,86201,17h 36m 57.09s,+68° 45′ 25.9″,4.77,2.92,76,F5V,
45 Dra,d,45,,171635,90905,18h 32m 34.52s,+57° 02′ 44.2″,4.77,-4.96,2885,F7Ib,
42 Dra,,42,,170693,90344,18h 25m 58.99s,+65° 33′ 48.8″,4.82,-0.12,317,K2III,"Fafnir,[3] has a planet (b)"
υ Dra,υ,52,,176524,92782,18h 54m 23.77s,+71° 17′ 49.5″,4.82,-0.3,344,K0III,Shǎobì (少弼)[2]
18 Dra,g,18,,151101,81660,16h 40m 55.12s,+64° 35′ 20.7″,4.84,-1.76,681,K1p,
HD 151613,,,,151613,82020,16h 45m 17.79s,+56° 46′ 54.1″,4.84,2.7,87,F2V,spectroscopic binary
HD 91190,,,,91190,51808,10h 35m 05.59s,+75° 42′ 46.7″,4.86,0.38,257,K0III,
ν2 Dra,ν2,25,,159560,85829,17h 32m 15.88s,+55° 10′ 22.1″,4.86,2.43,100,Am,Kuma; component of the ν Dra system
19 Dra,h,19,,153597,82860,16h 56m 01.36s,+65° 08′ 04.8″,4.88,3.99,49,F6Vvar,
ν1 Dra,ν1,24,,159541,85819,17h 32m 10.42s,+55° 11′ 02.8″,4.89,2.48,99,Am...,Kuma; component of the ν Dra system
μ Dra A,μ,21,,154905,83608,17h 05m 20.18s,+54° 28′ 11.5″,4.91,2.76,88,F5,"Arrakis, Errakis, Al Rakis; double star"
HD 175535,,,,175535,92689,18h 53m 13.54s,+50° 42′ 29.8″,4.92,-0.15,337,G8III,
15 Dra,A,15,,149212,80650,16h 27m 59.05s,+68° 46′ 05.0″,4.94,-0.95,491,A0III,
6 Dra,,6,,109551,61384,12h 34m 44.07s,+70° 01′ 18.4″,4.95,-1.17,546,K2III,
CL Dra,,,CL,143466,78180,15h 57m 47.59s,+54° 44′ 58.2″,4.96,2.31,110,F0IV,δ Sct variable
39 Dra,b,39,,170073,90156,18h 23m 54.65s,+58° 48′ 02.1″,4.98,1.17,188,A3V,
36 Dra,,36,,168151,89348,18h 13m 53.36s,+64° 23′ 49.9″,4.99,3.14,77,F5V,
54 Dra,,54,,180610,94490,19h 13m 55.16s,+57° 42′ 18.9″,5,1.52,162,K2III,
CQ Dra,,4,CQ,108907,60998,12h 30m 06.76s,+69° 12′ 04.5″,5.01,-1.25,581,M3IIIa,cataclysmic variable
30 Dra,,30,,162579,87212,17h 49m 04.33s,+50° 46′ 50.0″,5.02,0.9,217,A2V,
35 Dra,,35,,163989,87234,17h 49m 26.94s,+76° 57′ 44.2″,5.02,2.49,105,F6IV-Vs,
,,,,169305,89981,18h 21m 32.68s,+49° 07′ 17.3″,5.02,-1.8,755,M2III,
