Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Achernar,α,,2,,10144,7588,01h 37m 42.75s,−57° 14′ 12.0″,0.45,-2.77,144,B3Vp,8th-brightest star; Be star
β Eri,β,67,290,,33111,23875,05h 07m 51.03s,−05° 05′ 10.5″,2.78,0.6,89,A3IIIvar,"Cursa, Kursa."
θ1 Eri,θ1,,48,,18622,13847,02h 58m 15.72s,−40° 18′ 17.0″,2.88,-0.59,161,A4III+...,"Acamar, Achr al Nahr, Postrema Fluminis;[1] binary star with θ2 Eri."
γ Eri,γ,34,158,,25025,18543,03h 58m 01.73s,−13° 30′ 29.7″,2.97,-1.19,221,M1IIIb Ca-1,"Zaurak, Zaurac, Zaurack"
δ Eri,δ,23,121,,23249,17378,03h 43m 14.96s,−09° 45′ 54.7″,3.52,3.74,29,K0IV,Rana; RS CVn variable
υ4 Eri,υ4,41,204,,27376,20042,04h 17m 53.62s,−33° 47′ 54.0″,3.55,-0.14,178,B9V,Variable star
φ Eri,φ,,14,,14228,10602,02h 16m 30.50s,−51° 30′ 43.6″,3.56,0.18,155,B8IV-V,
χ Eri,χ,,7,,11937,9007,01h 55m 56.83s,−51° 36′ 34.5″,3.69,2.48,57,G5IV,
τ4 Eri,τ4,16,81,,20720,15474,03h 19m 30.97s,−21° 45′ 28.6″,3.7,-0.79,258,M3/M4III,
ε Eri,ε,18,101,,22049,16537,03h 32m 56.42s,−09° 27′ 29.9″,3.72,6.18,10,K2V,"Ran,[2] Sadira, Al Sadirah[*citation needed*]; 9th-nearest star system; has 
two asteroid belts, dust disk, one planet (b) and one unconfirmed planet 
(c); BY Draconis variable"
υ2 Eri,υ2,52,251,,29291,21393,04h 35m 33.07s,−30° 33′ 44.3″,3.81,-0.22,209,G8III,"Beemin, Theemin"
53 Eri,l,53,254,,29503,21594,04h 38m 10.87s,−14° 18′ 12.9″,3.86,1.23,109,K1III,Sceptrum
η Eri,η,3,39,,18322,13701,02h 56m 25.60s,−08° 53′ 51.4″,3.89,0.83,133,K1III-IV,Azha
ν Eri,ν,48,250,,29248,21444,04h 36m 19.14s,−03° 21′ 08.8″,3.93,-2.34,586,B2III SB,β Cep variable
υ3 Eri,υ3,43,219,,28028,20535,04h 24m 02.17s,−34° 01′ 01.2″,3.97,-0.64,273,K4III,
μ Eri,μ,57,266,,30211,22109,04h 45m 30.14s,−03° 15′ 16.6″,4.01,-2.05,532,B5IV,
ο1 Eri,ο1,38,185,,26574,19587,04h 11m 51.93s,−06° 50′ 16.0″,4.04,1.11,125,F2II-III,Beid; δ Sct variable
τ3 Eri,τ3,11,56,,18978,14146,03h 02m 23.59s,−23° 37′ 27.6″,4.08,1.97,86,A4V,
ι Eri,ι,,19,,16815,12486,02h 40m 39.93s,−39° 51′ 19.1″,4.11,0.86,145,K0III,
HD 24160,g,,138,,24160,17874,03h 49m 27.28s,−36° 12′ 00.4″,4.17,0.13,210,G8III,= υ6 Eridani
τ6 Eri,τ6,27,128,,23754,17651,03h 46m 50.99s,−23° 14′ 54.4″,4.22,2.95,58,F3/F5V,= n Eridani
κ Eri,κ,,16,,15371,11407,02h 26m 59.10s,−47° 42′ 13.8″,4.24,-1.81,528,B5IV,
λ Eri,λ,69,293,,33328,23972,05h 09m 08.78s,−08° 45′ 14.7″,4.25,-4.4,1753,B2IVn,β Cep variable
82 G. Eri[3],e,,82,,20794,15510,03h 19m 53.22s,−43° 04′ 17.6″,4.26,5.35,20,G8V,"nearby; three planets (b), (c) and (d); also has a debris disk"
τ5 Eri,τ5,19,103,,22203,16611,03h 33m 47.25s,−21° 37′ 58.1″,4.26,-0.53,296,B9V,
HD 24071,f,,135,,24071,17797,03h 48m 35.82s,−37° 37′ 12.5″,4.3,0.83,161,A+...,= υ5 Eri; B component of double star with 136 G. Eri
54 Eri,,54,259,DM,29755,21763,04h 40m 26.49s,−19° 40′ 16.5″,4.32,-0.9,361,M3/M4III,DM Eri
θ2 Eri,θ2,,49,,18623,13847,02h 58m 16.30s,−40° 18′ 16.0″,4.35,,161,,Binary star with θ1 Eri
ω Eri,ω,61,276,,31109,22701,04h 52m 53.68s,−05° 27′ 09.9″,4.36,0.15,227,A9IV,"Rabah al Nahr, Quarta Fluminis[1]"
π Eri,π,26,127,,23614,17593,03h 46m 08.50s,−12° 06′ 06.2″,4.43,-1.49,497,M1III,
40 Eri A,ο2,40,197,DY,26965,19849,04h 15m 17.64s,−07° 38′ 40.4″,4.43,5.92,16,K1V,Keid; DY Eri; nearby triple star
32 Eri A,w,32,,,24554,18255,03h 54m 17.49s,−02° 57′ 17.0″,4.46,-0.66,345,G8III,double star
τ1 Eri,τ1,1,22,,17206,12843,02h 45m 05.98s,−18° 34′ 21.5″,4.47,3.74,46,F5/F6V,
υ1 Eri,υ1,50,243,,29085,21248,04h 33m 30.63s,−29° 45′ 57.0″,4.49,1.58,124,K0III,"Theemin, Beemin"
HD 22663,y,,110,,22663,16870,03h 37m 05.68s,−40° 16′ 28.2″,4.57,0.43,219,K0III,
HD 23319,h,,124,,23319,17351,03h 42m 50.12s,−37° 18′ 48.0″,4.59,0.91,178,K2IIICN...,= υ7 Eridani
τ9 Eri,τ9,36,161,,25267,18673,03h 59m 55.48s,−24° 00′ 58.5″,4.62,-0.41,331,Ap Si,= k Eri; α² CVn variable
τ8 Eri,τ8,33,149,,24587,18216,03h 53m 42.68s,−24° 36′ 44.0″,4.64,-0.72,385,B5V,SX Ari variable
HD 24072,f,,136,,24072,,03h 48m 35.90s,−37° 37′ 14.0″,4.73,,,B9V,= υ5 Eri; A component of double star with 135 G. Eri
HD 16754,s,,18,,16754,12413,02h 39m 47.92s,−42° 53′ 29.9″,4.74,1.74,130,A2V,
17 Eri,v,17,97,,21790,16341,03h 30m 37.05s,−05° 04′ 30.6″,4.74,-0.6,380,B9Vs,
τ2 Eri,τ2,2,30,,17824,13288,02h 51m 02.35s,−21° 00′ 14.3″,4.76,1.02,183,K0III,Angetenar
64 Eri,,64,283,,32045,23231,04h 59m 55.71s,−12° 32′ 13.9″,4.78,0.03,291,F0V,S Eri; variable
32 Eri B,w,32,148,,24555,18255,03h 54m 17.50s,−02° 57′ 17.0″,4.79,-0.33,345,A2V,component of the 32 Eri system
ζ Eri,ζ,13,73,,20320,15197,03h 15m 50.03s,−08° 49′ 11.4″,4.8,1.97,120,A5m,Zibal
ψ Eri,ψ,65,285,,32249,23364,05h 01m 26.34s,−07° 10′ 26.3″,4.8,-2.54,956,B3V,
15 Eri,,15,79,,20610,15382,03h 18m 22.10s,−22° 30′ 40.1″,4.86,0.39,255,K0III,
39 Eri,A,39,194,,26846,19777,04h 14m 23.69s,−10° 15′ 21.2″,4.87,0.86,206,K3III,
45 Eri,,45,231,,28749,21139,04h 31m 52.67s,−00° 02′ 38.4″,4.91,-2.12,830,K3II-III,
HD 29573,,,255,,29573,21644,04h 38m 53.59s,−12° 07′ 23.1″,4.99,0.77,227,A0V,
60 Eri,,60,274,,30814,22479,04h 50m 11.59s,−16° 13′ 02.2″,5.03,0.67,243,K0III,
HD 10939,q2,,6,,10939,8241,01h 46m 06.14s,−53° 31′ 19.9″,5.04,1.26,186,A1V,
HD 24626,i,,151,,24626,18213,03h 53m 38.92s,−34° 43′ 56.3″,5.11,-0.07,355,B6/B7V,
68 Eri,,68,292,,33256,23941,05h 08m 43.67s,−04° 27′ 22.5″,5.11,3.12,82,F2V,
66 Eri,,66,288,EN,32964,23794,05h 06m 45.65s,−04° 39′ 18.6″,5.12,0.45,280,B9.5V,EN Eri; α² CVn variable
40 G. Eri,,,40,,18331,13717,02h 56m 37.45s,−03° 42′ 44.0″,5.16,1.35,189,A3Vn,
ξ Eri,ξ,42,215,,27861,20507,04h 23m 40.88s,−03° 44′ 43.2″,5.17,1.14,208,A2V,
47 Eri,,47,241,DV,29064,21296,04h 34m 11.64s,−08° 13′ 52.9″,5.2,-1.76,805,M3III,DV Eri
43 G. Eri,,,43,,18543,13874,02h 58m 42.09s,−02° 46′ 57.8″,5.22,0.26,320,A2IV,
51 Eri,c,51,252,,29391,21547,04h 37m 36.11s,−02° 28′ 24.2″,5.22,2.85,97,F0V,"has a planet (b); indications that a young Jupiter-like planet has been 
directly imaged in wide-orbit via Gemini Planet Imager"
61 G. Eri,,,61,,19349,14456,03h 06m 33.49s,−06° 05′ 18.8″,5.23,-0.84,534,M3III,
20 Eri,,20,107,EG,22470,16803,03h 36m 17.39s,−17° 28′ 01.3″,5.24,-0.57,473,B8/B9III,EG Eri; α² CVn variable
24 Eri,,24,123,,23363,17457,03h 44m 30.51s,−01° 09′ 47.1″,5.24,-1.27,653,B7V,
τ7 Eri,τ7,28,130,,23878,17717,03h 47m 39.62s,−23° 52′ 29.3″,5.24,0.63,272,A1V,= m Eridani
242 G. Eri,,,242,,29065,21297,04h 34m 11.79s,−08° 58′ 11.9″,5.24,-1.28,657,K4III,
ρ3 Eri,ρ3,10,57,,19107,14293,03h 04m 16.48s,−07° 36′ 03.2″,5.26,2.09,140,A8V,
35 Eri,,35,162,,25340,18788,04h 01m 32.03s,−01° 32′ 58.7″,5.28,-0.43,453,B5V,
ρ2 Eri,ρ2,9,55,,18953,14168,03h 02m 42.26s,−07° 41′ 07.7″,5.32,0.83,258,K0II-III,
164 G. Eri,,,164,,25457,18859,04h 02m 36.66s,−00° 16′ 05.9″,5.38,3.96,63,F5V,
