Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Pollux,β,78,,62509,37826,07h 45m 19.36s,+28° 01′ 34.7″,1.16,1.09,34,K0III,"Al-Ras al-Taum al-Mu'ahar, Muekher al Dzira, Posterior Brachii;[1] 
suspected variable, *V*max = 1.10m, *V*min = 1.17m; has a planet (b)"
Castor A,α,66,,60179A,36850,07h 34m 36.00s,+31° 53′ 19.1″,1.9,1.05,52,A2Vm,"Al-Ras al-Taum al-Muqadim, Aoul al Dzira, Prima Brachii[1]"
γ Gem,γ,24,,47105,31681,06h 37m 42.70s,+16° 23′ 57.9″,1.93,-0.6,105,A0IV,"Alhena, Almeisan, Nir al Henat, Prima του al Henat[1]"
μ Gem,μ,13,,44478,30343,06h 22m 57.59s,+22° 30′ 49.9″,2.87,-1.39,232,M3.0III,"Tejat Posterior, Nuhatai, Calx, Pish Pai; semiregular variable, *V*max = 
2.75m, *V*min = 3.02m"
Castor B,α,66,,60178,,07h 34m 36.00s,+31° 53′ 19.0″,2.88,,,,
ε Gem,ε,27,,48329,32246,06h 43m 55.93s,+25° 07′ 52.2″,3.06,-4.15,903,G8Ib,"Mebsuta; variable star, *V*max = 2.97m, *V*min = 3.09m"
η Gem,η,7,,42995,29655,06h 14m 52.70s,+22° 30′ 24.6″,3.31,-1.84,349,M3III,"Propus, Praepes, Tejat Prior; semiregular and Algol variable, *V*max = 3.15m, 
*V*min = 3.9m, *P* = 232.9 d"
ξ Gem,ξ,31,,48737,32362,06h 45m 17.43s,+12° 53′ 45.8″,3.35,2.13,57,F5IV,"Alzir; suspected variable, *V*max = 3.33m, *V*min = 3.42m"
δ Gem,δ,55,,56986,35550,07h 20m 07.39s,+21° 58′ 56.4″,3.5,2.22,59,F0IV...,Wasat
κ Gem,κ,77,,62345,37740,07h 44m 26.87s,+24° 23′ 53.3″,3.57,0.35,143,G8III,"Jīxīn (積薪),[2] 隆博星 (Takahiro-boshi)"
λ Gem,λ,54,,56537,35350,07h 18m 05.61s,+16° 32′ 25.7″,3.58,1.27,94,A3V...,"suspected variable, *V*max = 3.52m, *V*min = 3.62m"
θ Gem,θ,34,,50019,33018,06h 52m 47.34s,+33° 57′ 40.9″,3.6,-0.3,197,A3III,
ι Gem,ι,60,,58207,36046,07h 25m 43.68s,+27° 47′ 53.8″,3.78,0.85,126,G9III+...,Propus
ζ Gem,ζ,43,,52973,34088,07h 04m 06.54s,+20° 34′ 13.1″,4.01,-3.76,1168,G1Ib,"Mekbuda; classical Cepheid, *V*max = 3.62m, *V*min = 4.18m, *P* = 10.15 d"
υ Gem,υ,69,,60522,36962,07h 35m 55.37s,+26° 53′ 45.6″,4.06,-0.28,240,K5III,"suspected variable, *V*max = 4.04m, *V*min = 4.08m"
ν Gem A,ν,18,,45542,30883,06h 28m 57.79s,+20° 12′ 43.8″,4.13,-1.81,502,B6III,"variable star, Δ*V* = 0.007m, *P* = 0.11 d"
1 Gem,,1,,41116,28734,06h 04m 07.22s,+23° 15′ 49.1″,4.16,0.84,151,G7III,Propus
ρ Gem,ρ,62,,58946,36366,07h 29m 06.61s,+31° 47′ 02.7″,4.16,2.82,60,F0V...,suspected variable
σ Gem,σ,75,,62044,37629,07h 43m 18.69s,+28° 53′ 02.7″,4.23,1.36,122,K1III SB,"RS CVn variable, *V*max = 4.13m, *V*min = 4.29m, *P* = 19.42 d"
τ Gem,τ,46,,54719,34693,07h 11m 08.39s,+30° 14′ 43.0″,4.41,-0.42,302,K2III,"suspected variable, *V*max = 4.37m, *V*min = 4.42m; has a brown dwarf 
companion"
30 Gem,,30,,48433,32249,06h 43m 59.29s,+13° 13′ 41.3″,4.49,-0.15,276,K1III,
38 Gem,e,38,,50635,33202,06h 54m 38.59s,+13° 10′ 40.9″,4.71,2.48,91,F0Vp,
ο Gem,ο,71,,61110,37265,07h 39m 09.96s,+34° 35′ 04.7″,4.89,1.46,158,F3III,
81 Gem,g,81,,62721,37908,07h 46m 07.49s,+18° 30′ 36.6″,4.89,-0.21,341,K5III,
χ Gem,χ,,,66216,39424,08h 03m 31.10s,+27° 47′ 39.9″,4.94,0.45,258,K2III,
φ Gem,φ,83,,64145,38538,07h 53m 29.84s,+26° 45′ 57.1″,4.97,0.51,254,A3V,
65 Gem,b,65,,59148,36429,07h 29m 48.78s,+27° 54′ 58.3″,5.01,-0.34,383,K2III,
57 Gem,A,57,,57727,35846,07h 23m 28.55s,+25° 03′ 02.2″,5.04,1.67,154,G8III,
74 Gem,f,74,,61338,37300,07h 39m 28.59s,+17° 40′ 28.3″,5.04,-1.02,532,M0III,"suspected variable, Δ*V* = 0.08m"
51 Gem,,51,BQ,55383,34909,07h 13m 22.27s,+16° 09′ 32.6″,5.07,-1.59,700,K3V,semiregular variable
64 Gem,,64,,59037,36393,07h 29m 20.46s,+28° 07′ 06.3″,5.07,1.58,163,A4V,
56 Gem,,56,,57423,35699,07h 21m 56.90s,+20° 26′ 37.4″,5.09,-0.5,428,M0III,"suspected variable, Δ*V* = 0.06m"
HD 52960,,,,52960,34033,07h 03m 38.07s,+10° 57′ 06.6″,5.14,-1.65,743,K3III,
π Gem,π,80,,62898,38016,07h 47m 30.34s,+33° 24′ 56.8″,5.14,-1.04,562,M0III,"suspected variable, Δ*V* = 0.08m"
26 Gem,,26,,48097,32104,06h 42m 24.32s,+17° 38′ 43.9″,5.2,2.05,139,A2V,
ω Gem,ω,42,,52497,33927,07h 02m 24.78s,+24° 12′ 55.6″,5.2,-3.33,1655,G5II,"slow irregular variable, *V*max = 5.18m, *V*min = 5.20m"
63 Gem,,63,,58728,36238,07h 27m 44.39s,+21° 26′ 44.0″,5.2,2.54,111,F5IV-V...,
68 Gem,,68,,60107,36760,07h 33m 36.50s,+15° 49′ 36.1″,5.27,-0.03,375,A1Vn,suspected variable
36 Gem,d,36,,49908,32921,06h 51m 33.05s,+21° 45′ 40.4″,5.28,-0.77,529,A2V,
76 Gem,c,76,,62285,37704,07h 44m 06.92s,+25° 47′ 03.2″,5.3,-1.01,595,K5III,"suspected variable, *V*max = 5.28m, *V*min = 5.32m"
HD 60318,,,,60318,36896,07h 35m 08.82s,+30° 57′ 39.3″,5.34,0.5,302,K0III,
85 Gem,,85,,64648,38722,07h 55m 39.90s,+19° 53′ 02.6″,5.38,0.29,339,A0Vs,
28 Gem,,28,,48450,32311,06h 44m 45.46s,+28° 58′ 15.6″,5.42,-0.79,570,K4III,
HD 59686,,,,59686,36616,07h 31m 48.37s,+17° 05′ 10.4″,5.45,0.62,302,K2III,has a planet (b)
45 Gem,,45,,54131,34440,07h 08m 22.04s,+15° 55′ 51.3″,5.47,0.61,305,G8III,
HD 53329,,,,53329,34267,07h 06m 11.63s,+34° 28′ 26.7″,5.55,0.69,305,G8IV,
NZ Gem,,,NZ,61913,37521,07h 42m 03.22s,+14° 12′ 30.7″,5.55,-1.93,1022,M3S,"semiregular variable, *V*max = 5.52m, *V*min = 5.72m"
HD 46374,,,,46374,31277,06h 33m 36.17s,+14° 09′ 19.3″,5.57,1.1,256,K2III:,
70 Gem,,70,,60986,37204,07h 38m 32.84s,+35° 02′ 54.5″,5.58,0.72,306,K0III,
35 Gem,,35,,49738,32814,06h 50m 25.50s,+13° 24′ 47.5″,5.68,-2.64,1502,K3III,
HD 49968,,,,49968,32968,06h 52m 00.01s,+23° 36′ 06.3″,5.68,-0.3,513,K5III,
IS Gem,,,IS,49380,32740,06h 49m 41.34s,+32° 36′ 24.8″,5.72,0.85,307,K3II,semiregular variable
41 Gem,,41,,52005,33715,07h 00m 15.82s,+16° 04′ 44.4″,5.73,-5.53,5821,K3Ib,suspected variable
37 Gem,,37,,50692,33277,06h 55m 18.69s,+25° 22′ 32.3″,5.73,4.56,56,G0V,"suspected variable, Δ*V* = 0.02m"
3 Gem,,3,PU,42087,29225,06h 09m 43.99s,+23° 06′ 48.5″,5.75,,,B2.5Ib,"α Cyg variable, *V*max = 5.71m, *V*min = 5.77m, *P* = 6.81 d"
47 Gem,,47,,54801,34722,07h 11m 23.08s,+26° 51′ 24.0″,5.75,0.36,390,A4IV,suspected δ Sct variable
53 Gem,,53,,55870,35152,07h 15m 57.18s,+27° 53′ 50.7″,5.75,-1.85,1079,M1III,"variable star, Δ*V* = 0.012m, *P* = 6.22 d"
59 Gem,,59,,57927,35941,07h 24m 33.44s,+27° 38′ 16.1″,5.77,1.73,209,F0:III:,δ Sct variable
HD 52556,,,,52556,33914,07h 02m 17.49s,+15° 20′ 09.8″,5.78,-0.7,644,K1III:,
HD 61885,,,,61885,37508,07h 41m 51.87s,+13° 28′ 49.8″,5.79,-1.12,786,M2III,semiregular variable
5 Gem,,5,,42398,29379,06h 11m 32.31s,+24° 25′ 13.4″,5.83,-0.99,753,K0III,
52 Gem,,52,,55621,35025,07h 14m 41.94s,+24° 53′ 06.7″,5.84,0.77,337,M1III,suspected variable
48 Gem,,48,,55052,34819,07h 12m 26.39s,+24° 07′ 43.3″,5.85,0.7,349,F5IV,
33 Gem,,33,OV,49606,32753,06h 49m 49.85s,+16° 12′ 10.5″,5.85,-1.38,926,B7III,"α2 CVn variable, Δ*V* = 0.1m, *P* = 2.27 d"
HD 52609,,,,52609,33937,07h 02m 33.29s,+16° 40′ 28.1″,5.86,-2.99,1918,M2III,suspected variable
HD 51000,,,,51000,33421,06h 57m 00.54s,+33° 40′ 51.7″,5.91,0.55,385,G5III,
HD 42049,,,,42049,29196,06h 09m 32.44s,+22° 11′ 25.0″,5.93,-5.45,6151,K4III,"slow irregular variable, *V*max = 5.91m, *V*min = 5.96m"
HD 52711,,,,52711,34017,07h 03m 30.35s,+29° 20′ 20.7″,5.93,4.53,62,G4V,
HD 61603,,,,61603,37428,07h 40m 58.52s,+23° 01′ 06.8″,5.93,-2.42,1523,K5,
HD 53686,,,,53686,34358,07h 07m 22.41s,+34° 00′ 33.7″,5.94,-0.66,681,K4III,
61 Gem,,61,,58579,36156,07h 26m 56.33s,+20° 15′ 27.3″,5.94,0.47,405,F2Vn,suspected δ Sct variable
NP Gem,,,NP,52554,33929,07h 02m 25.52s,+17° 45′ 19.6″,5.96,-2.13,1353,M1.5,"slow irregular variable, *V*max = 5.89m, *V*min = 6.04m"
HD 47575,,,,47575,31876,06h 39m 47.73s,+12° 58′ 58.1″,5.99,1.25,289,A2V,
44 Gem,,44,,53257,34182,07h 05m 18.37s,+22° 38′ 14.9″,6,0.17,478,B8Vn,
HD 52976,,,,52976,34055,07h 03m 51.60s,+12° 35′ 39.3″,6.01,-1.93,1264,K5,"variable star, Δ*V* = 0.008m, *P* = 3.37 d"
HD 63889,,,,63889,38394,07h 51m 56.80s,+19° 19′ 30.6″,6.03,0.5,415,K1III:,
HD 40589,,,,40589,28500,06h 01m 00.45s,+27° 34′ 20.5″,6.04,-4.73,4657,B9Iab,"variable star, Δ*V* = 0.012m, *P* = 9.26 d"
HD 44927,,,,44927,30570,06h 25m 32.94s,+23° 19′ 38.0″,6.05,-0.19,578,A2Vn,
HD 61859,,,,61859,37580,07h 42m 43.61s,+34° 00′ 00.8″,6.05,2.36,178,F7V,
HD 63589,,,,63589,38319,07h 51m 02.37s,+33° 14′ 01.1″,6.06,2.04,208,A2m,
HD 63352,,,,63352,38147,07h 49m 01.81s,+13° 22′ 18.8″,6.07,-0.46,660,K0,
8 Gem,,8,,43261,29789,06h 16m 19.05s,+23° 58′ 12.2″,6.09,0.46,436,G8III,
HD 47358,,,,47358,31813,06h 39m 05.29s,+22° 01′ 51.4″,6.09,0.54,419,G9III,
HD 61295,,,,61295,37339,07h 39m 54.10s,+32° 00′ 35.4″,6.16,1.53,275,F6II,
58 Gem,,58,,57744,35842,07h 23m 28.15s,+22° 56′ 43.6″,6.17,1.27,312,A1V,
HD 45951,,,,45951,31067,06h 31m 10.03s,+16° 56′ 19.1″,6.18,,,K2III...,
HD 61219,,,,61219,37269,07h 39m 12.01s,+24° 13′ 21.1″,6.18,0.56,435,A2V,
82 Gem,,82,,63208,38106,07h 48m 33.65s,+23° 08′ 27.5″,6.18,-1.36,1052,G2III+...,suspected variable
HD 56386,,,,56386,35345,07h 18m 04.09s,+30° 57′ 21.3″,6.19,-0.18,612,A0Vn,
39 Gem,,39,,51530,33595,06h 58m 47.52s,+26° 04′ 51.1″,6.2,2.82,155,F7V,suspected variable
16 Gem,,16,,45394,30769,06h 27m 56.69s,+20° 29′ 46.6″,6.22,0.13,538,A2Vs,
HD 59059,,,,59059,36340,07h 28m 47.26s,+15° 06′ 35.5″,6.23,-0.63,769,B9IV,
HD 61630,,,,61630,37404,07h 40m 47.19s,+13° 46′ 16.6″,6.23,-1.28,1035,K0,
9 Gem,,9,PX,43384,29840,06h 16m 58.71s,+23° 44′ 27.3″,6.24,-2.79,2090,B3Ia,"α Cyg variable, *V*max = 6.23m, *V*min = 6.30m, *P* = 13.70 d"
HD 45506,,,,45506,30815,06h 28m 28.11s,+16° 14′ 18.6″,6.24,2.19,210,G5,
HD 62141,,,,62141,37636,07h 43m 22.20s,+22° 23′ 58.0″,6.25,1.38,307,K0III,
20 Gem,,20,,46136,31158,06h 32m 18.52s,+17° 47′ 03.4″,6.26,1.08,354,F6V...,
HD 51330,,,,51330,33465,06h 57m 25.59s,+11° 54′ 27.2″,6.26,,3070,F2Ib-II,
HD 47863,,,,47863,32020,06h 41m 21.94s,+16° 23′ 51.6″,6.28,-0.63,786,A1V,
HD 53899,,,,53899,34428,07h 08m 13.28s,+33° 49′ 56.8″,6.31,-0.75,840,K1,
HD 44234,,,,44234,30218,06h 21m 25.91s,+17° 45′ 49.0″,6.32,0.78,417,G9:III:,
HD 44780,,,,44780,30501,06h 24m 43.75s,+25° 02′ 55.4″,6.35,-0.68,832,K2III,
HD 49059,,,,49059,32539,06h 47m 23.46s,+18° 11′ 36.8″,6.35,0.74,431,A2V,
141 Tau,,-141,,40724,28561,06h 01m 41.63s,+22° 24′ 03.8″,6.36,0.09,584,B8V,
HD 58898,,,,58898,36325,07h 28m 39.89s,+27° 33′ 10.4″,6.36,1.39,321,K2III,
HD 61035,,,,61035,37165,07h 38m 14.36s,+24° 21′ 37.4″,6.37,3.01,153,F0,
19 Gem,,19,,46031,31105,06h 31m 37.44s,+15° 54′ 12.7″,6.38,1.33,334,A8V,
HD 56176,,,,56176,35253,07h 17m 03.36s,+26° 41′ 23.3″,6.38,1.59,296,G7IV,
40 Gem,,40,,51688,33650,06h 59m 27.94s,+25° 54′ 51.1″,6.4,-1.43,1199,B8III,
OT Gem,,,OT,58050,35933,07h 24m 27.65s,+15° 31′ 01.9″,6.41,-3.53,3170,B2Ve,"γ Cas variable, *V*max = 6m, *V*min = 6.44m"
HD 47415,,,,47415,31850,06h 39m 31.47s,+24° 35′ 59.8″,6.43,3.7,115,F8IV,
HD 54563,,,,54563,34608,07h 10m 06.79s,+21° 14′ 53.3″,6.43,3.11,150,G9V,
HD 47020,,,,47020,31650,06h 37m 27.29s,+24° 35′ 27.0″,6.44,0.33,543,A3V,
25 Gem,,25,,47731,32019,06h 41m 20.90s,+28° 11′ 47.9″,6.45,-1.73,1411,G5Ib,
HD 57049,,,,57049,35548,07h 20m 06.84s,+15° 08′ 34.7″,6.45,-1.18,1094,A2Vn,
50 Gem,,50,,55130,34860,07h 12m 49.08s,+27° 13′ 30.2″,6.46,3.24,144,F8V,"spectroscopic binary; suspected variable, *V*max = 6.43m, *V*min = 6.46m"
32 Gem,,32,,48843,32404,06h 45m 54.20s,+12° 41′ 36.8″,6.47,-1.25,1140,A9III,
HD 53744,,,,53744,34367,07h 07m 24.88s,+28° 10′ 36.1″,6.47,0.34,549,B9V,
HD 54986,,,,54986,34763,07h 11m 46.84s,+16° 58′ 35.1″,6.5,-1.14,1098,K5,
6 Gem,,6,BU,42543,29450,06h 12m 19.10s,+22° 54′ 30.7″,6.51,-4.09,4289,M1Ia-ab,"semiregular variable, *V*max = 5.74m, *V*min = 7.4m, *P* = 325 d"
79 Gem,,79,,62510,37811,07h 45m 09.34s,+20° 18′ 57.8″,6.53,0.78,460,A1V,
15 Gem A,,15,,45352,30757,06h 27m 46.58s,+20° 47′ 22.6″,6.54,0.31,575,K0,
W Gem,,,W,46595,31404,06h 34m 57.45s,+15° 19′ 49.7″,6.54,,,F5-G1,"classical Cepheid, *V*max = 6.54m, *V*min = 7.38m, *P* = 7.91 d"
TV Gem,,,TV,42475,29416,06h 11m 51.41s,+21° 52′ 05.6″,6.56,,3100,M1Iab,"semiregular variable, *V*max = 6.27m, *V*min = 7.5m, *P* = 229 d"
10 Gem,,10,,43740,30003,06h 18m 54.43s,+23° 36′ 11.9″,6.58,-0.34,789,G5,
HD 45314,,,PZ,45314,30722,06h 27m 15.78s,+14° 53′ 21.22″,6.64,,,O9:pe,Be star
2 Gem,,2,,41543,28969,06h 06m 48.66s,+23° 38′ 19.0″,6.67,-0.45,867,K0,
23 Gem,,23,,46781,31525,06h 36m 02.12s,+16° 47′ 49.5″,6.73,2.25,257,F5,
OU Gem,,,OU,45088,30630,06h 26m 10.25s,+18° 45′ 24.9″,6.76,,48.02,K3Vk,"BY Dra variable, Δ*V* = 0.05m"
HD 60848,,,BN,60848,37074,07h 37m 05.73s,+16° 54′ 15.3″,6.85,,1960,O8V:pev,"γ Cas variable, *V*max = 6.75m, *V*min = 6.85m"
HD 50554,,,,50554,33212,06h 54m 42.83s,+24° 14′ 44.0″,6.86,4.4,101,F8V,has a planet (b)
4 Gem,,4,,42216,29288,06h 10m 29.94s,+22° 59′ 52.4″,6.88,-0.21,853,B9,
11 Gem,,11,LU,43818,30046,06h 19m 19.30s,+23° 28′ 09.9″,6.91,-2.28,2248,B0II,β Cep variable
12 Gem,,12,,43836,30049,06h 19m 22.52s,+23° 16′ 28.2″,6.95,,2530,A0II,
49 Gem,,49,,55156,34861,07h 12m 49.38s,+25° 44′ 55.3″,7.05,-0.01,842,A0,
HD 52961,,,PS,52961,34038,07h 03m 39.63s,+10° 46′ 13.1″,7.37,,,A0,"RV Tau variable, *V*max = 7.24m, *V*min = 7.58m, *P* = 72 d"
WY Gem,,,WY,42474,29425,06h 11m 56.25s,+23° 12′ 25.4″,7.38,,,M2Iabep+B,"slow irregular variable and eclipsing binary, *V*max = 7.10m, *V*min = 7.56m, 
*P* = 23550 d"
R Gem,,,R,53791,34356,07h 07m 21.40s,+22° 42′ 13.0″,7.68,1.65,525,S3.5-6.5/6e,"technetium star; Mira variable, *V*max = 6.0m, *V*min = 14.0m, *P* = 
369.91 d"
ν Gem B,ν,18,,257937,,06h 28m 53.70s,+20° 14′ 20.0″,8,,,,
HD 67087,,,,67087,39767,08h 07m 40.0s,+31° 33′ 05″,8.05,,290,F8V,has two planets (b & c)
HD 59643,,,NQ,59643,36623,07h 31m 54.52s,+24° 30′ 12.6″,8.01,,2860,"C6,2eV","Z And and semiregular variable, *V*max = 7.4m, *V*min = 8.18m, *P* = 58.2 d"
V345 Gem,,,V345,60987,37197,07h 38m 30.23s,+33° 42′ 41.5″,8.2,,528,F0,W UMa variable
15 Gem B,,15,,257498,30756,06h 27m 45.94s,+20° 46′ 59.6″,8.59,7.31,59,G0,
SS Gem,,,SS,41870,,06h 08m 35.11s,+22° 37′ 01.9″,8.67,,,G2/5I,"RV Tau variable, *V*max = 8.48m, *V*min = 9.70m, *P* = 89.44 d"
CR Gem,,,CR,,31349,06h 34m 23.92s,+16° 04′ 30.3″,8.67,,1140,Cv+...,semiregular variable
