Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Ind,α,,196171,101772,20h 37m 33.99s,−47° 17′ 30.0″,3.11,0.65,101,K0III,"Pe Sze, the Persian[1]"
β Ind,β,,198700,103227,20h 54m 48.58s,−58° 27′ 14.7″,3.67,-2.66,603,K0III,"variable star, Δ*V* = 0.004m, *P* = 1.83080 d"
θ Ind,θ,,202730,105319,21h 19m 51.88s,−53° 26′ 57.4″,4.39,2.02,97,A5V,
δ Ind,δ,,208450,108431,21h 57m 55.03s,−54° 59′ 33.2″,4.4,0.63,185,F0IV,
η Ind,η,,197157,102333,20h 44m 02.19s,−51° 55′ 15.0″,4.51,2.59,79,A6:var,
ε Ind,ε,,209100,108870,22h 03m 17.44s,−56° 46′ 47.3″,4.69,6.89,12,K5V,one of the nearest known star systems; binary brown dwarf companion
ζ Ind,ζ,,198048,102790,20h 49m 28.93s,−46° 13′ 36.8″,4.9,-0.57,404,K5III,
ι Ind,ι,,198308,102950,20h 51m 30.05s,−51° 36′ 29.4″,5.06,-1.14,567,K1II/III,
μ Ind,μ,,200365,104085,21h 05m 14.23s,−54° 43′ 37.0″,5.17,0.02,349,K2III,
ν Ind,ν,,211998,110618,22h 24m 34.39s,−72° 15′ 13.6″,5.28,2.98,94,A3V: + F9V,
ο Ind,ο,,207241,107835,21h 50m 47.23s,−69° 37′ 45.9″,5.52,-0.65,558,M0III,
HD 217831,,,217831,113969,23h 04m 52.15s,−68° 49′ 13.4″,5.53,1.82,180,F4III,
HD 212728,,,212728,110935,22h 28m 37.44s,−67° 29′ 20.0″,5.56,2.36,142,A3V,
HD 207229,,,207229,107773,21h 50m 00.13s,−64° 42′ 44.8″,5.62,0.57,334,K1III,has a planet (b)
κ2 Ind,κ2,,209529,109081,22h 05m 50.95s,−59° 38′ 09.4″,5.62,-0.37,514,K4III,
HD 202103,,,202103,104978,21h 15m 45.84s,−53° 15′ 47.0″,5.73,0.3,397,A6IV,
HD 199623,,,199623,103673,21h 00m 21.56s,−51° 15′ 56.3″,5.76,3.48,93,F5IV-V,
HD 212211,,,212211,110668,22h 25m 10.39s,−70° 25′ 53.3″,5.78,2.26,165,F3III,
HD 207964,,,207964,108195,21h 55m 11.34s,−61° 53′ 11.0″,5.92,2.58,152,F1III,
T Ind,,T,202874,105334,21h 20m 09.48s,−45° 01′ 18.8″,6,,1900,C,"semiregular variable, *V*max = 5.76m, *V*min = 6.47m, *P* = 272 d"
HD 206399,,,206399,107423,21h 45m 28.81s,−71° 00′ 31.8″,6.02,-0.76,741,B8IV,
HD 208796,,,208796,108626,22h 00m 24.22s,−55° 53′ 00.4″,6.02,-0.4,627,B9IV/V,
ρ Ind,ρ,,216437,113137,22h 54m 39.56s,−70° 04′ 26.0″,6.04,3.92,86,G4IV-V,has a planet (b)
γ Ind,γ,,203760,105841,21h 26m 15.44s,−54° 39′ 38.0″,6.1,2.08,208,F1III,
BG Ind,κ1,BG,208496,108478,21h 58m 30.07s,−59° 00′ 44.0″,6.13,2.02,217,F3V,"Algol variable, *V*max = 6.11m, *V*min = 6.36m, *P* = 1.46406335 d"
HD 202874,,,202874,105334,21h 20m 09.48s,−45° 01′ 18.8″,6.15,-2.63,1863,C5II,
HD 219644,,,219644,115062,23h 18m 19.99s,−67° 28′ 16.4″,6.15,-0.27,628,K2/K3III,
π Ind,π,,208149,108281,21h 56m 14.04s,−57° 53′ 58.6″,6.17,0.06,543,A3m...,
HD 218288,,,218288,114268,23h 08m 35.55s,−73° 35′ 10.0″,6.18,-0.17,607,K3III,
HD 205877,,,205877,106978,21h 39m 59.74s,−52° 21′ 32.5″,6.2,-0.23,631,F7III,suspected variable
HD 205417,,,205417,106818,21h 38m 02.80s,−64° 49′ 26.9″,6.22,-0.07,591,A0/A1IV,
HD 198766,,,198766,103206,20h 54m 35.10s,−50° 43′ 38.3″,6.23,-2.16,1552,B5IV,
HD 199642,,,199642,103693,21h 00m 43.41s,−53° 44′ 20.5″,6.26,-0.7,805,K5/M0III,"variable star, Δ*V* = 0.009m, *P* = 0.08931 d"
HD 203548,,,203548,105685,21h 24m 20.80s,−46° 36′ 52.8″,6.3,1.38,314,A5m...,
HD 205935,,,205935,107030,21h 40m 33.69s,−55° 44′ 16.8″,6.33,-0.31,694,K0III-IV,
HD 215729,,,215729,112694,22h 49m 17.45s,−70° 20′ 53.0″,6.35,1.35,327,A2V,
HD 204228,,,204228,106065,21h 29m 00.08s,−53° 42′ 21.1″,6.39,1.17,361,K2IIICN...,
HD 203010,,,203010,105425,21h 21m 16.60s,−49° 56′ 16.3″,6.4,1.16,364,K3III,
HD 204873,,,204873,106419,21h 33m 17.62s,−52° 44′ 15.9″,6.43,-0.71,872,K4III,
HD 200887,,,200887,104296,21h 07m 44.50s,−45° 22′ 46.0″,6.45,1.57,308,A9V,
HD 206690,,,206690,107409,21h 45m 18.67s,−49° 29′ 56.0″,6.46,0.93,417,K1III,
HD 218497,,,218497,114367,23h 09m 44.73s,−67° 52′ 34.2″,6.47,2.86,172,F3IV,
