Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
46 LMi,o,46,,94264,53229,10h 53m 18.64s,+34° 12′ 56.0″,3.79,1.41,98,K0III-IV,"Praecipua (mistransferred), Praecipula; presumably intended to be α; 
suspected variable, *V*max = 3.79m, *V*min = 3.84m"
β LMi,β,31,,90537,51233,10h 27m 53.09s,+36° 42′ 26.9″,4.2,0.95,146,G8III-IV,binary star
21 LMi,,21,,87696,49593,10h 07m 25.73s,+35° 14′ 40.9″,4.49,2.26,91,A7V,"suspected δ Sct variable, *V*max = 4.47m, *V*min = 4.52m"
10 LMi,,10,SU,82635,46952,09h 34m 13.38s,+36° 23′ 51.4″,4.54,0.88,176,G8III,"RS CVn variable, Δ*V* = 0.02m"
37 LMi,,37,,92125,52098,10h 38m 43.21s,+31° 58′ 34.4″,4.68,-1.13,474,G0II,Praecipua (original)
30 LMi,,30,,90277,51056,10h 25m 54.87s,+33° 47′ 46.5″,4.72,0.71,207,F0V,
41 LMi,,41,,92825,52457,10h 43m 25.03s,+23° 11′ 18.2″,5.08,1.06,207,A3Vn,
19 LMi,,19,,86146,48833,09h 57m 41.14s,+41° 03′ 20.5″,5.11,2.81,94,F6Vs,
42 LMi,,42,,93152,52638,10h 45m 51.91s,+30° 40′ 56.6″,5.36,0.04,377,A1Vn,
20 LMi,,20,,86728,49081,10h 01m 01.02s,+31° 55′ 29.0″,5.37,4.5,49,G1V,Cor; binary star
11 LMi,,11,SV,82885,47080,09h 35m 40.03s,+35° 48′ 38.8″,5.39,5.16,36,G8IV-V,"RS CVn variable, Δ*V* = 0.04m"
8 LMi,,8,,82198,46735,09h 31m 32.45s,+35° 06′ 12.6″,5.4,-0.24,436,M1III,"suspected variable, Δ*V* = 0.07m"
23 LMi,,23,,88960,50303,10h 16m 14.48s,+29° 18′ 38.0″,5.49,1,257,A0Vn,
40 LMi,,40,,92769,52422,10h 43m 01.95s,+26° 19′ 32.5″,5.51,2.22,148,A4Vn,
28 LMi,,28,,90040,50935,10h 24m 08.61s,+33° 43′ 06.7″,5.52,0.03,409,K1III,
34 LMi,,34,,91365,51685,10h 33m 30.93s,+34° 59′ 19.3″,5.57,-0.48,528,A2Vn,
32 LMi,,32,,90840,51420,10h 30m 06.46s,+38° 55′ 30.5″,5.79,-1.05,760,A4V,
38 LMi,,38,,92168,52139,10h 39m 07.80s,+37° 54′ 36.4″,5.84,2.39,159,F9V,
HD 88231,,,,88231,49893,10h 11m 12.79s,+37° 24′ 07.1″,5.86,-0.47,603,K3III,
7 LMi,,7,,82087,46652,09h 30m 43.23s,+33° 39′ 21.0″,5.87,-0.12,515,G8III:,
27 LMi,,27,,89904,50860,10h 23m 06.34s,+33° 54′ 29.4″,5.89,1.65,230,A6V,
33 LMi,,33,,91130,51556,10h 31m 51.36s,+32° 22′ 46.3″,5.9,1.52,245,A0IV,
