Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Lyn,α,40,,80493,45860,09h 21m 03.46s,+34° 23′ 33.1″,3.14,-1.02,222,K7IIIvar,suspected variable
38 Lyn,,38,,80081,45688,09h 18m 50.67s,+36° 48′ 10.4″,3.82,0.96,122,A1V,
10 UMa,,-10,,76943,44248,09h 00m 38.75s,+41° 47′ 00.4″,3.96,2.88,54,F5V,
31 Lyn,,31,BN,70272,41075,08h 22m 50.13s,+43° 11′ 18.1″,4.25,-1.13,389,K4.5III,"Alsciaukat, Mabsuthat; semiregular variable, *V*max = 4.21m, *V*min = 4.27m"
15 Lyn,,15,,50522,33449,06h 57m 16.60s,+58° 25′ 23.0″,4.35,0.76,170,G5III-IV,
2 Lyn,,2,UZ,43378,30060,06h 19m 37.39s,+59° 00′ 39.3″,4.44,1.14,149,A2Vs,"eclipsing binary and δ Sct variable, *V*max = 4.43m, *V*min = 4.73m"
HD 77912,,,,77912,44700,09h 06m 31.79s,+38° 27′ 08.1″,4.56,-2.03,678,G8Ib-II,
21 Lyn,,21,,58142,36145,07h 26m 42.86s,+49° 12′ 41.9″,4.61,0.2,249,A1V,suspected variable
27 Lyn,,27,,67006,39847,08h 08m 27.50s,+51° 30′ 24.0″,4.78,0.65,218,A2V,suspected variable
HD 82741,,,,82741,47029,09h 35m 03.85s,+39° 37′ 17.2″,4.81,0.58,229,K0III,
12 Lyn,,12,,48250,32438,06h 46m 14.15s,+59° 26′ 30.1″,4.86,0.63,229,A3V,
ψ10 Aur,(ψ10),16,,50973,33485,06h 57m 37.12s,+45° 05′ 38.8″,4.9,0.71,225,A2Vn,suspected variable
24 Lyn,,24,,61497,37609,07h 43m 00.46s,+58° 42′ 37.8″,4.93,0.62,237,A3IVn,
1 Lyn,,1,UW,42973,29919,06h 17m 54.83s,+61° 30′ 55.1″,4.95,-1.34,590,M3III,"slow irregular variable, Δ*V* = 0.11m"
HD 56169,,,,56169,35384,07h 18m 31.98s,+49° 27′ 53.1″,5,0.2,297,A4IIIn,
35 Lyn,,35,,75506,43531,08h 51m 56.84s,+43° 43′ 35.4″,5.15,0.53,274,K0III,
DU Lyn,,,DU,62647,37946,07h 46m 39.26s,+37° 31′ 02.5″,5.18,0.18,326,M3III,"semiregular variable, Δ*V* = 0.13m"
18 Lyn,,18,,55280,35146,07h 15m 55.02s,+59° 38′ 17.1″,5.2,1.34,193,K2III,
5 Lyn,,5,,44708,30679,06h 26m 48.88s,+58° 25′ 02.7″,5.21,-1.39,682,K4III,
42 Lyn,,42,,83287,47300,09h 38m 21.79s,+40° 14′ 23.2″,5.28,2.36,125,F0V,
50 Cam,,-50,,61931,37701,07h 44m 04.19s,+50° 26′ 01.9″,5.31,-1.32,689,A0IIIn,
