Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Men,α,,43834,29271,06h 10m 14.20s,−74° 45′ 09.1″,5.08,5.05,33,G5V,
γ Men,γ,,37763,25918,05h 31m 52.66s,−76° 20′ 30.0″,5.18,2.73,101,K4III,double star
β Men,β,,33285,23467,05h 02m 43.00s,−71° 18′ 51.6″,5.3,-1.17,642,G8III,
θ Men,θ,,54239,33384,06h 56m 34.48s,−79° 25′ 12.7″,5.45,0.26,356,B9.5V,
κ Men,κ,,40953,27566,05h 50m 16.80s,−79° 21′ 41.5″,5.46,0.87,270,B9.5V,
η Men,η,,32440,22871,04h 55m 11.14s,−74° 56′ 13.2″,5.47,-1.23,712,K6III,suspected variable
μ Men,μ,,30612,21949,04h 43m 03.95s,−70° 55′ 52.0″,5.53,-0.32,483,B9IV,
ε Men,ε,,60816,36039,07h 25m 38.19s,−79° 05′ 39.1″,5.54,-0.24,466,K2/K3III,
ζ Men,ζ,,50506,31897,06h 40m 02.91s,−80° 48′ 49.4″,5.61,0.14,404,A5III,
π Men,π,,39091,26394,05h 37m 08.79s,−80° 28′ 18.0″,5.65,4.35,59,G3IV,has a planet (b)
δ Men,δ,,28525,20049,04h 17m 59.18s,−80° 12′ 51.1″,5.67,0.19,408,K2/K3III+..,double star
HD 22676,,,22676,16290,03h 29m 58.93s,−78° 21′ 06.4″,5.68,0.81,307,G8III,
ν Men,ν,,29116,20297,04h 20m 58.03s,−81° 34′ 48.8″,5.78,2.13,175,F0/F2III,
WX Men,,WX,37993,26169,05h 34m 44.78s,−73° 44′ 28.9″,5.79,-1.74,1045,M2/M3III,"semiregular variable, Δ*V* = 0.15m"
ξ Men,ξ,,34172,23148,04h 58m 50.99s,−82° 28′ 13.9″,5.84,0.69,349,G8III,"variable star, Δ*V* = 0.005m, *P* = 148.14815 d"
ι Men,ι,,38602,26264,05h 35m 36.13s,−78° 49′ 15.2″,6.04,-0.9,795,B8III,"rotating ellipsoidal variable, *V*max = 6.00m, *V*min = 6.05m, *P* = 5.288 d"
HD 30479,,,30479,21611,04h 38m 21.74s,−77° 39′ 21.5″,6.05,-0.46,655,K2III,
TZ Men,,TZ,39780,25776,05h 30m 13.93s,−84° 47′ 06.8″,6.18,1.03,349,A1III + B9V:,"Algol variable, *V*max = 6.19m, *V*min = 6.87m, *P* = 8.56898 d"
HD 33875,,,33875,23737,05h 06m 09.26s,−73° 02′ 16.2″,6.26,0.69,423,A0V,
HD 31975,,,31975,22717,04h 53m 05.73s,−72° 24′ 30.0″,6.28,3.72,106,F8V,
HD 23474,,,23474,16827,03h 36m 30.18s,−78° 19′ 23.1″,6.29,-0.65,795,K2III,
HD 33519,,,33519,23251,05h 00m 13.29s,−78° 18′ 00.0″,6.29,-1.3,1072,K5/M0III,optical double
HD 35184,,,35184,24507,05h 15m 24.88s,−73° 35′ 18.6″,6.49,1.28,359,A6V,
λ Men,λ,,39810,27369,05h 47m 48.15s,−72° 42′ 08.3″,6.54,1.17,386,K0III,
HD 38283,,,38283,26380,05h 37m 02 s,−73° 41′ 58 ″,6.7,,123,F9.5V,has a planet (b)
YY Men,,YY,32918,23106,04h 58m 17.94s,−75° 16′ 38.0″,8.05,,942,K2III,"FK Com Variable, *V*max = 7.91m, *V*min = 8.40m, *P* = 9.603 d"
HD 39194,,,39194,27080,05h 44m 32s,−70° 08′ 37″,8.08,,84,K0V,"has three planets (b, c and d)"
UX Men,,UX,37513,25760,05h 30m 03.18s,−76° 14′ 55.4″,8.24,,332,F8V,"Algol variable, Δ*V* = 0.380m, *P* = 8.287 d"
TY Men,,TY,37909,25472,05h 26m 49.73s,−81° 35′ 07.2″,8.26,,569,A3/A4V,"W UMa Variable, *V*max = 8.08m, *V*min = 8.56m, *P* = 0.46166701 d"
R71,,,269006,23428,05h 02m 07.39s,−71° 20′ 13.11″,10.55,,160000,OB,"in LMC, luminous blue variable"
HDE 268835,,,268835,22989,04h 56m 47.08s,−69° 50′ 24.79″,10.66,,160000,B8Ie,in LMC; blue hypergiant
TU Men,,TU,,,04h 41m 40.70s,−76° 36′ 45.8″,11.6,,,,"SU UMa Variable, *V*max = 11.6m, *V*min = 18.5m, *P* = 0.1172 d"
HV 2257,,,,,04h 58m 10.80s,−69° 56′ 59.0″,12.5,,160000,K5-M3,"in LMC, Cepheid variable"
AH Men,,AH,,,06h 11m 43.95s,−81° 49′ 22.7″,13.15,,,,"Nova-like star, *V*max = 13.15m, *V*min = 13.9m, *P* = 0.12721 d"
W Men,,W,,,05h 26m 24.52s,−71° 11′ 11.8″,13.8,,160000,F8:Iab:p,in LMC; R CrB variable
RX J0513.9-6952,,,,,05h 13m 50.81s,−69° 51′ 46.7″,17,,160000,Ss,"in LMC, X-ray binary"
LMC X-2,,,,,05h 20m 28.04s,−71° 57′ 53.3″,18,,160000,,"in LMC, Low-mass X-ray binary"
MACHO-LMC-5,,,,,05h 16m 41.1s,−70° 29′ 18″,21.15,,160000,,microlensing event; source in LMC lensed by red dwarf
CAL-87,,,,,05h 46m 46.39s,−71° 08′ 53.9″,,,160000,,"in LMC, X-ray binary"
