Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ2 Nor,γ2,,146686,80000,16h 19m 50.57s,−50° 09′ 19.4″,4.01,1.05,127,G8III,
ε Nor,ε,,147971,80582,16h 27m 11.05s,−47° 33′ 17.0″,4.46,-0.98,400,B4V,binary star
ι1 Nor,ι1,,143474,78662,16h 03m 32.22s,−57° 46′ 29.5″,4.63,1.46,140,A7IV,multiple star
η Nor,η,,143546,78639,16h 03m 12.86s,−49° 13′ 47.0″,4.65,0.53,218,G8III,
δ Nor,δ,,144197,78914,16h 06m 29.42s,−45° 10′ 23.8″,4.73,1.84,123,Am,
μ Nor,μ,,149038,81122,16h 34m 05.02s,−44° 02′ 43.1″,4.91,-5.91,4657,B0Ia,"α Cyg variable, *V*max = 4.87m, *V*min = 4.98m"
κ Nor,κ,,145397,79509,16h 13m 28.73s,−54° 37′ 49.5″,4.95,-0.69,438,G4III,
γ1 Nor,γ1,,146143,79790,16h 17m 00.94s,−50° 04′ 05.2″,4.97,-3.25,1436,F9Ia,
θ Nor,θ,,145842,79653,16h 15m 15.35s,−47° 22′ 18.9″,5.13,0.35,295,B8V,
HD 147152,,,147152,80208,16h 22m 28.01s,−49° 34′ 20.2″,5.32,-0.84,556,B6IV,
QU Nor,,QU,148379,80782,16h 29m 42.33s,−46° 14′ 35.6″,5.35,-2.47,1194,B1.5Iap,"α Cyg variable, *V*max = 5.27m, *V*min = 5.41m, *P* = 4.818 d"
HD 139129,,,139129,76618,15h 38m 49.50s,−52° 22′ 21.4″,5.43,-0.3,457,B9V,
λ Nor,λ,,146667,79963,16h 19m 17.64s,−42° 40′ 26.2″,5.44,-0.34,468,A3Vn,
V368 Nor,,V368,146003,79754,16h 16m 43.27s,−53° 48′ 40.0″,5.45,-1.51,805,M2IV,semiregular variable
ι2 Nor,ι2,,144480,79153,16h 09m 18.56s,−57° 56′ 03.0″,5.57,0.97,271,B9V,
HD 145782,,,145782,79689,16h 15m 49.81s,−57° 54′ 44.0″,5.61,0.34,370,A5III,suspected variable
HD 147977,,,147977,80675,16h 28m 15.18s,−58° 35′ 59.0″,5.67,-0.92,679,B9III,
V360 Nor,,V360,141318,77645,15h 51m 06.81s,−55° 03′ 19.9″,5.74,-4.51,3663,B2II,α Cyg variable
HD 146690,,,146690,80054,16h 20m 25.23s,−55° 08′ 22.8″,5.76,0.53,363,G6III,
HD 141168,,,141168,77562,15h 50m 07.11s,−53° 12′ 34.8″,5.78,0.55,362,B8V,
HD 142049,,,142049,77990,15h 55m 32.42s,−60° 10′ 38.9″,5.78,2.18,171,Amvar,
ζ Nor,ζ,,145361,79497,16h 13m 22.80s,−55° 32′ 27.0″,5.78,1.53,231,F2III,
HD 141194,,,141194,77541,15h 49m 57.52s,−48° 54′ 44.6″,5.86,1.99,194,A2IV,
HD 147225,,,147225,80212,16h 22m 29.07s,−43° 54′ 43.3″,5.89,-1.63,1042,G2Ib,
HD 139211,,,139211,76716,15h 39m 56.69s,−59° 54′ 28.1″,5.95,3.5,101,F6V,
HD 141544,,,141544,77678,15h 51m 31.52s,−47° 03′ 38.6″,6,0.35,439,K1IV,
HD 139871,,,139871,76935,15h 42m 37.23s,−49° 29′ 22.2″,6.02,0.02,517,K2III,
V367 Nor,,V367,145384,79490,16h 13m 16.97s,−53° 40′ 16.2″,6.03,-4.87,4939,M0III,irregular variable
HD 140979,,,140979,77454,15h 48m 50.42s,−52° 26′ 17.6″,6.05,-0.82,773,K2/K3III,
V378 Nor,,V378,148218,80788,16h 29m 45.22s,−57° 45′ 22.7″,6.09,-2.27,1531,G8Ib,Cepheid variable
HD 142919,,,142919,78355,15h 59m 54.15s,−54° 01′ 15.2″,6.1,-1.88,1289,B5IV,
HD 141296,,,141296,77574,15h 50m 16.28s,−45° 24′ 05.9″,6.11,2.85,147,F0V,
HD 143101,,,143101,78469,16h 01m 06.51s,−54° 34′ 40.1″,6.12,0.43,448,A7III,
HD 145921,,,145921,79661,16h 15m 23.98s,−42° 53′ 57.9″,6.14,1.76,245,K2III,
HD 144183,,,144183,78989,16h 07m 24.09s,−56° 11′ 27.4″,6.16,-1.81,1278,F2II,
T Nor,,T,140041,77058,15h 44m 03.84s,−54° 59′ 12.5″,6.2,,903,M4+B,"Mira variable, *V*max = 6.2m, *V*min = 13.6m, *P* = 244 d"
HD 146145,,,146145,79812,16h 17m 20.97s,−53° 05′ 10.6″,6.3,1.85,253,A7V,
HD 142529,,,142529,78117,15h 57m 03.95s,−48° 09′ 42.9″,6.31,2.84,161,F1IV,
HD 147614,,,147614,80421,16h 24m 54.14s,−45° 20′ 58.1″,6.32,1.51,299,A2/A3V,
HD 143321,,,143321,78540,16h 02m 04.49s,−51° 07′ 14.6″,6.38,-0.35,723,B5V,
HD 143548,,,143548,78710,16h 04m 06.20s,−59° 10′ 34.2″,6.4,-3.1,2587,K1II/III,
HD 146059,,,146059,79787,16h 16m 58.99s,−53° 41′ 45.5″,6.4,2.11,236,G5V,
HD 140274,,,140274,77138,15h 44m 59.61s,−50° 47′ 07.5″,6.41,1.44,321,A3V,
S Nor,,S,146323,79932,16h 18m 51.82s,−57° 53′ 59.2″,6.45,-3.18,2741,F9Ib,"Cepheid variable, *V*max = 6.12m, *V*min = 6.77m, *P* = 9.75411 d; member 
of the NGC 6087 star cluster"
HD 139915,,,139915,77042,15h 43m 55.28s,−60° 17′ 13.9″,6.46,-1.62,1347,G0Ib,
QY Nor,,QY,143658,78731,16h 04m 21.32s,−53° 42′ 37.2″,6.46,-1.08,1048,B9II/IIIp..,"α² CVn variable, Δ*V* = 0.014m, *P* = 5.2 d"
HD 148937,,,148937,81180,16h 33m 52.39s,−48° 06′ 40.5″,6.71,,1390,O5.5-6f?p,spectroscopic binary; misclassified as a planetary nebula
HD 142415,,,142415,78169,15h 57m 40.79s,−60° 12′ 00.9″,7.34,4.65,113,G1V,has a planet (b)
HD 148156,,,148156,80680,16h 28m 17.28s,−46° 19′ 03.4″,7.71,4.09,173,G1V,has a planet (b)
HD 139084,,V343,139084,76629,15h 38m 57.54s,−57° 42′ 27.3″,7.98,,125.6,K0V,"T Tauri star, Δ*V* = 0.092m, *P* = 4.29 d"
R Nor,,R,138743,76377,15h 35m 57.35s,−49° 30′ 28.6″,8,1.55,635,M3e,"Mira variable, *V*max = 6.5m, *V*min = 13.9m, *P* = 507.5 d"
IM Nor,,IM,,,15h 39m 26.46s,−52° 19′ 18.0″,8.5,,,,"recurrent nova and eclipsing binary, *V*max = 8.5m, *V*min = 18.5m, *P* = 
0.10263312 d"
QZ Nor,,QZ,144972,,16h 11m 20.46s,−54° 21′ 14.8″,8.71,,,F6Iab:,"Cepheid variable, *V*max = 8.71m, *V*min = 9.03m, *P* = 3.786008 d"
HD 143361,,,143361,78521,16h 01m 50.35s,−44° 26′ 04.3″,9.16,5.29,194,G6V,has a planet (b)
HD 330075,,,330075,77517,15h 49m 37.69s,−49° 57′ 48.7″,9.36,5.86,164,G5,has a planet (b)
RS Nor,,RS,,78797,16h 05m 09.96s,−53° 55′ 09.9″,10.09,,1240,F6,"Cepheid variable, *V*max = 9.62m, *V*min = 10.39m, *P* = 6.19814 d"
RT Nor,,RT,,80365,16h 24m 18.65s,−59° 20′ 38.7″,10.6,,,R,"R CrB variable, *V*max = 9.8m, *V*min = 14.7m"
RZ Nor,,RZ,,,16h 32m 41.66s,−53° 15′ 33.2″,10.63,,,,"R CrB variable, *V*max = 10.2m, *V*min = <16.2m, *P* = 36.8 d"
TW Nor,,TW,,78771,16h 04m 55.22s,−51° 57′ 12.7″,11.17,,,,"Cepheid variable, *V*max = 11.17m, *V*min = 12.22m, *P* = 10.78618 d"
HD 330036,,,330036,77662,15h 51m 15.93s,−48° 44′ 58.4″,11.28,,2230,FIII-IV,Emission-line star; misclassified as a planetary nebula
V346 Nor,,V346,,,16h 32m 32.19s,−44° 55′ 30.7″,16.3,,,,"FU Ori variable, *V*max = 16.3m, *V*min = 17.23m"
XTE J1550-564,,V381,,,15h 50m 58.78s,−56° 28′ 35.0″,16.6,,,K3III,"X-ray nova, *V*max = 15.6m, *V*min = <21.4m, *P* = 1.5420333 d"
Hen 2-147,,V347,,,16h 14m 01.10s,−56° 59′ 28.0″,,,,M8/9e,Mira variable; misclassified as a planetary nebula
1E 161348-5055,,,,,16h 17.5m,−51° 02′,,,10000,,unusual neutron star in RCW 103
SGR J1550-5418,,,,,15h 50m 54.11s,−54° 18′ 23.7″,,,30000,,soft gamma repeater
4U 1538-52,,QV,,,15h 42m 23.36s,−52° 23′ 09.6″,,,,B0Iab,X-ray pulsar
4U 1608-52,,QX,,,16h 12m 43.0s,−52° 25′ 23″,,,,,"X-ray burster, *V*max = 11.17m, *V*min = 12.22m, *P* = 10.78618 d"
4U 1624-490,,,,,16h 28m 02.83s,−49° 11′ 54.6″,,,,,Low-mass X-ray binary
4U 1630-47,,,,,16h 34m 01.61s,−47° 23′ 34.8″,,,,,Low-mass X-ray binary
"Table legend: 
[TABLE]",,,,,,,,,,,
