Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Rigel,β,19,,34085,24436,05h 14m 32.27s,−08° 12′ 05.9″,0.18,-6.69,773,B8Ia + B9V + B9V,"7th brightest star, triple star system; α Cyg variable"
Betelgeuse,α,58,,39801,27989,05h 55m 10.29s,+07° 24′ 25.3″,0.42,-6.02,643,M2Ib,"9th brightest star on average, semiregular variable, *V*max = 0m, *V*min = 
1.3m, *P* = 2335 d"
Bellatrix,γ,24,,35468,25336,05h 25m 07.87s,+06° 20′ 59.0″,1.64,-2.72,243,B2III,suspected variable
Alnilam,ε,46,,37128,26311,05h 36m 12.81s,−01° 12′ 06.9″,1.69,-6.38,1342,B0Ia,"α Cyg variable, α Cyg variable, *V*max = 1.64m, *V*min = 1.74m"
Alnitak A,ζ,50,,37742,26727,05h 40m 45.52s,−01° 56′ 33.3″,1.88,-6,817,O9.7Ib,component of the Alnitak system; suspected variable
Saiph,κ,53,,38771,27366,05h 47m 45.39s,−09° 40′ 10.6″,2.07,-4.65,721,B0.5Ia,suspected variable
Mintaka AB,δ,34,,36486,25930,05h 32m 00.40s,−00° 17′ 56.7″,2.2,-5.8,916,B0III+O9V,"component of the Mintaka system; Algol variable, *V*max = 2.20m, *V*min = 
2.32m, *P* = 5.73 d"
ι Ori,ι,44,,37043,26241,05h 35m 25.98s,−05° 54′ 35.6″,2.75,-5.3,1325,O9III,
π3 Ori,π3,1,,30652,22449,04h 49m 50.14s,+06° 57′ 40.5″,3.19,3.67,26,F6V,Tabit; suspected variable
η Ori,η,28,,35411,25281,05h 24m 28.62s,−02° 23′ 49.7″,3.35,-3.86,901,B1V + B2,"β Cep variable, *V*max = 3.31m, *V*min = 3.6m, *P* = 7.99 d"
Meissa A,λ,39,,36861,26207,05h 35m 08.28s,+09° 56′ 03.0″,3.47,-4.25,1055,O8III,component of the Meissa system; suspected variable
τ Ori,τ,20,,34503,24674,05h 17m 36.40s,−06° 50′ 39.8″,3.59,-2.56,554,B5III,
π4 Ori,π4,3,,30836,22549,04h 51m 12.37s,+05° 36′ 18.4″,3.68,-4.25,1259,B2III,"variable star, Δ*V* = 0.003m, *P* = 1.60 d"
Alnitak BC,ζ,50,,37743,26727,05h 40m 45.60s,−01° 56′ 34.0″,3.7,-3.29,817,B0III+B1IV,components of the Alnitak system
π5 Ori,π5,8,,31237,22797,04h 54m 15.10s,+02° 26′ 26.4″,3.71,-4.36,1342,B2III,"rotating ellipsoidal variable, *V*max = 3.66m, *V*min = 3.73m, *P* = 3.70 d"
σ Ori AB,σ,48,,37468,26549,05h 38m 44.77s,−02° 36′ 00.2″,3.77,-3.96,1148,O9.5V,component of the σ Ori system; spectroscopic binary; suspected variable
ο2 Ori,ο2,9,,31421,22957,04h 56m 22.32s,+13° 30′ 52.5″,4.06,0.48,169,K2III,
φ2 Ori,φ2,40,,37160,26366,05h 36m 54.33s,+09° 17′ 29.1″,4.09,1.33,116,G8III-IV,
μ Ori,μ,61,,40932,28614,06h 02m 22.99s,+09° 38′ 50.5″,4.12,0.78,152,Am...,suspected eclipsing binary
29 Ori,e,29,,35369,25247,05h 23m 56.84s,−07° 48′ 28.6″,4.13,0.49,174,G8III,
32 Ori,A,32,,36267,25813,05h 30m 47.05s,+05° 56′ 53.6″,4.2,-0.53,288,B5V,
π2 Ori,π2,2,,30739,22509,04h 50m 36.72s,+08° 54′ 00.9″,4.35,0.48,194,A1Vn,
φ1 Ori,φ1,37,,36822,26176,05h 34m 49.24s,+09° 29′ 22.5″,4.39,-3.01,985,B0IV...,
χ1 Ori,χ1,54,,39587,27913,05h 54m 23.08s,+20° 16′ 35.1″,4.39,4.67,28,G0V,"RS CVn variable, *V*max = 4.38m, *V*min = 4.41m"
