Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Pav,α,,193924,100751,20h 25m 38.85s,−56° 44′ 05.6″,1.94,-1.81,183,B2IV,"Peacock, Joo Tseo; suspected variable, *V*max = 1.93m, *V*min = 1.96m"
β Pav,β,,197051,102395,20h 44m 57.56s,−66° 12′ 11.7″,3.42,0.29,137,A5IV,
δ Pav,δ,,190248,99240,20h 08m 41.86s,−66° 10′ 45.6″,3.55,4.62,20,G5IV-Vvar,Sun-like star
η Pav,η,,160635,86929,17h 45m 44.00s,−64° 43′ 25.4″,3.61,-1.67,371,K1III,
ε Pav,ε,,188228,98495,20h 00m 35.39s,−72° 54′ 36.7″,3.97,1.41,106,A0V,"suspected variable, *V*max = 3.93m, *V*min = 3.97m"
ζ Pav,ζ,,171759,91792,18h 43m 02.13s,−71° 25′ 39.8″,4.01,-0.03,210,K2III,
γ Pav,γ,,203608,105858,21h 26m 26.49s,−65° 22′ 05.3″,4.21,4.39,30,F6V,"suspected variable, *V*max = 4.17m, *V*min = 4.30m"
λ Pav,λ,,173948,92609,18h 52m 13.04s,−62° 11′ 15.2″,4.22,-4.5,1811,B2II-III,"γ Cas variable, *V*max = 4m, *V*min = 4.26m"
π Pav,π,,165040,88866,18h 08m 34.79s,−63° 40′ 05.0″,4.33,1.19,138,Am,
ξ Pav,ξ,,168339,90098,18h 23m 13.62s,−61° 29′ 38.1″,4.35,-1.2,420,M1III SB,
κ Pav,κ,,174694,93015,18h 56m 57.04s,−67° 14′ 00.7″,4.4,-1.71,543,F5Ib-II:,"W Vir variable, *V*max = 3.91m, *V*min = 4.78m, *P* = 9.083 d"
ν Pav,ν,,169978,90797,18h 31m 22.43s,−62° 16′ 41.5″,4.63,-1.2,479,B8III,"53 Per variable, *V*max = 4.60m, *V*min = 4.64m, *P* = 0.85584 d"
φ1 Pav,φ1,,195627,101612,20h 35m 34.77s,−60° 34′ 52.7″,4.75,2.55,90,F1III,
HD 172555,,,172555,92024,18h 45m 26.86s,−64° 52′ 15.2″,4.78,2.45,95,A7V,
ρ Pav,ρ,,195961,101773,20h 37m 35.24s,−61° 31′ 47.1″,4.85,0.98,195,Fm...,"δ Sct variable, Δ*V* = 0.055m, *P* = 0.1141 d"
NU Pav,,NU,189124,98608,20h 01m 44.72s,−59° 22′ 33.0″,4.95,-0.67,434,M6III,"semiregular variable, *V*max = 4.91m, *V*min = 5.26m, *P* = 60 d"
ο Pav,ο,,201371,104755,21h 13m 20.44s,−70° 07′ 34.4″,5.06,-2.12,888,M2III,"semiregular variable, *V*max = 5.00m, *V*min = 5.10m, *P* = 228.3 d"
φ2 Pav,φ2,,196378,101983,20h 40m 02.27s,−60° 32′ 51.0″,5.11,3.19,79,F8V,
ω Pav,ω,,175329,93163,18h 58m 36.59s,−60° 12′ 02.3″,5.14,-0.86,516,K1III-IV,suspected variable
υ Pav,υ,,196519,102157,20h 41m 57.06s,−66° 45′ 38.3″,5.14,-1.92,840,B8Vvar,
HD 188162,,,188162,98174,19h 57m 06.28s,−58° 54′ 04.7″,5.24,0.41,302,B9.5IV,
HD 177389,,,177389,94150,19h 09m 52.62s,−68° 25′ 27.6″,5.31,2.48,120,G8/K0III/IV,
μ2 Pav,μ2,,188887,98624,20h 01m 52.40s,−66° 56′ 37.7″,5.32,1.04,234,K2IVCN...,
HD 186219,,,186219,97534,19h 49m 25.29s,−72° 30′ 12.3″,5.39,2.3,135,A4III,
HD 186957,,,186957,97646,19h 50m 44.78s,−59° 11′ 37.1″,5.41,0.9,260,A0IV,
σ Pav,σ,,197635,102773,20h 49m 18.28s,−68° 46′ 35.0″,5.41,0.56,305,K0III,
ι Pav,ι,,165499,89042,18h 10m 26.26s,−62° 00′ 10.0″,5.47,4.22,58,G0V,
SX Pav,,SX,203881,106044,21h 28m 44.79s,−69° 30′ 19.0″,5.47,0.05,396,M5III,"semiregular variable, *V*max = 5.18m, *V*min = 5.99m, *P* = 50.87 d"
HD 179366,,,179366,94789,19h 17m 12.22s,−66° 39′ 39.7″,5.52,0.73,296,A4IV/V,
HD 166599,,,166599,89487,18h 15m 40.66s,−63° 03′ 19.1″,5.58,0.79,296,K0III/IV,
HD 198160,,,198160,102962,20h 51m 38.40s,−62° 25′ 45.2″,5.67,1.35,238,A2,
HD 200525,,,200525,104440,21h 09m 21.52s,−73° 10′ 20.2″,5.67,4.31,61,G3IV,
θ Pav,θ,,173168,92294,18h 48m 37.96s,−65° 04′ 39.0″,5.71,1.51,226,A9V,
HD 169836,,,169836,90664,18h 29m 56.68s,−57° 31′ 23.1″,5.74,0.54,357,K0III,
HD 188097,,,188097,98332,19h 58m 41.18s,−69° 09′ 49.4″,5.74,1.48,232,Am,
μ1 Pav,μ1,,188584,98478,20h 00m 23.11s,−66° 56′ 56.0″,5.75,1.64,216,K0IV,
HD 200751,,,200751,104364,21h 08m 32.71s,−63° 55′ 41.8″,5.75,-0.13,489,K0III,
HD 172211,,,172211,91854,18h 43m 37.32s,−64° 33′ 04.7″,5.76,0.26,410,K0III,
HD 161814,,,161814,87393,17h 51m 35.47s,−60° 09′ 50.5″,5.78,0.5,371,K0III,
HD 169570,,,169570,90930,18h 32m 55.33s,−73° 57′ 55.4″,5.88,0.69,356,K0III,
HD 175986,,,175986,93574,19h 03m 29.68s,−68° 45′ 19.9″,5.89,2.12,185,F8V,
HD 160720,,,160720,86871,17h 44m 55.84s,−57° 32′ 43.8″,5.97,0.49,406,G8III,
HD 175401,,,175401,93287,19h 00m 03.55s,−66° 39′ 12.7″,5.98,0.33,439,K0III,
HD 182709,,,182709,95999,19h 31m 10.94s,−68° 26′ 02.0″,5.98,-1.54,1042,K4/K5III,suspected variable
HD 172630,,,172630,92008,18h 45m 11.50s,−61° 05′ 42.5″,6.04,-1.47,1035,K3III,
HD 172881,,,172881,92394,18h 49m 43.68s,−72° 59′ 44.6″,6.04,-0.73,736,B9.5IV/V,
NZ Pav,,NZ,186786,97674,19h 51m 01.09s,−65° 36′ 16.9″,6.04,2.15,196,F2III-IV,"δ Sct variable, Δ*V* = 0.017m, *P* = 0.08 d"
HD 189567,,,189567,98959,20h 05m 31.49s,−67° 19′ 09.3″,6.07,4.83,58,G2V,has a planet (b)
HD 184996,,,184996,96882,19h 41m 37.24s,−65° 51′ 15.3″,6.08,-0.74,753,M0III,
HD 191603,,,191603,99762,20h 14m 26.96s,−63° 24′ 57.1″,6.09,1.8,235,F0IV,
HD 195402,,,195402,101626,20h 35m 51.67s,−69° 36′ 37.7″,6.09,-0.94,830,K2III,
HD 203212,,,203212,105768,21h 25m 18.01s,−71° 47′ 56.7″,6.09,0.03,531,K2III,
HD 168740,,V346,168740,90304,18h 25m 31.63s,−63° 01′ 16.6″,6.13,1.87,232,A3V,δ Sct variable
HD 167425,,,167425,89805,18h 19m 40.08s,−63° 53′ 09.2″,6.17,4.37,75,F9V,
HD 200924,,,200924,104597,21h 11m 20.87s,−72° 32′ 39.4″,6.18,0.79,390,K1III,
HD 184585,,,184585,96607,19h 38m 25.92s,−57° 58′ 59.5″,6.19,0.34,482,K0III,
HD 186837,,,186837,97611,19h 50m 21.75s,−61° 03′ 40.1″,6.21,-0.99,898,B5V,
HD 187653,,,187653,97971,19h 54m 40.45s,−61° 10′ 14.9″,6.21,1.36,304,A3V,
HD 172781,,,172781,92021,18h 45m 23.93s,−56° 52′ 54.9″,6.22,-0.39,685,K3III,
HD 196317,,,196317,101965,20h 39m 51.72s,−62° 54′ 27.4″,6.22,0.64,426,K1III,
τ Pav,τ,,179009,94724,19h 16m 28.60s,−69° 11′ 26.7″,6.25,-0.14,619,A6IV/V,
HD 192531,,,192531,100165,20h 19m 03.01s,−63° 13′ 50.0″,6.27,0.59,445,K0III,
Y Pav,,Y,203133,105678,21h 24m 16.73s,−69° 44′ 01.9″,6.28,-1.52,1181,C5II,"semiregular variable, *V*max = 5.79m, *V*min = 6.90m, *P* = 449 d"
HD 176522,,,176522,93629,19h 04m 01.00s,−57° 57′ 35.9″,6.3,0.11,565,G6II/III,
HD 166841,,,166841,89674,18h 18m 00.96s,−68° 13′ 45.2″,6.32,-0.33,697,B9V,
HD 202299,,,202299,105148,21h 18m 00.47s,−64° 40′ 53.4″,6.32,0.18,552,B8V,"suspected variable, *V*max = 6.30m, *V*min = 6.33m"
HD 181019,,,181019,95369,19h 24m 05.51s,−68° 22′ 15.9″,6.33,-0.25,676,K2III,
HD 195772,,,195772,101684,20h 36m 38.33s,−63° 07′ 14.8″,6.34,2.5,191,F2V,
HD 172021,,,172021,91733,18h 42m 22.63s,−64° 38′ 34.7″,6.35,-0.51,767,A5V,
HD 162521,,,162521,87822,17h 56m 24.18s,−65° 43′ 15.5″,6.36,3.67,113,F8V,
HD 191095,,,191095,99453,20h 11m 07.41s,−57° 31′ 27.0″,6.36,0.65,452,A1V,variable star
HD 199475,,,199475,103752,21h 01m 28.03s,−68° 12′ 34.6″,6.36,1.76,272,A2V,
HD 184586,,,184586,96734,19h 39m 52.13s,−66° 41′ 07.5″,6.37,1.31,335,A0Vn,
HD 165497,,,165497,89006,18h 09m 57.59s,−59° 02′ 24.6″,6.38,-0.09,642,K4III,
HD 188164,,,188164,98346,19h 58m 52.93s,−68° 45′ 44.7″,6.38,1.28,341,A2V,
HD 164871,,,164871,88815,18h 07m 48.37s,−64° 33′ 00.1″,6.4,0.32,535,K2/K3III,
HD 170525,,,170525,90981,18h 33m 29.44s,−58° 42′ 30.7″,6.4,2.89,164,G5IV,
HD 161475,,,161475,87264,17h 49m 53.01s,−61° 42′ 52.8″,6.41,-0.22,689,B9IV,
HD 195190,,,195190,101570,20h 35m 06.34s,−71° 11′ 19.7″,6.41,-0.55,805,K2III,
HD 179419,,,179419,94770,19h 17m 00.53s,−65° 13′ 39.5″,6.42,-0.24,700,B8/B9V,
HD 186584,,,186584,97569,19h 49m 53.42s,−66° 48′ 47.1″,6.44,-1.15,1076,K4III,
HD 190222,,,190222,99200,20h 08m 20.48s,−66° 21′ 16.8″,6.45,-1.28,1144,K5III,
HD 166251,,,166251,89370,18h 14m 16.36s,−63° 41′ 22.3″,6.47,0.1,614,K4III,
HD 174877,,,174877,93012,18h 56m 54.70s,−62° 48′ 06.9″,6.47,-1.24,1136,K3III,
HD 161955,,,161955,87564,17h 53m 18.22s,−65° 29′ 18.4″,6.48,0.47,519,K0/K1III,
HD 175007,,,175007,93238,18h 59m 29.27s,−70° 28′ 06.1″,6.49,1.33,351,A8V,
HD 192887,,,192887,100379,20h 21m 28.46s,−66° 44′ 58.9″,6.49,3.27,143,F6V,
V Pav,,V,160435,86728,17h 43m 18.94s,−57° 43′ 26.3″,6.84,,1210,C+,"semiregular variable, *V*max = 6.3m, *V*min = 7.17m, *P* = 226.1 d"
HD 164427,,,164427,88531,18h 04m 42.60s,−59° 12′ 34.5″,6.84,,123.9,G0+V,has a low-mass companion
AR Pav,,AR,,89886,18h 20m 27.88s,−66° 04′ 42.9″,7.4,,2300,B1,"Z And and Algol variable, *V*max = 7.40m, *V*min = 13.620m, *P* = 604.6 d"
R Pav,,R,165961,89258,18h 12m 52.95s,−63° 36′ 57.3″,7.5,,1100,M4.5e,"Mira variable, *V*max = 6.86m, *V*min = 14.0m, *P* = 234 d"
