Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
ε Peg,ε,8,11,,206778,107315,21h 44m 11.14s,+09° 52′ 30.0″,2.38,-4.19,672,K2Ibvar,"Enif, Enf, Enir, Al Anf, Fom, Fum al Faras, Os Pegasi"
β Peg,β,53,,,217906,113881,23h 03m 46.33s,+28° 04′ 56.8″,2.44,-1.49,199,M2II-IIIvar,"Scheat, Sheat, Seat Alpheras, Menkib"
α Peg,α,54,,,218045,113963,23h 04m 45.62s,+15° 12′ 19.3″,2.49,-0.67,140,B9.5III,"Markab, Marchab, Menkib al Faras, Matn al Faras"
γ Peg,γ,88,,,886,1067,00h 13m 14.15s,+15° 11′ 01.0″,2.83,-2.22,333,B2IV,Algenib; β Cep variable
η Peg,η,44,,,215182,112158,22h 43m 00.13s,+30° 13′ 16.7″,2.93,-1.16,215,G2II-III..,"Matar, Sad al Matar"
ζ Peg,ζ,42,,,214923,112029,22h 41m 27.67s,+10° 49′ 53.0″,3.41,-0.62,208,B8.5V,"Homam, Homan, Humam, Al Hammam"
μ Peg,μ,48,,,216131,112748,22h 50m 00.10s,+24° 36′ 06.1″,3.51,0.74,117,M2III,"Sadalbari, Sad al Bari, Sad al Nazi"
θ Peg,θ,26,25,,210418,109427,22h 10m 11.82s,+06° 11′ 52.0″,3.52,1.16,97,A2V,"Baham, Biham, Sad al Baham"
ι Peg,ι,24,,,210027,109176,22h 07m 00.47s,+25° 20′ 42.2″,3.77,3.42,38,F5V,
λ Peg,λ,47,,,215665,112440,22h 46m 31.84s,+23° 33′ 56.4″,3.97,-1.45,395,G8II-III,"Sadalpheretz, Sadalpheris, Sad al Faris"
1 Peg,,1,,,203504,105502,21h 22m 05.13s,+19° 48′ 15.7″,4.08,0.71,154,K1III,
κ Peg,κ,10,,,206901,107354,21h 44m 38.70s,+25° 38′ 42.0″,4.14,1.4,115,F5IV,Jih
ξ Peg,ξ,46,,,215648,112447,22h 46m 41.44s,+12° 10′ 26.7″,4.2,3.15,53,F7V,
π Peg,π,29,,,210459,109410,22h 09m 59.25s,+33° 10′ 41.8″,4.28,-0.16,252,F5III,Woo
9 Peg,,9,,,206859,107348,21h 44m 30.69s,+17° 21′ 00.2″,4.34,-2.87,901,G5Ib,
υ Peg,υ,68,,,220657,115623,23h 25m 22.66s,+23° 24′ 14.4″,4.42,0.79,173,F8IV,
2 Peg,,2,,,204724,106140,21h 29m 56.88s,+23° 38′ 19.8″,4.52,-1.14,442,M1III,
55 Peg,,55,42,,218329,114144,23h 07m 00.26s,+09° 24′ 34.3″,4.54,-0.43,322,M2III,
70 Peg,,70,,,221115,115919,23h 29m 09.26s,+12° 45′ 37.8″,4.54,0.86,178,G8III,
τ Peg,τ,62,,,220061,115250,23h 20m 38.22s,+23° 44′ 25.3″,4.58,1.03,167,A5V,"Salm, Kerb, El Khereb, Markab; δ Sct variable"
ψ Peg,ψ,84,,,224427,118131,23h 57m 45.55s,+25° 08′ 29.3″,4.63,-0.98,432,M3III,
