Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Fomalhaut,α,24,,216956,113368,22h 57m 38.83s,−29° 37′ 18.6″,1.17,1.74,25,A3V,"Fom Alhout Algenubi,
Os Piscis Meridiani,
Os Piscis Meridionalis,
Os Piscis Notii,
Difda al Auwel;
18th brightest star; has a circumstellar disk and one known planet (b); 
suspected variable"
ε PsA,ε,18,,214748,111954,22h 40m 39.33s,−27° 02′ 37.0″,4.18,-2.61,744,B8V,"suspected variable, *V*max = 4.12m, *V*min = 4.24m"
δ PsA,δ,23,,216763,113246,22h 55m 56.89s,−32° 32′ 22.9″,4.2,0.61,170,G8III,Tiāngāng (天綱)[1]
β PsA,β,17,,213398,111188,22h 31m 30.29s,−32° 20′ 45.7″,4.29,1,148,A1V,
ι PsA,ι,9,,206742,107380,21h 44m 56.79s,−33° 01′ 32.0″,4.35,0.36,205,B9.5V,
γ PsA,γ,22,,216336,112948,22h 52m 31.56s,−32° 52′ 31.6″,4.46,0.29,222,A0III,"suspected variable, *V*max = 4.45m, *V*min = 4.50m"
μ PsA,μ,14,,210049,109285,22h 08m 22.95s,−32° 59′ 18.2″,4.5,1.49,130,A2V,suspected variable
τ PsA,τ,15,,210302,109422,22h 10m 08.48s,−32° 32′ 54.4″,4.94,3.58,61,F6V,
υ PsA,υ,,,210066,109289,22h 08m 25.93s,−34° 02′ 37.4″,4.99,-1.06,528,K4III,
θ PsA,θ,10,,207155,107608,21h 47m 44.17s,−30° 53′ 53.9″,5.02,-0.06,339,A1V,
π PsA,π,,,217792,113860,23h 03m 29.76s,−34° 44′ 58.6″,5.12,2.84,93,A9V,"γ Dor variable, *V*max = 5.10m, *V*min = 5.12m, *P* = 1.06039 d"
HD 210271,,,,210271,109404,22h 09m 55.71s,−34° 00′ 54.1″,5.37,1.3,212,A5IV,
η PsA,η,12,,209014,108661,22h 00m 50.22s,−28° 27′ 13.5″,5.43,-2.03,1012,B8/B9V+...,"suspected variable, *V*max = 5.33m, *V*min = 5.44m"
λ PsA,λ,16,,210934,109789,22h 14m 18.74s,−27° 46′ 00.9″,5.45,-0.51,508,B7V,
WX PsA,,,WX,217236,113532,22h 59m 35.76s,−29° 27′ 44.4″,5.51,0.26,366,F0V,δ Sct variable
HD 217484,,,,217484,113669,23h 01m 19.35s,−28° 51′ 14.1″,5.55,-0.72,584,K3III,
HD 210848,,,,210848,109737,22h 13m 44.39s,−25° 10′ 51.3″,5.58,1.43,221,F7II,
VZ PsA,,,VZ,214484,111809,22h 38m 51.46s,−33° 04′ 53.0″,5.66,0.04,435,A0V,"Algol variable, *V*max = 5.66m, *V*min = 5.83m, *P* = 5.76333 d"
HD 217303,,,,217303,113562,23h 00m 05.77s,−25° 09′ 50.4″,5.66,-1.02,706,K0IICNIII,
8 PsA,,8,,205471,106654,21h 36m 10.90s,−26° 10′ 17.2″,5.73,2.07,176,A7/A8IV,
HD 214122,,,,214122,111600,22h 36m 35.47s,−31° 39′ 49.3″,5.82,0.92,312,K2III,
HD 214690,,,,214690,111934,22h 40m 22.38s,−30° 39′ 30.1″,5.88,-0.59,642,K2/K3III,"suspected variable, *V*max = 5.86m, *V*min = 5.89m"
HD 213135,,,,213135,111045,22h 29m 45.94s,−27° 06′ 26.0″,5.95,2.83,137,F0V,"suspected variable, *V*max = 5.94m, *V*min = 5.99m"
6 PsA,,6,,204854,106340,21h 32m 14.58s,−33° 56′ 40.6″,5.97,0.46,412,A2V,
UU PsA,,,UU,209522,108975,22h 04m 36.76s,−26° 49′ 20.4″,5.97,-1.73,1128,B3V (+B),Be star
21 PsA,,21,,216210,112862,22h 51m 20.94s,−29° 32′ 10.6″,5.99,0.71,370,G8/K0III,
HD 216761,,,,216761,113234,22h 55m 51.54s,−31° 37′ 59.5″,6.09,-1.23,948,K3III,
7 PsA,,7,,205529,106703,21h 36m 48.75s,−33° 02′ 52.4″,6.1,1.79,237,A5V,
19 PsA,,19,,214966,112102,22h 42m 22.08s,−29° 21′ 39.6″,6.12,-0.23,607,M3III,semiregular variable
HD 211291,,,,211291,109990,22h 16m 37.44s,−25° 53′ 53.3″,6.14,-0.07,568,K1II/III,
HD 217096,,,,217096,113447,22h 58m 35.01s,−35° 31′ 22.6″,6.15,1.7,253,F7V,
HD 210739,,,,210739,109667,22h 12m 57.50s,−26° 19′ 39.8″,6.19,2.37,189,A3V,
HD 205872,,,,205872,106907,21h 39m 06.07s,−33° 40′ 43.5″,6.28,3.01,147,G8IV,
HD 215669,,,,215669,112501,22h 47m 19.21s,−34° 09′ 42.4″,6.28,1.32,320,K1III,
HD 214599,,,,214599,111879,22h 39m 44.12s,−28° 19′ 32.0″,6.3,0.53,466,K0/K1III,
HD 217358,,,,217358,113593,23h 00m 24.58s,−25° 37′ 36.3″,6.3,0.71,428,K1III,
HD 215782,,,,215782,112567,22h 47m 56.13s,−25° 54′ 42.3″,6.31,0.31,517,G8III,
HD 216042,,,,216042,112746,22h 49m 59.25s,−32° 48′ 19.4″,6.34,2.12,228,F0V,
HD 210111,,,,210111,109306,22h 08m 42.63s,−33° 07′ 32.7″,6.37,1.89,257,A2III/IV,"δ Sct variable, Δ*V* = 0.04m"
HD 208285,,,,208285,108259,21h 55m 55.60s,−30° 36′ 21.1″,6.41,0.9,412,G8III,
HD 205265,,,,205265,106564,21h 34m 52.99s,−29° 41′ 45.9″,6.42,-0.22,695,B8IIIw,suspected variable
ζ PsA,ζ,,,213296,111138,22h 30m 53.75s,−26° 04′ 24.8″,6.43,0.99,399,K1III,
HD 210300,,,,210300,109412,22h 10m 00.13s,−28° 17′ 33.0″,6.44,1.27,353,A5V,
13 PsA,,13,,209476,108952,22h 04m 23.83s,−29° 54′ 59.5″,6.45,-1.55,1299,K5III,
HD 214462,,,,214462,111801,22h 38m 44.70s,−28° 44′ 53.5″,6.46,1,403,K1III,
TW PsA,,,TW,216803,113283,22h 56m 23.83s,−31° 33′ 54.6″,6.48,7.07,25,K4Vp,"Fomalhaut B; BY Dra variable, *V*max = 6.44m, *V*min = 6.51m, *P* = 10.3 d"
5 PsA,,5,,204394,106067,21h 29m 03.73s,−31° 14′ 18.7″,6.52,1.21,377,A1V,
Lacaille 9352,,,,217987,114046,23h 05m 52.04s,−35° 51′ 11.1″,7.34,9.75,11,M0.5V,one of the nearest known star systems
HD 216770,,,,216770,113238,22h 55m 53.70s,−26° 39′ 31.6″,8.1,5.21,124,K1V,has a planet (b)
HD 205739,,,,205739,106824,21h 38m 08.41s,−31° 44′ 14.9″,8.56,3.78,295,G3IV,has a planet (b)
HD 207832,,,,207832,107985,21h 52m 36.0s,−26° 01′ 36″,8.79,,177,G5V,has two planets (b and c )
RW PsA,,,RW,,,22h 09m 46.92s,−27° 04′ 01.7″,11.16,,,,"W UMa variable, *V*max = 11.05m, *V*min = 11.76m, *P* = 0.36045101 d"
WASP-124,,,,,,22h 10m 51.0s,−30° 44′ 58″,12.7,,1412,F9,has a transiting planet (b)
WASP-112,,,,,,22h 37m 57.0s,−35° 09′ 14″,13.3,,1468,G6,has a transiting planet (b)
TY PsA,,,TY,,,22h 49m 39.90s,−27° 06′ 53.2″,,,,DA,SU UMa variable
"Table legend: 
[TABLE]",,,,,,,,,,,,
