Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Pyx,α,,74575,42828,08h 43m 35.55s,−33° 11′ 11.1″,3.68,-3.39,845,B1.5III,"β Cep variable, *V*max = 3.67m, *V*min = 3.70m"
β Pyx,β,,74006,42515,08h 40m 06.14s,−35° 18′ 29.9″,3.97,-1.41,388,G5II/III,
γ Pyx,γ,,75691,43409,08h 50m 32.01s,−27° 42′ 36.2″,4.02,-0.01,209,K3III,
κ Pyx,κ,,78541,44824,09h 08m 02.86s,−25° 51′ 30.7″,4.62,-1.25,487,K4/K5III,"variable star, Δ*V* = 0.006m, *P* = 8.50919 d"
θ Pyx,θ,,80874,45902,09h 21m 29.60s,−25° 57′ 55.5″,4.71,-1.31,522,M0III,semiregular variable
λ Pyx,λ,,81169,46026,09h 23m 12.34s,−28° 50′ 02.1″,4.71,0.98,182,G8III,
ζ Pyx,ζ,,73898,42483,08h 39m 42.49s,−29° 33′ 39.1″,4.86,0.56,236,G5III,
δ Pyx,δ,,76483,43825,08h 55m 31.52s,−27° 40′ 53.9″,4.87,0.66,226,A3IV,
HD 73752,,,73752,42430,08h 39m 08.07s,−22° 39′ 46.5″,5.05,3.55,65,G3/G5V,
HD 75605,,,75605,43352,08h 49m 51.50s,−32° 46′ 49.5″,5.19,0.96,229,G8III,
η Pyx,η,,73495,42334,08h 37m 52.17s,−26° 15′ 17.9″,5.24,0.89,242,A0V,suspected variable
HD 72310,,,72310,41817,08h 31m 30.94s,−19° 34′ 38.8″,5.42,0.08,381,B9.5IV/V,
ε Pyx,ε,,78922,45001,09h 09m 56.41s,−30° 21′ 55.0″,5.59,1.52,212,A4IV,"variable star, Δ*V* = 0.006m, *P* = 6.15574 d"
HD 72227,,,72227,41723,08h 30m 28.62s,−32° 09′ 33.4″,5.61,-2.21,1194,K3III,
HD 74824,,,74824,42923,08h 44m 51.93s,−37° 08′ 50.1″,5.74,-2.47,1430,B2III,"variable star, Δ*V* = 0.013m, *P* = 2.72703 d"
XY Pyx,,XY,71801,41515,08h 27m 59.43s,−35° 06′ 49.6″,5.75,-1.68,1000,B2V,β Lyr variable
HD 75629,,,75629,43370,08h 50m 02.24s,−29° 27′ 46.8″,5.86,-1.44,939,G8III,
HD 73072,,,73072,42147,08h 35m 28.72s,−26° 50′ 36.7″,5.95,-1.1,838,A1V+...,
HD 74879,,,74879,43002,08h 45m 49.30s,−25° 23′ 17.2″,6.07,0.87,357,A3IV/V,
HD 74706,,,74706,42928,08h 44m 55.16s,−21° 10′ 04.2″,6.1,1.63,255,A5V,
HD 73900,,,73900,42455,08h 39m 22.21s,−36° 36′ 24.5″,6.12,3.1,131,F3/F5V,
HD 81753,,,81753,46329,09h 26m 44.91s,−28° 47′ 15.7″,6.12,-2.32,1590,B5V,"variable star, Δ*V* = 0.010m, *P* = 1.23490 d"
