Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Scl,α,,5737,4577,00h 58m 36.35s,−29° 21′ 26.9″,4.3,-2.27,672,B7IIIp,SX Ari variable
β Scl,β,,221507,116231,23h 32m 58.19s,−37° 49′ 06.1″,4.38,0.69,178,B9.5IVMNpe.,"suspected α2 CVn variable, *V*max = 4.35m, *V*min = 4.39m"
γ Scl,γ,,219784,115102,23h 18m 49.43s,−32° 31′ 54.6″,4.41,0.72,179,K1III,"variable star, Δ*V* = 0.004m, *P* = 0.10 d"
δ Scl,δ,,223352,117452,23h 48m 55.48s,−28° 07′ 48.1″,4.59,1.37,143,A0V,
η Scl,η,,2429,2210,00h 27m 55.71s,−33° 00′ 25.4″,4.86,-1.27,548,M2/M3III,"semiregular variable, *V*max = 4.8m, *V*min = 4.9m"
ζ Scl,ζ,,224990,183,00h 02m 19.91s,−29° 43′ 13.6″,5.04,-0.93,509,B4V,
ι Scl,ι,,1737,1708,00h 21m 31.18s,−28° 58′ 52.7″,5.18,0.29,310,K0III,
θ Scl,θ,,739,950,00h 11m 43.89s,−35° 08′ 00.2″,5.24,3.55,71,F3/F5V,
π Scl,π,,10537,7955,01h 42m 08.65s,−32° 19′ 36.7″,5.25,1.13,217,K1II/III,
ε Scl,ε,,10830,8209,01h 45m 38.65s,−25° 03′ 08.8″,5.29,3.1,89,F2IV,suspected variable
μ Scl,μ,,222433,116820,23h 40m 38.21s,−32° 04′ 22.8″,5.3,0.55,291,K0III,"suspected variable, *V*max = 5.30m, *V*min = 5.33m"
κ2 Scl,κ2,,720,930,00h 11m 34.42s,−27° 47′ 59.2″,5.41,-0.85,581,K2III,
κ1 Scl,κ1,,493,761,00h 09m 21.02s,−27° 59′ 16.5″,5.42,1.24,224,F3V,
HD 9525,,,9525,7213,01h 32m 56.05s,−36° 51′ 54.7″,5.49,0.94,265,K1/K2III,
σ Scl,σ,,6178,4852,01h 02m 26.38s,−31° 33′ 07.4″,5.5,1.29,227,A1/A2IV,α2 CVn variable
HD 3059,,,3059,2661,00h 33m 41.06s,−29° 33′ 29.5″,5.55,-0.37,497,K1III,
ξ Scl,ξ,,6055,4770,01h 01m 18.23s,−38° 54′ 59.9″,5.59,-0.83,628,K1III,
BU Scl,,BU,224630,118277,23h 59m 27.90s,−29° 29′ 06.6″,5.59,-1.56,879,K5III,slow irregular variable
HD 218434,,,218434,114254,23h 08m 21.10s,−28° 49′ 24.8″,5.6,0.89,285,G8III,
HD 220096,,,220096,115312,23h 21m 15.51s,−26° 59′ 12.3″,5.65,0.63,329,G5IV,suspected variable
HD 1187,,,1187,1288,00h 16m 08.79s,−31° 26′ 46.8″,5.66,0.08,427,K2III,
HD 344,,,344,655,00h 08m 03.52s,−33° 31′ 45.6″,5.67,0.67,325,K1III,
τ Scl,τ,,9906,7463,01h 36m 08.43s,−29° 54′ 26.8″,5.69,1.73,202,F2V,
HD 10538,,,10538,7941,01h 42m 03.02s,−36° 49′ 56.2″,5.7,0.85,304,A0V,
R Scl,,R,8879,6759,01h 26m 58.10s,−32° 32′ 35.2″,5.72,,1545,C,semiregular variable
HD 9377,,,9377,7118,01h 31m 43.25s,−30° 16′ 58.5″,5.79,0.95,304,K0III,
HD 8498,,,8498,6502,01h 23m 30.97s,−30° 56′ 43.8″,5.84,-1.34,888,M0III,"variable star, Δ*V* = 0.009m, *P* = 10.62 d"
HD 218619,,,218619,114366,23h 09m 44.62s,−28° 05′ 18.9″,5.88,-0.73,685,K2III,
λ2 Scl,λ2,,4211,3456,00h 44m 11.92s,−38° 25′ 19.1″,5.9,0.61,372,K1III,
HD 9228,,,9228,7016,01h 30m 22.88s,−26° 12′ 28.3″,5.92,0.25,444,K2III,
HD 942,,,942,1096,00h 13m 42.22s,−26° 01′ 19.8″,5.94,-1.52,1012,K5III,"suspected variable, *V*max = 5.93m, *V*min = 5.96m"
HD 10142,,,10142,7643,01h 38m 27.49s,−36° 31′ 40.6″,5.94,0.96,323,K0III,
AI Scl,,AI,7312,5661,01h 12m 45.37s,−37° 51′ 23.1″,5.95,1.62,239,A9IV: (+F/G),"δ Sct variable, *V*max = 5.89m, *V*min = 5.98m"
HD 2363,,,2363,2159,00h 27m 14.69s,−25° 32′ 49.7″,5.99,-0.58,671,K0III,
λ1 Scl,λ1,,4065,3356,00h 42m 42.89s,−38° 27′ 48.5″,6.05,0.44,432,B9.5V,
AL Scl,,AL,224113,117931,23h 55m 16.57s,−31° 55′ 17.3″,6.09,-1.41,1032,B6/B7,"Algol variable, *V*max = 6.06m, *V*min = 6.33m, *P* = 2.45 d"
