Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Antares A,α,21,,148478,80763,16h 29m 24.47s,−26° 25′ 55.0″,0.91,-5.24,553,M1.5Iab-b,"Cor Scorpii, Qalb al-Aqrab, Vespertilo; 16th brightest star; binary; semiregular 
variable, *V*max = 0.75m, *V*min = 1.21m, *P* = 2180 d"
λ Sco,λ,35,,158926,85927,17h 33m 36.53s,−37° 06′ 13.5″,1.62,-5.05,703,B2IV+DA7.9,"Shaula; β Cep and Algol variable, *V*max = 1.59m, *V*min = 1.65m, *P* = 
0.21 d"
θ Sco,θ,,,159532,86228,17h 37m 19.13s,−42° 59′ 52.2″,1.86,-2.75,272,F1II,"Sargas; suspected variable, *V*max = 1.84m, *V*min = 1.88m"
δ Sco,δ,7,,143275,78401,16h 00m 20.01s,−22° 37′ 17.8″,2.29,-3.16,401,B0.2IVe,"Dschubba, Al Jabba, Iclarkrau; γ Cas variable, *V*max = 1.59m, *V*min = 2.32
m"
ε Sco,ε,26,,151680,82396,16h 50m 10.24s,−34° 17′ 33.4″,2.29,0.78,65,K2IIIb,"Wei; suspected variable, *V*max = 2.24m, *V*min = 2.35m"
κ Sco,κ,,,160578,86670,17h 42m 29.28s,−39° 01′ 47.7″,2.39,-3.38,464,B1.5III,"Girtab; β Cep variable, *V*max = 2.41m, *V*min = 2.42m, *P* = 0.20 d"
β1 Sco,β1,8,,144217,78820,16h 05m 26.23s,−19° 48′ 19.4″,2.62,-3.44,530,B0.5V,"Acrab, Elacrab, Graffias, Grafias, Grassias; suspected variable, *V*max = 
2.61m, *V*min = 2.67m"
υ Sco,υ,34,,158408,85696,17h 30m 45.84s,−37° 17′ 44.7″,2.7,-3.31,518,B2IV,"Lesath, Lesuth"
τ Sco,τ,23,,149438,81266,16h 35m 52.96s,−28° 12′ 57.5″,2.82,-2.78,430,B0V,"Alniyat, Al Niyat"
π Sco,π,6,,143018,78265,15h 58m 51.12s,−26° 06′ 50.6″,2.89,-2.85,459,B1V + B2V,"Vrischika, Iclil; rotating ellipsoidal variable, *V*max = 2.88m, *V*min = 
2.91m, *P* = 1.57 d"
σ Sco,σ,20,,147165,80112,16h 21m 11.32s,−25° 35′ 33.9″,2.9,-3.86,734,B1III,"Alniyat, Al Niyat; β Cep variable, *V*max = 2.86m, *V*min = 2.94m, *P* = 
0.25 d"
ι1 Sco,ι1,,,161471,87073,17h 47m 35.08s,−40° 07′ 37.1″,2.99,-5.71,1791,F3Ia,Apollyon
μ1 Sco,μ1,,,151890,82514,16h 51m 52.24s,−38° 02′ 50.4″,3,-4.01,821,B1.5IV + B,"Denebakrab; β Lyr variable, *V*max = 2.94m, *V*min = 3.22m, *P* = 1.45 d"
