Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α TrA,α,,150798,82273,16h 48m 39.87s,−69° 01′ 39.5″,1.91,-3.62,415,K2IIb-IIIa,Atria
β TrA,β,,141891,77952,15h 55m 08.81s,−63° 25′ 47.1″,2.83,2.38,40,F2III,
γ TrA,γ,,135382,74946,15h 18m 54.69s,−68° 40′ 46.1″,2.87,-0.87,183,A1V,
δ TrA,δ,,145544,79664,16h 15m 26.27s,−63° 41′ 08.3″,3.86,-2.54,621,G5II,
ε TrA,ε,,138538,76440,15h 36m 43.19s,−66° 19′ 00.9″,4.11,0,216,K0III,
ζ TrA,ζ,,147584,80686,16h 28m 27.80s,−70° 05′ 04.8″,4.9,4.49,39,F9V,
LP TrA,,LP,150549,82129,16h 46m 40.01s,−67° 06′ 34.8″,5.1,-1.32,626,Ap,"α² CVn variable, Δ*V* = 0.033m, *P* = 3.76 d"
κ TrA,κ,,141767,77982,15h 55m 29.61s,−68° 36′ 10.8″,5.11,-4.7,2991,G6IIa,"semiregular variable, *V*max = 5.08m, *V*min = 5.11m, *P* = 600 d"
HD 148291,,,148291,80874,16h 30m 49.37s,−61° 38′ 00.5″,5.19,-1.37,669,K0II/IIICN.,
ι TrA,ι,,147787,80645,16h 27m 57.27s,−64° 03′ 28.8″,5.28,2.25,132,F4IV,"γ Dor variable, triple star"
θ TrA,θ,,148890,81252,16h 35m 44.77s,−65° 29′ 43.2″,5.5,0.49,328,G8/K0III,
HD 140483,,,140483,77390,15h 47m 53.10s,−65° 26′ 31.9″,5.54,0.06,406,A5,
LX TrA,,LX,137066,75665,15h 27m 33.10s,−64° 31′ 53.2″,5.71,-0.88,679,K5/M0III,semiregular variable
HD 142514,,,142514,78279,15h 58m 58.16s,−65° 02′ 15.2″,5.74,-1.08,753,B7III,
X TrA,,X,134453,74582,15h 14m 19.17s,−70° 04′ 46.0″,5.75,-2.56,1495,N0v,"semiregular variable, *V*max = 5.03m, *V*min = 6.05m, *P* = 361.1 d"
HD 133683,,,133683,74184,15h 09m 29.92s,−67° 05′ 02.9″,5.76,-5.58,6037,F8Iab-Ib,
HD 142139,,,142139,78045,15h 56m 05.96s,−60° 28′ 56.3″,5.76,1.66,215,A3V,
MX TrA,,MX,152564,83150,16h 59m 33.98s,−69° 16′ 05.3″,5.79,-1.6,982,Ap Si,α² CVn variable
HD 136672,,,136672,75565,15h 26m 14.53s,−68° 18′ 33.1″,5.89,0.84,334,K0III,
η1 TrA,η1,,149671,81710,16h 41m 23.13s,−68° 17′ 45.9″,5.89,-0.73,688,B7IV,
HD 145689,,,145689,79797,16h 17m 05.48s,−67° 56′ 27.9″,5.95,2.24,180,A4V,suspected variable
HD 150026,,,150026,81873,16h 43m 22.11s,−67° 25′ 56.3″,6.02,1.17,305,A0Vn,suspected variable
HD 151441,,,151441,82517,16h 51m 53.88s,−65° 22′ 31.5″,6.12,-1.2,948,B8II/III,
HD 141913,,,141913,77927,15h 54m 52.64s,−60° 44′ 37.1″,6.14,-2.45,1707,B9II,"suspected variable, *V*max = 6.11m, *V*min = 6.15m"
HD 147349,,,147349,80455,16h 25m 22.15s,−63° 07′ 30.9″,6.14,0.55,428,A1V,
HD 133456,,,133456,74047,15h 07m 56.75s,−65° 16′ 31.6″,6.18,-0.75,793,K3III,34 G. Cir
HD 141585,,,141585,77817,15h 53m 22.94s,−62° 36′ 23.6″,6.22,-0.19,623,K3III,"suspected variable, *V*max = 6.18m, *V*min = 6.21m"
HD 150097,,,150097,81823,16h 42m 48.42s,−62° 33′ 14.1″,6.23,-2.04,1468,K3III,
HD 143238,,,143238,78603,16h 02m 52.53s,−62° 32′ 29.5″,6.25,1.17,339,B9.5V,
HD 135737,,,135737,75091,15h 20m 40.56s,−67° 28′ 53.4″,6.27,-1.66,1254,B3V,suspected variable
HD 151404,,,151404,82539,16h 52m 17.78s,−67° 40′ 53.4″,6.33,1.01,377,K2III,
R TrA,,R,135592,75018,15h 19m 45.71s,−66° 29′ 45.7″,6.39,,3500,F7Ib/II,"Cepheid variable, *V*max = 6.33m, *V*min = 7m, *P* = 3.389287 d"
S TrA,,S,142941,78476,16h 01m 10.72s,−63° 46′ 35.5″,6.42,-2.57,2050,F8II,"Cepheid variable, *V*max = 5.95m, *V*min = 6.81m, *P* = 6.32344 d"
HD 138965,,,138965,76736,15h 40m 11.63s,−70° 13′ 39.9″,6.45,2.01,252,A5V,
HD 153389,,,153389,83556,17h 04m 33.70s,−68° 16′ 43.1″,6.47,-1.46,1254,M3/M4III,suspected irregular variable
HD 144481,,,144481,79208,16h 09m 59.19s,−62° 58′ 01.2″,6.5,1.41,340,A3m...,
U TrA,,U,143999,78978,16h 07m 09.01s,−62° 54′ 38.0″,7.89,,3130,F8Ib/II,"Cepheid variable, *V*max = 7.3m, *V*min = 8.29m, *P* = 2.568423 d"
HD 147018,,,147018,80250,16h 23m 00.15s,−61° 41′ 19.5″,8.37,5.22,139,G9V,has two planets (b & c)
RT TrA,,RT,,81157,16h 34m 30.89s,−63° 08′ 00.8″,9.7,,2590,G2Ib-II:,"W Virginis variable, *V*max = 9.43m, *V*min = 10.18m, *P* = 1.9461124 d"
HD 143414,,LT,143414,78689,16h 03m 49.34s,−62° 41′ 36.0″,10.1,,2940,WN+...,"Wolf–Rayet star, Δ*V* = 0.13m"
EK TrA,,EK,,,15h 14m 01.47s,−65° 05′ 32.1″,10.4,,,,"SU Ursae Majoris variable, *V*max = 10.4m, *V*min = <15.0m, *P* = 0.06288 d"
HD 141969,,MM,141969,78034,15h 56m 01.69s,−66° 09′ 09.2″,11,,3500,BC0Ibe,central star of planetary nebula He 2-138
KX TrA,,KX,,,16h 44m 35.47s,−62° 37′ 14.08″,11.38,,,M6,Z Andromedae variable
4U 1626-67,,KZ,,,16h 32m 16.8s,−67° 27′ 43″,18.5,,,,"Low-mass X-ray binary, *V*max = 18.23m, *V*min = 19m"
X1556-605,,LU,,,16h 01m 02.3s,−60° 44′ 18″,18.6,,,,"Low-mass X-ray binary, *V*max = 18.6m, *V*min = 19.2m, *P* = 0.46229 d"
TrA X-1,,KY,,,15h 28m 17.2s,−61° 52′ 58″,,,,,Low-mass X-ray binary
WISE 1639-6847,,,,,16h 39m 40.83s,−68° 47′ 38.6″,,,16,Y,brown dwarf
"Table legend: 
[TABLE]",,,,,,,,,,,
