Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Tuc,α,,211416,110130,22h 18m 30.18s,−60° 15′ 34.2″,2.87,-1.05,199,K3III,astrometric binary
γ Tuc,γ,,219571,114996,23h 17m 25.81s,−58° 14′ 09.3″,3.99,2.28,72,F1III,
ζ Tuc,ζ,,1581,1599,00h 20m 01.91s,−64° 52′ 39.4″,4.23,4.56,28,F9V,Sun-like star
κ Tuc,κ,,7788,5896,01h 15m 45.50s,−68° 52′ 34.5″,4.25,2.7,67,F6IV,"quadruple star, suspected variable"
β1 Tuc,β1,,2884,2484,00h 31m 32.56s,−62° 57′ 29.1″,4.34,,135,B9V,component of the β Tuc system
ε Tuc,ε,,224686,118322,23h 59m 54.91s,−65° 34′ 37.5″,4.49,-0.81,374,B9IV,
δ Tuc,δ,,212581,110838,22h 27m 19.87s,−64° 57′ 59.0″,4.5,-0.06,267,B8V,"suspected variable, *V*max = 4.46m, *V*min = 4.50m"
β2 Tuc,β2,,2885,2487,00h 31m 33.36s,−62° 57′ 55.6″,4.51,,168,A2V,component of the β Tuc system
ν Tuc,ν,,213442,111310,22h 33m 00.01s,−61° 58′ 55.5″,4.91,0.3,273,M4III,"semiregular variable, *V*max = 4.75m, *V*min = 4.93m"
η Tuc,η,,224392,118121,23h 57m 34.97s,−64° 17′ 53.1″,5,1.56,159,A1V,
β3 Tuc,β3,,3003,2578,00h 32m 43.79s,−63° 01′ 53.0″,5.09,,149,A0V,component of the β Tuc system
HD 212330,,,212330,110649,22h 24m 56.19s,−57° 47′ 47.8″,5.31,3.75,67,F9V,
ι Tuc,ι,,6793,5268,01h 07m 18.57s,−61° 46′ 30.9″,5.36,0.7,279,G5III,semiregular variable
ρ Tuc,ρ,,4089,3330,00h 42m 28.30s,−65° 28′ 05.3″,5.38,2.33,133,F6V,
λ2 Tuc,λ2,,5457,4293,00h 55m 00.30s,−69° 31′ 37.1″,5.45,1.4,210,G7III,
π Tuc,π,,1685,1647,00h 20m 39.04s,−69° 37′ 29.7″,5.5,0.64,306,B9V,
HD 225253,,,225253,377,00h 04m 41.25s,−71° 26′ 12.7″,5.59,-0.63,572,B8III,
HD 220572,,,220572,115620,23h 25m 19.37s,−56° 50′ 56.2″,5.6,0.89,285,K0III,
HD 220790,,,220790,115769,23h 27m 14.93s,−58° 28′ 34.6″,5.63,0.82,298,G8III,
HD 219482,,,219482,114948,23h 16m 57.47s,−62° 00′ 04.1″,5.64,4.07,67,F7V,
HD 221006,,CG,221006,115908,23h 29m 00.93s,−63° 06′ 38.2″,5.66,0.33,380,Ap Si,"α² CVn variable, Δ*V* = 0.045m, *P* = 2.3148 d"
BQ Tuc,,BQ,5276,4200,00h 53m 37.78s,−62° 52′ 16.9″,5.7,-0.64,613,M4III,"semiregular variable, Δ*V* = 0.2m"
HD 222820,,,222820,117088,23h 44m 12.03s,−64° 24′ 16.3″,5.73,-1.42,879,K3II,
HD 3823,,,3823,3170,00h 40m 24.66s,−59° 27′ 20.5″,5.89,3.86,83,G1V,
HD 224361,,,224361,118092,23h 57m 19.78s,−62° 57′ 23.8″,5.95,1.96,205,A2p,
HD 214632,,,214632,111967,22h 40m 48.86s,−57° 25′ 20.3″,5.98,-1.9,1226,K4III,
HD 4088,,,4088,3352,00h 42m 41.64s,−60° 15′ 45.7″,5.99,1.68,237,K5III,
HD 4294,,,4294,3489,00h 44m 31.52s,−62° 29′ 51.4″,6.06,1.44,274,F5III/IV,
HD 222805,,,222805,117105,23h 44m 25.00s,−70° 29′ 25.4″,6.06,2.75,150,G8IV,
DR Tuc,,DR,220263,115433,23h 22m 56.68s,−60° 03′ 21.0″,6.08,-1,851,M3III,semiregular variable
θ Tuc,θ,,3112,2629,00h 33m 23.23s,−71° 15′ 58.4″,6.11,0.22,490,A7IV,"δ Sct variable, *V*max = 6.06m, *V*min = 6.15m, *P* = 0.049308 d"
HD 219077,,,219077,114699,23h 14m 05.98s,−62° 41′ 56.3″,6.12,3.79,95,G5IV,has a planet (b)
HD 216187,,,216187,112924,22h 52m 09.98s,−63° 11′ 18.8″,6.14,0.69,401,K0III,
HD 213884,,,213884,111548,22h 35m 52.84s,−57° 53′ 01.4″,6.22,2.07,220,F0Vn,
λ1 Tuc,λ1,,5190,4084,00h 52m 24.51s,−69° 30′ 12.9″,6.22,,206,F7IV/V,suspected variable
HD 5771,,,5771,4563,00h 58m 22.18s,−60° 41′ 46.7″,6.23,0.07,557,Am,
