Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
ε UMa,ε,77,,112185,62956,12h 54m 01.63s,+55° 57′ 35.4″,1.76,-0.21,81,A0p,Alioth; brown dwarf companion?; α² CVn variable
α UMa,α,50,,95689,54061,11h 03m 43.84s,+61° 45′ 04.0″,1.81,-1.08,124,F7V comp,"Dubhe, Dubh, Dubb, Thahr al Dub al Akbar, Ak"
η UMa,η,85,,120315,67301,13h 47m 32.55s,+49° 18′ 47.9″,1.85,-0.6,101,B3V SB,"Benetnasch, Alkaid, Elkeid"
Mizar,ζ,79,,116656,65378,13h 23m 55.42s,+54° 55′ 31.5″,2.23,0.33,78,A2V,"Mizat, Mirza, Mitsar, Vasistha; quintuple star, visual double star with 
Alcor"
β UMa,β,48,,95418,53910,11h 01m 50.39s,+56° 22′ 56.4″,2.34,0.41,79,A1V,"Merak, Mirak"
γ UMa,γ,64,,103287,58001,11h 53m 49.74s,+53° 41′ 41.0″,2.41,0.36,84,A0V SB,"Phad, Phecda, Phegda, Phekha, Phacd"
ψ UMa,ψ,52,,96833,54539,11h 09m 39.86s,+44° 29′ 54.8″,3,-0.27,147,K1III,Ta Tsun
μ UMa,μ,34,,89758,50801,10h 22m 19.80s,+41° 29′ 58.0″,3.06,-1.35,249,M0III SB,"Tania Australis, Alkafzah Australis; semiregular variable"
ι UMa,ι,9,,76644,44127,08h 59m 12.84s,+48° 02′ 32.5″,3.12,2.29,48,A7IV,"Talitha Borealis, Talita Borealis, Dnoces, Alphikra Borealis; quadruple star"
θ UMa,θ,25,,82328,46853,09h 32m 52.33s,+51° 40′ 43.0″,3.17,2.52,44,F6IV,"Al Haud, Sarir, Sarir Bonet"
δ UMa,δ,69,,106591,59774,12h 15m 25.45s,+57° 01′ 57.4″,3.32,1.33,81,A3Vvar,"Megrez, Kaffa"
ο UMa,ο,1,,71369,41704,08h 30m 16.03s,+60° 43′ 06.4″,3.35,-0.4,184,G4II-III,"Muscida, has a planet (b)"
λ UMa,λ,33,,89021,50372,10h 17m 05.93s,+42° 54′ 52.1″,3.45,0.38,134,A2IV,"Tania Borealis, Alkafzah Borealis"
ν UMa,ν,54,,98262,55219,11h 18m 28.76s,+33° 05′ 39.3″,3.49,-2.07,421,K3III SB,Alula Borealis
κ UMa,κ,12,,77327,44471,09h 03m 37.56s,+47° 09′ 24.0″,3.57,-1.99,423,A1Vn,"Talitha Australis, Al Kaprah, Alphikra Australis"
23 UMa,h,23,,81937,46733,09h 31m 31.57s,+63° 03′ 42.5″,3.65,1.83,75,F0IV,
χ UMa,χ,63,,102224,57399,11h 46m 03.13s,+47° 46′ 45.6″,3.69,-0.2,196,K0III,"Alkafzah, Alkaphrah, El Koprah"
υ UMa,υ,29,,84999,48319,09h 50m 59.69s,+59° 02′ 20.8″,3.78,1.04,115,F0IV,δ Sct variable
ξ UMa A,ξ,53,,98230,55203,11h 18m 11.24s,+31° 31′ 50.8″,3.79,4.18,27.3,G0V,Alula Australis; binary star; RS CVn variable
ζ UMa B,ζ,79,,116657,,13h 23m 56.40s,+54° 55′ 18.0″,3.95,,,,
Alcor,g,80,,116842,65477,13h 25m 13.42s,+54° 59′ 16.8″,3.99,2.01,81,A5V SB,"Saidak, Suha, Arundhati; visual double star with Mizar"
ξ UMa B,ξ,53,,98231,,11h 18m 11.00s,+31° 31′ 45.0″,4.41,,,,component of the ξ UMa system
15 UMa,f,15,,78209,44901,09h 08m 52.39s,+51° 36′ 17.0″,4.46,2.13,96,Am,
26 UMa,,26,,82621,47006,09h 34m 49.49s,+52° 03′ 05.6″,4.47,-0.1,267,A2V,
24 UMa,d,24,DK,82210,46977,09h 34m 28.97s,+69° 49′ 48.6″,4.54,1.99,106,G4III-IV,DK UMa; RS CVn variable
φ UMa,φ,30,,85235,48402,09h 52m 06.36s,+54° 03′ 51.4″,4.55,-1.08,436,A3IV,
π2 UMa,π2,4,,73108,42527,08h 40m 12.90s,+64° 19′ 40.3″,4.59,0.15,252,K2III,"Muscida, has a planet (b)"
83 UMa,,83,IQ,119228,66738,13h 40m 44.29s,+54° 40′ 54.0″,4.63,-1.5,549,M2IIIvar,IQ UMa
ω UMa,ω,45,,94334,53295,10h 53m 58.71s,+43° 11′ 24.1″,4.66,0.1,267,A1Vs,
τ UMa,τ,14,,78362,45075,09h 10m 54.93s,+63° 30′ 49.6″,4.67,1.81,122,Am,
τ UMa,τ,14,,78363,,09h 11m 00.60s,+63° 31′ 29.0″,4.7,,,,
HD 91312,,,,91312,51658,10h 33m 14.00s,+40° 25′ 31.9″,4.72,2.04,112,A7IV,
ρ UMa,ρ,8,,76827,44390,09h 02m 32.73s,+67° 37′ 46.5″,4.74,0.01,287,M3III,
55 UMa,,55,,98353,55266,11h 19m 07.94s,+38° 11′ 08.6″,4.76,1.01,183,A2V,
σ2 UMa,σ2,13,,78154,45038,09h 10m 23.53s,+67° 08′ 03.3″,4.8,3.25,67,F7IV-V,
18 UMa,e,18,DD,79439,45493,09h 16m 11.28s,+54° 01′ 18.2″,4.8,2,118,A5V,DD UMa; δ Sct variable
36 UMa,,36,,90839,51459,10h 30m 37.76s,+55° 58′ 50.2″,4.82,4.28,42,F8V,
78 UMa,,78,,113139,63503,13h 00m 43.59s,+56° 21′ 58.8″,4.93,2.94,81,F2V,
ET UMa,,,ET,89822,50933,10h 24m 07.86s,+65° 33′ 59.3″,4.94,0.12,301,A0sp...,α² CVn variable
56 UMa,,56,,98839,55560,11h 22m 49.61s,+43° 28′ 57.9″,4.99,-0.9,492,G8II,
,,,,92523,52425,10h 43m 04.04s,+69° 04′ 34.5″,5.01,-0.57,426,K3III,
46 UMa,,46,,94600,53426,10h 55m 44.46s,+33° 30′ 25.2″,5.02,0.64,245,K1III,
47 UMa,,47,,95128,53721,10h 59m 28.22s,+40° 25′ 48.4″,5.03,4.29,46,G0V,"Chalawan,[1] has three planets (b, c & d)"
49 UMa,,49,,95310,53838,11h 00m 50.48s,+39° 12′ 43.7″,5.06,-0.4,403,Am,
15 LMi,,-15,,84737,48113,09h 48m 35.18s,+46° 01′ 16.4″,5.08,3.75,60,G2V,
44 Lyn,,-44,,84335,47965,09h 46m 31.66s,+57° 07′ 40.8″,5.09,-1.07,556,M3III,
38 UMa,,38,,92424,52353,10h 41m 56.78s,+65° 42′ 59.3″,5.12,0.94,224,K2IIIvar,
44 UMa,,44,,94247,53261,10h 53m 34.52s,+54° 35′ 06.5″,5.12,-1.46,676,K3III,
σ1 UMa,σ1,11,,77800,44857,09h 08m 23.53s,+66° 52′ 24.0″,5.15,-0.77,498,K5III,
27 UMa,,27,,83506,47654,09h 42m 57.24s,+72° 15′ 09.7″,5.15,-0.51,442,K0III,
37 UMa,,37,,91480,51814,10h 35m 09.62s,+57° 04′ 57.2″,5.16,3.05,86,F1V,
16 UMa,c,16,,79028,45333,09h 14m 20.55s,+61° 25′ 24.2″,5.18,3.72,64,F9V,
,,,,92787,52469,10h 43m 33.12s,+46° 12′ 14.5″,5.18,2.42,116,F5III,
67 UMa,,67,DP,104513,58684,12h 02m 07.06s,+43° 02′ 43.7″,5.22,2.57,111,A7m,DP UMa; δ Sct variable
31 UMa,,31,SY,85795,48682,09h 55m 43.01s,+49° 49′ 11.3″,5.27,1.1,223,A3III,SY UMa
,,,,102328,57477,11h 46m 55.61s,+55° 37′ 41.8″,5.27,1.26,206,K3III,
17 UMa,,17,,79354,45455,09h 15m 49.81s,+56° 44′ 29.3″,5.28,-1.32,681,K5III,
57 UMa,,57,,99787,56034,11h 29m 04.16s,+39° 20′ 13.0″,5.3,1.26,209,A2V,
61 UMa,,61,,101501,56997,11h 41m 03.03s,+34° 12′ 09.2″,5.31,5.41,31,G8Vvar,
55 Cam,,-55,,67447,40215,08h 12m 48.79s,+68° 28′ 26.6″,5.34,-2.22,1062,G8II,
74 UMa,,74,,108844,60978,12h 29m 57.40s,+58° 24′ 19.9″,5.37,0.74,274,A5e...,
,,,,117376,65728,13h 28m 27.18s,+59° 56′ 44.5″,5.4,1.1,236,A1Vn,
41 Lyn,,-41,,81688,46471,09h 28m 39.99s,+45° 36′ 06.5″,5.41,0.68,288,K0III-IV,"Intercrus,[1] has a planet (b)"
,,,,100203,56290,11h 32m 20.76s,+61° 04′ 57.9″,5.46,3.26,90,F6V,
82 UMa,,82,,119024,66634,13h 39m 30.58s,+52° 55′ 15.9″,5.46,1.88,169,A3Vn,
2 UMa,A,2,,72037,42080,08h 34m 36.19s,+65° 08′ 43.0″,5.47,2.04,158,A2m,
,,,,95212,53781,11h 00m 14.70s,+45° 31′ 34.6″,5.47,-1.69,881,K5III,
,,,,77601,44613,09h 05m 24.11s,+48° 31′ 49.3″,5.48,0.34,348,F6II-III,
,,,,86378,49005,09h 59m 51.72s,+56° 48′ 42.8″,5.5,-0.47,510,K5III,
70 UMa,,70,,107465,60212,12h 20m 50.83s,+57° 51′ 51.4″,5.54,-1.12,701,K5III,
,,,,92095,52136,10h 39m 05.74s,+53° 40′ 06.6″,5.55,-0.44,514,K3III,
59 UMa,,59,,101107,56770,11h 38m 20.69s,+43° 37′ 31.8″,5.56,2.26,149,F2II-III,
6 UMa,,6,,75958,43903,08h 56m 37.49s,+64° 36′ 14.5″,5.57,0.69,308,G6III,
42 UMa,,42,,93875,53064,10h 51m 23.76s,+59° 19′ 12.9″,5.57,1.04,263,K2III,
,,,,104438,58654,12h 01m 39.53s,+36° 02′ 32.2″,5.59,0.36,362,K0III,
81 UMa,,81,,118214,66198,13h 34m 07.33s,+55° 20′ 54.4″,5.6,0.95,277,A0V,
π1 UMa,π1,3,,72905,42438,08h 39m 11.74s,+65° 01′ 14.5″,5.63,4.86,47,G1.5Vb,Muscida; BY Draconis variable
,,,,100615,56510,11h 35m 04.90s,+54° 47′ 07.4″,5.63,0.13,411,K0III,
,,,,73017,42372,08h 38m 22.26s,+53° 24′ 05.7″,5.66,1.32,241,G8IV,
43 UMa,,43,,93859,53043,10h 51m 11.08s,+56° 34′ 56.1″,5.66,0.51,350,K2III,
73 UMa,,73,,108502,60795,12h 27m 35.13s,+55° 42′ 45.9″,5.68,0.03,439,M2III,
84 UMa,,84,CR,120198,67231,13h 46m 35.68s,+54° 25′ 57.7″,5.68,1,282,B9p EuCr,CR UMa; α² CVn variable
86 UMa,,86,,121409,67848,13h 53m 51.04s,+53° 43′ 43.3″,5.7,0.03,444,A0V,
,,,,87141,49363,10h 04m 36.35s,+53° 53′ 30.2″,5.71,2.34,154,F5V,
CO UMa,,,CO,96813,54522,11h 09m 19.11s,+36° 18′ 34.0″,5.71,0.39,379,M3.5III,
5 UMa,b,5,,75486,43644,08h 53m 22.57s,+61° 57′ 44.0″,5.72,1.01,285,F2III,
,,,,83489,47594,09h 42m 14.93s,+69° 14′ 15.7″,5.72,-0.11,479,G9III:,
57 Cam,,-57,OS,69148,40772,08h 19m 17.18s,+62° 30′ 25.7″,5.73,-0.07,470,G8III,"OS UMa, RS CVn variable"
HD 89744,,,,89744,50786,10h 22m 10.0s,+41° 13′ 46″,5.74,2.78,130,F7V,has two planets (b and c)
47 LMi,,-47,,94497,53377,10h 54m 58.22s,+34° 02′ 05.7″,5.73,0.87,305,G7III:,
,,,,99283,55797,11h 25m 57.18s,+55° 51′ 01.2″,5.73,0.59,348,K0III,
62 UMa,,62,,101606,57029,11h 41m 34.50s,+31° 44′ 45.5″,5.73,2.67,133,F4V,
,,,,102713,57670,11h 49m 41.80s,+34° 55′ 54.3″,5.73,1.52,227,F5IV,
,,,,77309,44504,09h 04m 00.40s,+54° 17′ 02.0″,5.74,0.67,336,A2V,
32 UMa,,32,,88983,50448,10h 18m 02.15s,+65° 06′ 30.1″,5.74,1.32,249,A8III,
,,,,92354,52338,10h 41m 48.31s,+68° 26′ 36.8″,5.74,-0.53,586,K3III,
22 UMa,,22,,82189,47013,09h 34m 53.39s,+72° 12′ 21.1″,5.77,2.28,163,F7V,
CG UMa,,,CG,80390,45915,09h 21m 43.30s,+56° 41′ 57.3″,5.79,-0.03,477,M4IIIa,
39 UMa,,39,,92728,52478,10h 43m 43.32s,+57° 11′ 57.6″,5.79,0.53,368,A0Vs,
,,,,106884,59920,12h 17m 29.56s,+53° 11′ 29.2″,5.8,0.46,382,K6III,
71 UMa,,71,,108135,60584,12h 25m 03.22s,+56° 46′ 40.3″,5.82,-1.99,1190,M3III,
,,,,99747,56035,11h 29m 04.70s,+61° 46′ 40.0″,5.83,3.24,107,F5Vawvar,
66 UMa,,66,,103605,58181,11h 55m 58.41s,+56° 35′ 54.8″,5.83,0.9,315,K1III,
,,,,111456,62512,12h 48m 39.34s,+60° 19′ 11.6″,5.83,3.91,79,F5V,
,,,,112486,63143,12h 56m 17.64s,+54° 05′ 58.1″,5.84,1.37,256,A5m,
,,,,85841,48893,09h 58m 22.91s,+72° 52′ 46.6″,5.86,0.58,370,K3III:,
EN UMa,,,EN,89343,50685,10h 21m 03.43s,+68° 44′ 51.8″,5.88,0.38,410,A7Vn,δ Sct variable
,,,,97989,55086,11h 16m 41.93s,+49° 28′ 34.6″,5.88,0.32,421,K0III:,
,,,,111270,62402,12h 47m 18.93s,+62° 46′ 52.1″,5.88,1.88,206,A9V,
,,,,71088,41676,08h 29m 46.29s,+67° 17′ 50.7″,5.89,0.92,322,G8III,
,,,,96834,54537,11h 09m 38.55s,+43° 12′ 27.9″,5.89,-0.31,566,M2III,
,,,,73171,42452,08h 39m 17.65s,+52° 42′ 42.1″,5.91,0.48,397,K1III:,
