Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ2 Vel,γ2,,68273,39953,08h 09m 31.96s,−47° 20′ 11.8″,1.83,-5.84,1120,WC8 + O7.5,"Suhail, Suhail al Muhlif, Muliphein, Regor; double star; Wolf-Rayet star, 
*V*max = 1.81m, *V*min = 1.87m"
δ Vel,δ,,74956,42913,08h 44m 42.20s,−54° 42′ 30.8″,1.96,0,81,A1Va(n),"Koo She; quadruple star; Algol variable, Δ*V* = 0.4m, *P* = 45.15 d"
λ Vel,λ,,78647,44816,09h 07m 59.78s,−43° 25′ 57.4″,2.21,-3.97,573,K4Ib-II,"Suhail, Suhail al Muhlif, Al Suhail, Alsuhail, Suhail Alwazn, Muliphein; semiregular 
variable, *V*max = 2.14m, *V*min = 2.3m"
κ Vel,κ,,81188,45941,09h 22m 06.83s,−55° 00′ 38.5″,2.47,-3.62,539,B2IV,Markab
μ Vel,μ,,93497,52727,10h 46m 46.12s,−49° 25′ 12.5″,2.69,-0.06,116,G5III SB,"Peregrini, Alherem, Al Haram"
HD 82668,N,,82668,46701,09h 31m 13.35s,−57° 02′ 03.8″,3.16,-1.15,238,K5III,"Marut; semiregular variable, *V*max = 3.12m, *V*min = 3.18m"
φ Vel,φ,,86440,48774,09h 56m 51.75s,−54° 34′ 04.1″,3.52,-5.34,1929,B5Ib,Tseen Ke
ο Vel,ο,,74195,42536,08h 40m 17.61s,−52° 55′ 19.1″,3.6,-2.31,495,B3IV,"Xestus; in IC 2391; slowly pulsating B star, *V*max = 3.57m, *V*min = 3.63m, 
*P* = 2.80 d"
HD 78004,c,,78004,44511,09h 04m 09.32s,−47° 05′ 51.8″,3.75,-1.13,309,K2III,
HD 74180,b,,74180,42570,08h 40m 37.58s,−46° 38′ 55.5″,3.81,-7.06,4900,F3Ia,"suspected variable, *V*max = 3.80m, *V*min = 3.91m"
p Vel,p,,92139,51986,10h 37m 18.26s,−48° 13′ 32.2″,3.84,1.72,86,A3m+...,
HD 88955,q,,88955,50191,10h 14m 44.27s,−42° 07′ 19.4″,3.85,1.36,103,A2V,
HD 75063,a,,75063,43023,08h 46m 01.65s,−46° 02′ 29.5″,3.87,-4.52,1552,A1III,
ψ Vel A,ψ,,82434A,46651,09h 30m 42.11s,−40° 28′ 00.8″,3.91,2.57,61,F3VFe-0.7,
HD 74772,d,,74772,42884,08h 44m 23.97s,−42° 38′ 57.6″,4.05,-0.18,228,G5III,
HD 73634,e,,73634,42312,08h 37m 38.64s,−42° 59′ 20.8″,4.11,-4.11,1436,A6II,
γ1 Vel,γ1,,68243,,08h 09m 29.30s,−47° 20′ 45.0″,4.27,-3.62,840,B2III,"component of the γ Vel system, spectroscopic binary; suspected variable"
HD 92449,x,,92449,52154,10h 39m 18.41s,−55° 36′ 11.8″,4.29,-2.92,901,G2II,
HD 83446,M,,83446,47175,09h 36m 49.66s,−49° 21′ 18.5″,4.34,1.75,107,A5V,
HD 95370,i,,95370,53773,11h 00m 09.25s,−42° 13′ 33.1″,4.37,0.39,204,A3IV,
HD 77258,w,,77258,44191,09h 00m 05.44s,−41° 15′ 13.5″,4.47,0.52,201,K0III+...,suspected variable
MV Vel,J,MV,89890,50676,10h 20m 54.81s,−56° 02′ 35.6″,4.49,-3.24,1150,B3III,Be star; Δ*V* = 0.06m
HD 85622,m,,85622,48374,09h 51m 40.69s,−46° 32′ 51.5″,4.58,-3.03,1083,G5Ib,"variable star, Δ*V* = 0.005m, *P* = 1.64 d"
GZ Vel,,GZ,89682,50555,10h 19m 36.77s,−55° 01′ 45.5″,4.59,-3.71,1489,K3II,slow irregular variable
HD 79940,k,,79940,45448,09h 15m 45.07s,−37° 24′ 47.3″,4.63,1.1,166,F3/F5V,
H Vel,H,,76805,43878,08h 56m 19.28s,−52° 43′ 24.6″,4.68,-0.63,376,B5V,
HD 74272,n,,74272,42624,08h 41m 13.14s,−47° 19′ 01.7″,4.74,-4.08,1895,A5II,
HD 70930,B,,70930,41039,08h 22m 31.70s,−48° 29′ 25.4″,4.82,-3.79,1720,B1V,suspected variable
HD 89998,r,,89998,50799,10h 22m 19.61s,−41° 39′ 00.4″,4.82,0.88,200,K1IIIvar,
HY Vel,,HY,74560,42726,08h 42m 25.41s,−53° 06′ 50.5″,4.83,-1.01,479,B3IV,"in IC 2391; slowly pulsating B star, *V*max = 4.81m, *V*min = 4.86m, *P* = 
1.55 d"
HD 88206,Q,,88206,49712,10h 08m 56.25s,−51° 48′ 40.5″,4.85,-2.76,1083,B3IV,
HD 91324,,,91324,51523,10h 31m 22.23s,−53° 42′ 57.6″,4.89,3.19,71,F6V,
HD 79917,l,,79917,45439,09h 15m 36.76s,−38° 34′ 11.7″,4.92,0.73,225,K1III,
HD 75710,g,,75710,43347,08h 49m 47.65s,−45° 18′ 28.5″,4.94,-2.08,827,A2III,
HD 72127,,,72127,41639,08h 29m 27.49s,−44° 43′ 29.4″,4.99,-4.53,2610,B2IV,suspected variable
GX Vel,,GX,79186,45085,09h 11m 04.40s,−44° 52′ 04.5″,5,-5.81,4700,B5Ia,"α Cyg variable, *V*max = 4.97m, *V*min = 5.04m"
HD 73155,C,,73155,42088,08h 34m 43.61s,−49° 56′ 39.3″,5.01,-2.14,876,K1/K2II,"variable star, Δ*V* = 0.004m, *P* = 0.091 d"
HD 83058,L,,83058,46950,09h 34m 08.80s,−51° 15′ 19.0″,5.01,-2.27,931,B1.5IV,
HD 91504,t,,91504,51635,10h 32m 56.88s,−47° 00′ 12.1″,5.02,-2.34,964,K4III,
HD 67582,,,67582,39690,08h 06m 40.34s,−45° 15′ 57.8″,5.04,-2.86,1240,K3III,"suspected variable, Δ*V* = 0.07m"
HD 87783,,,87783,49485,10h 06m 11.22s,−47° 22′ 11.5″,5.06,0.57,258,K0IV,
GU Vel,F,GU,71935,41483,08h 27m 36.65s,−53° 05′ 18.7″,5.08,1.1,204,A9/F0III/IV,"δ Sct variable, *V*max = 5.08m, *V*min = 5.11m, *P* = 0.07 d"
KX Vel,f,KX,75821,43413,08h 50m 33.46s,−46° 31′ 45.1″,5.09,-4.5,2694,B0III,spectroscopic binary; Algol variable
HD 81848,I,,81848,46283,09h 26m 17.98s,−53° 22′ 44.2″,5.09,-0.47,422,B6V,"variable star, Δ*V* = 0.008m, *P* = 0.41 d"
HD 85355,u,,85355,48224,09h 49m 57.16s,−45° 43′ 57.9″,5.09,-2.01,856,B7III,
ψ Vel B,ψ,,82434B,,09h 30m 42.11s,−40° 28′ 00.8″,5.12,3.75,61,,suspected variable
HD 80108,,,80108,45505,09h 16m 23.04s,−44° 15′ 56.7″,5.12,-5.34,4025,K3Ib,"variable star, Δ*V* = 0.006m, *P* = 0.089 d"
HD 82984,,,82984,46914,09h 33m 44.56s,−49° 00′ 18.3″,5.12,-2.22,959,B4IV,suspected variable
NO Vel,,NO,69144,40285,08h 13m 36.16s,−46° 59′ 30.0″,5.14,-2.23,970,B2.5IV,eclipsing binary
