Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Spica,α,67,144,,116658,65474,13h 25m 11.60s,−11° 09′ 40.5″,0.98,-3.55,262,B1V,"Spica Virginis, Azimech, Alarph; β Cep variable"
γ Vir A,γ,29,76,,110379,61941,12h 41m 40.00s,−01° 26′ 58.3″,2.74,2.38,39,F0V+...,"Porrima, Arich; double star"
ε Vir,ε,47,,,113226,63608,13h 02m 10.76s,+10° 57′ 32.8″,2.85,0.37,102,G8IIIvar,"Vindemiatrix, Vindemiator, Almuredin, Alaraph, Provindemiator, 
Protrigetrix, Protrygetor"
ζ Vir,ζ,79,167,,118098,66249,13h 34m 41.75s,−00° 35′ 45.4″,3.38,1.62,73,A3V,Heze
δ Vir,δ,43,95,,112300,63090,12h 55m 36.48s,+03° 23′ 51.4″,3.39,-0.57,202,M3III,"Auva, Al Awwa, Minelauva"
β Vir,β,5,11,,102870,57757,11h 50m 41.29s,+01° 45′ 55.4″,3.59,3.4,36,F8V,"Zavijava, Zavijah, Zavyava, Zawijah, Alaraph, Minelauva"
γ Vir B,γ,29,75,,110380,,12h 41m 39.60s,−01° 26′ 58.0″,3.68,,,,component of γ Vir
109 Vir,,109,259,,130109,72220,14h 46m 14.99s,+01° 53′ 34.6″,3.73,0.75,129,A0V,
μ Vir,μ,107,255,,129502,71957,14h 43m 03.56s,−05° 39′ 26.7″,3.87,2.51,61,F2III,Rijl al Awwa
η Vir,η,15,45,,107259,60129,12h 19m 54.39s,−00° 40′ 00.3″,3.89,-0.53,250,A2IV,Zaniah
ν Vir,ν,3,7,,102212,57380,11h 45m 51.57s,+06° 31′ 47.3″,4.04,-0.87,313,M0III,
ι Vir,ι,99,228,,124850,69701,14h 16m 00.88s,−05° 59′ 58.3″,4.07,2.42,70,F7V,Syrma
ο Vir,ο,9,32,,104979,58948,12h 05m 12.67s,+08° 43′ 58.2″,4.12,0.52,171,G8III,
κ Vir,κ,98,223,,124294,69427,14h 12m 53.74s,−10° 16′ 26.6″,4.18,0,223,K3III,
τ Vir,τ,93,206,,122408,68520,14h 01m 38.78s,+01° 32′ 40.5″,4.23,0.1,218,A3V,
θ Vir,θ,51,115,,114330,64238,13h 09m 57.01s,−05° 32′ 20.1″,4.38,-1.14,415,A1V,
110 Vir,,110,268,,133165,73620,15h 02m 54.07s,+02° 05′ 28.6″,4.39,0.64,183,K0III,
λ Vir,λ,100,237,,125337,69974,14h 19m 06.60s,−13° 22′ 16.2″,4.52,0.73,187,A1V,Khambalia
π Vir,π,8,25,,104321,58590,12h 00m 52.39s,+06° 36′ 51.8″,4.65,-0.54,356,A5V,
χ Vir,χ,26,73,,110014,61740,12h 39m 14.81s,−07° 59′ 43.8″,4.66,-0.29,318,K2III,has a planet (b)
