Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Vul,α,6,,183439,95771,19h 28m 42.41s,+24° 39′ 54.6″,4.44,-0.35,296,M0III comp,"Anser;[1] suspected variable, *V*max = 4.39m, *V*min = 4.46m"
23 Vul,,23,,192806,99874,20h 15m 46.16s,+27° 48′ 51.2″,4.5,-0.51,328,K3III,
31 Vul,(r)[2],31,,198809,103004,20h 52m 07.73s,+27° 05′ 49.7″,4.56,0.45,216,G8III,
13 Vul,,13,,188260,97886,19h 53m 27.68s,+24° 04′ 46.3″,4.57,-0.64,359,B9.5III,
15 Vul,,15,NT,189849,98543,20h 01m 06.01s,+27° 45′ 12.8″,4.66,0.49,222,A4III,"α² CVn variable, *V*max = 4.62m, *V*min = 4.67m, *P* = 14 d"
1 Vul,,1,,180554,94703,19h 16m 13.04s,+21° 23′ 25.6″,4.76,-2.47,911,B4IV,"suspected variable, *V*max = 4.57m, *V*min = 4.77m"
HR 7739,,,QR,192685,99824,20h 15m 15.89s,+25° 35′ 31.1″,4.79,-3.04,1199,B3V,"γ Cas variable, *V*max = 4.6m, *V*min = 4.8m"
29 Vul,,29,,196724,101867,20h 38m 31.29s,+21° 12′ 04.2″,4.81,0.73,213,A0V,
12 Vul,,12,V395,187811,97679,19h 51m 04.09s,+22° 36′ 36.3″,4.9,-1.49,619,B2.5V,"Be star, *V*max = 4.78m, *V*min = 4.97m"
30 Vul,,30,,197752,102388,20h 44m 52.52s,+25° 16′ 15.8″,4.92,-0.32,365,K2III,
9 Vul,,9,,184606,96275,19h 34m 34.89s,+19° 46′ 24.2″,5,-1.35,608,B8IIIn,"suspected variable, *V*max = 4.99m, *V*min = 5.08m"
32 Vul,(q)[2],32,,199169,103200,20h 54m 33.64s,+28° 03′ 27.5″,5.03,-1.75,739,K4III,"suspected variable, *V*max = 4.99m, *V*min = 5.06m"
28 Vul,,28,,196740,101868,20h 38m 31.91s,+24° 06′ 57.5″,5.06,-0.84,493,B5IV,
17 Vul,,17,,190993,99080,20h 06m 53.40s,+23° 36′ 51.9″,5.08,-0.8,488,B3V,
4 Vul,,4,,182762,95498,19h 25m 28.54s,+19° 47′ 54.7″,5.14,0.84,237,K0III,
22 Vul,,22,QS,192713,99853,20h 15m 30.24s,+23° 30′ 32.1″,5.15,-5.44,4347,G2Ib SB,"Algol variable, Δ*V* = 0.12m, *P* = 249.083 d"
3 Vul,,3,V377,182255,95260,19h 22m 50.88s,+26° 15′ 44.7″,5.18,-0.24,402,B6III,"53 Persei variable, Δ*V* = 0.03m, *P* = 1.26239 d"
21 Vul,,21,NU,192518,99738,20h 14m 14.52s,+28° 41′ 41.5″,5.19,0.18,327,A7IVn,δ Sct variable
16 Vul,,16,,190004,98636,20h 02m 01.37s,+24° 56′ 16.3″,5.23,1.17,211,F2III,
24 Vul,,24,,192944,99951,20h 16m 47.08s,+24° 40′ 16.1″,5.3,-0.5,472,G8III,
33 Vul,,33,,199697,103511,20h 58m 16.35s,+22° 19′ 33.3″,5.3,-0.13,397,K4III,
35 Vul,,35,,204414,105966,21h 27m 40.03s,+27° 36′ 30.8″,5.39,1.66,182,A1V,
2 Vul,,2,ES,180968,94827,19h 17m 43.64s,+23° 01′ 32.0″,5.42,-3.39,1918,B0.5IV,"β Cep variable, Δ*V* = 0.06m, *P* = 0.6096 d"
10 Vul,,10,,186486,97077,19h 43m 42.92s,+25° 46′ 18.7″,5.5,0.31,356,G8III,
25 Vul,,25,,193911,100435,20h 22m 03.43s,+24° 26′ 46.0″,5.5,-3.21,1801,B8IIIn,"suspected variable, *V*max = 5.51m, *V*min = 5.54m"
19 Vul,,19,,192004,99518,20h 11m 47.97s,+26° 48′ 32.5″,5.51,-2.96,1614,K3II-III,
18 Vul,,18,,191747,99404,20h 10m 33.52s,+26° 54′ 14.9″,5.53,-0.04,420,A3III,"δ Sct variable, *V*max = 5.52m, *V*min = 5.53m"
HD 187982,,,,187982,97765,19h 52m 01.59s,+24° 59′ 31.8″,5.54,-3.15,1781,A1Iab,"suspected variable, *V*max = 5.52m, *V*min = 5.58m"
HD 188485,,,,188485,97961,19h 54m 31.06s,+24° 19′ 09.8″,5.56,-0.25,472,A0III,"variable star, Δ*V* = 0.005m, *P* = 0.31928 d"
27 Vul,,27,,196504,101716,20h 37m 04.66s,+26° 27′ 43.1″,5.59,0.73,305,B9V,
5 Vul,,5,,182919,95560,19h 26m 13.24s,+20° 05′ 52.2″,5.6,1.47,218,A0V,
T Vul,,,T,198726,102949,20h 51m 28.24s,+28° 15′ 01.9″,5.66,-2.89,1672,F5Ib,"classical Cepheid, *V*max = 5.41m, *V*min = 6.09m, *P* = 4.435462 d"
HD 194577,,,,194577,100754,20h 25m 40.52s,+21° 24′ 34.8″,5.66,-0.43,543,G6III,"suspected variable, Δ*V* = 0.04m"
HD 203925,,,,203925,105703,21h 24m 33.97s,+26° 10′ 28.4″,5.67,1.53,220,A8III,
14 Vul,,14,,189410,98375,19h 59m 10.58s,+23° 06′ 04.6″,5.68,2.26,158,F0,
HD 203803,,,,203803,105652,21h 23m 58.74s,+24° 16′ 26.7″,5.7,1.98,181,F1IV,
HD 178187,,,,178187,93845,19h 06m 38.36s,+24° 15′ 02.7″,5.78,0.74,332,A4III,
