Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Aqr,β,22,75,,204867,106278,21h 31m 33.52s,−05° 34′ 16.2″,2.9,-3.47,612,G0Ib,"Sadalsuud, Sadalsud, Sad es Saud, Sadalsund, Saad el Sund, Nir Saad al 
Saaoud, Lucida Fortunæ Fortunarum,[1] part of Saʽd al Suʽud;[2][3] triple 
star"
α Aqr,α,34,105,,209750,109074,22h 05m 47.03s,−00° 19′ 11.4″,2.95,-3.88,758,G2Ib,"Sadalmelik, Sadal Melik, Sadalmelek, Sadlamulk, El Melik, Saad el Melik, 
Ruchbah; double star"
δ Aqr,δ,76,191,,216627,113136,22h 54m 39.04s,−15° 49′ 14.7″,3.27,-0.18,159,A3V,"Skat, Scheat, Seat, Sheat"
ζ1 Aqr,ζ1,55,150,,213051,110960,22h 28m 49.80s,−00° 01′ 12.2″,3.65,1.14,103,F3III-IV,"Sadaltager, Sadaltajir, Altager, Achr al Achbiya, Postrema Tabernaculorum,
[1] part of al Aḣbiyah;[4][5] binary star"
88 Aqr,c2,88,211,,218594,114341,23h 09m 26.76s,−21° 10′ 20.9″,3.68,-0.6,234,K1III,
λ Aqr,λ,73,185,,216386,112961,22h 52m 36.86s,−07° 34′ 46.8″,3.73,-1.67,391,M2IIIvar,"Hydor, Ekkhysis; irregular variable, *V*max = 3.57m, *V*min = 3.80m"
ε Aqr,ε,2,8,,198001,102618,20h 47m 40.53s,−09° 29′ 44.5″,3.78,-0.46,229,A1V,"Albali, Al Bali, Nir Saad Bula, Lucida Fortunæ Dissipantis,[1] part of al 
Bulaʽ;[6][7] suspected variable"
γ Aqr,γ,48,136,,212061,110395,22h 21m 39.30s,−01° 23′ 14.5″,3.86,0.44,158,A0V,"Sadachbia, Sadalachbia, Aoul al Achbiya, Prima Tabernaculorum, part of al 
Aḣbiyah;[1][4][5] double star"
98 Aqr,b1,98,136,,220321,115438,23h 22m 58.30s,−20° 06′ 01.2″,3.96,0.48,162,K0III,
η Aqr,η,62,163,,213998,111497,22h 35m 21.33s,−00° 07′ 02.5″,4.04,0.29,183,B9IV-Vn,part of al Aḣbiyah[4][5]
τ2 Aqr,τ2,71,183,,216032,112716,22h 49m 35.51s,−13° 35′ 33.1″,4.05,-1.28,380,K5III,optical double; suspected variable
θ Aqr,θ,43,129,,211391,110003,22h 16m 49.97s,−07° 46′ 59.7″,4.17,0.33,191,G8III-IV,Ancha
φ Aqr,φ,90,215,,219215,114724,23h 14m 19.33s,−06° 02′ 54.7″,4.22,0.05,222,M2III,suspected variable
ψ1 Aqr,ψ1,91,218,,219449,114855,23h 15m 53.28s,−09° 05′ 15.7″,4.24,0.95,148,K0III,multiple star; has a planet (b)
ι Aqr,ι,33,107,,209819,109139,22h 06m 26.21s,−13° 52′ 10.3″,4.29,0.67,172,B8V,
99 Aqr,b2,99,235,,220704,115669,23h 26m 02.82s,−20° 38′ 30.7″,4.38,-0.5,308,K4III,suspected variable
ψ2 Aqr,ψ2,93,222,,219688,115033,23h 17m 54.20s,−09° 10′ 57.0″,4.41,-0.56,322,B5Vn,"Be star; variable, Δ*V* = 0.06m, *P* = 1.073 d"
ζ2 Aqr,ζ2,55,150,,213052,,22h 28m 50.10s,−00° 01′ 12.0″,4.42,-0.01,251,F3V,component of the ζ Aqr system
3 Aqr,k,3,9,EN,198026,102624,20h 47m 44.24s,−05° 01′ 39.4″,4.43,-1.24,445,M3IIIvar,"EN Aqr; irregular variable, Δ*V* = 0.06m"
86 Aqr,c1,86,210,,218240,114119,23h 06m 40.81s,−23° 44′ 35.2″,4.48,0.67,188,G8III,triple star system
ω2 Aqr,ω2,105,259,,222661,116971,23h 42m 43.28s,−14° 32′ 41.1″,4.49,1.12,154,B9V,binary star
ν Aqr,ν,13,47,,201381,104459,21h 09m 35.59s,−11° 22′ 18.0″,4.5,1,164,G8III,"Albulaan, part of al Bulaʽ[6][7]"
ξ Aqr,ξ,23,81,,205767,106786,21h 37m 45.04s,−07° 51′ 14.9″,4.68,0.99,179,A7V,"Bunda, Thanih Saad al Saaoud, Secunda Fortunæ Fortunarum,[1] part of Saʽd 
al Suʽud;[2][3] double star"
66 Aqr,g,66,176,,215167,112211,22h 43m 35.25s,−18° 49′ 49.1″,4.68,-1.18,484,K3III,suspected variable
101 Aqr,b3,101,244,,221565,116247,23h 33m 16.63s,−20° 54′ 52.3″,4.7,-0.26,320,A0V,double star
