Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Ara,β,,157244,85258,17h 25m 18.00s,−55° 31′ 47.4″,2.84,-3.49,603,K3Ib-II,
α Ara,α,,158427,85792,17h 31m 50.52s,−49° 52′ 33.5″,2.84,-1.51,242,B2Vne,"Choo, Tchou; λ Eri and γ Cas variable, *V*max = 2.73m, *V*min = 3.00m, *P* 
= 0.98127 d"
ζ Ara,ζ,,152786,83081,16h 58m 37.23s,−55° 59′ 24.2″,3.12,-3.11,574,K5III,
γ Ara,γ,,157246,85267,17h 25m 23.66s,−56° 22′ 39.7″,3.31,-4.4,1136,B1Ib,
δ Ara,δ,,158094,85727,17h 31m 05.98s,−60° 41′ 01.0″,3.6,-0.19,187,B8V,
θ Ara,θ,,165024,88714,18h 06m 37.88s,−50° 05′ 29.2″,3.65,-3.81,1012,B2Ib,
η Ara,η,,151249,82363,16h 49m 47.11s,−59° 02′ 28.7″,3.77,-1.14,313,K5III,binary star
ε1 Ara,ε1,,152980,83153,16h 59m 35.05s,−53° 09′ 37.8″,4.06,-0.79,304,K4III,
σ Ara,σ,,159217,86092,17h 35m 39.61s,−46° 30′ 20.1″,4.56,-0.8,385,A0V,
λ Ara,λ,,160032,86486,17h 40m 23.73s,−49° 24′ 54.6″,4.76,3.06,71,F3IV,suspected δ Sct variable
μ Ara,μ,,160691,86796,17h 44m 08.72s,−51° 50′ 00.9″,5.12,4.2,50,G3IV-V,"Cervantes,[1] has four planets (b, c, d, & e)"
κ Ara,κ,,157457,85312,17h 26m 00.03s,−50° 38′ 00.7″,5.19,-0.24,398,K1III,a triple star system.
ι Ara,ι,,157042,85079,17h 23m 16.08s,−47° 28′ 05.4″,5.21,-1.51,721,B2IIIne,"Be star, *V*max = 5.18m, *V*min = 5.26m, *P* = 0.5565 d"
π Ara,π,,159492,86305,17h 38m 05.57s,−54° 30′ 00.3″,5.25,2.12,137,A7V,
ε2 Ara,ε2,,153580,83431,17h 03m 08.71s,−53° 14′ 11.9″,5.27,3.17,86,F6V,
HD 157661,,,157661,85389,17h 26m 51.98s,−45° 50′ 34.7″,5.28,-1.04,599,B8V,multiple star system
41 G. Ara,,,156274,84720,17h 19m 02.95s,−46° 38′ 11.4″,5.47,5.75,29,G8V,binary star; suspected variable
ρ2,ρ2[2],,152824,83057,16h 58m 17.95s,−50° 38′ 27.9″,5.53,-0.5,523,B9IV,
HD 150898,,,150898,82171,16h 47m 19.66s,−58° 20′ 29.0″,5.55,-3.48,2090,B0Iab,suspected variable
HD 150168,,,150168,81733,16h 41m 40.23s,−49° 39′ 05.6″,5.62,-4.38,3260,B1II,
HD 153053,,,153053,83187,17h 00m 06.29s,−54° 35′ 49.2″,5.64,2.12,165,A3V,
HD 150136,,,150136,81702,16h 41m 20.42s,−48° 45′ 46.7″,5.65,,,O3.5If*+O6V,"triple star; suspected rotating ellipsoidal variable, Δ*V* = 0.03m"
V539 Ara,ν1,V539,161783,87314,17h 50m 28.39s,−53° 36′ 44.6″,5.68,-1.33,823,B2V + B3V,"Algol variable and slowly pulsating B star, *V*max = 5.71m, *V*min = 6.24m, 
*P* = 3.169094 d"
HD 156838,,,156838,85147,17h 24m 01.08s,−62° 51′ 50.9″,5.69,-2.82,1638,B2IV,
HD 157753,,,157753,85470,17h 27m 57.62s,−52° 17′ 49.3″,5.72,0.81,312,K2III,
HD 153716,,,153716,83535,17h 04m 24.73s,−57° 42′ 43.6″,5.73,-1,723,B5IV,
HD 150745,,,150745,82110,16h 46m 21.23s,−58° 30′ 12.8″,5.74,-1.31,838,B2IV-V,
HD 156854,,,156854,85068,17h 23m 07.11s,−56° 31′ 32.0″,5.76,0.27,409,G8/K0III,
HD 156942,,,156942,85169,17h 24m 18.80s,−60° 40′ 25.6″,5.76,-0.92,706,B8Ib/II,
HD 160263,,,160263,86552,17h 41m 16.23s,−46° 55′ 18.5″,5.78,-0.75,660,A0V,
HD 156768,,,156768,85049,17h 22m 55.23s,−58° 00′ 37.0″,5.86,-1.05,786,G8Ib/II,
HD 154903,,,154903,84248,17h 13m 18.11s,−67° 11′ 46.9″,5.87,0.87,327,K0III-IV,
HD 159463,,,159463,86248,17h 37m 27.31s,−50° 03′ 34.1″,5.89,0.76,346,K0III-IV,
HD 157662,,,157662,85409,17h 27m 12.46s,−50° 37′ 49.3″,5.9,-2.65,1672,B9II,
HD 151967,,,151967,82672,16h 54m 00.40s,−57° 54′ 33.2″,5.91,-0.71,688,M0III,semiregular variable
HD 156091,,,156091,84731,17h 19m 12.51s,−59° 41′ 40.5″,5.93,-3.06,2050,K2IIICN...,
HD 157819,,,157819,85520,17h 28m 38.91s,−55° 10′ 10.8″,5.93,-1.27,898,G8II/III,Binary
HD 152527,,,152527,82902,16h 56m 28.80s,−52° 17′ 01.1″,5.94,1.01,315,A0III,
V854 Ara,,V854,155035,84105,17h 11m 38.67s,−48° 52′ 24.2″,5.94,-1.09,830,M1/M2III,slow irregular variable
V862 Ara,,V862,158220,85751,17h 31m 23.28s,−56° 55′ 15.47″,5.95,-3.14,2146,B7II-III,Be star
HD 150576,,,150576,81966,16h 44m 39.75s,−53° 09′ 08.2″,5.96,-0.66,688,G8III,
HD 153221,,,153221,83216,17h 00m 26.98s,−48° 38′ 51.2″,5.98,0.6,389,G5IV,
HD 152082,,,152082,82806,16h 55m 24.68s,−63° 16′ 10.7″,5.99,0.3,448,A0III,
HD 158476,,,158476,85788,17h 31m 49.10s,−46° 02′ 12.4″,6.04,-2.91,2012,F8/G0Ib,suspected variable
HD 153791,,,153791,83481,17h 03m 41.68s,−47° 09′ 38.1″,6.07,-0.33,620,A2/A3V,
