Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Arcturus,α,16,,,124897,69673,14h 15m 40.35s,+19° 11′ 14.2″,-0.05,-0.31,37,K2IIIp,"Alramech, Al Simak Al Ramih, Al Simak Lanceator;[1] 3rd brightest star, 
variable"
ε Boo,ε,36,,,129988,72105,14h 44m 59.25s,+27° 04′ 27.0″,2.35,-1.69,210,A0,"Izar, Mirak, Pulcherrima, Mintek al Aoua, Cingulum Latratoris;[1] binary 
star"
η Boo,η,8,,,121370,67927,13h 54m 41.12s,+18° 23′ 54.9″,2.68,2.41,37,G0IV,"Muphrid, Saak, Ramih al Ramih, Lancea Lanceator[1]"
ε Boo,ε,36,,,129989,,14h 44m 59.20s,+27° 04′ 27.0″,2.7,,,,component of the ε Boo system
γ Boo,γ,27,,,127762,71075,14h 32m 04.76s,+38° 18′ 28.4″,3.04,0.96,85,A7IIIvar,"Seginus, Haris, Menkib al Aoua al Aisr, Humerus Sinister Latratoris;[1] δ 
Sct variable, *V*max = 3.02m, *V*min = 3.07m, *P* = 0.290314 d"
δ Boo,δ,49,,,135722,74666,15h 15m 30.10s,+33° 18′ 54.4″,3.46,0.69,117,G8III,Princeps.[2]
β Boo,β,42,,,133208,73555,15h 01m 56.79s,+40° 23′ 26.3″,3.49,-0.64,219,G8III,"Nekkar, Meres"
ρ Boo,ρ,25,,,127665,71053,14h 31m 49.86s,+30° 22′ 16.1″,3.57,0.27,149,K3III,Hemelein Prima
ζ Boo,ζ,30,,,129246,71795,14h 41m 08.92s,+13° 43′ 42.0″,3.78,0.06,180,A3IVn,double star
θ Boo,θ,23,,,126660,70497,14h 25m 12.02s,+51° 51′ 06.2″,4.04,3.22,48,F7V,Asellus Primus[3]
υ Boo,υ,5,,,120477,67459,13h 49m 28.70s,+15° 47′ 52.1″,4.05,-0.33,245,K5IIIvar,
λ Boo,λ,19,,,125162,69732,14h 16m 23.18s,+46° 05′ 16.5″,4.18,1.81,97,A0sh,"Aulad al Thiba, Xuángē (玄戈)[4]"
μ1 Boo,μ1,51,,,137391,75411,15h 24m 29.54s,+37° 22′ 37.1″,4.31,1.46,121,F0V,Alkalurops; double star
ζ Boo,ζ,30,,,129247,,14h 41m 08.90s,+13° 43′ 42.0″,4.43,,,,
σ Boo,σ,28,,,128167,71284,14h 34m 40.69s,+29° 44′ 41.3″,4.47,3.52,50,F3Vwvar,Hemelein Secunda
π1 Boo,π1,29,,,129174,71762,14h 40m 43.56s,+16° 25′ 05.9″,4.49,-0.45,317,B9p MnHg,binary star
τ Boo,τ,4,,,120136,67275,13h 47m 16.04s,+17° 27′ 24.4″,4.5,3.53,51,F7V,has a planet (b)
ψ Boo,ψ,43,,,133582,73745,15h 04m 26.86s,+26° 56′ 51.6″,4.52,0.1,250,K2III,Nadlat
κ2 Boo,κ2,17,,,124675,69483,14h 13m 28.95s,+51° 47′ 24.0″,4.53,1.14,155,A8IV,"Asellus Tertius;[3] binary star; δ Sct variable, *V*max = 4.50m, *V*min = 
4.58m, *P* = 0.06479 d"
ξ Boo,ξ,37,,,131156,72659,14h 51m 23.28s,+19° 06′ 02.3″,4.54,5.41,22,G8V + K4V,"BY Dra variable, *V*max = 4.52m, *V*min = 4.67m, *P* = 10.137 d"
ο Boo,ο,35,,,129972,72125,14h 45m 14.50s,+16° 57′ 51.9″,4.6,0.4,225,K0III,
ι Boo,ι,21,,,125161,69713,14h 16m 10.07s,+51° 22′ 01.3″,4.75,2.38,97,A9V,"Asellus Secundus;[3] binary star, triple star; δ Sct variable, *V*max = 4.73
m, *V*min = 4.78m, *P* = 0.027 d"
HD 125351,A,,,,125351,69879,14h 17m 59.82s,+35° 30′ 34.1″,4.8,0.63,223,K1III,spectroscopic binary
W Boo,,34,,,129712,71995,14h 43m 25.37s,+26° 31′ 40.4″,4.8,-2.38,888,M3III,"semiregular variable, *V*max = 4.49m, *V*min = 5.40m, *P* = 25 d"
ω Boo,ω,41,,,133124,73568,15h 02m 06.51s,+25° 00′ 29.7″,4.8,-0.41,359,K4III,
12 Boo,d,12,,,123999,69226,14h 10m 23.95s,+25° 05′ 30.6″,4.82,2,120,F9IVw,
44 Boo,i,44,,,133640,73695,15h 03m 47.68s,+47° 39′ 14.5″,4.83,4.3,42,G2V + G2V,"W UMa variable, *V*max = 4.70m, *V*min = 4.86m, *P* = 0.267819 d"
20 Boo,,20,,,125560,70027,14h 19m 45.32s,+16° 18′ 24.5″,4.84,1.01,190,K3III,
HD 126128,,,,,126128,70327,14h 23m 22.74s,+08° 26′ 47.9″,4.86,0.76,215,A0V,
31 Boo,,31,6,,129312,71832,14h 41m 38.76s,+08° 09′ 42.3″,4.86,-1.38,576,G8IIIvar,
6 Boo,e,6,,,120539,67480,13h 49m 42.82s,+21° 15′ 50.6″,4.92,-0.34,368,K4III,
45 Boo,c,45,,,134083,73996,15h 07m 17.95s,+24° 52′ 10.5″,4.93,3.46,64,F5V,
ν2 Boo,ν2,53,,,138629,76041,15h 31m 46.99s,+40° 53′ 57.7″,4.98,-0.62,430,A5V,
