Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Procyon,α,10,,61421,37279,07h 39m 18.54s,+05° 13′ 39.0″,0.34,2.65,11,F5IV-V,"Antecanis, Al Shira, Elgomaisa; 7th brightest star, 13th nearest star 
system; binary; suspected variable, *V*max = 0.34m, *V*min = 0.41m"
β CMi,β,3,,58715,36188,07h 27m 09.07s,+08° 17′ 21.9″,2.89,-0.7,170,B8Vvar,"Gomeisa; γ Cas variable, *V*max = 2.84m, *V*min = 2.92m"
γ CMi,γ,4,,58972,36284,07h 28m 09.83s,+08° 55′ 31.8″,4.33,-1.1,318,K3III SB,"semiregular variable, *V*max = 4.30m, *V*min = 4.34m, *P* = 55 d"
HD 66141,(λ)[1],(13)[2],,66141,39311,08h 02m 15.95s,+02° 20′ 03.5″,4.39,-0.13,261,K2III,suspected variable; has a planet (b)
6 CMi,,6,,59294,36425,07h 29m 47.78s,+12° 00′ 23.8″,4.55,-1.63,560,K2III,"suspected variable, *V*max = 4.48m, *V*min = 4.55m"
ε CMi,ε,2,,58367,36041,07h 25m 38.90s,+09° 16′ 34.0″,4.99,-2.42,988,G8III,
ζ CMi,ζ,13,,63975,38373,07h 51m 42.00s,+01° 46′ 00.8″,5.12,-0.43,420,B8II,
η CMi,η,5,,58923,36265,07h 28m 02.08s,+06° 56′ 31.5″,5.22,0.06,351,F0III,
δ1 CMi,δ1,7,,59881,36641,07h 32m 05.95s,+01° 54′ 52.1″,5.24,-1.67,787,F0III,
11 CMi,,11,,62832,37921,07h 46m 16.22s,+10° 46′ 05.9″,5.25,0.34,312,A1Vnn,
14 CMi,,14,,65345,38962,07h 58m 20.75s,+02° 13′ 28.3″,5.3,0.75,264,K0III,
HD 55751,,,,55751,34987,07h 14m 20.07s,+03° 06′ 41.1″,5.36,-1.45,749,K0III,
1 CMi,,1,,58187,35987,07h 24m 58.19s,+11° 40′ 10.4″,5.37,0.43,317,A5IV,
δ2 CMi,δ2,8,,60111,36723,07h 33m 11.68s,+03° 17′ 25.0″,5.59,2.44,139,F2V,
HD 65900,,,,65900,39213,08h 01m 13.91s,+04° 52′ 47.2″,5.65,0.52,346,A1V,
HD 55730,,,,55730,35005,07h 14m 32.65s,+12° 06′ 57.1″,5.71,0.68,331,G6III,
HD 54079,,,,54079,34387,07h 07m 49.48s,+07° 28′ 16.7″,5.74,-0.47,568,K0III:,
HD 56031,,,,56031,35120,07h 15m 39.42s,+07° 58′ 39.9″,5.78,-0.56,604,M4III,"semiregular variable, Δ*V* = 0.08m"
δ3 CMi,δ3,9,,60357,36812,07h 34m 15.89s,+03° 22′ 18.3″,5.83,-0.75,676,A0Vnn,
HD 64685,,,,64685,38712,07h 55m 31.44s,+08° 51′ 47.0″,5.86,2.95,124,F2IV,
HD 60803,,,,60803,37031,07h 36m 34.77s,+05° 51′ 43.6″,5.89,2.69,142,G0V,
HD 56989,,,,56989,35476,07h 19m 22.37s,+02° 44′ 26.6″,5.9,-0.11,520,G9III,
HD 57006,,,,57006,35509,07h 19m 47.61s,+07° 08′ 35.1″,5.91,2.04,193,F8V,
HD 61887,,,,61887,37478,07h 41m 35.16s,+03° 37′ 29.4″,5.95,0,504,A0V,
HD 57608,,,,57608,35712,07h 22m 03.48s,+00° 10′ 37.7″,5.99,-5.08,5344,B8III,
HD 65066,,,,65066,38868,07h 57m 15.88s,+08° 38′ 28.6″,6.03,1.25,294,K0III,
HD 55111,,,,55111,34768,07h 11m 51.39s,+05° 39′ 17.0″,6.07,-0.83,782,A1V,
HD 55184,,,,55184,34789,07h 12m 07.50s,+05° 28′ 27.7″,6.15,-0.67,753,K0III,
HD 64938,,,,64938,38794,07h 56m 23.91s,+04° 29′ 08.1″,6.16,-0.91,845,G8III,
HD 62264,,,,62264,37614,07h 43m 05.42s,+00° 11′ 21.7″,6.17,0.46,453,K0III,
HD 63799,,,,63799,38300,07h 50m 47.36s,+03° 16′ 38.4″,6.17,0.81,384,K1III,
HD 66011,,,,66011,39271,08h 01m 50.73s,+08° 54′ 50.2″,6.22,2.34,194,G0IV,
HD 60275,,,,60275,36796,07h 34m 04.98s,+10° 34′ 05.2″,6.28,0.73,420,A1V,
BC CMi,,,BC,64052,38406,07h 52m 07.16s,+03° 16′ 39.1″,6.3,0.75,420,M5,"semiregular variable, *V*max = 6.14m, *V*min = 6.42m, *P* = 35 d"
HD 65123,,,,65123,38870,07h 57m 16.39s,+01° 07′ 37.3″,6.35,2.51,191,F6V,
HD 58552,,,,58552,36123,07h 26m 27.81s,+10° 36′ 29.0″,6.38,1.45,316,A2IV,
HD 59603,,,,59603,36553,07h 31m 08.79s,+11° 12′ 10.8″,6.38,-0.32,712,K0,
HD 63838,,,,63838,38306,07h 50m 53.42s,+00° 04′ 46.4″,6.38,0.86,414,K2III,
HD 58599,,,,58599,36141,07h 26m 41.22s,+11° 00′ 31.9″,6.39,-1.55,1264,B7II-III,
HD 62407,,,,62407,37723,07h 44m 14.07s,+12° 51′ 36.4″,6.4,-0.75,876,K0,
HD 63475,,,,63475,38196,07h 49m 32.32s,+12° 48′ 51.5″,6.42,0.44,511,K0,
BU CMi,,,BU,65241,38945,07h 58m 05.90s,+07° 12′ 48.8″,6.42,-0.64,842,A0V,Algol variable
HD 57707,,,,57707,35751,07h 22m 28.30s,+00° 42′ 03.4″,6.43,2.24,225,G5,
AZ CMi,,,AZ,62437,37705,07h 44m 07.64s,+02° 24′ 19.6″,6.46,0.84,433,F0III,"δ Sct variable, *V*max = 6.44m, *V*min = 6.51m, *P* = 0.09526 d"
HD 63798,,,,63798,38303,07h 50m 51.11s,+04° 27′ 33.8″,6.49,1.12,387,G5,
HD 62286,,,,62286,37634,07h 43m 21.21s,+04° 56′ 44.9″,6.5,0.03,643,K0,
S CMi,,,S,59950,36675,07h 32m 43.07s,+08° 19′ 05.2″,6.6,,2450,M7-8e,"Mira variable, *V*max = 6.6m, *V*min = 13.2m, *P* = 332.94 d"
AI CMi,,,AI,,,07h 35m 41.15s,+00° 14′ 58.0″,8.31,,,G5Iab,"slow irregular variable, *V*max = 7.77m, *V*min = 9.53m"
HD 56126,,,CY,56126,,07h 16m 10.6s,+09° 59′ 48.0″,8.32,,,F5Iab,"post-AGB star, Δ*V* = 0.18m, *P* = 39 d"
YY CMi,,,YY,67110,,08h 06m 38.56s,+01° 55′ 46.5″,8.7,,,F7V,"β Lyr variable, *V*max = 8.33m, *V*min = 9.13m, *P* = 1.0940197 d"
AD CMi,,,AD,64191,38473,07h 52m 47.18s,+01° 35′ 50.5″,9.38,,528,F2:III,"δ Sct variable, *V*max = 9.21m, *V*min = 9.51m, *P* = 0.12297443 d"
Luyten's star,,,,,36208,07h 27m 24.91s,+05° 13′ 32.8″,9.87,11.94,12.37,M3.5V,
XZ CMi,,,XZ,,,07h 54m 07.06s,+03° 39′ 20.4″,10.25,,,F0,"Algol variable, *V*max = 9.7m, *V*min = 10.42m, *P* = 0.5780095 d"
AK CMi,,,AK,,,07h 40m 15.60s,+03° 57′ 09.5″,10.73,,,A-F,Algol variable
