Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Cor Caroli,α2,12,,112413,63125,12h 56m 01.84s,+38° 19′ 05.7″,2.89,0.25,114,A0spe...,"prototype α² CVn variable, *V*max = 2.86m, *V*min = 2.93m, *P* = 5.46939 d; binary 
star with α1 CVn"
β CVn,β,8,,109358,61317,12h 33m 45.09s,+41° 21′ 24.4″,4.24,4.63,27,G0V,"Chara, Asterion; solar analog; suspected variable, *V*max = 4.24m, *V*min = 
4.29m"
24 CVn,,24,,118232,66234,13h 34m 27.37s,+49° 00′ 57.3″,4.68,0.85,190,A5V,"suspected variable, *V*max = 4.60m, *V*min = 4.70m"
20 CVn,,20,AO,115604,64844,13h 17m 32.64s,+40° 34′ 21.2″,4.72,0,286,F3III,"δ Sct variable, *V*max = 4.7m, *V*min = 4.75m, *P* = 0.12168 d"
AW CVn,,,AW,120933,67665,13h 51m 47.49s,+34° 26′ 39.5″,4.76,-1.58,604,K5III,"semiregular variable, *V*max = 4.72m, *V*min = 4.81m"
5 CVn,,5,,107950,60485,12h 24m 01.48s,+51° 33′ 44.0″,4.77,-0.64,393,G7III,"suspected eclipsing binary, Δ*V* = 0.07m"
25 CVn,,25,,118623,66458,13h 37m 27.70s,+36° 17′ 41.4″,4.82,0.97,192,A7III,binary star
HR 5110,,,BH,118216,66257,13h 34m 47.75s,+37° 10′ 56.8″,4.91,1.67,145,F2IV SB,"RS CVn variable, Δ*V* = 0.07m, *P* = 2.61317 d"
HD 115004,,,,115004,64540,13h 13m 42.98s,+40° 09′ 10.3″,4.94,-1.08,522,K0III,
6 CVn,,6,,108225,60646,12h 25m 51.00s,+39° 01′ 07.3″,5.01,0.79,227,G8III-IV,"variable star, Δ*V* = 0.006m, *P* = 157.23270 d"
21 CVn,,21,BK,115735,64906,13h 18m 14.54s,+49° 40′ 55.3″,5.13,0.51,275,A0V,"α² CVn variable, Δ*V* = 0.04m"
14 CVn,,14,,113797,63901,13h 05m 44.46s,+35° 47′ 55.9″,5.2,0.51,282,B9V,"suspected variable, *V*max = 5.10m, *V*min = 5.29m"
3 CVn,,3,,107274,60122,12h 19m 48.72s,+48° 59′ 02.9″,5.28,-0.72,517,M0III,suspected variable
HD 109317,,,,109317,61309,12h 33m 38.90s,+33° 14′ 51.6″,5.42,0.86,266,K0IIICN...,
La Superba,,,Y,110914,62223,12h 45m 07.83s,+45° 26′ 24.8″,5.42,-1.27,710,C7Iab,"semiregular variable, *V*max = 4.86m, *V*min = 5.88m, *P* = 267.8 d"
HD 120164,,,,120164,67250,13h 46m 59.87s,+38° 32′ 33.9″,5.51,0.67,304,K0III+...,
23 CVn,,23,,116010,65072,13h 20m 19.00s,+40° 09′ 02.0″,5.6,-0.91,655,K1III,
α1 CVn,α1,12,,112412,63121,12h 56m 00.60s,+38° 18′ 52.9″,5.61,2.78,120.2,F0V,component of the Cor Caroli system
HD 120420,,,,120420,67384,13h 48m 38.74s,+31° 11′ 24.4″,5.61,0.71,311,K0III,
HD 113847,,,,113847,63916,13h 05m 52.28s,+45° 16′ 06.6″,5.64,-0.21,483,K1III,"suspected variable, *V*max = 5.64m, *V*min = 5.84m"
