Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Cam,β,10,,31910,23522,05h 03m 25.10s,+60° 26′ 32.2″,4.03,-3.4,997,G0Ib,
CS Cam,B,,CS,21291,16228,03h 29m 04.13s,+59° 56′ 25.2″,4.21,-6.39,4289,B9Ia,"α Cyg variable, Δ*V* = 0.05m"
α Cam,α,9,,30614,22783,04h 54m 03.01s,+66° 20′ 33.6″,4.26,-7.38,6936,O9.5Ia SB:,Shǎowèi (少衛)[1]
BE Cam,,,BE,23475,17884,03h 49m 31.29s,+65° 31′ 33.6″,4.39,-2.97,964,M1III,"irregular variable, *V*max = 4.35m, *V*min = 4.48m"
7 Cam,,7,,31278,23040,04h 57m 17.22s,+53° 45′ 07.5″,4.43,-0.88,376,A1V,
CE Cam,C,,CE,21389,16281,03h 29m 54.75s,+58° 52′ 43.5″,4.55,-4.85,2470,A0Ia SB:,"α Cyg variable, Δ*V* = 0.03m"
M Cam,M,,,49878,33694,07h 00m 03.85s,+76° 58′ 38.8″,4.55,0.76,187,K4III,
γ Cam,γ,,,23401,17959,03h 50m 21.48s,+71° 19′ 56.5″,4.59,-0.47,335,A2IVn,
BK Cam,A,,BK,20336,15520,03h 19m 59.26s,+65° 39′ 08.4″,4.74,-2.21,801,B2.5Vne,"γ Cas variable, Δ*V* = ~0.11m"
L Cam,L,,,42818,29997,06h 18m 50.78s,+69° 19′ 12.1″,4.76,1.1,176,A0Vn,
PLX 772,,,,23089,17587,03h 46m 02.33s,+63° 20′ 42.2″,4.78,-2.17,799,A3V...,
VZ Cam,,,VZ,55966,36547,07h 31m 04.48s,+82° 24′ 41.6″,4.92,-0.89,473,M4IIIa,"semiregular variable, *V*max = 4.80m, *V*min = 4.96m, *P* = 23.7 d"
H Cam,H,,,24479,18505,03h 57m 25.44s,+63° 04′ 20.1″,4.95,-0.13,338,B9.5V,
HD 24480,,,,24480,18488,03h 57m 08.29s,+61° 06′ 32.1″,4.99,-3.78,1852,K3I-II,
,,,,25291,19018,04h 04m 27.16s,+59° 09′ 19.8″,5,-3.63,1734,F0II,
BD Cam,,,BD,22649,17296,03h 42m 09.35s,+63° 13′ 00.3″,5.06,-0.95,520,S5.3 SB:,"a symbiotic star; irregular variable, *V*max = 5.04m, *V*min = 5.17m"
3 Cam,,3,,29317,21727,04h 39m 54.69s,+53° 04′ 46.5″,5.07,-0.84,495,K0III SB,
K Cam,K,,,33564,25110,05h 22m 33.78s,+79° 13′ 50.7″,5.08,3.47,68,F6V,has a planet (b)
D Cam,D,,,21447,16292,03h 30m 00.23s,+55° 27′ 06.6″,5.09,1.25,191,A1V,
43 Cam,,43,,49340,33104,06h 53m 42.24s,+68° 53′ 17.9″,5.11,-2.32,1000,B7III,
CQ Cam,,,CQ,20797,15890,03h 24m 40.56s,+64° 35′ 09.6″,5.13,-2.79,1249,M0II,"irregular variable, Δ*V* = ~0.12m"
42 Cam,,42,,48879,32864,06h 50m 57.09s,+67° 34′ 18.9″,5.14,-1.98,867,B4IV,
N Cam,N,,,106112,59504,12h 12m 11.91s,+77° 36′ 58.3″,5.14,2.5,110,A5m,"rotating ellipsoidal variable, Δ*V* = 0.07m"
,,,,26764,19949,04h 16m 43.11s,+53° 36′ 42.5″,5.2,0.03,353,A2Vn,
31 Cam,,31,TU,39220,27971,05h 54m 57.83s,+59° 53′ 18.3″,5.2,-0.27,405,A2V,TU Cam; eclipsing spectroscopic binary
11 Cam,,11,BV,32343,23734,05h 06m 08.46s,+58° 58′ 20.6″,5.22,-1.35,671,B2.5Ve,"BV Cam; γ Cas variable, Δ*V* = 0.07m; double star with 12 Cam"
16 Cam,,16,,34787,25197,05h 23m 27.83s,+57° 32′ 40.3″,5.24,0.15,340,A0Vn,
NSV 4864,,,,90089,51502,10h 31m 05.02s,+82° 33′ 30.7″,5.25,3.59,70,F2V,
,,,,27022,20266,04h 20m 40.36s,+65° 08′ 25.6″,5.26,0.22,333,G5III,
4 Cam,,4,,30121,22287,04h 48m 00.22s,+56° 45′ 27.1″,5.29,1.81,162,A3m,
37 Cam,,37,,41597,29246,06h 09m 58.99s,+58° 56′ 08.3″,5.35,0.2,349,G8III,
2 Cam,,2,,29316,21730,04h 39m 58.03s,+53° 28′ 23.7″,5.36,0.71,277,A8V,multiple star
36 Cam,,36,,41927,29490,06h 12m 51.05s,+65° 43′ 06.6″,5.36,-1.11,642,K2II-III,
40 Cam,,40,,42633,29730,06h 15m 40.51s,+59° 59′ 56.5″,5.37,-0.55,498,K3III,
,,,,64307,39117,08h 00m 11.76s,+73° 55′ 04.8″,5.37,-1.29,700,K3III,
Σ 1694,,,,112028,62572,12h 49m 13.80s,+83° 24′ 46.3″,5.38,0.54,303,A1IIIsh,
,,,,64486,39538,08h 04m 47.19s,+79° 28′ 47.1″,5.39,0.36,330,A0p...,
,,,,23277,17854,03h 49m 13.70s,+70° 52′ 16.3″,5.4,0.4,325,A2m,
