Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ Cas,γ,27,,5394,4427,00h 56m 42.50s,+60° 43′ 00.3″,2.15,-4.22,613,B0IV:evar,"Tsih, Navi; prototype γ Cas variable, *V*max = 1.6m, *V*min = 3.0m"
α Cas,α,18,,3712,3179,00h 40m 30.39s,+56° 32′ 14.7″,2.24,-1.99,228,K0II-IIIvar,Schedar
β Cas,β,11,,432,746,00h 09m 10.09s,+59° 09′ 00.8″,2.28,1.17,54,F2III-IV,"Caph; δ Sct variable, *V*max = 2.25m, *V*min = 2.29m, *P* = 0.10 d"
δ Cas,δ,37,,8538,6686,01h 25m 48.60s,+60° 14′ 07.5″,2.68,0.26,99,A5Vv SB,"Ruchbah; Algol variable, *V*max = 2.68m, *V*min = 2.76m, *P* = 759 d"
ε Cas,ε,45,,11415,8886,01h 54m 23.68s,+63° 40′ 12.5″,3.35,-2.31,442,B2pvar,"Segin; variable star, Δ*V* = 0.002m, *P* = 0.09 d"
η Cas,η,24,,4614,3821,00h 49m 05.10s,+57° 48′ 59.6″,3.46,4.59,19,G0V SB,RS CVn variable
ζ Cas,ζ,17,,3360,2920,00h 36m 58.27s,+53° 53′ 49.0″,3.69,-2.62,597,B2IV,suspected variable
50 Cas,,50,,12216,9598,02h 03m 26.19s,+72° 25′ 16.5″,3.95,0.47,162,A2V,"variable star, Δ*V* = 0.003m, *P* = 0.80 d"
κ Cas,κ,15,,2905,2599,00h 32m 59.99s,+62° 55′ 54.4″,4.17,-6.34,4127,B1Ia,"α Cyg variable, *V*max = 4.12m, *V*min = 4.21m, *P* = 2.65 d"
θ Cas,θ,33,,6961,5542,01h 11m 05.93s,+55° 08′ 59.8″,4.34,1.22,137,A7Vvar,Marfak; suspected variable
ι Cas,ι,,,15089,11569,02h 29m 03.99s,+67° 24′ 08.6″,4.46,1.27,141,A5p Sr,"α2 CVn variable, *V*max = 4.45m, *V*min = 4.53m, *P* = 1.74 d"
ο Cas,ο,22,,4180,3504,00h 44m 43.50s,+48° 17′ 03.8″,4.48,-2.74,906,B5III,"triple star, γ Cas variable, *V*max = 4.31m, *V*min = 4.62m"
48 Cas,A,48,,12111,9480,02h 01m 57.55s,+70° 54′ 25.4″,4.49,1.72,117,A3IV,quadruple star
ρ Cas,ρ,7,,224014,117863,23h 54m 23.04s,+57° 29′ 57.8″,4.51,-9.5,8500,F8Ia0-M2I,"yellow hypergiant; semiregular variable, *V*max = 4.1m, *V*min = 6.2m, *P* 
= 320 d"
υ2 Cas,υ2,28,,5395,4422,00h 56m 40.01s,+59° 10′ 52.2″,4.62,0.62,206,G8III-IV,
χ Cas,χ,39,,9408,7294,01h 33m 55.93s,+59° 13′ 55.5″,4.68,0.7,204,K0III,
ψ Cas,ψ,36,,8491,6692,01h 25m 55.90s,+68° 07′ 47.8″,4.72,0.86,193,K0III,
λ Cas,λ,14,,2772,2505,00h 31m 46.32s,+54° 31′ 20.4″,4.74,-0.44,354,B8Vn,suspected variable
ξ Cas,ξ,19,,3901,3300,00h 42m 03.88s,+50° 30′ 45.1″,4.8,-2.86,1109,B2.5V,suspected variable
HR 244,,,,5015,4151,00h 53m 04.28s,+61° 07′ 24.8″,4.8,3.46,61,F8V,spectroscopic binary
R Cas,,,R,224490,118188,23h 58m 24.80s,+51° 23′ 19.0″,4.8,,410,M6.5-9e,"Mira variable, *V*max = 4.7m, *V*min = 13.5m, *P* = 430 d"
υ1 Cas,υ1,26,,5234,4292,00h 55m 00.19s,+58° 58′ 22.1″,4.83,-0.65,406,K2III,
1 Cas,,1,,218376,114104,23h 06m 36.81s,+59° 25′ 11.2″,4.84,-2.81,1105,B0.5IV,
HD 19275,,,,19275,14862,03h 11m 56.24s,+74° 23′ 37.9″,4.85,1.37,162,A2Vnn,
τ Cas,τ,5,,223165,117301,23h 47m 03.39s,+58° 39′ 06.7″,4.88,1.26,173,K1III,
σ Cas,σ,8,,224572,118243,23h 59m 00.53s,+55° 45′ 17.8″,4.88,-3.47,1523,B1V...,
AR Cas,,,AR,221253,115990,23h 30m 01.92s,+58° 32′ 56.1″,4.89,-1.34,575,B3IV,"septuple star; Algol variable, *V*max = 4.82m, *V*min = 4.96m, *P* = 6.07 d"
ν Cas,ν,25,,4636,3801,00h 48m 49.99s,+50° 58′ 05.5″,4.9,-0.49,389,B9III,
π Cas,π,20,,4058,3414,00h 43m 28.09s,+47° 01′ 28.7″,4.95,1.31,174,A5V,rotating ellipsoidal variable
φ Cas,φ,34,,7927,6242,01h 20m 04.92s,+58° 13′ 53.8″,4.95,-4.32,2329,F0Ia,foreground star appearing among NGC 457; suspected variable
4 Cas,,4,,220652,115590,23h 24m 50.25s,+62° 16′ 58.2″,4.96,-1.91,771,M1III,"slow irregular variable, *V*max = 4.95m, *V*min = 5.00m"
ω Cas,ω,46,,11529,9009,01h 56m 00.00s,+68° 41′ 07.0″,4.97,-1.69,701,B8III,suspected variable
HD 3240,,,,3240,2854,00h 36m 08.29s,+54° 10′ 06.4″,5.08,-0.87,505,B7III,
V509 Cas,,,V509,217476,113561,23h 00m 05.10s,+56° 56′ 43.4″,5.1,-6.77,7723,F80,"yellow hypergiant; semiregular variable, *V*max = 4.75m, *V*min = 5.5m"
μ Cas,μ,30,,6582,5336,01h 08m 12.92s,+54° 55′ 27.2″,5.17,5.78,25,G5VIp/M5V,suspected variable
HD 15920,,,,15920,12273,02h 38m 02.09s,+72° 49′ 05.6″,5.17,0.69,256,G8III,
42 Cas,,42,,10250,8016,01h 42m 55.73s,+70° 37′ 21.2″,5.18,0.51,281,B9V,suspected Algol variable
49 Cas,,49,,12339,9763,02h 05m 31.58s,+76° 06′ 54.4″,5.22,-0.36,426,G8III,
47 Cas,,47,,12230,9727,02h 05m 07.05s,+77° 16′ 53.2″,5.27,2.64,109,F0Vn,
40 Cas,,40,,9774,7650,01h 38m 30.94s,+73° 02′ 24.3″,5.28,-0.4,447,G8II-III,suspected variable
HD 11946,,,,11946,9312,01h 59m 37.99s,+64° 37′ 17.9″,5.29,0.81,257,A0Vn,
31 Cas,,31,,6829,5518,01h 10m 39.27s,+68° 46′ 43.3″,5.32,0.38,318,A0Vnn,
HD 4775,,,,4775,3951,00h 50m 43.57s,+64° 14′ 51.3″,5.35,-1.63,813,A4V comp SB,"variable star, Δ*V* = 0.008m, *P* = 0.96 d"
12 Cas,,12,,2011,1960,00h 24m 47.49s,+61° 49′ 51.8″,5.38,-1.47,763,B9III,
HD 4222,,,,4222,3544,00h 45m 17.20s,+55° 13′ 17.1″,5.41,0.25,351,A2Vs,
23 Cas,,23,,4382,3721,00h 47m 46.02s,+74° 50′ 51.3″,5.42,-1.54,803,B8III,
6 Cas,,6,V566,223385,117447,23h 48m 50.17s,+62° 12′ 52.3″,5.43,-8.06,6150,A3Ia comp,"α Cyg variable, *V*max = 5.34m, *V*min = 5.45m, *P* = 37.26 d"
HD 3474,,,,3574,3083,00h 39m 09.89s,+49° 21′ 16.5″,5.45,-2.6,1331,K5III,
HD 9900,,,,9900,7617,01h 38m 07.56s,+57° 58′ 39.5″,5.55,-2.17,1140,G5II,
HD 223173,,,,223173,117299,23h 47m 01.91s,+57° 27′ 05.0″,5.55,-3,1672,K3II,"slow irregular variable, *V*max = 5.51m, *V*min = 5.54m"
HD 5408,,,,5408,4440,00h 56m 46.94s,+60° 21′ 46.3″,5.56,-0.81,614,B8V,
HD 6960,,,,6960,5566,01h 11m 25.52s,+64° 12′ 09.8″,5.56,0.06,410,B9.5V,suspected eclipsing binary
HD 220369,,,,220369,115395,23h 22m 32.52s,+60° 08′ 00.6″,5.56,-2.73,1482,K3II,suspected variable
10 Cas,,10,,144,531,00h 06m 26.53s,+64° 11′ 46.2″,5.57,-1.82,982,B9III,suspected variable
32 Cas,,32,,6972,5589,01h 11m 41.37s,+65° 01′ 08.0″,5.57,0.34,363,B9IV,suspected variable
