Name,B,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Cen A,α,363,,128620,71683,14h 39m 40.90s,−60° 50′ 06.5″,-0.01,4.34,4.36,G2V,"Rigel Kent, Toliman; nearest star system; 4th brightest star; a component 
of the triple Alpha Centauri star system"
β Cen,β,304,,122451,68702,14h 03m 49.44s,−60° 22′ 22.7″,0.61,-5.42,525,B1III,"Hadar, Agena; β Cep variable, Δ*V* = 0.045m, *P* = 0.157 d"
α Cen B,α,364,,128621,71681,14h 39m 39.39s,−60° 50′ 22.1″,1.35,5.7,4.36,K1V,"21st brightest star; a component of the triple Alpha Centauri star system; 
has a planet (b)"
"θ Cen
(5 Cen)",θ,314,,123139,68933,14h 06m 41.32s,−36° 22′ 07.3″,2.06,0.7,61,K0IIIb,Menkent
γ Cen,γ,134,,110304,61932,12h 41m 31.20s,−48° 57′ 35.6″,2.2,-0.81,130,A1IV,Muhlifain
ε Cen,ε,245,,118716,66657,13h 39m 53.27s,−53° 27′ 58.9″,2.29,-3.02,376,B1III,"β Cep variable, Δ*V* = 0.02m, *P* = 0.169608 d"
η Cen,η,356,,127972,71352,14h 35m 30.45s,−42° 09′ 27.9″,2.33,-2.55,308,B1Vn + A,"γ Cas variable, *V*max = 2.30m, *V*min = 2.41m"
ζ Cen,ζ,289,,121263,68002,13h 55m 32.43s,−47° 17′ 17.8″,2.55,-2.81,384,B2.5IV,Alnair; spectroscopic binary
δ Cen,δ,94,,105435,59196,12h 08m 21.54s,−50° 43′ 20.7″,2.58,-2.84,395,B2IVne,"γ Cas variable, *V*max = 2.51m, *V*min = 2.65m"
ι Cen,ι,204,,115892,65109,13h 20m 36.07s,−36° 42′ 43.5″,2.75,1.48,59,A2V,
λ Cen,λ,46,,100841,56561,11h 35m 46.93s,−63° 01′ 11.4″,3.11,-2.39,410,B9II:,
κ Cen,κ,385,,132200,73334,14h 59m 09.70s,−42° 06′ 14.9″,3.13,-2.96,539,B2IV,suspected variable
ν Cen,ν,272,,120307,67464,13h 49m 30.30s,−41° 41′ 15.6″,3.41,-2.41,475,B2IV,"rotating ellipsoidal variable and β Cep variable, Δ*V* = 0.03m"
μ Cen,μ,273,,120324,67472,13h 49m 37.01s,−42° 28′ 25.3″,3.47,-2.57,527,B2IV-Ve,"γ Cas variable, *V*max = 2.92m, *V*min = 3.47m"
φ Cen,φ,296,,121743,68245,13h 58m 16.28s,−42° 06′ 02.5″,3.83,-1.94,465,B2IV,
τ Cen,τ,131,,109787,61622,12h 37m 42.33s,−48° 32′ 28.6″,3.85,0.82,132,A2V,
υ1 Cen,υ1,297,,121790,68282,13h 58m 40.77s,−44° 48′ 12.7″,3.87,-1.67,417,B2IV-V,
π Cen,π,24,,98718,55425,11h 21m 00.44s,−54° 29′ 27.7″,3.9,-1.07,321,B5Vn,binary star
d Cen,d,227,,117440,65936,13h 31m 02.67s,−39° 24′ 26.2″,3.9,-4.03,1254,G8II/III,
σ Cen,σ,121,,108483,60823,12h 28m 02.41s,−50° 13′ 50.2″,3.91,-1.76,443,B3V,
ρ Cen,ρ,101,,105937,59449,12h 11m 39.15s,−52° 22′ 06.3″,3.97,-1.13,342,B3V,
b Cen,b,368,,129116,71865,14h 41m 57.61s,−37° 47′ 36.3″,4.01,-0.85,305,B2.5V,
ψ Cen,ψ,338,,125473,70090,14h 20m 33.48s,−37° 53′ 07.0″,4.05,-0.35,247,A0IV,
c1 Cen,c1,371,,129456,72010,14h 43m 39.48s,−35° 10′ 23.6″,4.06,0.07,205,K3III,
HD 102350,,65,,102350,57439,11h 46m 30.85s,−61° 10′ 42.1″,4.11,-1.51,434,G0II,Cepheid variable
