Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Cep,α,5,,203280,105199,21h 18m 34.58s,+62° 35′ 07.6″,2.45,1.58,49,A7IV-V,Alderamin; suspected variable
γ Cep,γ,35,,222404,116727,23h 39m 20.98s,+77° 37′ 55.1″,3.21,2.51,45,K1IV,Arrai; binary star; has a planet (b); suspected variable
β Cep,β,8,,205021,106032,21h 28m 39.58s,+70° 33′ 38.5″,3.23,-3.08,595,B2IIIv SB,"Alfirk; prototype β Cep variable, *V*max = 3.16m, *V*min = 3.27m, *P* = 
0.19 d"
ζ Cep,ζ,21,,210745,109492,22h 10m 51.26s,+58° 12′ 04.5″,3.39,-3.35,726,K1Ibv SB,eclipsing binary
η Cep,η,3,,198149,102422,20h 45m 17.27s,+61° 50′ 12.5″,3.41,2.63,47,K0IV,Al Kidr
ι Cep,ι,32,,216228,112724,22h 49m 40.91s,+66° 12′ 02.6″,3.5,0.76,115,K0III,
δ Cep A,δ,27,,213306,110991,22h 29m 10.25s,+58° 24′ 54.7″,4.07,-3.47,887,F5Iab + B7-8,"prototype Cepheid variable, *V*max = 3.49m, *V*min = 4.36m, *P* = 5.37 d; binary 
star"
ε Cep,ε,23,,211336,109857,22h 15m 01.68s,+57° 02′ 36.5″,4.18,2.13,84,F0IV,"δ Sct variable, *V*max = 4.15m, *V*min = 4.21m, *P* = 0.04 d"
θ Cep,θ,2,,195725,101093,20h 29m 34.83s,+62° 59′ 38.9″,4.21,1.11,136,A7III,
μ Cep,μ,,,206936,107259,21h 43m 30.45s,+58° 46′ 48.2″,4.23,-6.81,5258,M2Ia,"Garnet Star; in Trumpler 37; semiregular variable, *V*max = 3.43m, *V*min = 
5.1m, *P* = 835 d"
2 UMi,,-2,,5848,5372,01h 08m 44.16s,+86° 15′ 25.6″,4.24,-0.67,313,K2II-III,
ν Cep,ν,10,,207260,107418,21h 45m 26.93s,+61° 07′ 14.9″,4.25,-6.72,5094,A2Ia,"α Cyg variable, *V*max = 4.25m, *V*min = 4.35m"
κ Cep,κ,1,,192907,99255,20h 08m 53.32s,+77° 42′ 40.9″,4.38,-0.63,327,B9III,triple star
π Cep,π,33,,218658,114222,23h 07m 53.84s,+75° 23′ 15.3″,4.41,0.27,220,G2III,triple star
ξ Cep A,ξ,17,,209790,108917,22h 03m 47.45s,+64° 37′ 40.7″,4.45,,96,Am,component of the ξ Cep system; spectroscopic binary
HR 7955,,,,198084,102431,20h 45m 21.20s,+57° 34′ 49.1″,4.52,2.35,88,F8IV-V,spectroscopic binary
11 Cep,,11,,206952,107119,21h 41m 55.08s,+71° 18′ 40.3″,4.55,0.89,176,K0III,
HD 217382,,,,217382,113116,22h 54m 24.38s,+84° 20′ 46.0″,4.7,-0.69,390,K4III,"variable star, Δ*V* = 0.004m, *P* = 0.09 d"
ο Cep,ο,34,,219916,115088,23h 18m 37.41s,+68° 06′ 41.1″,4.75,0.7,211,K0III,multiple star; suspected variable
9 Cep,,9,V337,206165,106801,21h 37m 55.23s,+62° 04′ 55.0″,4.76,-5.95,4528,B2Ib,"α Cyg variable, *V*max = 4.69m, *V*min = 4.78m"
HD 216446,,,,216446,112519,22h 47m 28.95s,+83° 09′ 13.4″,4.77,-0.22,324,K3III,double star
24 Cep,,24,,210807,109400,22h 09m 48.37s,+72° 20′ 28.3″,4.79,-0.53,377,G8III,
16 Cep,,16,,209369,108535,21h 59m 15.10s,+73° 10′ 49.0″,5.04,2.17,122,F5V,double star
OV Cep,,,OV,51802,37391,07h 40m 31.09s,+87° 01′ 12.6″,5.05,-0.88,499,M2III,"semiregular variable, *V*max = 5.00m, *V*min = 5.07m"
λ Cep,λ,22,,210839,109556,22h 11m 30.58s,+59° 24′ 52.3″,5.05,-3.47,1646,O6If(n),emission-line star; suspected variable
HD 223274,,,,223274,117371,23h 47m 54.75s,+67° 48′ 24.5″,5.05,0.25,297,A1Vn,
19 Cep,,19,,209975,109017,22h 05m 08.79s,+62° 16′ 47.4″,5.07,-6.04,5433,O9.5Ib,triple star
31 Cep,,31,,214470,111532,22h 35m 45.78s,+73° 38′ 35.3″,5.08,1.32,184,F3III-IV,
HD 30338,,,,30338,23265,05h 00m 20.72s,+81° 11′ 38.5″,5.09,-0.03,345,K3III,
HD 25007,,,,25007,19461,04h 10m 02.79s,+80° 41′ 55.2″,5.1,-0.03,345,G8III+...,double star
VV Cep,,,VV,208816,108317,21h 56m 39.14s,+63° 37′ 32.0″,5.11,-6.93,8359,M2 + B0,"Algol and semiregular variable, *V*max = 4.80m, *V*min = 5.36m, *P* = 
7430 d; one of the largest stars known"
78 Dra,,-78,,207130,107230,21h 43m 04.13s,+72° 19′ 12.7″,5.18,0.78,247,K0III,
6 Cep,,6,V382,203467,105268,21h 19m 22.21s,+64° 52′ 18.6″,5.19,-2.41,1079,B3IVe,"Be star, *V*max = 5.08m, *V*min = 5.23m"
30 Cep,,30,,214734,111797,22h 38m 39.05s,+63° 35′ 04.3″,5.19,0.23,320,A3IV,
HD 210855,,,,210855,109572,22h 11m 48.52s,+56° 50′ 20.6″,5.24,2.4,121,F8V,
HD 218029,,,,218029,113864,23h 03m 32.85s,+67° 12′ 33.1″,5.25,-0.11,384,K3III,
