Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Cha,α,,71243,40702,08h 18m 31.27s,−76° 55′ 11.9″,4.05,2.6,63,F5III,
γ Cha,γ,,92305,51839,10h 35m 28.22s,−78° 36′ 28.1″,4.11,-1.4,413,M0III,suspected variable
β Cha,β,,106911,60000,12h 18m 20.94s,−79° 18′ 44.2″,4.24,-0.36,271,B5Vn,suspected variable
θ Cha,θ,,71701,40888,08h 20m 38.89s,−77° 29′ 04.5″,4.34,0.97,154,K0III-IV,double star
δ2 Cha,δ2,,93845,52633,10h 45m 47.14s,−80° 32′ 24.7″,4.45,-0.79,363,B2.5IV,
ε Cha,ε,,104174,58484,11h 59m 37.69s,−78° 13′ 18.5″,4.88,-0.36,364,B9Vn,double star
κ Cha,κ,,104902,58905,12h 04m 46.66s,−76° 31′ 09.0″,5.04,-0.61,441,K4III,"variable star, Δ*V* = 0.005m, *P* = 3.89651 d"
ζ Cha,ζ,,83979,46928,09h 33m 53.51s,−80° 56′ 28.7″,5.07,-1.02,539,B5V,"β Cep variable, *V*max = 5.06m, *V*min = 5.17m, *P* = 1.07964 d"
ι Cha,ι,,82554,46107,09h 24m 09.73s,−80° 47′ 13.9″,5.34,1.58,184,F3/F5IV,
ν Cha,ν,,85396,47956,09h 46m 20.42s,−76° 46′ 33.5″,5.43,1.59,191,G8III,
η Cha,η,,75416,42637,08h 41m 19.60s,−78° 57′ 48.3″,5.46,0.53,316,B9IV,
δ1 Cha,δ1,,93779,52595,10h 45m 16.38s,−80° 28′ 10.3″,5.46,0.28,354,K0III,double star
μ¹ Cha,μ,,87971,49065,10h 00m 43.90s,−82° 12′ 53.1″,5.53,0.09,399,A0IV,
π Cha,π,,101132,56675,11h 37m 15.94s,−75° 53′ 47.5″,5.64,2.52,137,F1III,
HD 72922,,,72922,41191,08h 24m 20.38s,−80° 54′ 53.0″,5.67,1.23,252,G8III,
HD 76236,,,76236,43012,08h 45m 55.23s,−79° 30′ 16.5″,5.79,-0.38,559,K5III,"variable star, Δ*V* = 0.008m, *P* = 53.70569 d"
HD 114533,,,114533,64587,13h 14m 17.36s,−78° 26′ 50.8″,5.84,-2.94,1863,F8Ib,
HD 120213,,,120213,68009,13h 55m 38.99s,−82° 39′ 58.1″,5.95,-1.19,872,K2/K3III:p,
DR Cha,,DR,93237,52340,10h 41m 51.58s,−79° 46′ 59.9″,5.97,-1.46,1000,B5IV,"Algol variable, *V*max = 5.97m, *V*min = 6.06m, *P* = 19.4436 d; 
emission-line star"
RS Cha,,RS,75747,42794,08h 43m 12.31s,−79° 04′ 12.5″,6.05,1.1,319,A7V,"Algol variable and δ Sct variable, *V*max = 6.02m, *V*min = 6.68m, *P* = 
1.66987 d"
HD 80194,,,80194,45166,09h 12m 12.27s,−76° 39′ 46.5″,6.13,0.89,364,K1III,
HD 92209,,,92209,51835,10h 35m 24.80s,−76° 18′ 32.4″,6.29,0.29,517,K2III,
DY Cha,,DY,118285,66607,13h 39m 12.04s,−75° 41′ 01.6″,6.32,-0.95,929,B8IV,long-period pulsating variable
HD 106248,,,106248,59647,12h 13m 56.48s,−78° 34′ 26.0″,6.34,1.17,353,K2/K3IIICN.,
HD 115088,,,115088,64951,13h 18m 48.34s,−79° 58′ 33.5″,6.34,0.67,444,B9.5/A0V,
HD 98617,,,98617,55225,11h 18m 34.21s,−79° 40′ 07.0″,6.35,2.3,210,A8IIIm...,
HD 94717,,,94717,53151,10h 52m 28.67s,−79° 33′ 34.0″,6.36,-2.2,1680,K2II/III,
HD 101917,,,101917,57137,11h 42m 54.53s,−79° 18′ 22.9″,6.38,2.65,182,K0III/IV,
HD 99015,,,99015,55497,11h 21m 57.11s,−77° 36′ 30.1″,6.43,2.07,243,A5III/IV,
HD 113694,,,113694,64108,13h 08m 20.52s,−78° 26′ 45.5″,6.43,0.73,449,A0V,double star
HD 86320,,,86320,48320,09h 51m 00.80s,−80° 03′ 39.9″,6.47,-0.2,703,B8IV,
μ2 Cha,μ2,,88351,49326,10h 04m 07.37s,−81° 33′ 56.2″,6.6,0.41,564,G6/G8III,suspected variable
HD 104237,,DX,104237,58520,12h 00m 05.08s,−78° 11′ 34.6″,6.7,,374,K4Ve,"T Tau star, *V*max = 6.7m, *V*min = 10.28m, *P* = 2.45 d"
RZ Cha,,RZ,93486,52381,10h 42m 24.10s,−82° 02′ 14.2″,8.09,,606,F4V,Algol variable
HD 97048,,CU,97048,54413,11h 08m 03.32s,−77° 39′ 17.4″,8.38,,517,A0pshe,"Orion variable, *V*max = 8.38m, *V*min = 8.48m"
HD 116852,,,116852,65890,13h 30m 23.52s,−78° 51′ 20.5″,8.47,,9300,O9III,Obscuring line of highly ionized gas on a line of sight with Earth
HD 97300,,,97300,54557,11h 09m 50.02s,−76° 37′ 40.7″,9.2,,574,B9V,T Tau star in IC 2631
HD 63454,,,63454,37284,07h 39m 21.85s,−78° 16′ 44.3″,9.37,6.6,117,K4V,has a planet (b)
R Cha,,R,71793,,08h 21m 46.42s,−76° 21′ 18.5″,10.55,,,M4.5e,"Mira variable, *V*max = 7.5m, *V*min = 14.5m, *P* = 338 d"
Z Cha,,Z,,,08h 07m 27.75s,−76° 32′ 00.7″,11.5,,,M5.5,"SU UMa and Algol variable, *V*max = 11.5m, *V*min = 16.23m, *P* = 
0.074499315 d; possible planetary companion"
T Cha,,T,,58285,11h 57m 13.55s,−79° 21′ 31.54″,11.56,,534,K0e,"Orion variable, *V*max = 10.09m, *V*min = 14.5m, *P* = 3.253 d; possible 
planetary companion"
CT Cha,,CT,,,11h 04m 09s,−76° 27′ 19″,12.36,,538,K7,"has a planet (b); Orion variable, *V*max = 11.7m, *V*min = 12.9m"
ChaHα8,,,,,11h 07m 46.10s,−77° 40′ 08.9″,20.1,522,,M5.75,binary brown dwarf system
DK Cha,,DK,,,12h 53m 17.23s,−77° 207′ 10.7″,,,,F0,Orion variable
OTS 44,,,,,11h 10m 11.5s,−76° 32′ 13″,,,,M9.5,One of the smallest known brown dwarfs
"Table legend: 
[TABLE]",,,,,,,,,,,
