Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Col,α,,37795,26634,05h 39m 38.94s,−34° 04′ 26.6″,2.65,-1.93,268,B7IV,"Phact; suspected γ Cas variable, *V*max = 2.62m, *V*min = 2.66m"
β Col,β,,39425,27628,05h 50m 57.55s,−35° 46′ 09.5″,3.12,1.02,86,K1.5III,Wezn
δ Col,δ,,44762,30277,06h 22m 06.85s,−33° 26′ 10.6″,3.85,-0.46,237,G7II,
ε Col,ε,,36597,25859,05h 31m 12.74s,−35° 28′ 13.6″,3.86,-0.79,277,K1II/III,
η Col,η,,40808,28328,05h 59m 08.79s,−42° 48′ 54.4″,3.96,-2.1,531,K0III,
γ Col,γ,,40494,28199,05h 57m 32.21s,−35° 16′ 59.9″,4.36,-2.73,853,B2.5IV,suspected variable
κ Col,κ,,43785,29807,06h 16m 33.14s,−35° 08′ 26.6″,4.37,0.63,183,G8II,suspected variable
ο Col,ο,,34642,24659,05h 17m 29.02s,−34° 53′ 39.8″,4.81,2.17,110,K0/K1III/IV,
λ Col,λ,,39764,27810,05h 53m 06.88s,−33° 48′ 05.2″,4.88,-0.22,341,B5V,"rotating ellipsoidal variable, *V*max = 4.85m, *V*min = 4.92m, *P* = 0.64 d"
ξ Col,ξ,,40176,28010,05h 55m 29.89s,−37° 07′ 14.2″,4.97,-0.05,328,K1IIICN...,
θ Col,θ,,42167,29034,06h 07m 31.63s,−37° 15′ 10.5″,5,-1.84,762,B8:IV,
μ Col,μ,,38666,27204,05h 45m 59.89s,−32° 18′ 23.0″,5.18,-2.81,1294,B1IV/V,She;[1] runaway star
HD 46568,,,46568,31165,06h 32m 21.33s,−37° 41′ 47.4″,5.25,0.64,273,G8III,
ν2 Col,ν2,,37495,26460,05h 37m 44.64s,−28° 41′ 23.3″,5.28,2.14,138,F5V,
WZ Col,,WZ,38170,26868,05h 42m 15.19s,−34° 40′ 04.6″,5.29,0.06,363,B9/B9.5V,53 Persei variable
HD 46815,,,46815,31299,06h 33m 49.49s,−36° 13′ 56.2″,5.42,-0.06,406,K3III,
HD 37811,,,37811,26649,05h 39m 49.85s,−32° 37′ 44.9″,5.44,0.1,382,G6/G8III,
HD 36848,,,36848,25993,05h 32m 51.38s,−38° 30′ 48.0″,5.45,1.83,172,K2/K3III,
π2 Col,π2,,42303,29064,06h 07m 52.87s,−42° 09′ 14.4″,5.5,0.98,261,A0V,
σ Col,σ,,40248,28098,05h 56m 20.94s,−31° 22′ 56.8″,5.52,-2.74,1462,F2III,
HD 41047,,,41047,28524,06h 01m 16.29s,−33° 54′ 42.4″,5.54,-0.62,555,K5III,
AF Col,,AF,42682,29263,06h 10m 10.42s,−40° 21′ 14.3″,5.54,-1.55,853,M2II/III,semiregular variable
HD 43899,,,43899,29842,06h 17m 01.23s,−37° 44′ 15.5″,5.54,0.7,302,K2III,
