Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Com,β,43,,114710,64394,13h 11m 52.92s,+27° 52′ 33.7″,4.26,4.42,30,G0V,"suspected BY Dra variable, Δ*V* = 0.02m"
α Com A,α,42,,114378,64241,13h 09m 59.55s,+17° 31′ 44.8″,4.32,3.54,47,F5V,"Diadem, Al Dafirah; double star; suspected Algol variable, *V*max = 4.29m, 
*V*min = 4.35m, *P* = 9485.68 d"
γ Com,γ,15,,108381,60742,12h 26m 56.33s,+28° 16′ 07.0″,4.35,0.76,170,K2IIICN+...,
11 Com,,11,,107383,60202,12h 20m 43.09s,+17° 47′ 33.6″,4.72,-0.5,361,G8III,
36 Com,,36,,112769,63355,12h 58m 55.47s,+17° 24′ 33.7″,4.76,-0.05,299,M0III,"suspected variable, *V*max = 4.74m, *V*min = 4.82m"
12 Com A,,12,,107700,60351,12h 22m 30.32s,+25° 50′ 46.3″,4.78,0.16,273,F8:p...,"double star; suspected variable, *V*max = 4.78m, *V*min = 4.89m"
23 Com,,23,,109485,61394,12h 34m 51.12s,+22° 37′ 45.1″,4.8,-0.44,365,A0IV,
41 Com,,41,,113996,64022,13h 07m 10.71s,+27° 37′ 29.7″,4.8,-0.04,303,K5III,
35 Com,,35,,112033,62886,12h 53m 17.77s,+21° 14′ 42.1″,4.89,-0.1,324,G8III,
37 Com,,37,LU,112989,63462,13h 00m 16.49s,+30° 47′ 06.1″,4.9,-2.32,898,K1IIIp,"RS CVn variable, Δ*V* = 0.15m"
14 Com,,14,,108283,60697,12h 26m 24.07s,+27° 16′ 05.7″,4.92,0.3,273,F0p,
7 Com,,7,,106714,59847,12h 16m 20.56s,+23° 56′ 43.5″,4.93,0.52,248,K0III,
31 Com,,31,LS,111812,62763,12h 51m 41.93s,+27° 32′ 26.6″,4.93,0.06,307,G0III,"FK Com variable, *V*max = 4.87m, *V*min = 4.97m"
16 Com,,16,,108382,60746,12h 26m 59.30s,+26° 49′ 32.6″,4.98,0.29,282,A4V,
HD 106760,,,,106760,59856,12h 16m 30.17s,+33° 03′ 42.5″,4.99,0.13,306,K1III,suspected variable
24 Com A,,24,,109511,61418,12h 35m 07.76s,+18° 22′ 37.2″,5.03,-1.34,614,K2III,"double star; suspected variable, *V*max = 4.98m, *V*min = 5.06m"
6 Com,,6,,106661,59819,12h 16m 00.23s,+14° 53′ 56.9″,5.09,1.18,198,A3V,
27 Com,,27,,111067,62356,12h 46m 38.75s,+16° 34′ 39.5″,5.12,0.15,322,K3III,
13 Com,,13,GN,107966,60514,12h 24m 18.54s,+26° 05′ 55.0″,5.17,0.47,284,A3V,"α² Cvn variable, *V*max = 5.15m, *V*min = 5.18m"
α Com B,α,42,,114379,,13h 09m 59.30s,+17° 31′ 46.0″,5.22,,,,component of the α Com system
17 Com,,17,AI,108662,60904,12h 28m 54.72s,+25° 54′ 46.4″,5.29,0.7,270,A0p,"α² Cvn and δ Sct variable, *V*max = 5.23m, *V*min = 5.4m, *P* = 5.0633 d"
21 Com,,21,UU,108945,61071,12h 31m 00.57s,+24° 34′ 01.9″,5.44,0.57,311,A2pvar,"Kissīn;[1] α² CVn and δ Sct variable, *V*max = 5.41m, *V*min = 5.46m"
18 Com,,18,,108722,60941,12h 29m 27.05s,+24° 06′ 32.1″,5.47,1.36,216,F5III,
26 Com,,26,,110024,61724,12h 39m 07.36s,+21° 03′ 45.3″,5.49,0.77,286,G9III,
HD 107325,,,,107325,60170,12h 20m 19.72s,+26° 37′ 11.1″,5.52,2.11,157,K2III-IV,"suspected variable, *V*max = 5.50m, *V*min = 5.56m"
FS Com,,40,FS,113866,63950,13h 06m 22.58s,+22° 36′ 58.6″,5.53,-0.69,572,M5III,"semiregular variable, *V*max = 5.3m, *V*min = 6.1m, *P* = 58 d"
5 Com,,5,,106057,59501,12h 12m 09.30s,+20° 32′ 31.6″,5.6,-0.26,484,K0II-III,
4 Com,,4,,105981,59468,12h 11m 51.20s,+25° 52′ 13.3″,5.66,-1.22,774,K4III,"variable star, Δ*V* = 0.005m, *P* = 6.71096 d"
20 Com,,20,,108765,60957,12h 29m 43.22s,+20° 53′ 46.3″,5.68,1.22,254,A3V,
25 Com,,25,,109742,61571,12h 36m 58.35s,+17° 05′ 22.5″,5.7,-0.31,518,K5III,
HD 106887,,,,106887,59923,12h 17m 30.60s,+28° 56′ 13.6″,5.71,2.07,174,A4m,
29 Com,,29,,111397,62541,12h 48m 54.20s,+14° 07′ 21.5″,5.71,0.25,402,A1V,36 Virginis
HD 116706,,,,116706,65466,13h 25m 06.68s,+23° 51′ 16.0″,5.75,1.29,254,A3IV,suspected variable
30 Com,,30,,111469,62576,12h 49m 17.51s,+27° 33′ 08.4″,5.76,0.75,327,A2V,
HD 109519,,,,109519,61420,12h 35m 08.15s,+21° 52′ 53.2″,5.86,-0.65,652,K1III,
2 Com,,2,,104827,58858,12h 04m 16.58s,+21° 27′ 33.0″,5.89,0.68,359,F0IV-V,
HD 114326,,,,114326,64226,13h 09m 47.89s,+16° 50′ 55.1″,5.91,-0.85,733,K5III,suspected variable
38 Com,,38,,113095,63533,13h 01m 09.62s,+17° 07′ 23.5″,5.97,0.52,400,K0III,
39 Com,,39,,113848,63948,13h 06m 21.28s,+21° 09′ 12.6″,6,2.51,163,F4V,
