Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β CrA,β,,178345,94160,19h 10m 01.75s,−39° 20′ 26.5″,4.1,-1.86,508,K0II/IIICN.,suspected variable
α CrA,α,,178253,94114,19h 09m 28.28s,−37° 54′ 15.3″,4.11,1.11,130,A0/A1V,"Alphekka Meridiana, Alfecca Meridiana"
γ CrA A,γ,,177474,93825,19h 06m 25.04s,−37° 03′ 45.9″,4.23,2.97,58,F7IV-V,double star
δ CrA,δ,,177873,94005,19h 08m 20.93s,−40° 29′ 47.9″,4.57,0.93,175,K1III,
θ CrA,θ,,170845,90982,18h 33m 30.16s,−42° 18′ 44.9″,4.62,-2.5,867,G5III,
ζ CrA,ζ,,176638,93542,19h 03m 06.83s,−42° 05′ 42.0″,4.74,0.99,184,A0Vn,
ε CrA,ε,,175813,93174,18h 58m 43.47s,−37° 06′ 25.5″,4.83,2.45,98,F3IV/V,"W UMa variable, *V*max = 4.74m, *V*min = 5m, *P* = 0.5914264 d"
HD 165189,,,165189,88726,18h 06m 49.88s,−43° 25′ 29.9″,4.92,1.71,143,A5V,
γ CrA B,γ,,177475,,19h 06m 25.10s,−37° 03′ 48.0″,4.99,,,,component of the γ CrA system
HD 168592,,,168592,90037,18h 22m 18.60s,−38° 39′ 24.6″,5.09,-0.85,503,K4/K5III,
λ CrA,λ,,172777,91875,18h 43m 46.94s,−38° 19′ 23.9″,5.11,1.15,202,A0/A1V,"suspected variable, Δ*V* = 0.07m"
HD 170642,,,170642,90887,18h 32m 21.31s,−39° 42′ 14.1″,5.16,1.02,220,A3V,
μ CrA,μ,,173540,92226,18h 47m 44.60s,−40° 24′ 22.0″,5.2,-0.2,393,G5/G6III,
HD 168905,,,168905,90200,18h 24m 18.24s,−44° 06′ 36.7″,5.24,-0.79,524,B2.5Vn,suspected variable
HD 175219,,,175219,92953,18h 56m 16.97s,−42° 42′ 38.2″,5.35,0.46,310,G6III-IV,
HD 175362,,V686,175362,92989,18h 56m 40.49s,−37° 20′ 35.5″,5.36,-0.22,425,B3V,"α2 CVn variable, *V*max = 5.25m, *V*min = 5.41m, *P* = 7.34 d"
HD 172991,,,172991,91989,18h 44m 57.15s,−39° 41′ 10.2″,5.4,-2.64,1320,K1/K2III+..,
V718 CrA,,V718,171967,91494,18h 39m 35.18s,−43° 11′ 08.8″,5.42,-1.58,817,M2III,slow irregular variable
HD 167096,,,167096,89507,18h 15m 53.39s,−44° 12′ 23.4″,5.45,0.87,268,G8/K0III,
η1 CrA,η1,,173715,92308,18h 48m 50.47s,−43° 40′ 48.0″,5.46,0.33,347,A2Vn,
V692 CrA,,V692,166596,89290,18h 13m 12.70s,−41° 20′ 09.9″,5.47,-3.06,1655,B2.5III,"SX Ari variable, Δ*V* = 0.05m, *P* = 1.67 d"
η2 CrA,η2,,173861,92382,18h 49m 35.00s,−43° 26′ 02.5″,5.6,-0.75,607,B9IV,
HD 169853,,,169853,90541,18h 28m 27.11s,−38° 59′ 44.1″,5.63,-0.29,498,A2m...,
κ2 CrA,κ2,,170868,90968,18h 33m 23.13s,−38° 43′ 33.4″,5.67,-2.94,1716,B9.5,
HD 170521,,,170521,90842,18h 31m 56.22s,−43° 30′ 26.5″,5.71,-2.2,1244,K2III,
V701 CrA,,V701,176723,93552,19h 03m 17.69s,−38° 15′ 11.5″,5.73,1.68,211,F2III/IV,"δ Sct variable, *V*max = 5.69m, *V*min = 5.73m"
HD 166114,,,166114,89099,18h 11m 05.54s,−41° 21′ 32.5″,5.86,1.28,269,F0Vn,suspected variable
HD 178322,,,178322,94157,19h 09m 57.65s,−41° 53′ 32.0″,5.86,-1.14,817,B5V,suspected variable
HD 179433,,,179433,94556,19h 14m 39.52s,−45° 11′ 36.4″,5.91,1.12,296,G8III,
HD 170384,,,170384,90759,18h 31m 02.95s,−41° 54′ 49.5″,6.02,1.55,255,A3V,
HD 177565,,,177565,93858,19h 06m 52.60s,−37° 48′ 35.2″,6.15,4.98,56,G8V,
HD 176425,,,176425,93470,19h 02m 08.50s,−41° 54′ 37.7″,6.21,1.04,352,A0V,
HD 170773,,,170773,90936,18h 33m 00.85s,−39° 53′ 30.6″,6.22,3.43,118,F5V,
HD 175395,,,175395,93049,18h 57m 14.31s,−43° 55′ 01.0″,6.27,-0.43,712,B9V,
HD 175529,,,175529,93074,18h 57m 34.39s,−39° 49′ 23.8″,6.29,2.34,201,A5IV/V,
HD 167756,,,167756,89726,18h 18m 40.15s,−42° 17′ 18.2″,6.3,,,B0.5Ia,"suspected variable, Δ*V* = 0.03m"
κ1 CrA,κ1,,170867,90969,18h 33m 23.08s,−38° 43′ 12.0″,6.31,0.43,489,B8,
HD 178628,,,178628,94243,19h 11m 01.91s,−39° 00′ 16.9″,6.34,-3.19,2629,B7II/III,
HD 169943,,,169943,90597,18h 29m 12.87s,−43° 50′ 45.6″,6.36,0.38,512,G8III,
HD 176270,,,176270,93371,19h 01m 04.30s,−37° 03′ 41.4″,6.44,2,252,B9.5IV:,
HD 178254,,,178254,94130,19h 09m 39.76s,−39° 49′ 37.9″,6.44,1.29,350,K0III,
HD 168357,,,168357,89920,18h 20m 55.19s,−37° 29′ 15.5″,6.46,-2.76,2280,K2II,
HD 174407,,,174407,92608,18h 52m 11.95s,−41° 42′ 32.8″,6.47,-0.13,682,K3III,
HD 175093,,,175093,92866,18h 55m 23.55s,−37° 23′ 11.8″,6.48,0.91,424,K1III,
HD 175855,,,175855,93209,18h 59m 10.97s,−39° 32′ 04.7″,6.49,0.62,486,B9.5V,
HD 174152,,,174152,92487,18h 50m 58.65s,−41° 03′ 45.6″,6.5,-2.18,1772,B5III,
V693 CrA,,V693,,,18h 41m 57.8s,−37° 31′ 14″,6.5,,,,"nova, *V*max = 6.5m, *V*min = <19.0m"
V394 CrA,,V394,,,18h 00m 25.97s,−39° 00′ 35.1″,7.5,,,,"recurrent nova and eclipsing binary, *V*max = 7.2m, *V*min = 19.7m, *P* = 
1.515682 d"
HD 166473,,V694,166473,,18h 12m 25.83s,−37° 45′ 09.2″,7.92,,,A5p,rapidly oscillating Ap star and α2 CVn variable
HD 166724,,,166724,89354,18h 14m 00s,−42° 34′ 31″,9.31,,138,K0IV,has a planet (b)
TY CrA,,TY,,,19h 01m 40.83s,−36° 52′ 33.9″,9.39,,,B8e,"Orion and Algol variable, *V*max = 9.39m, *V*min = 9.81m, *P* = 2.8877912 d"
V CrA,,V,173539,92207,18h 47m 32.31s,−38° 09′ 32.3″,9.4,,,R...,"R Coronae Borealis variable, *V*max = 9.4m, *V*min = 17.9m"
S CrA,,S,,,19h 01m 08.60s,−36° 57′ 20.0″,10.49,,,G0Ve+K0Ve,"Orion variable in nebula, *V*max = 10.49m, *V*min = 13.2m"
R CrA,,R,,93449,19h 01m 53.65s,−36° 57′ 07.6″,11.5,,79.64,A5IIev,Orion variable in nebula
T CrA,,T,,,19h 01m 58.78s,−36° 57′ 49.9″,11.67,,,F0e,"Orion variable in nebula, *V*max = 11.67m, *V*min = 14.3m"
2A 1822-371,,V691,,,18h 25m 46.81s,−37° 06′ 18.6″,15.1,,,,Low-mass X-ray binary (pulsar) and eclipsing binary
