Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α For,α,,20010,14879,03h 12m 04.28s,−28° 59′ 20.8″,3.85,3.05,46,F8V,"12 Eri, Dalim, Fornacis; binary star; component B is a suspected variable, 
*V*max = 6m, *V*min = 8m"
β For,β,,17652,13147,02h 49m 05.36s,−32° 24′ 22.6″,4.45,0.88,169,G8III,double star
ν For,ν,,12767,9677,02h 04m 29.43s,−29° 17′ 48.6″,4.68,-0.54,361,B9.5p (Si),"α2 CVn variable, *V*max = 4.68m, *V*min = 4.73m, *P* = 1.89 d"
ω For,ω,,16046,11918,02h 33m 50.71s,−28° 13′ 56.4″,4.96,-0.76,453,B9V,double star
δ For,δ,,23227,17304,03h 42m 14.90s,−31° 56′ 18.2″,4.99,-1.77,733,B5III,
φ For,φ,,15427,11477,02h 28m 01.69s,−33° 48′ 39.8″,5.13,1.78,153,A2/A3V,
κ For,κ,,14802,11072,02h 22m 32.42s,−23° 48′ 58.7″,5.19,3.48,71,G2V,spectroscopic binary
μ For,μ,,13709,10320,02h 12m 54.46s,−30° 43′ 25.8″,5.27,0.23,332,A0V,
π For,π,,12438,9440,02h 01m 14.80s,−30° 00′ 05.6″,5.34,0.68,278,G8III,
γ2 For,γ2,,17729,13202,02h 49m 54.15s,−27° 56′ 31.3″,5.39,-0.76,554,A1V,
η3 For,η3,,17829,13265,02h 50m 40.40s,−35° 40′ 32.6″,5.48,-0.58,531,K2III,
ρ For,ρ,,23940,17738,03h 47m 56.02s,−30° 10′ 02.4″,5.52,0.83,282,G6III,"suspected variable, *V*max = 5.45m, *V*min = 5.55m"
AI For,,AI,20729,15479,03h 19m 34.90s,−24° 07′ 22.2″,5.63,-2.15,1173,M1III,semiregular variable
ζ For,ζ,,18692,13942,02h 59m 36.07s,−25° 16′ 27.6″,5.69,3.14,105,F3V,binary star
χ2 For,χ2,,21574,16112,03h 27m 33.37s,−35° 40′ 52.8″,5.71,-0.06,464,K2III,suspected variable
ι1 For,ι1,,16307,12122,02h 36m 09.28s,−30° 02′ 41.9″,5.74,-0.76,649,G8/K0III,
λ2 For,λ2,,16417,12186,02h 36m 58.62s,−34° 34′ 38.4″,5.78,3.74,83,G1V,has a planet (b)
ι2 For,ι2,,16538,12288,02h 38m 18.60s,−30° 11′ 38.0″,5.84,3.08,116,F5V,
ε For,ε,,18907,14086,03h 01m 37.45s,−28° 05′ 25.7″,5.88,3.47,99,G8/K0V,
λ1 For,λ1,,15975,11867,02h 33m 07.04s,−34° 38′ 59.7″,5.91,0.58,380,K0/K1III,
σ For,σ,,23738,17618,03h 46m 27.42s,−29° 20′ 17.4″,5.91,0.89,329,A2V,
η2 For,η2,,17793,13225,02h 50m 14.75s,−35° 50′ 37.3″,5.92,-0.01,500,K0III,double star
ψ For,ψ,,18149,13473,02h 53m 34.35s,−38° 26′ 13.5″,5.93,2.06,194,F5V,
HD 20606,,,20606,15357,03h 18m 02.49s,−28° 47′ 49.3″,5.93,1.97,202,F3V+...,
HD 21430,,,21430,16029,03h 26m 22.52s,−27° 19′ 03.4″,5.93,0.31,434,K0III,
HD 16975,,,16975,12608,02h 42m 06.59s,−38° 23′ 01.4″,5.99,0.66,380,G8III,
τ For,τ,,22789,17007,03h 38m 47.66s,−27° 56′ 35.2″,6.01,0.47,417,A0V,
HD 11643,,,11643,8820,01h 53m 23.08s,−38° 35′ 40.9″,6.09,0.77,378,K1/K2III,
HD 15471,,,15471,11524,02h 28m 35.46s,−31° 06′ 08.6″,6.11,0.83,370,K2IIICN...,
γ1 For,γ1,,17713,13197,02h 49m 50.99s,−24° 33′ 36.0″,6.14,0.91,363,K0III,multiple star
HD 18650,,,18650,13907,02h 59m 06.49s,−28° 54′ 25.5″,6.14,1.05,339,K1III,
HD 20176,,,20176,15024,03h 13m 37.94s,−29° 48′ 14.8″,6.17,0.46,452,K1IICN...,
HD 19545,,,19545,14551,03h 07m 50.80s,−27° 49′ 52.0″,6.18,2.38,188,A3V,
HD 22262,,,22262,16628,03h 33m 56.81s,−31° 04′ 49.1″,6.2,3.06,138,F5V,double star
HD 17168,,,17168,12786,02h 44m 20.52s,−32° 31′ 28.8″,6.21,1.06,349,A1V,
HD 20293,,,20293,15125,03h 15m 00.28s,−26° 06′ 01.5″,6.25,0.12,548,A1V,
HD 15889,,,15889,11802,02h 32m 14.72s,−36° 25′ 38.4″,6.28,0.73,421,K0III,
HD 18466,,,18466,13768,02h 57m 12.91s,−29° 51′ 19.0″,6.29,0.49,471,A2/A3V:+...,
HD 20144,,,20144,14972,03h 13m 01.49s,−35° 56′ 37.3″,6.29,0.45,479,B9IV/V,suspected variable
HD 12596,,,12596,9562,02h 02m 51.76s,−23° 53′ 11.6″,6.3,-1.04,959,K2III,
HD 18735,,,18735,13947,02h 59m 38.30s,−32° 30′ 26.0″,6.32,0.81,413,A0V,
HD 11050,,,11050,8369,01h 47m 47.77s,−37° 09′ 34.3″,6.33,0.17,557,K0III,
HD 14412,,,14412,10798,02h 18m 58.65s,−25° 56′ 48.4″,6.33,5.81,41,G8V,
HD 11183,,,11183,8480,01h 49m 19.36s,−31° 04′ 20.7″,6.35,0.68,444,K2/K3III,suspected variable
HD 20980,,,20980,15700,03h 22m 16.28s,−25° 35′ 16.1″,6.36,0.66,450,A1V,
HD 11262,,,11262,8514,01h 49m 48.86s,−38° 24′ 12.5″,6.37,4.2,88,F6V,double star
HD 12135,,,12135,9207,01h 58m 26.68s,−33° 04′ 00.3″,6.37,1.24,346,K0III,double star
HD 10863,,,10863,8233,01h 46m 00.99s,−27° 20′ 55.4″,6.38,3.2,141,F2V,
HD 17926,,,17926,13363,02h 51m 56.16s,−30° 48′ 53.2″,6.38,3.85,105,F6V,
HD 21997,,,21997,16449,03h 31m 53.61s,−25° 36′ 50.8″,6.38,2.04,241,A3IV/V,
χ1 For,χ1,,21423,15987,03h 25m 55.82s,−35° 55′ 15.1″,6.39,1.39,326,A1IV,variable
HD 22322,,,22322,16672,03h 34m 33.58s,−31° 52′ 29.3″,6.39,-1.75,1381,K3III,double star; suspected variable
HD 12563,,,12563,9521,02h 02m 28.27s,−29° 39′ 56.4″,6.4,0.69,452,A3III,
HD 20853,,,20853,15585,03h 20m 45.18s,−26° 36′ 23.6″,6.4,2.97,158,F7V,
HD 18546,,,18546,13789,02h 57m 32.63s,−38° 11′ 27.4″,6.41,1.18,362,A0Vn,
HD 14988,,,14988,11212,02h 24m 20.10s,−25° 50′ 51.0″,6.45,0.37,536,K3III,
HD 14890,,,14890,11121,02h 23m 06.60s,−37° 34′ 33.8″,6.47,-1.31,1173,K2III,"variable star, Δ*V* = 0.011m, *P* = 4.12950 d"
HD 13305,,,13305,10069,02h 09m 34.82s,−24° 20′ 44.5″,6.48,2.51,203,F0IV/V,
