Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Her,β,27,,,148856,80816,16h 30m 13.26s,+21° 29′ 22.7″,2.78,-0.5,148,G8III,"Kornephoros, Korneforos, Rutilicus"
ζ Her,ζ,40,,,150680,81693,16h 41m 17.48s,+31° 36′ 06.8″,2.81,2.64,35,F9IV,
δ Her,δ,65,,,156164,84379,17h 15m 01.92s,+24° 50′ 22.5″,3.12,1.21,78,A3IVv SB,"Sarin, Menkib al Jathi al Aisr, Humerus Sinister Ingeniculi[1]"
π Her,π,67,,,156283,84380,17h 15m 02.85s,+36° 48′ 33.0″,3.16,-2.1,367,K3IIvar,
α1 Her,α1,64,,,156014,84345,17h 14m 38.86s,+14° 23′ 24.9″,3.31,-2.04,382,M5IIvar,"Ras Algethi, Rasalgethi, Rasalegti, Ras al Djathi, Caput Ingeniculi[1]"
μ Her,μ,86,,,161797,86974,17h 46m 27.72s,+27° 43′ 21.0″,3.42,3.8,27,G5IV,"Marfak Al Jathih Al Aisr, Cubitum Sinistrum Ingeniculi,[1] Jiuhe (九河),[2] 
Kew Ho[3]"
η Her,η,44,,,150997,81833,16h 42m 53.74s,+38° 55′ 20.9″,3.48,0.8,112,G7.5IIIb,
ξ Her,ξ,92,,,163993,87933,17h 57m 45.83s,+29° 14′ 52.5″,3.7,0.61,135,K0III,
γ Her,γ,20,,,147547,80170,16h 21m 55.24s,+19° 09′ 10.9″,3.74,-0.15,195,A9III,"Hejian (河間),[4] Ho Keen[3]"
ι Her,ι,85,,,160762,86414,17h 39m 27.89s,+46° 00′ 22.8″,3.82,-2.09,495,B3V SB,β Cep variable
ο Her,ο,103,,,166014,88794,18h 07m 32.55s,+28° 45′ 44.9″,3.84,-1.3,347,B9.5V,"Fekhiz al Jathih al Aisr, Femur Sinistrum Ingeniculi,[1] Zhōngshān (中山);[2] γ 
Cas variable"
109 Her,,109,,,169414,90139,18h 23m 41.77s,+21° 46′ 13.2″,3.85,0.87,128,K2III,
θ Her,θ,91,,,163770,87808,17h 56m 15.18s,+37° 15′ 01.9″,3.86,-2.7,669,K1IIvar,"Rukbalgethi Genubi, Rekbet al Jathih al Aisr, Genu Sinistrum Ingeniculi[1]"
τ Her,τ,22,,,147394,79992,16h 19m 44.45s,+46° 18′ 47.8″,3.91,-1.01,314,B5IV,Rukbalgethi Shemali
ε Her,ε,58,,,153808,83207,17h 00m 17.41s,+30° 55′ 34.8″,3.92,0.43,163,A0V,"Cujam, Cajam, Caiam, Kajam"
ρ Her,ρ,75,,,157778,85112,17h 23m 40.97s,+37° 08′ 45.3″,4.15,-1.3,401,B9.5III,
110 Her,,110,,,173667,92043,18h 45m 39.73s,+20° 32′ 49.6″,4.19,2.79,62,F6V,
σ Her,σ,35,,,149630,81126,16h 34m 06.19s,+42° 26′ 12.8″,4.2,-0.63,302,B9Vvar,
φ Her,φ,11,,,145389,79101,16h 08m 46.20s,+44° 56′ 05.3″,4.23,0,228,B9MNp...,α2 CVn variable
95 Her,,95,,,164668,88267,18h 01m 30.40s,+21° 35′ 44.5″,4.26,-1.54,470,G5III,
111 Her,,111,,,173880,92161,18h 47m 01.22s,+18° 10′ 52.4″,4.34,2.07,93,A5III,
102 Her,,102,,,166182,88886,18h 08m 45.49s,+20° 48′ 52.5″,4.37,-3.98,1523,B2IV,
λ Her,λ,76,,,158899,85693,17h 30m 44.30s,+26° 06′ 38.2″,4.41,-0.85,367,K3IIIvar,"Maasym, Masym, Misam"
ν Her,ν,94,,,164136,87998,17h 58m 30.15s,+30° 11′ 21.4″,4.41,-2.53,795,F2II,
113 Her,,113,,,175493,,18h 54m 46.10s,+22° 39′ 13.0″,4.5,,,,
ρ Her,ρ,75,,,157779,,17h 23m 41.00s,+37° 08′ 45.0″,4.52,,,,
ω Her,ω,24,,,148112,80463,16h 25m 24.93s,+14° 02′ 00.3″,4.57,0.28,235,B9p Cr,"Cujam, Kajam, Cujam, Caiam; α2 CVn variable"
113 Her,,113,,,175492,92818,18h 54m 44.88s,+22° 38′ 42.3″,4.57,-1.3,486,G4III+...,
χ Her,χ,1,,,142373,77760,15h 52m 40.19s,+42° 27′ 00.0″,4.6,3.6,52,F9V,
69 Her,e,69,,,156729,84606,17h 17m 40.29s,+37° 17′ 28.8″,4.64,0.96,178,A2V,
93 Her,,93,,,164349,88128,18h 00m 03.42s,+16° 45′ 03.4″,4.67,-1.85,656,K0II-III,
υ Her,υ,6,,,144206,78592,16h 02m 47.85s,+46° 02′ 12.7″,4.72,-0.59,376,B9III,
68 Her,u,68,,,156633,84573,17h 17m 19.57s,+33° 06′ 00.4″,4.8,-2.32,865,B1.5Vp,
52 Her,,52,,V367,152107,82321,16h 49m 14.20s,+45° 59′ 00.4″,4.82,1.17,175,A2p...,V637 Her; α2 CVn variable
30 Her,g,30,,,148783,80704,16h 28m 38.52s,+41° 52′ 54.1″,4.83,-0.39,361,M6III:var,
29 Her,h,29,,,149161,81008,16h 32m 36.40s,+11° 29′ 17.6″,4.84,-0.1,317,K4III,
42 Her,,42,,,150450,81497,16h 38m 44.89s,+48° 55′ 41.8″,4.86,-0.45,376,M2.5III,
60 Her,,60,,,154494,83613,17h 05m 22.66s,+12° 44′ 27.1″,4.89,1.67,144,A4IV,
