Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Hor,α,,26967,19747,04h 14m 00.08s,−42° 17′ 37.9″,3.85,1.07,117,K1III,
R Hor,,R,18242,13502,02h 53m 52.90s,−49° 53′ 25″,4.7,,1004,M7IIIe,"Mira variable, *V*max = 4.7m, *V*min = 14.3m, *P* = 407.6 d"
δ Hor,δ,,26612,19515,04h 10m 50.43s,−41° 59′ 37.5″,4.93,1.28,175,A9V,
β Hor,β,,18866,13884,02h 58m 47.77s,−64° 04′ 16.7″,4.98,0.07,313,A5III,
μ Hor,μ,,19319,14240,03h 03m 36.90s,−59° 44′ 15.4″,5.12,1.99,138,F0IV,
ζ Hor,ζ,,16920,12484,02h 40m 39.58s,−54° 32′ 59.7″,5.21,1.77,159,F4IV,
ν Hor,ν,,17848,13141,02h 49m 01.37s,−62° 48′ 23.7″,5.25,1.73,165,A2V,
η Hor,η,,16555,12225,02h 37m 24.26s,−52° 32′ 35.1″,5.3,2.06,145,A6V,
HD 27588,,,27588,20161,04h 19m 16.65s,−44° 16′ 04.2″,5.33,1.08,231,K2III,
λ Hor,λ,,15233,11258,02h 24m 53.99s,−60° 18′ 41.9″,5.36,1.91,160,F2III,
ι Hor,ι,,17051,12653,02h 42m 33.16s,−50° 48′ 03.0″,5.4,4.22,56,G3IV,has a planet (b)
HD 22231,,,22231,16509,03h 32m 34.72s,−50° 22′ 43.9″,5.67,0.8,307,K3III,suspected variable
TW Hor,,TW,20234,14930,03h 12m 33.14s,−57° 19′ 17.7″,5.71,-2.32,1315,C5II,"semiregular variable, *V*max = 5.52m, *V*min = 5.95m, *P* = 270.3 d"
HD 23719,,,23719,17534,03h 45m 15.88s,−47° 21′ 34.0″,5.72,0.47,365,K1III,
γ Hor,γ,,17504,12871,02h 45m 27.45s,−63° 42′ 16.3″,5.73,2.03,179,G8III/IV,
HD 14641,,,14641,10871,02h 19m 54.25s,−55° 56′ 41.4″,5.81,-0.38,564,K5III,"variable star, Δ*V* = 0.09m, *P* = 5.37548 d"
HD 20640,,,20640,15305,03h 17m 26.60s,−47° 45′ 06.3″,5.84,0.03,473,K2III,
HD 24706,,,24706,18199,03h 53m 33.30s,−46° 53′ 36.9″,5.93,0.72,360,K3III,
TU Hor,,TU,21981,16339,03h 30m 36.90s,−47° 22′ 30.6″,5.98,0.7,370,A2V,"rotating ellipsoidal variable, *V*max = 5.9m, *V*min = 6.04m, *P* = 
0.935971 d"
HD 18185,,,18185,13387,02h 52m 18.95s,−62° 54′ 34.6″,6.03,-0.12,553,K1III,
HD 19948,,,19948,14749,03h 10m 27.24s,−48° 44′ 02.7″,6.11,0.73,388,K1III,
HD 17254,,,17254,12775,02h 44m 10.60s,−52° 34′ 14.0″,6.15,0.68,404,A2V,
HD 18265,,,18265,13518,02h 54m 06.47s,−50° 52′ 17.1″,6.22,-1.45,1113,K4III,suspected variable
HD 17326,,,17326,12717,02h 43m 26.47s,−66° 42′ 50.6″,6.23,2.55,178,F5V,
HD 16170,,,16170,11925,02h 33m 54.62s,−51° 05′ 36.6″,6.24,2.6,174,F6V,
HD 15646,,,15646,11479,02h 28m 04.34s,−64° 17′ 59.2″,6.35,0.99,385,A0V,
HD 26927,,,26927,19721,04h 13m 35.71s,−40° 21′ 28.2″,6.36,-1.07,1000,K3III,
TZ Hor,,TZ,15379,11293,02h 25m 26.48s,−66° 29′ 38.5″,6.39,-0.86,921,M5III,"semiregular variable, Δ*V* = 0.11m"
HD 21011,,,21011,15655,03h 21m 33.43s,−47° 46′ 35.9″,6.4,0.68,453,K0III,
HD 18292,,,18292,13429,02h 52m 54.65s,−65° 27′ 18.9″,6.47,0.71,463,K0/K1III,
HD 23670,,,23670,17493,03h 44m 50.47s,−48° 03′ 40.0″,6.49,0.53,508,G8/K0III,
HD 21360,,,21360,15884,03h 24m 36.21s,−51° 03′ 45.7″,6.5,0.87,435,A0V,
HD 23308,,,23308,17298,03h 42m 09.92s,−45° 57′ 28.5″,6.5,3.52,128,F8V,
HD 27631,,,27631,20199,04h 19m 45s,−41° 57′ 37″,8.25,,148,G3IV,has a planet (b)
WASP-120,,,,,04h 10m 28.0s,−45° 53′ 54″,11,,,F5,has a transiting planet (b)
GJ 1061,,,,,03h 35m 59.64s,−44° 30′ 46.2″,13.03,,12,M5.5,nearby red dwarf
WW Hor,,WW,,,02h 36m 11.45s,−52° 19′ 13.5″,17.6,,,,"AM Her variable and eclipsing binary, *V*max = 17.6m, *V*min = 21.6m, *P* = 
0.080199046 d"
"Table legend: 
[TABLE]",,,,,,,,,,,
