Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Lac,α,7,,213558,111169,22h 31m 17.38s,+50° 16′ 56.8″,3.76,1.28,102,A1V,
1 Lac,,1,,211388,109937,22h 15m 58.17s,+37° 44′ 55.4″,4.14,-2.28,627,K3III,suspected variable
5 Lac,,5,V412,213310,111022,22h 29m 31.82s,+47° 42′ 24.8″,4.34,-3.42,1164,M0II,slow irregular variable
β Lac,β,3,,212496,110538,22h 23m 33.64s,+52° 13′ 46.2″,4.42,0.84,170,G9III,
HD 211073,,,,211073,109754,22h 13m 52.70s,+39° 42′ 53.6″,4.5,-1.69,563,K3III,"suspected variable, *V*max = 4.49m, *V*min = 4.55m"
11 Lac,,11,,214868,111944,22h 40m 30.78s,+44° 16′ 34.6″,4.5,-0.33,302,K3III,"variable star, Δ*V* = 0.003m, *P* = 17.30403 d"
6 Lac,,6,,213420,111104,22h 30m 29.26s,+43° 07′ 24.2″,4.52,-3.6,1370,B2IV,
2 Lac,,2,,212120,110351,22h 21m 01.53s,+46° 32′ 11.6″,4.55,-1.42,509,B6V,"suspected rotating ellipsoidal variable, *V*max = 4.53m, *V*min = 4.56m"
4 Lac,,4,,212593,110609,22h 24m 31.00s,+49° 28′ 35.0″,4.55,-4.51,2117,B9Iab,
9 Lac,,9,,214454,111674,22h 37m 22.47s,+51° 32′ 43.3″,4.64,1.03,172,A8IV,
10 Lac,,10,,214680,111841,22h 39m 15.68s,+39° 03′ 01.0″,4.89,-2.67,1058,O9V,Spectrum anchor point;[1] suspected β Cep variable
15 Lac,,15,,216397,112917,22h 52m 01.95s,+43° 18′ 44.5″,4.95,-0.05,326,M0III,
V424 Lac,,,V424,216946,113288,22h 56m 26.00s,+49° 44′ 00.8″,4.99,-3.81,1874,K5Ibvar,slow irregular variable
HD 209945,,,,209945,109102,22h 06m 01.96s,+45° 00′ 51.8″,5.09,-1.3,619,K5III,
V416 Lac,,,V416,214665,111795,22h 38m 37.87s,+56° 47′ 44.6″,5.11,-0.49,430,M4III,slow irregular variable
13 Lac,,13,,215373,112242,22h 44m 05.49s,+41° 49′ 09.2″,5.11,0.49,274,K0III,
12 Lac,,12,DD,214993,112031,22h 41m 28.65s,+40° 13′ 31.7″,5.25,-2.9,1393,B2IIIv SB,"β Cep and 53 Per variable, *V*max = 5.16m, *V*min = 5.28m, *P* = 0.1930924 d"
EW Lac,,,EW,217050,113327,22h 57m 04.49s,+48° 41′ 02.7″,5.34,-2.3,1098,B4IIIpe,"γ Cas variable, *V*max = 5.22m, *V*min = 5.48m"
HD 210715,,,,210715,109521,22h 11m 09.78s,+50° 49′ 23.8″,5.38,1.69,179,A5V,
HD 216174,,,,216174,112731,22h 49m 46.23s,+55° 54′ 09.7″,5.43,0.15,371,K1III,
HD 211096,,,,211096,109745,22h 13m 49.18s,+45° 26′ 26.2″,5.53,1.1,251,A0III,
16 Lac,,16,EN,216916,113281,22h 56m 23.63s,+41° 36′ 14.0″,5.6,-2.24,1203,B2IV,β Cep variable
HD 211211,,,,211211,109831,22h 14m 44.33s,+42° 57′ 14.3″,5.72,1.06,279,A2Vnn,
HD 213930,,,,213930,111362,22h 33m 40.57s,+56° 37′ 28.7″,5.72,0.63,340,G8III-IV,"slow irregular variable, *V*max = 5.6m, *V*min = 6.8m"
8 Lac A,,8,,214167,111546,22h 35m 52.28s,+39° 38′ 03.6″,5.73,-0.73,639,B1Ve,"suspected variable, Δ*V* = 0.05m"
HD 216831,,,,216831,113222,22h 55m 44.49s,+36° 21′ 05.0″,5.73,-1.31,836,B7III,
HD 216608,,,,216608,113048,22h 53m 40.16s,+44° 44′ 57.1″,5.79,2.21,170,A3m,
HD 215943,,,,215943,112590,22h 48m 11.07s,+37° 25′ 00.6″,5.82,0.58,364,G8III:,"suspected variable, *V*max = 5.82m, *V*min = 6.18m"
HD 216646,,,,216646,113084,22h 54m 06.91s,+40° 22′ 36.6″,5.82,0.74,339,K0III,
HD 215664,,,,215664,112417,22h 46m 10.11s,+44° 32′ 45.5″,5.84,2.21,173,F0III-IV,"suspected δ Sct variable, Δ*V* = 0.01m"
HD 213660,,,,213660,111259,22h 32m 26.37s,+39° 46′ 47.1″,5.88,-0.54,628,A6V,
14 Lac,,14,V360,216200,112778,22h 50m 21.77s,+41° 57′ 12.3″,5.91,-1.7,1087,B3IV:var,"β Lyr variable, *V*max = 5.91m, *V*min = 5.98m, *P* = 10.075 d"
HD 216756,,,,216756,113174,22h 55m 02.58s,+37° 04′ 36.5″,5.91,2.83,134,F5II,
HD 215030,,,,215030,112041,22h 41m 35.94s,+41° 32′ 56.3″,5.93,0.95,323,G9III,
HD 215359,,,,215359,112241,22h 44m 05.21s,+39° 27′ 55.5″,5.93,-0.56,647,K5III+...,
HD 214878,,,,214878,111925,22h 40m 18.40s,+53° 50′ 45.5″,5.94,0.83,344,B8V,
HD 214714,,,,214714,111869,22h 39m 34.32s,+37° 35′ 34.1″,6.03,-1.18,903,G3Ib-IICNe.,
