Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Lep,α,11,,36673,25985,05h 32m 43.81s,−17° 49′ 20.3″,2.58,-5.4,1283,F0Ib,"Arneb (Elarneb), Arsh; suspected variable, *V*max = 2.56m, *V*min = 2.62m"
β Lep,β,9,,36079,25606,05h 28m 14.73s,−20° 45′ 33.2″,2.81,-0.63,159,G5II,Nihal (Nibal)
ε Lep,ε,2,,32887,23685,05h 05m 27.65s,−22° 22′ 15.1″,3.19,-1.02,227,K4III,"suspected variable, *V*max = 3.12m, *V*min = 3.20m"
μ Lep,μ,5,,33904,24305,05h 12m 55.87s,−16° 12′ 19.5″,3.29,-0.47,184,B9IV: HgMn,"α2 CVn variable, *V*max = 2.97m, *V*min = 3.41m, *P* = 2 d"
ζ Lep,ζ,14,,38678,27288,05h 46m 57.35s,−14° 49′ 19.0″,3.55,1.89,70,A2Vann,has a possible asteroid belt
γ Lep,γ,13,,38393,27072,05h 44m 27.97s,−22° 26′ 51.0″,3.59,3.83,29,F7V,
η Lep,η,16,,40136,28103,05h 56m 24.32s,−14° 10′ 04.9″,3.71,2.82,49,F1V,
δ Lep,δ,15,,39364,27654,05h 51m 19.15s,−20° 52′ 39.0″,3.76,1.08,112,G8III/IV,
λ Lep,λ,6,,34816,24845,05h 19m 34.53s,−13° 10′ 36.4″,4.29,-3.3,1076,B0.5IV,
κ Lep,κ,4,,33949,24327,05h 13m 13.89s,−12° 56′ 28.6″,4.36,-1.81,559,B7V,suspected variable
ι Lep,ι,3,,33802,24244,05h 12m 17.89s,−11° 52′ 08.9″,4.45,0.11,241,B8V,
θ Lep,θ,18,,41695,28910,06h 06m 09.33s,−14° 56′ 07.0″,4.67,1.08,170,A0V,
HD 34968,,,,34968,24927,05h 20m 26.91s,−21° 14′ 23.1″,4.7,-1.04,459,A0V,"suspected variable, *V*max = 4.67m, *V*min = 4.72m"
HD 32309,,,,32309,23362,05h 01m 25.56s,−20° 03′ 06.8″,4.91,0.88,209,B9V,
17 Lep,,17,SS,41511,28816,06h 04m 59.13s,−16° 29′ 03.9″,4.92,-2.66,1069,Ap shell,"rotating ellipsoidal and Z And variable, *V*max = 4.82m, *V*min = 5.06m, *P* 
= 260.34 d"
HD 32436,,,,32436,23430,05h 02m 09.77s,−26° 16′ 29.4″,5.01,0.65,242,K1III,
HD 41312,,,,41312,28675,06h 03m 15.56s,−26° 17′ 05.1″,5.03,-0.35,388,K3II/IIICNv,
HD 34310,,,,34310,24505,05h 15m 24.37s,−26° 56′ 36.4″,5.06,0.45,272,B9V,
HD 35162,,,,35162,25045,05h 21m 46.27s,−24° 46′ 22.6″,5.06,0.28,294,A2/A3,
8 Lep,,8,,35337,25202,05h 23m 30.16s,−13° 55′ 38.5″,5.25,-3.47,1811,B2IV,
19 Lep,,19,,42042,29048,06h 07m 41.63s,−19° 09′ 57.6″,5.28,-1.41,710,M1III,semiregular variable
ν Lep,ν,7,,34863,24873,05h 19m 59.03s,−12° 18′ 56.2″,5.29,0.25,332,B7/B8V,
HD 41841,,,,41841,28943,06h 06m 32.10s,−23° 06′ 38.8″,5.46,-0.36,475,A2V,
HD 34538,,,,34538,24679,05h 17m 40.25s,−13° 31′ 10.9″,5.48,2.06,158,G8IV,"suspected variable, *V*max = 5.38m, *V*min = 5.50m"
