Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
β Lib,β,27,,135742,74785,15h 17m 00.47s,−09° 22′ 58.3″,2.61,-0.84,160,B8V,Zubeneschamali; suspected variable
α2 Lib,α2,9,,130841,72622,14h 50m 52.78s,−16° 02′ 29.8″,2.75,0.88,77,A3IV,"Zubenelgenubi; spectroscopic binary; suspected variable; member of the α 
Lib system"
σ Lib,σ,20,,133216,73714,15h 04m 04.26s,−25° 16′ 54.7″,3.25,-1.51,292,M3/M4III,"previously γ Scorpii; semiregular variable, *V*max = 3.2m, *V*min = 3.46m, 
*P* = 20 d"
υ Lib,υ,39,,139063,76470,15h 37m 01.46s,−28° 08′ 06.3″,3.6,-0.28,195,K3III,
τ Lib,τ,40,,139365,76600,15h 38m 39.38s,−29° 46′ 39.7″,3.66,-2.01,445,B2.5V,
γ Lib,γ,38,,138905,76333,15h 35m 31.54s,−14° 47′ 22.4″,3.91,0.56,152,K0III,
θ Lib,θ,46,,142198,77853,15h 53m 49.48s,−16° 43′ 46.6″,4.13,0.64,163,K0III,
16 Lib,,16,,132052,73165,14h 57m 11.06s,−04° 20′ 45.9″,4.47,2.24,91,F0V,
ι1 Lib,ι1,24,,134759,74392,15h 12m 13.31s,−19° 47′ 29.9″,4.54,-0.77,376,Asp...,"α2 CVn variable, *V*max = 4.53m, *V*min = 4.56m, *P* = 3.10 d"
37 Lib,,37,,138716,76219,15h 34m 10.52s,−10° 03′ 50.3″,4.61,2.3,94,K1IV,
κ Lib,κ,43,,139997,76880,15h 41m 56.82s,−19° 40′ 42.9″,4.75,-0.69,400,K5III,suspected variable
δ Lib,δ,19,,132742,73473,15h 00m 58.39s,−08° 31′ 08.2″,4.91,0.06,304,B9.5V,"Algol variable, *V*max = 4.91m, *V*min = 5.9m, *P* = 2.33 d"
ε Lib,ε,31,,137052,75379,15h 24m 11.93s,−10° 19′ 18.8″,4.92,2.37,106,F5IV,
11 Lib,,11,,130952,72631,14h 51m 01.02s,−02° 17′ 55.9″,4.93,0.82,216,G8...,"RS CVn variable, *V*max = 4.91m, *V*min = 4.95m, *P* = 60.55 d"
48 Lib,,48,FX,142983,78207,15h 58m 11.38s,−14° 16′ 45.5″,4.95,-1.03,513,B8Ia/Iab,"γ Cas variable, *V*max = 4.74m, *V*min = 4.96m"
42 Lib,,42,,139663,76742,15h 40m 16.91s,−23° 49′ 05.0″,4.97,-0.37,381,K3III,suspected variable
λ Lib,λ,45,,142096,77811,15h 53m 20.06s,−20° 10′ 01.2″,5.03,-0.16,356,B3V,"α2 CVn variable, Δ*V* = 0.02m, *P* = 3.31 d"
36 Lib,,36,,138688,76259,15h 34m 37.31s,−28° 02′ 48.9″,5.13,-0.14,369,K2/K3III,
α1 Lib,α1,8,,130819,72603,14h 50m 41.26s,−15° 59′ 49.5″,5.15,3.28,77,F3V,spectroscopic binary; member of the α Lib system
HR 5780,,,IU,138764,76243,15h 34m 26.53s,−09° 11′ 00.1″,5.16,0,351,B6IV,"slowly pulsating B star, *V*max = 5.14m, *V*min = 5.19m, *P* = 1.26 d"
ν Lib,ν,21,,133774,73945,15h 06m 37.62s,−16° 15′ 24.3″,5.19,-1.66,765,K5III,
12 Lib,,12,,131430,72929,14h 54m 20.14s,−24° 38′ 31.7″,5.27,-0.09,384,K2/K3III,
μ Lib,μ,7,,130559,72489,14h 49m 19.09s,−14° 08′ 56.3″,5.32,1.03,235,Ap,α2 CVn variable
HD 126218,,,,126218,70469,14h 24m 48.66s,−24° 48′ 22.6″,5.34,-0.1,400,K0III,
41 Lib,,41,,139446,76628,15h 38m 54.51s,−19° 18′ 06.2″,5.36,0.27,340,G8III/IV,
η Lib,η,44,,140417,77060,15h 44m 04.42s,−15° 40′ 21.6″,5.41,2.14,147,A6IV,
49 Lib,,49,,143333,78400,16h 00m 19.98s,−16° 31′ 56.6″,5.47,2.89,107,F7V,"variable star, Δ*V* = 0.004m, *P* = 0.45 d"
ξ2 Lib,ξ2,15,,131918,73133,14h 56m 46.11s,−11° 24′ 35.0″,5.48,-0.61,538,K4III,
