Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Lup,α,,,129056,71860,14h 41m 55.77s,−47° 23′ 17.3″,2.3,-3.83,548,B1.5III,"Men; β Cep variable, *V*max = 2.29m, *V*min = 2.34m, *P* = 0.2598466 d. 70% 
likelihood of being a member of Scorpius–Centaurus Association.[1]"
β Lup,β,,,132058,73273,14h 58m 31.95s,−43° 08′ 01.9″,2.68,-3.35,523,B2III,
γ Lup,γ,,,138690,76297,15h 35m 08.46s,−41° 10′ 00.1″,2.8,-3.4,567,B2IV,"rotating ellipsoidal variable. 91% likelihood of being a member of Scorpius–Centaurus 
Association.[1]"
δ Lup,δ,,,136298,75141,15h 21m 22.34s,−40° 38′ 50.9″,3.22,-2.75,510,B1.5IV,"β Cep variable, *V*max = 3.2m, *V*min = 3.24m, *P* = 0.16547 d"
ε Lup,ε,,,136504,75264,15h 22m 40.89s,−44° 41′ 22.5″,3.37,-2.58,504,B2IV-V,"β Cep variable, *V*max = 3.36m, *V*min = 3.38m, *P* = 0.0965 d"
ζ Lup,ζ,,,134505,74395,15h 12m 17.20s,−52° 05′ 56.7″,3.41,0.65,116,G8III,
η Lup,η,,,143118,78384,16h 00m 07.34s,−38° 23′ 47.9″,3.42,-2.48,493,B2.5IV,suspected variable
ι Lup,ι,,,125238,69996,14h 19m 24.23s,−46° 03′ 29.1″,3.55,-1.61,352,B2.5IV,"β Cep variable, *V*max = 3.54m, *V*min = 3.55m"
φ1 Lup,φ1,,,136422,75177,15h 21m 48.44s,−36° 15′ 40.2″,3.57,-1.43,326,K5III,"variable star, Δ*V* = 0.008m, *P* = 4.81719 d"
κ1 Lup,κ1,,,134481,74376,15h 11m 56.16s,−48° 44′ 15.7″,3.88,0.14,182,B9V,Qízhènjiāngjūn (騎陣將軍)[2]
π Lup,π,,,133242,73807,15h 05m 07.11s,−47° 03′ 04.3″,3.91,-2.01,497,B5,
χ Lup,χ,5,,141556,77634,15h 50m 57.54s,−33° 37′ 37.6″,3.97,-0.03,206,B9.5III-IV,
ρ Lup,ρ,,,128345,71536,14h 37m 53.25s,−49° 25′ 32.7″,4.05,-0.84,310,B5V,"53 Per variable, *V*max = 4.04m, *V*min = 4.05m, *P* = 0.44527 d"
λ Lup,λ,,,133955,74117,15h 08m 50.63s,−45° 16′ 47.3″,4.07,-1.41,406,B3V,
θ Lup,θ,,,144294,78918,16h 06m 35.56s,−36° 48′ 08.0″,4.22,-1.28,411,B2.5Vn,suspected variable
