Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
Vega,α,3,,172167,91262,18h 36m 56.19s,+38° 46′ 58.8″,0.03,0.58,25,A0Vvar,"Wega, Fidis, Harp Star, Al Nesr al Waki, Vulture Cadens;[1] 5th brightest 
star, has a dust disk; δ Sct variable, *V*max = -0.02m, *V*min = 0.07m, *P* 
= 0.19 d"
γ Lyr,γ,14,,176437,93194,18h 58m 56.62s,+32° 41′ 22.4″,3.25,-3.2,634,B9III,"Sulafat, Sulaphat; suspected variable, *V*max = 3.23m, *V*min = 3.26m"
β Lyr A,β,10,,174638,92420,18h 50m 04.79s,+33° 21′ 45.6″,3.52,-3.64,881,A8:V comp SB,"Sheliak, Shelyak, Shiliak; prototype β Lyr variable, *V*max = 3.30m, *V*min 
= 4.35m, *P* = 12.94061713 d"
R Lyr,,13,R,175865,92862,18h 55m 20.09s,+43° 56′ 45.2″,4.08,-1.07,349,M5IIIvar,"semiregular variable, *V*max = 3.81m, *V*min = 4.44m, *P* = 46 d"
δ2 Lyr,δ2,12,,175588,92791,18h 54m 30.29s,+36° 53′ 55.0″,4.22,-2.98,898,M4IIvar,"semiregular variable, *V*max = 4.22m, *V*min = 4.33m"
κ Lyr,κ,1,,168775,89826,18h 19m 51.72s,+36° 03′ 52.0″,4.33,0.02,238,K2IIIvar,"suspected variable, *V*max = 4.31m, *V*min = 4.35m"
ζ1 Lyr,ζ1,6,,173648,91971,18h 44m 46.34s,+37° 36′ 18.2″,4.34,0.97,154,Am,"variable star, Δ*V* = 0.003m, *P* = 1.53243 d"
θ Lyr,θ,21,,180809,94713,19h 16m 22.10s,+38° 08′ 01.4″,4.35,-2.51,769,K0II,"suspected variable, *V*max = 4.32m, *V*min = 4.37m"
η Lyr,η,20,,180163,94481,19h 13m 45.49s,+39° 08′ 45.5″,4.43,-3.09,1042,B2.5IV,"Aladfar; variable star, Δ*V* = 0.005m, *P* = 19.73944 d"
ε2 Lyr A,ε2,5,,173607,91926,18h 44m 22.78s,+39° 36′ 45.3″,4.6,1.13,160,A8Vn,"component of the ε Lyr system; binary star; suspected variable, Δ*V* = 0.02m"
ε1 Lyr A,ε1,4,,173582,91919,18h 44m 20.34s,+39° 40′ 11.9″,4.67,1.19,162,F1V,component of the ε Lyr system; binary star
HD 173780,,,,173780,92088,18h 46m 04.47s,+26° 39′ 43.5″,4.83,0.39,252,K3III,
λ Lyr,λ,15,,176670,93279,19h 00m 00.82s,+32° 08′ 43.8″,4.94,-3.43,1538,K3III,suspected variable
16 Lyr,,16,,177196,93408,19h 01m 26.36s,+46° 56′ 06.1″,5,2.04,128,A7V,"suspected variable, *V*max = 5.00m, *V*min = 5.09m"
μ Lyr,μ,2,,169702,90191,18h 24m 13.80s,+39° 30′ 26.1″,5.11,-0.55,441,A3IVn,"Alathfar, Al Athfar"
HD 176051,,,,176051,93017,18h 57m 01.47s,+32° 54′ 05.8″,5.2,4.32,49,G0V,has a planet (b)
17 Lyr,,17,,178449,93917,19h 07m 25.50s,+32° 30′ 06.0″,5.2,2.16,132,F0V,
ν Lyr,"ν, ν2",9,,174602,92405,18h 49m 52.92s,+32° 33′ 03.9″,5.22,0.9,238,A3V,
