Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
γ Mic,γ,,199951,103738,21h 01m 17.46s,−32° 15′ 28.0″,4.67,0.49,223,G8III,"variable star, Δ*V* = 0.007m, *P* = 8.72829 d"
ε Mic,ε,,202627,105140,21h 17m 56.25s,−32° 10′ 20.9″,4.71,1.19,165,A0V,
θ1 Mic,θ1,,203006,105382,21h 20m 45.58s,−40° 48′ 34.2″,4.8,1.01,186,A2p,"α² CVn variable, *V*max = 4.77m, *V*min = 4.87m, *P* = 2.1215 d"
α Mic,α,,198232,102831,20h 49m 58.08s,−33° 46′ 46.8″,4.89,-0.45,380,G8III,
ι Mic,ι,,197937,102693,20h 48m 29.00s,−43° 59′ 17.8″,5.11,2.04,134,F1IV,
ν Mic,ν,,195569,101477,20h 33m 55.06s,−44° 30′ 57.5″,5.12,1.01,216,K0III,
2 PsA,,,200763,104174,21h 06m 24.68s,−32° 20′ 29.9″,5.2,0.02,354,K2III,
HD 201772,,,201772,104738,21h 13m 02.93s,−39° 25′ 28.7″,5.25,2.63,109,F5V,
ζ Mic,ζ,,200163,103882,21h 02m 57.97s,−38° 37′ 52.3″,5.32,2.58,115,F3V,
HD 198716,,,198716,103127,20h 53m 40.15s,−39° 48′ 34.7″,5.34,-0.17,412,K2III,
3 PsA,,,201901,104750,21h 13m 17.27s,−27° 37′ 08.6″,5.41,0.01,391,K3III,
HD 196737,,,196737,102014,20h 40m 19.81s,−33° 25′ 54.9″,5.47,1.14,239,K1III,
HD 197630,,,197630,102497,20h 46m 20.03s,−39° 11′ 57.1″,5.48,0.52,320,B8/B9V,"variable star, Δ*V* = 0.005m, *P* = 0.32138 d"
HD 204018,,,204018,105913,21h 27m 01.66s,−42° 32′ 52.7″,5.5,1.84,176,Am,
HD 198357,,,198357,102916,20h 51m 00.76s,−37° 54′ 47.8″,5.52,-0.9,627,K3III,
η Mic,η,,200702,104177,21h 06m 25.50s,−41° 23′ 09.4″,5.55,-1.73,931,K3III,
HD 203949,,,203949,105854,21h 26m 22.75s,−37° 49′ 45.9″,5.64,1,276,K2III,has a planet (b)
δ Mic,δ,,200718,104148,21h 06m 01.12s,−30° 07′ 29.8″,5.69,0.65,332,K0/K1III,
HD 196917,,,196917,102092,20h 41m 23.58s,−31° 35′ 53.3″,5.75,0.2,419,M1III,"variable star, Δ*V* = 0.009m, *P* = 0.86547 d"
θ2 Mic,θ2,,203585,105696,21h 24m 24.80s,−41° 00′ 24.1″,5.76,0,463,A0III,
HD 201647,,,201647,104680,21h 12m 13.67s,−40° 16′ 07.8″,5.83,3.28,106,F5IV,"suspected variable, Δ*V* = 0.03m"
HD 200073,,,200073,103836,21h 02m 27.05s,−38° 31′ 50.0″,5.93,1.84,214,K2III,
HD 201852,,,201852,104752,21h 13m 18.94s,−36° 25′ 24.7″,5.97,0.9,337,K0III,
β Mic,β,,198529,102989,20h 51m 58.76s,−33° 10′ 40.7″,6.06,-0.48,661,A1IV,
HD 194783,,,194783,101017,20h 28m 46.74s,−35° 35′ 44.9″,6.09,-0.33,627,B8II/III,
HD 199684,,,199684,103646,20h 59m 59.62s,−36° 07′ 46.2″,6.1,3.01,135,F2V,
HD 202287,,,202287,104980,21h 15m 46.76s,−36° 12′ 38.5″,6.13,-0.98,862,K3III,
HD 202135,,,202135,104925,21h 15m 14.31s,−40° 30′ 21.9″,6.2,-0.06,583,K1III,
HD 196748,,,196748,102057,20h 40m 55.61s,−42° 23′ 48.2″,6.25,0.47,467,G6III,
HD 200245,,,200245,103902,21h 03m 10.17s,−27° 43′ 53.4″,6.25,-1.69,1264,K0III,
AV Mic,,AV,196829,102096,20h 41m 24.63s,−42° 08′ 01.3″,6.28,-1.01,934,M3II,"semiregular variable, *V*max = 6.25m, *V*min = 6.35m"
HD 197093,,,197093,102230,20h 42m 52.95s,−39° 33′ 31.7″,6.3,-1.73,1315,K1III,
HD 195206,,,195206,101211,20h 30m 56.79s,−29° 06′ 45.5″,6.35,0.05,594,A5V,
HD 198751,,,198751,103103,20h 53m 24.94s,−30° 43′ 08.1″,6.35,0.29,531,K1III,
HD 195902,,,195902,101623,20h 35m 47.82s,−44° 20′ 15.5″,6.36,0.86,411,K1III,
HD 202773,,,202773,105228,21h 18m 54.32s,−28° 45′ 56.4″,6.4,0.94,403,K0IV,
BY Mic,,BY,198853,103168,20h 54m 06.58s,−27° 55′ 30.7″,6.41,-0.93,956,M1III,slow irregular variable
HD 195843,,,195843,101552,20h 34m 47.38s,−30° 28′ 24.3″,6.42,0.12,593,B8V,
HD 198356,,,198356,102901,20h 50m 47.15s,−32° 03′ 16.0″,6.42,-0.22,695,K5III,
HD 195814,,,195814,101558,20h 34m 55.46s,−38° 05′ 23.5″,6.45,2.32,218,A5m...,
HD 197900,,,197900,102670,20h 48m 18.36s,−44° 11′ 48.1″,6.47,0.2,584,K1IV,
HD 201242,,,201242,104441,21h 09m 22.31s,−36° 42′ 20.2″,6.47,2.13,241,F7V,
HD 197649,,,197649,102496,20h 46m 18.58s,−36° 07′ 12.1″,6.49,2.28,226,F3/F5V,
Lacaille 8760,,AX,202560,105090,21h 17m 15.3s,−38° 52′ 02″,6.68,8.69,12.865,M0V,UV Ceti variable
HD 202628,,,202628,105184,21h 18m 27.27s,−43° 20′ 04.7″,6.75,,79.61,G5V,has a protoplanetary disk
AU Mic,,AU,197481,102409,20h 45m 09.53s,−31° 20′ 27.2″,8.63,,32.306,M1Ve,"T Tauri star, Δ*V* = 0.079m, *P* = 4.85 d; has a protoplanetary disk"
HD 203932,,BI,203932,,21h 26m 03.87s,−29° 55′ 44.1″,8.81,,,A5p,"rapidly oscillating Ap star, Δ*B* < 0.0024m, *P* = 5.9 minutes"
HD 202759,,AW,202759,105249,21h 19m 05.92s,−33° 55′ 07.9″,9.05,,5300,A0:IIIw,"RR Lyr variable, *V*max = 9.04m, *V*min = 9.13m, *P* = 0.305684 d"
BO Mic,,BO,197890,102626,20h 47m 45.01s,−36° 35′ 40.8″,9.34,5.8,170.1,K3V(e),"Speedy Mic; rotating variable, Δ*V* = 0.059m, *P* = 0.3804 d; one of the 
fastest known rotating stars"
V Mic,,V,203495,105638,21h 23m 48.77s,−40° 42′ 05.12″,9.4,,2100,M4e,Mira variable
ZZ Mic,,ZZ,199757,103684,21h 00m 35.20s,−42° 39′ 20.3″,9.43,,911,A6IV,"δ Sct variable, *V*max = 9.27m, *V*min = 9.59m, *P* = 0.0671792 d"
