Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Mon,α,26,,61935,37447,07h 41m 14.88s,−09° 33′ 03.9″,3.94,0.71,144,K0III,
γ Mon,γ,5,,43232,29651,06h 14m 51.34s,−06° 16′ 29.0″,3.99,-2.49,644,K3III,
δ Mon,δ,22,,55185,34769,07h 11m 51.86s,−00° 29′ 34.0″,4.15,-1.15,375,A2V,
ζ Mon,ζ,29,,67594,39863,08h 08m 35.66s,−02° 59′ 01.6″,4.36,-4.41,1852,G2Ib,
ε Mon A,ε,8,,44769,30419,06h 23m 46.10s,+04° 35′ 34.2″,4.39,1.41,128,A5IV,component of the ε Mon system
13 Mon,,13,,46300,31216,06h 32m 54.23s,+07° 19′ 58.7″,4.47,-3.86,1509,A0Ib,suspected variable
18 Mon,,18,,49293,32578,06h 47m 51.66s,+02° 24′ 43.9″,4.48,-0.81,373,K0III,
β Mon A,β,11,,45725,30867,06h 28m 49.07s,−07° 01′ 59.0″,4.6,-2.03,691,B3Ve,component of the β Mon system; Be star
S Mon,,15,S,47839,31978,06h 40m 58.66s,+09° 53′ 44.7″,4.66,-2.82,1022,O7V + O9.5V,"in NGC 2264; irregular variable, *V*max = 4.62m, *V*min = 4.68m"
28 Mon,,28,V645,65953,39211,08h 01m 13.30s,−01° 23′ 32.7″,4.68,-1.12,472,K4III,"FK Com variable, Δ*V* = 0.02m, *P* = 0.21 d"
17 Mon,,17,,49161,32533,06h 47m 19.84s,+08° 02′ 14.2″,4.77,-1.09,484,K4III,
20 Mon,,20,,54810,34622,07h 10m 13.68s,−04° 14′ 15.5″,4.91,0.85,211,K0III,
3 Mon,,3,,40967,28574,06h 01m 50.43s,−10° 35′ 52.6″,4.92,-2.47,979,B5III,suspected variable
27 Mon,,27,,65695,39079,07h 59m 44.18s,−03° 40′ 46.5″,4.93,0.51,250,K2III,
19 Mon,,19,V637,52918,33971,07h 02m 54.78s,−04° 14′ 21.3″,4.99,-2.68,1116,B1V,"β Cep variable, *V*max = 4.96m, *V*min = 5.01m, *P* = 0.19 d"
2 Mon,,2,,40536,28325,05h 59m 04.31s,−09° 33′ 29.3″,5.04,0.02,328,A6m,
HD 42690,,,,42690,29417,06h 11m 51.82s,−06° 33′ 01.0″,5.06,-2.78,1203,B2V,
10 Mon,,10,,45546,30772,06h 27m 57.57s,−04° 45′ 43.7″,5.06,-3.03,1353,B2V,
HD 49331,,,,49331,32558,06h 47m 37.22s,−08° 59′ 54.6″,5.08,-2.94,1309,M1II,"suspected variable, *V*max = 5.00m, *V*min = 5.11m"
HD 46487,,,,46487,31278,06h 33m 37.92s,−01° 13′ 12.4″,5.09,-0.99,536,B5Vn,
25 Mon,,25,,61064,37088,07h 37m 16.73s,−04° 06′ 39.7″,5.13,1.18,202,F6III,"suspected δ Sct variable, Δ*V* = 0.01m"
HR 2142,,,V696,41335,28744,06h 04m 13.50s,−06° 42′ 32.2″,5.19,-2.06,918,B2Vne+,unique variable
77 Ori,,-77,,45416,30717,06h 27m 13.76s,+00° 17′ 57.4″,5.19,-2.13,950,K1II,
HD 48217,,,,48217,32064,06h 41m 56.37s,−09° 10′ 02.7″,5.21,-0.11,378,M0III,
HD 52666,,,,52666,33878,07h 01m 56.39s,−05° 43′ 19.5″,5.21,-1.38,682,M2III,"suspected variable, *V*max = 5.15m, *V*min = 5.21m"
HD 46089,,,,46089,31119,06h 31m 48.29s,+11° 32′ 39.6″,5.22,1.16,211,A3V,
7 Mon,,7,,44112,30073,06h 19m 42.80s,−07° 49′ 22.5″,5.27,-1.74,823,B2.5V,
HD 43993,,,,43993,29996,06h 18m 50.58s,−09° 23′ 23.9″,5.36,-0.62,511,K1III,
HD 41692,,,,41692,28949,06h 06m 38.74s,−04° 11′ 37.8″,5.37,-3.71,2131,B5IV,
β Mon B,β,11,,45726,,06h 28m 49.50s,−07° 02′ 04.0″,5.4,,,,component of the β Mon system
HD 46229,,,,46229,31121,06h 31m 50.07s,−08° 09′ 29.5″,5.43,-1.7,869,K2III,
21 Mon,,21,V571,55057,34724,07h 11m 23.63s,−00° 18′ 06.9″,5.44,0.92,261,F2V,"δ Sct variable, *V*max = 5.43m, *V*min = 5.5m, *P* = 0.089 d"
HD 50747,,,,50747,33184,06h 54m 24.66s,−01° 07′ 37.1″,5.45,-0.42,484,A4IV,"γ Dor variable, Δ*V* = 0.001m, *P* = 0.21 d"
HD 62902,,,,62902,37901,07h 46m 02.16s,−06° 46′ 20.2″,5.49,1.17,238,K5III,
HD 47054,,,,47054,31583,06h 36m 35.33s,−05° 12′ 40.0″,5.52,-1.52,834,B8V,
78 Ori,,-78,,45433,30720,06h 27m 15.59s,−00° 16′ 33.6″,5.55,-1.26,749,K5III,
HD 45415,,,,45415,30728,06h 27m 20.48s,+02° 54′ 29.7″,5.55,0.79,292,G9III,
β Mon C,β,,,45727,,06h 28m 49.50s,−07° 02′ 04.0″,5.6,,,,component of the β Mon system
HD 46304,,,,46304,31167,06h 32m 23.13s,−05° 52′ 07.4″,5.6,2.42,141,F0Vnn+...,
HD 59311,,,,59311,36388,07h 29m 18.68s,−01° 54′ 19.1″,5.6,-2.89,1630,K5III,
HD 63752,,,,63752,38253,07h 50m 10.58s,−09° 11′ 00.4″,5.6,-2.57,1405,K3III,
HD 53208,,,,53208,34086,07h 04m 05.25s,−05° 19′ 26.3″,5.63,-2.38,1304,K3III,suspected variable
HD 49147,,,,49147,32474,06h 46m 39.02s,−10° 06′ 26.5″,5.66,-0.42,535,B9.5V,
HD 49434,,,,49434,32617,06h 48m 19.09s,−01° 19′ 07.8″,5.75,2.74,131,F1V,δ Sct and γ Dor variable
HD 49643,,,,49643,32698,06h 49m 16.41s,−02° 16′ 19.3″,5.75,-0.42,558,B8IIIn,
HD 50277,,,,50277,33024,06h 52m 49.49s,+08° 22′ 49.6″,5.75,1.77,204,F0Vn,
HD 59381,,,,59381,36396,07h 29m 22.11s,−10° 19′ 36.0″,5.75,-1.52,926,K5III,"slow irregular variable, *V*max = 5.74m, *V*min = 5.76m"
HD 64235,,,,64235,38474,07h 52m 47.87s,−05° 25′ 41.5″,5.76,2.7,133,F5IVs,"suspected variable, *V*max = 5.74m, *V*min = 5.77m"
HD 46769,,,,46769,31446,06h 35m 15.83s,+00° 53′ 24.8″,5.78,-3.94,2860,B8Ib,
HD 49933,,,,49933,32851,06h 50m 49.82s,−00° 32′ 25.5″,5.78,3.4,97,F2V,
HD 53510,,,,53510,34215,07h 05m 39.00s,+09° 11′ 09.0″,5.78,-0.4,562,M0III,"variable star, Δ*V* = 0.007m, *P* = 0.088 d"
HD 47964,,,,47964,31992,06h 41m 05.45s,+00° 29′ 43.2″,5.79,-1.96,1156,B8III,
HD 55775,,,,55775,34975,07h 14m 10.87s,−03° 54′ 06.3″,5.8,-0.57,613,K5III,
U Mon,,,U,59693,36521,07h 30m 47.47s,−09° 46′ 36.8″,5.82,,2248,K0Ibpvar,"RV Tau variable, *V*max = 5.45m, *V*min = 7.67m, *P* = 91.32 d"
HD 43157,,,,43157,29629,06h 14m 36.71s,−04° 34′ 06.5″,5.83,-0.56,617,B5V,
HD 57749,,,,57749,35749,07h 22m 25.40s,−05° 58′ 58.1″,5.83,-1.39,908,F3IV,"suspected δ Sct variable, *V*max = 5.80m, *V*min = 5.84m"
HD 59380,,,,59380,36399,07h 29m 25.61s,−07° 33′ 05.3″,5.86,3.64,91,F8V,
HD 45320,,,,45320,30666,06h 26m 39.59s,−01° 30′ 26.2″,5.87,1.64,229,A3Vn,
12 Mon,,12,,46241,31159,06h 32m 19.23s,+04° 51′ 21.6″,5.87,-0.12,517,K0V,"suspected variable, *V*max = 5.83m, *V*min = 5.87m"
HD 41547,,,,41547,28854,06h 05m 27.02s,−10° 14′ 33.6″,5.88,2.03,192,F4V:,γ Dor variable
HD 45067,,,,45067,30545,06h 25m 16.41s,−00° 56′ 43.3″,5.88,3.28,108,F8V,
HD 48434,,,,48434,32226,06h 43m 38.65s,+03° 55′ 57.1″,5.88,,2850,B0III,suspected β Cep variable
HD 51104,,,,51104,33372,06h 56m 25.84s,+09° 57′ 23.8″,5.9,-0.28,561,B8Vn,
HD 55832,,,,55832,34982,07h 14m 15.52s,−09° 56′ 51.1″,5.9,-3.38,2345,K3III,
HD 59984,,,,59984,36640,07h 32m 05.82s,−08° 52′ 51.3″,5.9,3.52,98,F5V,"suspected variable, *V*max = 5.5m, *V*min = 6.8m"
HD 45976,,,,45976,30986,06h 30m 11.28s,−10° 04′ 53.4″,5.92,-5.5,6269,K0,
16 Mon,,16,,48977,32463,06h 46m 32.42s,+08° 35′ 13.8″,5.92,-1.75,1116,B2.5V,"53 Per variable, Δ*V* = 0.01m, *P* = 1.94 d"
HD 46709,,,,46709,31448,06h 35m 17.60s,+09° 59′ 18.1″,5.93,-2.5,1583,K4III,
HD 52312,,,,52312,33729,07h 00m 23.76s,−08° 24′ 24.6″,5.95,-1.69,1098,B9III,
HD 56207,,,,56207,35127,07h 15m 43.22s,−10° 35′ 01.0″,5.95,0.5,401,K0,
HD 51814,,,,51814,33603,06h 58m 57.03s,+03° 36′ 08.5″,5.96,-1.31,926,G8III,
HD 52913,,,,52913,34002,07h 03m 17.93s,+09° 08′ 18.1″,5.96,1.46,259,A3Vs,
HD 58526,,,,58526,36055,07h 25m 51.20s,−05° 46′ 29.8″,5.98,-2.84,1895,G3Ib,
T Mon,,,T,44990,30541,06h 25m 13.00s,+07° 05′ 08.6″,5.98,,7762,K1Iabv SB,"classical Cepheid, *V*max = 5.58m, *V*min = 6.62m, *P* = 27.02 d"
HD 43319,,,,43319,29711,06h 15m 29.66s,−04° 54′ 52.7″,5.99,1.87,217,A5IVs,
HD 61749,,,,61749,37394,07h 40m 35.51s,−08° 11′ 07.3″,6.01,1.12,310,A3IV,
HD 55879,,,,55879,34999,07h 14m 28.26s,−10° 18′ 58.5″,6.02,-3.34,2433,B0III,
HD 50890,,,,50890,33243,06h 54m 58.92s,−02° 48′ 12.9″,6.03,-1.9,1259,G6III:,
Plaskett's star,,,V640,47129,31646,06h 37m 24.04s,+06° 08′ 07.4″,6.05,-5.49,6618,O8I + O7.5III,"one of the most massive spectroscopic binaries known; unique variable, *V*
max = 6.04m, *V*min = 6.08m"
HD 46178,,,,46178,31168,06h 32m 23.27s,+11° 40′ 25.0″,6.08,-0.96,834,K0III,
HD 43362,,,,43362,29705,06h 15m 26.16s,−09° 02′ 08.7″,6.09,-0.76,763,B9III,
HD 53929,,,,53929,34338,07h 07m 06.48s,+04° 54′ 38.2″,6.1,-0.59,709,B9.5III,
V721 Mon,,,V721,44816,30407,06h 23m 35.92s,−09° 52′ 29.1″,6.11,-2.88,2050,K5,slow irregular variable
HD 47420,,,,47420,31733,06h 38m 20.46s,−02° 32′ 38.1″,6.14,-0.63,738,K2,
1 Mon,,1,V474,40535,28321,05h 59m 01.07s,−09° 22′ 56.1″,6.15,1.22,316,F2IV,δ Sct variable
HD 42536,,,V653,42536,29323,06h 11m 01.22s,−06° 45′ 15.1″,6.15,0.01,552,A0sp...,α2 CVn variable
HD 42278,,,,42278,29210,06h 09m 36.21s,−05° 42′ 41.2″,6.16,2.23,199,F3IVw,
HD 45321,,,,45321,30660,06h 26m 34.45s,−04° 35′ 50.6″,6.16,-1.69,1212,B2.5V,
HD 45512,,,,45512,30804,06h 28m 18.80s,+10° 18′ 14.4″,6.16,1.74,249,K2III-IV,
HR 2517,,,V715,49567,32682,06h 49m 03.66s,+01° 00′ 07.5″,6.16,-2.75,1976,B3II-III,53 Per variable
HD 63894,,,,63894,38307,07h 50m 55.24s,−11° 07′ 42.7″,6.16,0.66,411,K0,
HD 45724,,,,45724,30906,06h 29m 14.81s,+02° 38′ 46.6″,6.17,-0.91,851,M1,suspected variable
HD 45995,,,,45995,31066,06h 31m 09.56s,+11° 15′ 05.0″,6.17,-4.98,5525,B2V:nne,suspected variable
HD 47220,,,,47220,31672,06h 37m 40.35s,+02° 42′ 15.4″,6.17,0.35,475,K1III,
V638 Mon,,,V638,42657,29401,06h 11m 43.72s,−04° 39′ 55.6″,6.18,-0.11,591,B9MNp...,"α2 CVn variable, *V*max = 6.16m, *V*min = 6.18m, *P* = 0.72 d"
HD 48348,,,,48348,32177,06h 43m 06.61s,+03° 02′ 01.8″,6.18,-0.84,827,K0,
HD 47886,,,,47886,32012,06h 41m 17.22s,+11° 00′ 11.4″,6.19,-3.27,2547,M1III,semiregular variable
HD 50820,,,,50820,33210,06h 54m 42.04s,−01° 45′ 23.3″,6.2,-4.54,4592,B3IVe+...,"suspected variable, *V*max = 6.16m, *V*min = 6.28m"
HD 52611,,,,52611,33873,07h 01m 52.91s,−01° 20′ 44.8″,6.2,0.63,424,K0,
V731 Mon,,,V731,47240,31697,06h 37m 52.70s,+04° 57′ 24.0″,6.2,,4803,B1Ib,α Cyg variable
HD 44037,,,,44037,30028,06h 19m 07.94s,−08° 35′ 09.7″,6.22,0.78,399,B9V,
V689 Mon,,,V689,47432,31766,06h 38m 38.19s,+01° 36′ 48.7″,6.23,-3.86,3396,O9.5II,"α Cyg variable, *V*max = 6.19m, *V*min = 6.26m, *P* = 3.55 d"
HD 54662,,,,54662,34536,07h 09m 20.25s,−10° 20′ 47.7″,6.23,-5.03,5821,O7III,
HD 57708,,,,57708,35737,07h 22m 18.59s,−02° 58′ 45.0″,6.23,-0.06,591,F5,
HD 44783,,,,44783,30448,06h 24m 02.29s,+08° 53′ 06.1″,6.24,-0.82,842,B8Vn,
HD 59669,,,,59669,36526,07h 30m 51.14s,−05° 13′ 35.3″,6.24,-5.8,8359,K0,
HD 51693,,,,51693,33584,06h 58m 38.93s,+07° 37′ 20.5″,6.25,1.93,238,A3V,
HD 67159,,,,67159,39675,08h 06m 27.42s,−09° 14′ 40.1″,6.25,-0.68,793,B9V,
HD 60853,,,,60853,37000,07h 36m 16.67s,−08° 18′ 40.7″,6.27,-0.13,620,K2,"slow irregular variable, *V*max = 6.26m, *V*min = 6.29m"
HD 50931,,,,50931,33297,06h 55m 34.63s,+08° 19′ 27.4″,6.28,1.22,335,A0V,"variable star, Δ*V* = 0.005m, *P* = 0.49 d"
HD 56614,,,,56614,35301,07h 17m 31.68s,−06° 40′ 48.1″,6.29,-2.28,1689,K2,suspected variable
HD 52265,,,,52265,33719,07h 00m 18.10s,−05° 22′ 02.5″,6.3,4.05,91,G0V,has two planets (b and c)
HD 44333,,,,44333,30217,06h 21m 25.78s,+02° 16′ 06.9″,6.3,1.25,334,A4.5V,"Algol variable, *V*max = 6.25m, *V*min = 6.33m"
HD 50282,,,,50282,32990,06h 52m 22.87s,−05° 18′ 58.5″,6.3,0.48,477,K0,
HD 50371,,,,50371,33082,06h 53m 22.40s,+10° 59′ 49.0″,6.3,0.77,416,K0III,
HD 49976,,,V592,49976,32838,06h 50m 42.31s,−08° 02′ 27.6″,6.31,1.29,330,A2p SrCrEu,"α2 CVn variable, *V*max = 6.16m, *V*min = 6.32m, *P* = 2.98 d"
HD 51424,,,,51424,33420,06h 57m 00.10s,−08° 10′ 45.4″,6.31,-0.93,913,A2V+...,
HD 67725,,,,67725,39898,08h 08m 56.85s,−11° 20′ 22.7″,6.31,-0.44,729,A0Vn,
HD 45168,,,,45168,30595,06h 25m 47.14s,−03° 53′ 20.5″,6.33,-1.18,1035,G9III,
HD 51892,,,,51892,33644,06h 59m 20.18s,+07° 19′ 01.2″,6.34,-1.6,1264,B7III,
HD 66242,,,,66242,39326,08h 02m 25.97s,−06° 20′ 13.6″,6.34,1.15,355,G0III,
HD 45380,,,,45380,30675,06h 26m 44.85s,−07° 30′ 42.9″,6.35,0.86,409,A0Vn,"variable star, Δ*V* = 0.010m, *P* = 21.97 d"
HD 48099,,,,48099,32067,06h 41m 59.23s,+06° 20′ 43.5″,6.36,,2750,O5.5V((f)) + O9V,
HD 50062,,,,50062,32931,06h 51m 39.37s,+03° 02′ 31.4″,6.37,1.57,298,A2Vs,
HD 45090,,,,45090,30602,06h 25m 52.33s,+11° 07′ 33.3″,6.39,0.67,454,A0,
HD 47156,,,,47156,31662,06h 37m 36.92s,+10° 51′ 12.1″,6.39,-0.77,883,K0,
HD 50700,,,,50700,33154,06h 54m 08.60s,−05° 51′ 07.9″,6.39,0.21,562,A6Vn,
HD 45239,,,,45239,30608,06h 25m 58.83s,−07° 53′ 41.9″,6.4,0.24,556,A4V,
HD 66950,,,,66950,39625,08h 05m 49.64s,−00° 34′ 24.0″,6.4,-0.3,712,K0,suspected variable
HD 44700,,,,44700,30382,06h 23m 18.49s,+03° 45′ 52.2″,6.41,-1.23,1098,B3V,"variable star, Δ*V* = 0.010m, *P* = 31.10 d"
V695 Mon,,,V695,65875,39172,08h 00m 44.14s,−02° 52′ 54.9″,6.42,-3.48,3105,B2.5Ve,"γ Cas variable, *V*max = 6.42m, *V*min = 6.53m"
HD 45215,,,,45215,30627,06h 26m 09.60s,−03° 30′ 57.1″,6.42,0.34,536,G5,
24 Mon,,24,,56003,35080,07h 15m 19.41s,−00° 09′ 40.7″,6.42,0.36,530,G5III,
HD 57682,,,,57682,35707,07h 22m 02.05s,−08° 58′ 45.9″,6.42,-4.03,4009,O9V,"suspected variable, *V*max = 6.34m, *V*min = 6.45m"
14 Mon,,14,,46642,31385,06h 34m 46.33s,+07° 34′ 21.0″,6.44,1.21,362,A0Vs,suspected variable
HD 53240,,,,53240,34066,07h 03m 57.46s,−10° 07′ 25.6″,6.44,-1.52,1273,B9IIIn,
HD 65938,,,,65938,39198,08h 01m 03.45s,−06° 25′ 08.7″,6.45,2.33,217,G5,
HD 42132,,,,42132,29140,06h 08m 47.72s,−06° 49′ 17.0″,6.46,1.23,363,G5,
HD 45563,,,,45563,30798,06h 28m 16.77s,+01° 54′ 45.8″,6.48,0.6,489,B9V,
HD 52382,,,,52382,33754,07h 00m 39.34s,−09° 12′ 10.7″,6.49,-3.28,2937,B1Ib,"suspected variable, *V*max = 6.47m, *V*min = 6.5m"
9 Mon,,9,,45418,30700,06h 27m 00.88s,−04° 21′ 20.3″,6.5,-1.1,1079,B4V,
V569 Mon,,,V569,53755,34234,07h 05m 49.64s,−10° 39′ 36.3″,6.5,-3.68,3543,B0.5IVn,"β Cep variable, *V*max = 6.42m, *V*min = 6.53m, *P* = 0.27 d"
IM Mon,,,IM,44701,30351,06h 23m 01.47s,−03° 16′ 37.1″,6.54,,991,B5V,β Lyr variable
