Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Mus,α,,109668,61585,12h 37m 11.08s,−69° 08′ 07.9″,2.69,-2.17,306,B2IV-V,"β Cep variable, *V*max = 2.68m, *V*min = 2.73m, *P* = 0.0903 d; Member of 
the Lower Centaurus Crux subgroup of the Scorpius–Centaurus Association.[1]"
β Mus,β,,110879,62322,12h 46m 16.87s,−68° 06′ 29.1″,3.04,-1.86,311,B2V + B3V,"Binary star, Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[1]"
δ Mus,δ,,112985,63613,13h 02m 15.78s,−71° 32′ 55.7″,3.61,1.39,90.8,K2III,Binary star
λ Mus,λ,,102249,57363,11h 45m 36.57s,−66° 43′ 43.8″,3.68,0.66,128,A7III,
γ Mus,γ,,109026,61199,12h 32m 28.11s,−72° 07′ 58.7″,3.84,-1.14,324,B5V,"53 Persei variable, *V*max = 3.84m, *V*min = 3.86m, *P* = 2.72926 d"
ε Mus,ε,,106849,59929,12h 17m 34.64s,−67° 57′ 38.4″,4.06,-0.77,302,M5III,"semiregular variable, *V*max = 3.99m, *V*min = 4.31m, *P* = 40 d"
μ Mus,μ,,102584,57581,11h 48m 14.49s,−66° 48′ 53.5″,4.75,-0.86,432,K4III,"slow irregular variable, *V*max = 4.71m, *V*min = 4.76m"
η Mus,η,,114911,64661,13h 15m 15.00s,−67° 53′ 40.4″,4.79,-0.68,405,B8V,"Algol variable, *V*max = 4.76m, *V*min = 4.81m, *P* = 2.3963 d; probable 
member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[1]"
HD 115211,,,115211,64820,13h 17m 13.03s,−66° 47′ 00.3″,4.86,-2.94,1185,K2Ib/II,suspected variable
HD 103079,,,103079,57851,11h 51m 51.27s,−65° 12′ 21.2″,4.89,-0.19,338,B4V,Binary star
HD 102839,,,102839,57696,11h 49m 56.63s,−70° 13′ 32.8″,4.98,-3.27,1455,G5Ib,
GT Mus,,GT,101379,56862,11h 39m 29.63s,−65° 23′ 51.9″,5.01,-1.17,561,G2III + A,"Algol and RS CVn variable, *V*max = 4.96m, *V*min = 5.23m, *P* = 2.75459 d"
ι1 Mus,ι1,,116244,65468,13h 25m 07.36s,−74° 53′ 15.0″,5.04,0.85,225,K0III,
HD 99104,,,99104,55597,11h 23m 21.43s,−64° 57′ 17.0″,5.09,-0.73,475,B5V,Double system with HD 99103.
ζ2 Mus,ζ2,,107566,60320,12h 22m 07.39s,−67° 31′ 19.5″,5.15,0.09,336,Am,"Double system, Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[1]"
λ Cha,(λ),,105340,59151,12h 07m 50.09s,−75° 22′ 01.4″,5.17,-0.47,438,K2II/III,
HD 104878,,,104878,58884,12h 04m 38.95s,−68° 19′ 44.0″,5.34,0.25,339,A0V,"Member of the Lower Centaurus Crux subgroup of the Scorpius–Centaurus 
Association.[1]"
