Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Per,α,33,,20902,15863,03h 24m 19.35s,+49° 51′ 40.5″,1.79,-4.5,592,F5Ib,"Mirfak, Mirphak, Marphak, Markfak, Algenib, Alcheb"
Algol,β,26,,19356,14576,03h 08m 10.13s,+40° 57′ 20.3″,2.09,-0.18,93,B8V,"El Ghoul, Gorgona, Gorgonea Prima, Demon Star, Ghoul Star; prototype of Algol 
variables"
ζ Per,ζ,44,,24398,18246,03h 54m 07.92s,+31° 53′ 01.2″,2.84,-4.55,982,B1Ib,"Atik, Menkhib"
ε Per,ε,45,,24760,18532,03h 57m 51.22s,+40° 00′ 37.0″,2.9,-3.19,538,B0.5V,β Cep variable
γ Per A,γ,23,,18925,14328,03h 04m 47.79s,+53° 30′ 23.2″,2.91,-1.57,256,G8III+...,
γ Per B,γ,23,,18926,,03h 04m 44.10s,+53° 31′ 10.0″,3,,,,
δ Per,δ,39,,22928,17358,03h 42m 55.48s,+47° 47′ 15.6″,3.01,-3.04,528,B5III SB,γ Cas variable
ρ Per,ρ,25,,19058,14354,03h 05m 10.50s,+38° 50′ 25.9″,3.32,-1.67,325,M3IIIvar,Gorgonea Tertia
η Per,η,15,,17506,13268,02h 50m 41.79s,+55° 53′ 43.9″,3.77,-4.28,1331,K3Ib comp SB,Miram
ν Per,ν,41,,23230,17529,03h 45m 11.64s,+42° 34′ 42.8″,3.77,-2.39,556,F5IIvar,
κ Per,κ,27,,19476,14668,03h 09m 29.63s,+44° 51′ 28.4″,3.79,1.11,112,K0III,Misam
ο Per,ο,38,,23180,17448,03h 44m 19.13s,+32° 17′ 17.8″,3.84,-4.44,1475,B1III,"Atik, Ati, Al Atik, Atiks"
τ Per A,τ,18,,17878,13531,02h 54m 15.46s,+52° 45′ 45.0″,3.93,-0.48,248,G4III...,Algol variable
48 Per,c,48,MX,25940,19343,04h 08m 39.67s,+47° 42′ 45.3″,3.96,-2.19,553,B3Ve,MX Per; γ Cas variable
