Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
η Psc,η,99,,,9270,7097,01h 31m 28.99s,+15° 20′ 45.0″,3.62,-1.16,294,G8III,"Alpherg, Kullat-Nunu; variable"
γ Psc,γ,6,21,,219615,114971,23h 17m 09.49s,+03° 16′ 56.1″,3.7,0.68,131,G7III,Simmah
ω Psc,ω,28,56,,224617,118268,23h 59m 18.60s,+06° 51′ 48.9″,4.03,1.47,106,F4IV,"Dzaneb al Samkat, Cauda Piscis[1]"
ι Psc,ι,17,39,,222368,116771,23h 39m 56.82s,+05° 37′ 38.5″,4.13,3.43,45,F7V,
ο Psc,ο,110,127,,10761,8198,01h 45m 23.59s,+09° 09′ 27.5″,4.26,-0.23,258,K0III,Torcularis Septentrionalis
ε Psc,ε,71,103,,6186,4906,01h 02m 56.66s,+07° 53′ 24.3″,4.27,0.44,190,K0III,"Kaht, 悠翔星 (Haruto-boshi)"
θ Psc,θ,10,29,,220954,115830,23h 27m 58.17s,+06° 22′ 44.8″,4.27,0.83,159,K1III,
α Psc A,α,113,,,12446,9487,02h 02m 02.80s,+02° 45′ 49.5″,4.33,,139,A0p,"Alrescha, Al Rescha, Alrischa, Alrisha, Rescha, El Rischa, Al Richa, 
Kaitain, Okda; α² CVn variable"
30 Psc,,30,59,YY,224935,154,00h 01m 57.59s,−06° 00′ 50.3″,4.37,-1.15,415,M3III,YY Psc
δ Psc,δ,63,97,,4656,3786,00h 48m 40.90s,+07° 35′ 06.7″,4.44,-0.42,305,K5III,Linteum
ν Psc,ν,106,125,,10380,7884,01h 41m 25.91s,+05° 29′ 15.4″,4.45,-0.81,368,K3III,
β Psc,β,4,14,,217891,113889,23h 03m 52.61s,+03° 49′ 12.3″,4.48,-1.42,492,B6Ve,"Fum al Samakah, Samaka"
λ Psc,λ,18,41,,222603,116928,23h 42m 02.88s,+01° 46′ 49.5″,4.49,2.04,101,A7V,
τ Psc,τ,83,,,7106,5586,01h 11m 39.59s,+30° 05′ 23.0″,4.51,1.03,162,K0III-IV...,Anunitum
33 Psc,,33,63,BC,28,443,00h 05m 20.15s,−05° 42′ 28.2″,4.61,1.63,128,K1III,BC Psc; RS CVn variable
ξ Psc,ξ,111,132,,11559,8833,01h 53m 33.34s,+03° 11′ 14.9″,4.61,0.78,191,K0III SB,
χ Psc,χ,84,,,7087,5571,01h 11m 27.19s,+21° 02′ 04.8″,4.66,-0.99,439,K0III,
φ Psc,φ,85,,,7318,5742,01h 13m 44.94s,+24° 35′ 01.6″,4.67,-0.65,377,K0III...,
υ Psc,υ,90,,,7964,6193,01h 19m 27.98s,+27° 15′ 50.7″,4.74,-0.16,311,A3V,
μ Psc,μ,98,120,,9138,7007,01h 30m 10.94s,+06° 08′ 38.2″,4.84,-0.38,360,K4III,
27 Psc,,27,55,,224533,118209,23h 58m 40.41s,−03° 33′ 20.9″,4.88,0.7,224,G9III,
κ Psc,κ,8,27,,220825,115738,23h 26m 55.91s,+01° 15′ 21.0″,4.95,1.47,162,A0p,α² CVn variable
19 Psc,,19,42,TX,223075,117245,23h 46m 23.54s,+03° 29′ 12.7″,4.95,-1.89,760,C5II,TX Psc; carbon star
47 Psc,,47,,TV,2411,2219,00h 28m 02.84s,+17° 53′ 35.1″,5.01,-0.88,490,M3IIIvar,TV Psc; semiregular variable
7 Psc,b,7,22,,220009,115227,23h 20m 20.54s,+05° 22′ 53.2″,5.05,-0.05,341,K2III,
64 Psc,,64,,,4676,3810,00h 48m 58.71s,+16° 56′ 28.1″,5.07,3.18,78,F8V...,
29 Psc,,29,58,,224926,145,00h 01m 49.44s,−03° 01′ 38.9″,5.13,-0.36,409,B7III-IV,
89 Psc,f,89,115,,7804,6061,01h 17m 47.98s,+03° 36′ 52.3″,5.13,0.99,220,A3V,
82 Psc,g,82,,,7034,5544,01h 11m 06.77s,+31° 25′ 29.2″,5.15,-1.03,560,F0V,
ζ Psc A,ζ,86,,,7344,5737,01h 13m 43.80s,+07° 34′ 31.8″,5.21,1.93,148,A7IV,Revati of Vedic astrology
α Psc B,α,113,137,,12447,,02h 02m 02.80s,+02° 45′ 49.0″,5.23,,,A3m,
91 Psc,l,91,,,8126,6315,01h 21m 07.35s,+28° 44′ 18.2″,5.23,0.12,344,K5III,
107 Psc,,107,,,10476,7981,01h 42m 29.95s,+20° 16′ 12.5″,5.24,5.87,24,K1V,nearby
ψ¹ Psc,ψ¹,74,,,6456,5131,01h 05m 40.93s,+21° 28′ 23.6″,5.33,1.01,238,A1Vn,
ρ Psc,ρ,93,,,8723,6706,01h 26m 15.28s,+19° 10′ 20.4″,5.35,3.27,85,F2V:var,
55 Psc,,55,,,3690,3138,00h 39m 55.55s,+21° 26′ 18.8″,5.36,-0.14,411,F3V...,
57 Psc,,57,,EL,4408,3632,00h 46m 32.98s,+15° 28′ 32.2″,5.36,-0.92,587,M4III,EL Psc
41 Psc,d,41,81,,1635,1645,00h 20m 35.86s,+08° 11′ 24.9″,5.38,-0.04,395,K3III,
52 Psc,,52,,,2910,2568,00h 32m 35.40s,+20° 17′ 40.0″,5.38,0.9,257,K0III,
5 Psc,A,5,17,,218527,114273,23h 08m 40.84s,+02° 07′ 39.4″,5.42,0.75,280,G8IV,
2 Psc,,2,9,,217264,113521,22h 59m 27.40s,+00° 57′ 47.1″,5.43,0.76,280,K1III:,
