Name,B,F,G.,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
ζ Pup,ζ,,248,,66811,39429,08h 03m 35.07s,−40° 00′ 11.5″,2.21,-5.95,1399,O5Iaf,"Naos, Suhail Hadar, Muliphein; α Cyg variable"
π Pup,π,,82,,56855,35264,07h 17m 08.56s,−37° 05′ 51.0″,2.71,-4.92,1094,K3Ib,
ρ Pup,ρ,15,253,,67523,39757,08h 07m 32.70s,−24° 18′ 16.0″,2.83,1.41,63,F2mF5IIp,Tureis; δ Sct variable
τ Pup,τ,,39,,50310,32768,06h 49m 56.14s,−50° 36′ 51.8″,2.94,-0.8,183,K0III...,
ν Pup,ν,,20,,47670,31685,06h 37m 45.67s,−43° 11′ 45.3″,3.17,-2.39,423,B8III SB,
σ Pup,σ,,99,,59717,36377,07h 29m 13.88s,−43° 18′ 06.8″,3.25,-0.51,184,K5III SB,Hadir[*citation needed*]
ξ Pup,ξ,7,191,,63700,38170,07h 49m 17.66s,−24° 51′ 35.2″,3.34,-4.74,1347,G6Ia,"Asmidiske, Azmidiske"
c Pup,c,,175,,63032,37819,07h 45m 15.30s,−37° 58′ 07.0″,3.62,-4.52,1387,K4III,
HD 64440,a,,213,,64440,38414,07h 52m 13.05s,−40° 34′ 32.9″,3.71,-1.41,345,G5III...,
3 Pup,l,3,157,,62623,37677,07h 43m 48.47s,−28° 57′ 17.4″,3.94,-5.3,2280,A2Iab,
HD 63922,P,,199,,63922,38164,07h 49m 14.30s,−46° 22′ 23.6″,4.1,-4.8,1964,B0III,
11 Pup,j,11,222,,65228,38835,07h 56m 51.56s,−22° 52′ 48.5″,4.2,-1.74,502,F7/F8II,
HD 64760,J,,218,,64760,38518,07h 53m 18.16s,−48° 06′ 10.6″,4.22,-4.65,1940,B0.5Ib,
ο Pup,ο,,183,,63462,38070,07h 48m 05.17s,−25° 56′ 13.8″,4.4,-5,2470,B1IV:nne,Be star
16 Pup,,16,256,,67797,39906,08h 09m 01.64s,−19° 14′ 42.0″,4.4,-1.41,472,B5V,
L2 Puppis,L2,,73,,56096,34922,07h 13m 32.23s,−44° 38′ 25.9″,4.42,0.5,198,M5e,
HD 69142,h2,,279,,69142,40326,08h 14m 02.89s,−40° 20′ 51.8″,4.42,-0.47,310,K1II/III,
NS Pup,h1,,267,NS,68553,40091,08h 11m 21.50s,−39° 37′ 06.8″,4.44,-4.36,1874,K4III,
HD 70060,q,,289,,70060,40706,08h 18m 33.39s,−36° 39′ 34.3″,4.44,2.16,93,A4m...,
HD 60532,,,108,,60532,36795,07h 34m 03.18s,−22° 17′ 45.8″,4.46,2.41,84,F6V,has two planets (b & c)
V Pup,,,233,V,65818,38957,07h 58m 14.44s,−49° 14′ 41.7″,4.47,-3.29,1164,B1Vp + B2,
QW Pup,I,,71,QW,55892,34834,07h 12m 33.74s,−46° 45′ 34.4″,4.49,2.86,69,F0IV,γ Dor variable
QZ Pup,b,,214,QZ,64503,38455,07h 52m 38.65s,−38° 51′ 46.2″,4.49,-1.98,640,B2V,
k1 Pup,k1,,133,,61555,37229,07h 38m 49.88s,−26° 48′ 14.0″,4.5,-1.92,454,B6V,"Markab, Markeb; component of the k Puppis system"
HD 61330,f,,127,,61330,37096,07h 37m 22.12s,−34° 58′ 06.9″,4.53,-0.67,358,B8IV/V,
HD 65810,,,232,,65810,39095,07h 59m 52.06s,−18° 23′ 56.9″,4.61,0.29,238,A1V,
k2 Pup,k2,,134,,61556,,07h 38m 49.80s,−26° 48′ 13.0″,4.62,-1.81,462,B5IV,component of the k Puppis system
1 Pup,,1,155,,62576,37648,07h 43m 32.40s,−28° 24′ 39.4″,4.63,-2.75,976,K5III,
HD 64740,,,216,,64740,38500,07h 53m 03.64s,−49° 36′ 47.1″,4.63,-2.09,720,B1.5Vp,
NV Pup,v1,,83,NV,57150,35363,07h 18m 18.40s,−36° 44′ 02.3″,4.65,-2.42,847,B2V+...,γ Cas variable
HD 59890,,,100,,59890,36514,07h 30m 42.61s,−30° 57′ 44.2″,4.65,-4,1753,G2Ib...,
HD 60863,p,,119,,60863,36917,07h 35m 22.94s,−28° 22′ 09.4″,4.65,0.46,225,B8V,
PU Pup,m,,128,,61429,37173,07h 38m 18.05s,−25° 21′ 53.2″,4.69,-1.45,551,B8IV,β Lyr variable
Q Pup,Q,,196,,63744,38089,07h 48m 20.25s,−47° 04′ 39.1″,4.69,0.48,227,K0III,
19 Pup,,19,263,,68290,40084,08h 11m 16.32s,−12° 55′ 37.3″,4.72,0.95,185,K0III,
HD 68601,,,268,,68601,40096,08h 11m 25.90s,−42° 59′ 14.2″,4.73,-6.04,4657,A7Ib,
HD 56456,,,78,,56456,35020,07h 14m 38.14s,−48° 16′ 18.9″,4.75,-0.43,354,B8/B9V,
HD 65456,χ,,225,,65456,38901,07h 57m 40.11s,−30° 20′ 04.5″,4.76,-3.47,1442,A7III,
MX Pup,r,,274,MX,68980,40274,08h 13m 29.52s,−35° 53′ 58.4″,4.78,-2.61,979,B2ne,γ Cas variable
KQ Pup,,,107,KQ,60414,36773,07h 33m 47.97s,−14° 31′ 26.0″,4.82,-5.25,3361,A4Ia,
A Pup,A,,67,,54893,34495,07h 08m 51.08s,−39° 39′ 20.4″,4.83,-1.98,751,B3IV/V,
HD 70555,w,,294,,70555,40945,08h 21m 23.03s,−33° 03′ 15.7″,4.83,-2.22,838,K2/K3III,
HD 61831,d1,,143,,61831,37297,07h 39m 27.35s,−38° 18′ 29.0″,4.84,-1.39,574,B3V,
HD 59612,,,97,,59612,36431,07h 29m 51.41s,−23° 01′ 27.5″,4.85,-5.13,3228,A6Ib/II,
OU Pup,L1,,72,OU,56022,34899,07h 13m 13.37s,−45° 10′ 57.1″,4.87,1.14,181,Ap,α2 CVn variable
H Pup,H,,61,,53811,34059,07h 03m 53.66s,−49° 35′ 03.3″,4.92,1.07,192,A4IV,
HD 51799,,,47,,51799,33357,06h 56m 15.99s,−48° 43′ 16.2″,4.94,-2.62,1062,M1III,
HD 61772,,,140,,61772,37379,07h 40m 23.21s,−15° 15′ 49.9″,4.98,-1.6,676,K3III,
HD 50235,,,37,,50235,32855,06h 50m 52.35s,−34° 22′ 02.4″,4.99,-2.23,906,K2/K3III,
20 Pup,,20,269,,68752,40259,08h 13m 19.98s,−15° 47′ 17.6″,4.99,-2.89,1230,G5Ib/II,
212 G. Pup,,,212,,64379,38423,07h 52m 15.80s,−34° 42′ 21.7″,5.01,3.73,59,F3/F5V,
80 G. Pup,,,80,,56779,35226,07h 16m 49.42s,−36° 35′ 33.5″,5.03,-2.31,959,B3V,
4 Pup,,4,167,,62952,37891,07h 45m 56.88s,−14° 33′ 49.8″,5.03,0.73,236,F2V,
159 G. Pup,,,159,,62644,37606,07h 42m 57.16s,−45° 10′ 18.4″,5.04,3.13,79,G5IV,
Y Pup,,,21,Y,47973,31765,06h 38m 37.63s,−48° 13′ 12.8″,5.05,-0.58,436,G8III,
HD 60584,n,,111,,60584,36817,07h 34m 18.67s,−23° 28′ 25.2″,5.06,2.74,95,F6V,
HD 52092,t,,49,,52092,33558,06h 58m 25.11s,−34° 06′ 42.2″,5.07,-1.77,760,B4IV/V,
185 G. Pup,,,185,,63465,38010,07h 47m 25.00s,−38° 30′ 40.2″,5.07,-2.83,1240,B2IV/V,
