Name,B,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Ret,α,,27256,19780,04h 14m 25.43s,−62° 28′ 26.3″,3.33,-0.17,163,G7III,double star
β Ret,β,,23817,17440,03h 44m 11.55s,−64° 48′ 25.5″,3.84,1.41,100,K0IV SB,"triple star system, spectroscopic binary"
ε Ret,ε,,27442,19921,04h 16m 29.08s,−59° 18′ 06.3″,4.44,3.14,59,K2IV,double star; component A has a planet (b)
γ Ret,γ,,25705,18744,04h 00m 53.81s,−62° 09′ 33.7″,4.48,-1.41,490,M4III,"semiregular variable, *V*max = 4.42m, *V*min = 4.64m, *P* = 25 d"
δ Ret,δ,,25422,18597,03h 58m 44.74s,−61° 24′ 00.5″,4.56,-1.5,530,M2III,"irregular variable, *V*max = 4.54m, *V*min = 4.59m"
κ Ret,κ,,22001,16245,03h 29m 22.19s,−62° 56′ 18.4″,4.71,3.05,70,F5IV-V,binary star
ι Ret,ι,,25728,18772,04h 01m 18.07s,−61° 04′ 44.6″,4.97,-0.06,331,K4III,
ζ2 Ret,ζ2,,20807,15371,03h 18m 11.14s,−62° 30′ 28.6″,5.24,4.83,39,G1V,component of the ζ Ret system
η Ret,η,,28093,20384,04h 21m 53.22s,−63° 23′ 12.5″,5.24,-0.09,380,G7III,
HD 27304,,,27304,19805,04h 14m 48.55s,−62° 11′ 31.4″,5.45,0.88,267,K0III,double star
ζ1 Ret,ζ1,,20766,15330,03h 17m 44.47s,−62° 34′ 36.8″,5.53,5.11,40,G2V,component of the ζ Ret system; suspected variable
HD 28732,,,28732,20825,04h 27m 46.04s,−62° 31′ 16.4″,5.74,0.72,329,K0III,double star
HD 29399,,,29399,21253,04h 33m 34.10s,−62° 49′ 25.1″,5.79,2.48,150,K1III,binary star; suspected variable
HD 22252,,,22252,16368,03h 30m 51.68s,−66° 29′ 23.0″,5.81,-1.27,851,B8V,
θ Ret,θ,,27657,20020,04h 17m 40.27s,−63° 15′ 19.8″,5.88,0.12,462,B9III-IV,"double star; suspected variable, *V*max = 5.86m, *V*min = 5.90m"
HD 28413,,,28413,20619,04h 25m 05.36s,−61° 14′ 17.7″,5.94,-0.53,642,K4/K5III,suspected variable
HD 20888,,,20888,15353,03h 17m 58.99s,−66° 55′ 36.8″,6.03,2.21,189,A3V,
HD 25346,,,25346,18592,03h 58m 42.87s,−57° 06′ 08.6″,6.05,2.1,201,F2IV,
HD 25170,,,25170,18401,03h 56m 03.90s,−63° 27′ 49.8″,6.14,0.86,371,K1/K2III,
HD 23697,,,23697,17464,03h 44m 33.86s,−54° 16′ 27.1″,6.29,1.83,254,K1III,double star
TT Ret,,TT,27463,19917,04h 16m 20.92s,−60° 56′ 54.8″,6.34,0.96,388,Ap EuCr(Sr),"double star; α2 CVn variable, , *P* = 2.83507 d"
HD 26491,,,26491,19233,04h 07m 21.29s,−64° 13′ 23.2″,6.37,4.54,76,G3V,
HD 22382,,,22382,16531,03h 32m 51.46s,−61° 01′ 01.2″,6.42,0.82,429,K0III,
HD 23079,,,23079,17096,03h 39m 43.10s,−52° 54′ 57.0″,7.1,4.4,113,F9.5V,has a planet (b)
HD 25171,,,25171,18387,03h 55m 49s,−65° 11′ 12″,7.79,,179,F8V,has a planet (b)
HD 21693,,,21693,16085,03h 27m 12s,−58° 19′ 25″,7.94,,105,G9IV,has two planets (b & c)
HD 23127,,,23127,17054,03h 39m 23.64s,−60° 04′ 40.2″,8.56,3.81,291,G2V,has a planet (b)
R Ret,,"R, S",29383,21252,04h 33m 32.83s,−63° 01′ 45.0″,9.23,-1.71,5015,M4e-M7.5e,"Mira variable, *V*max = 6.35m, *V*min = 14.2m, *P* = 281 d"
HD 27894,,,27894,20277,04h 20m 47.05s,−59° 24′ 39.0″,9.42,6.28,138,K2V,has a planet (b)
WASP-100,,,,,04h 35m 50.0s,−64° 01′ 37″,10.8,,,F2,has a transiting planet (b)
WASP-119,,,,,03h 43m 46.0s,−65° 11′ 38″,12.2,,1086,G5,has a transiting planet (b)
NGC 1313 X-2,,,,,03h 18m 22.00s,−66° 36′ 04.3″,23.6,,12800000,,ultraluminous X-ray source
WISE 0359-5401,,,,,03h 59m 34.06s,−66° 36′ 04.3″,,,19.2,Y0,brown dwarf
WISE 0350-5658,,,,,03h 50m 00.32s,−54° 01′ 54.6″,,,12.1,Y1,brown dwarf
"Table legend: 
[TABLE]",,,,,,,,,,,
