Name,B,F,G.[1],Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
α Ser,α,24,21 Cap,,140573,77070,15h 44m 16.00s,+06° 25′ 31.9″,2.63,0.87,73,K2III,"Unukalhai, Unukalhay, Unuk al Hay, Unuk Elhai, Unuk, Cor Serpentis"
η Ser,η,58,34 Cau,,168723,89962,18h 21m 18.92s,−02° 53′ 49.6″,3.23,1.84,62,K0III-IV,"Donghai, Tung Hae[2]"
μ Ser,μ,32,27 Cap,,141513,77516,15h 49m 37.27s,−03° 25′ 48.5″,3.54,0.14,156,A0V,Tiānrǔ (天乳)[3]
ξ Ser,ξ,55,8 Cau,,159876,86263,17h 37m 35.23s,−15° 23′ 54.3″,3.54,0.99,105,F0IIIp,"Nanhai, Nan Hae[2]"
β Ser,β,28,,,141003,77233,15h 46m 11.21s,+15° 25′ 18.9″,3.65,0.29,153,A3V,Chow
ε Ser,ε,37,29 Cap,,141795,77622,15h 50m 48.89s,+04° 28′ 39.3″,3.71,2.04,70,A2m,"Ba, Pa,[2] component of the δ Ser system; quadruple star; Delta Scuti-type variable 
star"
δ Ser A,δ,13,,,138917,76276,15h 34m 48.19s,+10° 32′ 19.9″,3.8,-0.24,210,F0IV,"Qin, Tsin,[2] component of the δ Ser system; quadruple star; Delta 
Scuti-type variable star"
δ Ser B,δ,13,,,138918,,15h 34m 48.10s,+10° 32′ 21.0″,3.8,,,,
γ Ser,γ,41,,,142860,78072,15h 56m 26.99s,+15° 39′ 53.0″,3.85,3.62,36,F6V,"Zheng, Ching[2]"
κ Ser,κ,35,,,141477,77450,15h 48m 44.41s,+18° 08′ 30.4″,4.09,-1.05,348,M1III,
ο Ser,ο,56,11 Cau,,160613,86565,17h 41m 24.92s,−12° 52′ 30.6″,4.24,0.68,168,A2Va,Delta Scuti-type variable star
ν Ser,ν,53,1 Cau,,156928,84880,17h 20m 49.64s,−12° 50′ 48.8″,4.32,0.45,193,A0/A1V,
λ Ser,λ,27,25 Cap,,141004,77257,15h 46m 26.75s,+07° 21′ 11.7″,4.42,4.07,38,G0Vvar,
ι Ser,ι,21,,,140159,76852,15h 41m 33.09s,+19° 40′ 13.8″,4.51,0.66,192,A1V,
ζ Ser,ζ,57,17 Cau,,164259,88175,18h 00m 28.92s,−03° 41′ 24.6″,4.62,2.79,76,F3V,
θ1 Ser,θ1,63,71 Cau,,175638,92946,18h 56m 13.16s,+04° 12′ 12.7″,4.62,1.59,132,A5V,"Alya, Alga, Dzaneb al Haiyet, Cauda Serpentis[4]"
ρ Ser,ρ,38,,,141992,77661,15h 51m 15.94s,+20° 58′ 40.4″,4.74,-0.68,395,K5III,
π Ser,π,44,,,143894,78554,16h 02m 17.69s,+22° 48′ 15.8″,4.82,1.15,177,A3V,
σ Ser,σ,50,49 Cap,,147449,80179,16h 22m 04.44s,+01° 01′ 44.1″,4.82,2.64,89,F0V,
θ2 Ser,θ2,63,72 Cau,,175639,92951,18h 56m 14.61s,+04° 12′ 07.4″,4.98,1.77,143,A5Vn,
5 Ser,,5,9 Cap,MQ,136202,74975,15h 19m 18.58s,+01° 46′ 00.0″,5.04,3.08,81,F8III-IV,MQ Ser; BY Draconis variable
b Ser,b,36,30 Cap,,141851,77660,15h 51m 15.65s,−03° 05′ 25.5″,5.09,1.65,159,A3Vn,
10 Ser,,10,13 Cap,,137898,75761,15h 28m 38.29s,+01° 50′ 31.8″,5.15,2.28,122,A8IV,
τ1 Ser,τ1,9,,,137471,75530,15h 25m 47.41s,+15° 25′ 41.0″,5.16,-2.09,918,M1III,
R Ser,,,,R,141850,,15h 50m 41.70s,+15° 08′ 01.0″,5.2,,,,Mira variable
d Ser,d,59,,,169986,,18h 27m 12.20s,+00° 11′ 48.0″,5.2,,,,
d Ser,d,59,41 Cau,,169985,90441,18h 27m 12.51s,+00° 11′ 46.1″,5.2,-0.63,479,G0III+...,
ω Ser,ω,34,28 Cap,,141680,77578,15h 50m 17.53s,+02° 11′ 47.8″,5.21,0.68,263,G8III,has a planet (b)
16 Ser,,16,,,139195,76425,15h 36m 29.55s,+10° 00′ 37.6″,5.26,0.97,235,K0p,
3 Ser,,3,2 Cap,,135482,74649,15h 15m 11.37s,+04° 56′ 21.7″,5.32,-0.46,467,K0III,
χ Ser,χ,20,,,140160,76866,15h 41m 47.39s,+12° 50′ 51.1″,5.34,1.11,228,A0p Sr,α2 CVn-type variable star
6 Ser,,6,11 Cap,,136514,75119,15h 21m 02.02s,+00° 42′ 56.1″,5.35,0.98,244,K3III,
c Ser,c,60,45 Cau,,170474,90642,18h 29m 40.96s,−01° 59′ 06.8″,5.38,1.08,236,K0III,
A2 Ser,A2,25,24 Cap,PT,140873,77227,15h 46m 05.65s,−01° 48′ 14.8″,5.39,-0.1,408,B8III,PT Ser
43 G. Ser Cap,,,43 Cap,,145206,79195,16h 09m 50.53s,−03° 28′ 00.2″,5.39,-0.51,494,K4III,
32 G. Ser Cau,,,32 Cau,,168415,89851,18h 20m 08.77s,−15° 49′ 53.8″,5.39,-0.41,470,K3III,
QY Ser,,,,QY,142574,77902,15h 54m 34.66s,+20° 18′ 39.1″,5.45,-0.88,601,M0III,
A1 Ser,A1,11,15 Cap,,138562,76133,15h 32m 57.95s,−01° 11′ 10.7″,5.5,0.91,270,K0III,
φ Ser,φ,,,,142980,78132,15h 57m 14.64s,+14° 24′ 51.4″,5.54,1.33,227,K1IV,
6 G. Ser Cau,,,6 Cau,,159358,86019,17h 34m 46.35s,−11° 14′ 31.2″,5.54,0.23,377,B8Vn,
64 Ser,,64,74 Cau,,175869,93051,18h 57m 16.59s,+02° 32′ 07.4″,5.56,-2.08,1101,B9IIIp...,
22 G. Ser Cap,,,22 Cap,,140775,77163,15h 45m 23.47s,+05° 26′ 50.4″,5.57,0.21,384,A1V,
4 Ser,,4,3 Cap,,135559,74689,15h 15m 49.14s,+00° 22′ 19.6″,5.62,2.15,161,A4V,
45 Ser,,45,,,144874,79007,16h 07m 37.55s,+09° 53′ 30.3″,5.63,1.05,269,A7V,
,,,,,136138,74896,15h 18m 24.51s,+20° 34′ 22.1″,5.68,0.93,290,G5IV,
47 Ser,,47,39 Cap,FS,145002,79072,16h 08m 28.08s,+08° 32′ 03.6″,5.69,-0.52,568,M3.5IIIa,FS Ser
υ Ser,υ,31,,,141187,77336,15h 47m 17.35s,+14° 06′ 55.0″,5.71,1.27,252,A3V,
